Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  43.46  44.32  43.39  44.06  3938800  44.06
2014-02-27  43.44  43.78  43.21  43.39  1823600  43.39
2014-02-26  43.84  44.02  43.39  43.49  2699900  43.49
2014-02-25  44.13  44.19  43.73  43.79  3041900  43.79
2014-02-24  44.0  44.45  43.96  44.02  3065600  44.02
2014-02-21  43.67  44.25  43.59  43.94  2587800  43.94
2014-02-20  43.29  43.82  43.2  43.66  1327400  43.66
2014-02-19  43.4  43.79  43.16  43.23  2077700  43.23
2014-02-18  43.96  43.97  43.4  43.5  3217700  43.5
2014-02-14  43.74  44.04  43.62  43.94  2659300  43.94
2014-02-13  43.06  43.94  43.0  43.91  3812100  43.91
2014-02-12  42.45  43.16  42.37  43.15  4067500  43.15
2014-02-11  41.6  42.57  41.41  42.44  2810800  42.44
2014-02-10  41.73  42.22  41.5  42.2  2827300  42.2
2014-02-07  41.44  41.88  41.4  41.83  1742500  41.83
2014-02-06  41.11  41.52  40.92  41.35  1776700  41.35
2014-02-05  41.14  41.34  41.01  41.11  1855700  41.11
2014-02-04  41.68  41.76  41.1  41.28  2512300  41.28
2014-02-03  42.25  42.64  41.41  41.52  3635600  41.52
2014-01-31  41.51  42.39  41.49  42.15  4450200  42.15
2014-01-30  41.2  41.99  41.11  41.96  3937900  41.96
2014-01-29  40.97  41.11  40.77  40.93  3211800  40.93
2014-01-28  40.99  41.09  40.81  41.01  2078100  41.01
2014-01-27  40.82  41.03  40.77  40.92  3025300  40.92
2014-01-24  41.11  41.36  40.81  40.82  3593400  40.82
2014-01-23  40.98  41.37  40.92  41.29  2981900  41.29
2014-01-22  41.25  41.38  40.94  41.14  2611700  41.14
2014-01-21  40.72  41.27  40.72  41.27  2970400  41.27
2014-01-17  40.67  40.79  40.4  40.67  2467800  40.67
2014-01-16  40.48  40.69  40.32  40.65  2340200  40.65
2014-01-15  40.85  41.13  40.27  40.51  3696000  40.51
2014-01-14  40.28  40.55  40.13  40.3  1867300  40.3
2014-01-13  40.93  40.93  40.19  40.29  2556900  40.29
2014-01-10  40.24  41.01  40.03  40.53  2538600  40.53
2014-01-09  40.07  40.16  39.78  40.07  1884200  40.07
2014-01-08  39.89  39.97  39.59  39.8  2204400  39.8
2014-01-07  39.7  40.08  39.67  40.01  2567800  40.01
2014-01-06  39.71  39.87  39.54  39.69  2588600  39.69
2014-01-03  39.72  39.85  39.42  39.6  2824400  39.6
2014-01-02  40.36  40.37  39.66  39.66  2366400  39.66
2013-12-31  40.33  40.47  40.13  40.28  1925500  40.28
2013-12-30  40.22  40.42  40.07  40.27  2151200  40.27
2013-12-27  40.28  40.56  40.15  40.28  1334800  40.28
2013-12-26  40.66  40.72  40.03  40.11  1925200  40.11
2013-12-24  40.52  40.77  40.45  40.57  1053800  40.57
2013-12-23  40.34  40.73  40.27  40.52  2317700  40.52
2013-12-20  39.72  40.49  39.69  40.11  5428300  40.11
2013-12-19  40.12  40.12  39.59  39.77  3901200  39.77
2013-12-18  40.24  40.55  39.66  40.49  3941000  40.49
2013-12-17  40.49  40.62  40.1  40.18  4126700  40.18
2013-12-16  40.2  40.7  40.18  40.52  4383400  40.52
2013-12-13  39.89  40.04  39.77  39.97  2025800  39.97
2013-12-12  39.72  40.04  39.71  39.75  3367600  39.75
2013-12-11  39.8  40.12  39.72  39.81  2640800  39.81
2013-12-10  40.63  40.74  39.73  39.87  3349800  39.87
2013-12-09  40.6  41.0  40.54  40.7  2569700  40.7
2013-12-06  40.08  40.77  39.98  40.65  2854100  40.65
2013-12-05  40.21  40.21  39.6  39.91  3130000  39.91
2013-12-04  40.11  40.45  39.87  40.25  2394800  40.25
2013-12-03  39.89  40.37  39.72  40.34  2891400  40.34
2013-12-02  39.99  40.27  39.77  40.01  3254600  40.01
2013-11-29  39.55  40.16  39.55  39.92  1377800  39.92
2013-11-27  39.83  39.89  39.62  39.81  2515200  39.81
2013-11-26  40.12  40.15  39.46  39.8  4406500  39.8
2013-11-25  40.28  40.5  40.11  40.11  2399500  40.11
2013-11-22  40.03  40.35  40.01  40.17  2883100  40.17
2013-11-21  40.25  40.36  39.68  40.07  2299800  40.07
2013-11-20  40.43  40.65  40.1  40.1  2082900  40.1
2013-11-19  40.63  40.75  40.36  40.47  2065900  40.47
2013-11-18  40.74  40.79  40.29  40.56  3635900  40.56
2013-11-15  40.41  40.74  40.39  40.7  2298100  40.7
2013-11-14  40.63  40.88  40.48  40.55  2200900  40.55
2013-11-13  39.87  40.63  39.75  40.51  4012500  40.51
2013-11-12  40.22  40.53  39.58  40.04  8906200  40.04
2013-11-11  41.29  41.41  40.88  40.96  1806600  40.96
2013-11-08  41.45  41.45  40.9  41.3  3834300  41.3
2013-11-07  42.33  42.47  41.52  41.58  2718200  41.58
2013-11-06  41.53  42.31  41.53  42.27  2017400  42.27
2013-11-05  41.67  42.22  41.52  41.54  2260000  41.54
2013-11-04  41.94  41.98  41.51  41.8  1699900  41.8
2013-11-01  41.54  42.05  41.52  41.85  2248800  41.85
2013-10-31  41.31  41.58  40.77  41.38  2649900  41.38
2013-10-30  41.72  41.97  41.35  41.41  2055900  41.41
2013-10-29  41.77  41.77  41.44  41.62  1581600  41.62
2013-10-28  41.64  41.86  41.32  41.58  1842300  41.58
2013-10-25  41.03  41.66  41.0  41.65  1720600  41.65
2013-10-24  41.19  41.21  40.88  41.03  2620300  41.03
2013-10-23  41.47  41.79  40.96  41.04  3487500  41.04
2013-10-22  40.94  41.61  40.78  41.5  1877800  41.5
2013-10-21  40.76  40.96  40.61  40.92  2011000  40.92
2013-10-18  40.94  41.12  40.72  40.76  1615400  40.76
2013-10-17  40.28  40.97  40.05  40.9  1626300  40.9
2013-10-16  39.98  40.29  39.78  40.29  2890800  40.29
2013-10-15  40.48  40.5  39.65  39.67  2743700  39.67
2013-10-14  40.67  40.75  40.12  40.51  2240200  40.51
2013-10-11  40.91  41.05  40.59  40.89  1284100  40.89
2013-10-10  40.72  40.96  40.2  40.89  1900700  40.89
2013-10-09  40.32  40.99  40.02  40.46  3693600  40.46
2013-10-08  39.7  40.41  39.62  40.19  3334800  40.19
2013-10-07  39.64  40.06  39.5  39.62  2182600  39.62
2013-10-04  39.94  40.15  39.75  39.81  2183000  39.81
2013-10-03  40.3  40.32  39.82  39.86  2533500  39.86
2013-10-02  40.31  40.82  40.22  40.55  2421900  40.55
2013-10-01  40.44  40.75  40.3  40.41  2147400  40.41
2013-09-30  40.17  40.58  40.12  40.46  4451600  40.46
2013-09-27  40.41  40.61  40.17  40.32  2838600  40.32
2013-09-26  41.06  41.07  40.47  40.58  2810400  40.58
2013-09-25  41.18  41.49  40.9  40.95  3880700  40.95
2013-09-24  41.23  41.38  41.03  41.26  9013300  41.26
2013-09-23  40.49  41.39  40.3  41.2  8280700  41.2
2013-09-20  41.05  41.12  40.45  40.55  10228300  40.55
2013-09-19  41.35  41.54  40.95  41.07  2245900  41.07
2013-09-18  40.16  41.28  40.0  41.19  3263400  41.19
2013-09-17  40.19  40.38  40.04  40.17  2512400  40.17
2013-09-16  40.84  41.33  40.05  40.1  3271900  40.1
2013-09-13  39.95  40.54  39.9  40.42  3489900  40.42
2013-09-12  40.22  40.43  39.82  39.86  1210800  39.86
2013-09-11  40.36  40.48  39.92  40.14  2355300  40.14
2013-09-10  40.2  40.51  40.05  40.5  1712100  40.5
2013-09-09  39.98  40.19  39.77  40.09  1559200  40.09
2013-09-06  40.07  40.45  39.93  39.98  2806500  39.98
2013-09-05  39.91  40.1  39.77  39.95  2000700  39.95
2013-09-04  40.14  40.15  39.67  40.0  1790700  40.0
2013-09-03  40.65  40.71  39.79  40.11  4253000  40.11
2013-08-30  40.49  40.72  40.34  40.45  2915300  40.45
2013-08-29  40.7  40.77  40.18  40.41  1919100  40.41
2013-08-28  40.59  41.01  40.36  40.83  2153800  40.83
2013-08-27  40.3  40.96  40.21  40.57  2859800  40.57
2013-08-26  40.63  40.78  40.5  40.56  2024000  40.56
2013-08-23  40.49  40.81  40.35  40.6  2398800  40.6
2013-08-22  41.05  41.31  40.49  40.52  3378300  40.52
2013-08-21  41.47  41.47  40.84  41.12  3710400  41.12
2013-08-20  41.48  42.24  41.4  41.83  3703800  41.83
2013-08-19  41.61  41.88  41.25  41.48  1861300  41.48
2013-08-16  42.26  42.3  41.39  41.7  2300200  41.7
2013-08-15  42.68  42.79  42.38  42.4  1622700  42.4
2013-08-14  43.04  43.16  42.49  42.97  2742600  42.97
2013-08-13  43.73  43.73  43.15  43.17  2671200  43.17
2013-08-12  43.79  43.91  43.53  43.73  1755100  43.73
2013-08-09  44.4  44.55  43.96  44.03  1476200  44.03
2013-08-08  44.4  44.55  44.15  44.39  1536100  44.39
2013-08-07  43.78  44.59  43.54  44.31  2515300  44.31
2013-08-06  44.55  44.55  44.04  44.09  1970500  44.09
