Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.95  41.27  40.8  41.16  829500  41.16
2014-02-27  40.52  40.85  40.38  40.85  452700  40.85
2014-02-26  40.61  40.91  40.42  40.56  323900  40.56
2014-02-25  40.86  41.08  40.64  40.68  487000  40.68
2014-02-24  40.73  41.08  40.65  40.82  664800  40.82
2014-02-21  40.52  40.99  40.22  40.72  921600  40.72
2014-02-20  39.63  40.74  39.32  40.55  957600  40.55
2014-02-19  39.91  40.35  39.67  39.74  1235600  39.74
2014-02-18  40.27  40.7  39.98  39.98  903000  39.98
2014-02-14  40.4  40.72  40.26  40.3  682300  40.3
2014-02-13  39.95  40.52  39.53  40.39  874700  40.39
2014-02-12  40.61  40.95  40.05  40.08  1290700  40.08
2014-02-11  40.3  41.01  40.18  40.61  772800  40.61
2014-02-10  39.69  40.33  39.41  40.3  781300  40.3
2014-02-07  39.66  39.94  39.28  39.69  815500  39.69
2014-02-06  39.4  39.58  39.06  39.52  554100  39.52
2014-02-05  39.1  39.6  38.78  39.38  790300  39.38
2014-02-04  39.12  39.42  38.84  39.25  1012700  39.25
2014-02-03  40.06  40.17  38.91  39.05  1509200  39.05
2014-01-31  39.79  40.09  39.54  39.96  747000  39.96
2014-01-30  40.27  40.59  40.2  40.27  488700  40.27
2014-01-29  39.91  40.25  39.69  39.98  865200  39.98
2014-01-28  39.79  40.4  39.79  40.11  1448800  40.11
2014-01-27  39.88  40.0  39.69  39.85  1009000  39.85
2014-01-24  40.46  40.74  39.79  39.99  1077200  39.99
2014-01-23  41.38  41.56  40.61  40.68  692200  40.68
2014-01-22  41.52  41.69  41.4  41.5  520200  41.5
2014-01-21  41.14  41.37  41.01  41.33  490400  41.33
2014-01-17  41.24  41.3  40.93  40.98  653500  40.98
2014-01-16  40.89  41.26  40.89  41.2  526500  41.2
2014-01-15  41.06  41.21  40.87  40.99  360400  40.99
2014-01-14  40.68  41.11  40.37  40.88  542900  40.88
2014-01-13  40.92  41.15  40.36  40.51  508000  40.51
2014-01-10  41.19  41.37  40.7  40.95  685600  40.95
2014-01-09  40.16  41.33  40.1  41.29  936000  41.29
2014-01-08  41.58  41.81  41.12  41.26  654800  41.26
2014-01-07  41.04  41.59  40.88  41.42  514300  41.42
2014-01-06  41.13  41.14  40.6  40.79  866900  40.79
2014-01-03  40.78  41.3  40.67  41.17  672600  41.17
2014-01-02  40.93  41.12  40.48  40.64  577900  40.64
2013-12-31  41.06  41.11  40.88  41.04  500600  41.04
2013-12-30  40.85  41.07  40.85  41.02  438200  41.02
2013-12-27  40.75  41.05  40.75  40.93  484200  40.93
2013-12-26  40.74  41.03  40.62  40.73  373600  40.73
2013-12-24  40.77  41.11  40.52  40.73  356500  40.73
2013-12-23  40.56  41.01  40.4  40.62  857900  40.62
2013-12-20  40.51  40.51  40.22  40.34  912600  40.34
2013-12-19  40.45  40.52  40.12  40.36  638500  40.36
2013-12-18  39.96  40.49  39.54  40.47  639400  40.47
2013-12-17  40.29  40.67  39.84  40.0  581500  40.0
2013-12-16  40.41  40.57  40.0  40.2  594400  40.2
2013-12-13  40.4  40.65  40.0  40.18  353900  40.18
2013-12-12  40.43  40.58  40.15  40.34  543700  40.34
2013-12-11  41.75  41.9  40.62  40.63  796300  40.63
2013-12-10  41.24  41.81  41.21  41.64  838600  41.64
2013-12-09  41.72  41.84  41.3  41.37  646700  41.37
2013-12-06  41.23  41.61  41.07  41.6  530600  41.6
2013-12-05  40.83  40.86  40.6  40.81  565000  40.81
2013-12-04  41.07  41.15  40.38  40.86  499100  40.86
2013-12-03  40.97  41.17  40.66  41.16  621500  41.16
2013-12-02  41.3  41.45  41.1  41.18  540400  41.18
2013-11-29  41.34  41.57  41.07  41.33  234800  41.33
2013-11-27  41.53  41.72  41.0  41.19  564300  41.19
2013-11-26  41.77  41.9  41.07  41.41  827600  41.41
2013-11-25  41.72  41.91  41.36  41.79  716500  41.79
2013-11-22  40.33  41.58  40.33  41.57  1199100  41.57
2013-11-21  42.04  42.78  40.9  40.95  1547100  40.95
2013-11-20  42.11  42.76  41.62  42.44  1062400  42.44
2013-11-19  42.92  43.08  42.59  42.71  752200  42.71
2013-11-18  43.64  43.67  42.84  42.97  1024200  42.97
2013-11-15  44.03  44.22  43.5  43.51  2350500  43.51
2013-11-14  43.61  44.15  43.52  44.1  827600  44.1
2013-11-13  43.59  43.59  42.92  43.54  500900  43.54
2013-11-12  42.87  43.28  42.61  43.07  584200  43.07
2013-11-11  42.95  43.12  42.84  43.07  322000  43.07
2013-11-08  42.76  43.1  42.48  43.08  523200  43.08
2013-11-07  43.1  43.35  42.55  42.66  512900  42.66
2013-11-06  42.77  42.97  42.68  42.93  401600  42.93
2013-11-05  43.01  43.03  42.48  42.63  715400  42.63
2013-11-04  42.46  43.04  42.43  43.0  571200  43.0
2013-11-01  42.36  42.54  42.13  42.48  474900  42.48
2013-10-31  42.2  42.48  41.8  42.35  743400  42.35
2013-10-30  42.08  42.34  42.01  42.16  496800  42.16
2013-10-29  41.71  42.14  41.71  42.14  667300  42.14
2013-10-28  41.4  41.62  41.1  41.57  422700  41.57
2013-10-25  41.33  41.51  41.23  41.42  311000  41.42
2013-10-24  41.29  41.45  41.18  41.32  281600  41.32
2013-10-23  41.22  41.33  41.04  41.29  350200  41.29
2013-10-22  41.32  41.59  41.11  41.26  340400  41.26
2013-10-21  41.95  41.95  41.18  41.24  556300  41.24
2013-10-18  41.01  41.33  40.81  41.32  560800  41.32
2013-10-17  40.17  40.89  39.93  40.81  528600  40.81
