Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  36.5  36.77  36.45  36.66  2312700  36.66
2014-02-27  36.64  36.83  36.33  36.45  2385000  36.45
2014-02-26  36.85  36.96  36.64  36.66  2794800  36.66
2014-02-25  36.9  36.96  36.66  36.78  4737600  36.78
2014-02-24  36.71  37.05  36.54  36.73  4708300  36.73
2014-02-21  36.32  37.34  36.32  36.58  6386900  36.58
2014-02-20  35.29  37.07  35.29  36.53  12224400  36.53
2014-02-19  35.07  35.3  34.86  34.97  3376500  34.97
2014-02-18  34.74  35.15  34.65  35.11  3949500  35.11
2014-02-14  34.37  34.7  34.27  34.7  2691200  34.7
2014-02-13  34.31  34.55  34.28  34.5  3529200  34.5
2014-02-12  34.34  34.6  34.14  34.4  5401800  34.4
2014-02-11  33.95  34.42  33.89  34.37  2672800  34.37
2014-02-10  33.8  33.96  33.44  33.91  4143600  33.91
2014-02-07  33.64  34.15  33.49  33.95  5972500  33.95
2014-02-06  33.07  33.62  32.94  33.57  2939200  33.57
2014-02-05  33.1  33.12  32.87  33.01  2947900  33.01
2014-02-04  33.46  33.54  32.88  33.12  2926000  33.12
2014-02-03  33.43  33.89  33.18  33.23  4269800  33.23
2014-01-31  32.98  33.5  32.97  33.34  4354300  33.34
2014-01-30  33.05  33.4  32.93  33.37  2373800  33.37
2014-01-29  32.89  33.08  32.64  32.89  5093500  32.89
2014-01-28  33.29  33.33  32.82  32.93  2960900  32.93
2014-01-27  32.97  33.38  32.87  33.22  5450300  33.22
2014-01-24  32.65  33.4  32.57  33.02  5910200  33.02
2014-01-23  32.29  32.89  32.12  32.74  5691300  32.74
2014-01-22  32.11  32.43  32.11  32.41  3244200  32.41
2014-01-21  31.81  32.21  31.79  32.09  3050400  32.09
2014-01-17  31.8  31.87  31.65  31.78  2163200  31.78
2014-01-16  31.57  31.73  31.48  31.72  2570500  31.72
2014-01-15  31.54  31.69  31.44  31.53  5235600  31.53
2014-01-14  31.56  31.65  31.25  31.41  5198800  31.41
2014-01-13  31.85  31.92  31.45  31.57  5637000  31.57
2014-01-10  31.85  32.45  31.79  31.88  8893800  31.88
2014-01-09  31.62  31.92  31.58  31.72  7099400  31.72
2014-01-08  31.7  31.72  31.33  31.48  3504700  31.48
2014-01-07  31.61  31.72  31.35  31.65  4838500  31.65
2014-01-06  31.51  31.65  31.45  31.62  4652700  31.62
2014-01-03  31.71  31.72  31.29  31.43  3898900  31.43
2014-01-02  31.91  31.93  31.31  31.33  3322600  31.33
2013-12-31  32.07  32.12  31.81  32.04  3024400  32.04
2013-12-30  31.98  32.05  31.86  32.02  2471400  32.02
2013-12-27  31.89  32.02  31.72  31.92  1926200  31.92
2013-12-26  31.98  32.01  31.76  31.84  1753400  31.84
2013-12-24  31.81  31.93  31.62  31.85  1511800  31.85
2013-12-23  32.02  32.17  31.64  31.74  10696800  31.74
2013-12-20  31.64  31.91  31.58  31.75  6570100  31.75
2013-12-19  32.0  32.07  31.42  31.65  3955700  31.65
2013-12-18  31.86  32.27  31.39  32.2  3180500  32.2
2013-12-17  32.04  32.12  31.84  31.9  2205900  31.9
2013-12-16  32.01  32.34  31.92  32.11  2582800  32.11
2013-12-13  32.08  32.21  31.8  31.86  2010300  31.86
2013-12-12  31.93  32.38  31.82  32.12  3260300  32.12
2013-12-11  32.14  32.2  31.8  31.87  3031300  31.87
2013-12-10  32.47  32.47  32.11  32.2  3390900  32.2
2013-12-09  32.58  32.64  32.12  32.41  4242600  32.41
2013-12-06  32.35  32.75  32.25  32.56  3230900  32.56
2013-12-05  32.53  32.71  32.05  32.21  4709000  32.21
2013-12-04  32.46  32.78  32.29  32.68  8139000  32.68
2013-12-03  32.13  32.7  32.13  32.52  4673200  32.52
2013-12-02  32.37  32.49  32.01  32.32  3184300  32.32
2013-11-29  32.71  32.72  32.25  32.33  1409800  32.33
2013-11-27  32.65  32.72  32.25  32.44  2475100  32.44
2013-11-26  32.99  33.05  32.5  32.54  3178100  32.54
2013-11-25  33.37  33.43  33.04  33.05  12098600  33.05
2013-11-22  33.22  33.46  33.17  33.24  9078800  33.24
2013-11-21  33.18  33.56  33.09  33.31  8580400  33.31
2013-11-20  33.61  33.68  33.07  33.1  3408800  33.1
2013-11-19  33.74  33.8  33.39  33.64  2958400  33.64
2013-11-18  33.76  33.79  33.4  33.77  2711100  33.77
2013-11-15  33.25  33.71  33.23  33.71  3546700  33.71
2013-11-14  33.29  33.49  33.01  33.38  2286400  33.38
2013-11-13  32.62  33.2  32.45  33.2  2917600  33.2
2013-11-12  32.98  32.98  32.53  32.83  2968800  32.83
2013-11-11  33.2  33.3  32.99  33.12  2220500  33.12
2013-11-08  32.98  33.14  32.68  33.14  4931400  33.14
2013-11-07  33.53  33.71  33.07  33.1  3544000  33.1
2013-11-06  33.32  33.47  33.12  33.41  3109100  33.41
2013-11-05  33.64  33.91  33.25  33.27  3180100  33.27
2013-11-04  33.61  33.71  33.4  33.66  2854800  33.66
2013-11-01  33.31  33.68  33.18  33.45  3745900  33.45
2013-10-31  32.87  33.43  32.38  33.13  5966100  33.13
2013-10-30  33.65  33.76  32.77  32.82  4142900  32.82
2013-10-29  33.57  33.76  33.33  33.46  2180200  33.46
2013-10-28  33.59  33.78  33.25  33.57  3487800  33.57
2013-10-25  33.49  33.96  33.28  33.94  2117600  33.94
2013-10-24  33.68  33.8  33.42  33.61  1822500  33.61
2013-10-23  33.87  34.17  33.63  33.68  3151900  33.68
2013-10-22  33.38  33.99  33.27  33.9  3174400  33.9
2013-10-21  33.52  33.54  33.14  33.34  1999400  33.34
2013-10-18  33.6  33.77  33.43  33.54  2393100  33.54
2013-10-17  32.93  33.63  32.7  33.56  2938700  33.56
2013-10-16  33.12  33.26  32.54  33.01  3854800  33.01
2013-10-15  33.27  33.43  32.86  32.92  2392700  32.92
2013-10-14  33.46  33.48  32.86  33.37  2168400  33.37
2013-10-11  33.38  33.59  33.27  33.54  1575400  33.54
2013-10-10  33.07  33.41  32.75  33.41  2139200  33.41
2013-10-09  32.69  33.25  32.62  32.86  2220300  32.86
2013-10-08  32.35  32.91  32.31  32.64  2244300  32.64
2013-10-07  32.4  32.65  32.24  32.37  1489300  32.37
2013-10-04  32.55  32.71  32.4  32.56  1906800  32.56
