Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  79.09  80.4  78.85  80.07  9870600  80.07
2014-02-27  78.65  79.46  78.4  79.07  7809200  79.07
2014-02-26  79.5  79.88  78.57  78.65  6586200  78.65
2014-02-25  79.02  79.75  78.93  79.23  7509200  79.23
2014-02-24  78.31  79.59  78.31  78.88  7747000  78.88
2014-02-21  78.01  78.91  77.9  78.22  7488400  78.22
2014-02-20  77.43  78.87  77.37  78.01  9580300  78.01
2014-02-19  78.04  78.43  77.01  77.1  10353400  77.1
2014-02-18  78.63  78.63  77.78  78.18  9800200  78.18
2014-02-14  79.76  79.82  78.06  78.09  13206500  78.09
2014-02-13  80.77  80.87  78.36  79.69  11197000  79.69
2014-02-12  81.48  81.85  80.98  81.49  4471200  81.49
2014-02-11  80.48  81.33  80.33  81.25  5068100  81.25
2014-02-10  80.17  80.72  80.16  80.6  4742000  80.6
2014-02-07  79.68  80.26  79.26  80.22  4553800  80.22
2014-02-06  80.19  80.2  78.85  79.39  6113800  79.39
2014-02-05  78.57  79.62  78.44  79.42  4829600  79.42
2014-02-04  78.97  79.17  78.28  78.82  5431700  78.82
2014-02-03  80.35  80.51  78.52  78.57  7073500  78.57
2014-01-31  80.2  80.82  79.9  80.36  6728600  80.36
2014-01-30  80.62  81.36  80.55  81.08  4589100  81.08
2014-01-29  81.87  81.87  80.1  80.22  7539700  80.22
2014-01-28  82.39  82.67  81.71  82.32  3867800  82.32
2014-01-27  81.43  82.77  81.42  82.06  5811000  82.06
2014-01-24  82.07  82.63  81.43  81.43  5906200  81.43
2014-01-23  82.85  82.85  81.87  82.43  5429100  82.43
2014-01-22  82.83  83.0  82.47  82.85  3920400  82.85
2014-01-21  82.21  83.07  82.15  82.92  4790700  82.92
2014-01-17  82.94  82.98  82.04  82.2  6259600  82.2
2014-01-16  82.68  83.17  82.3  82.86  3724700  82.86
2014-01-15  82.48  83.2  82.28  82.89  4189100  82.89
2014-01-14  82.63  82.86  82.26  82.37  4389200  82.37
2014-01-13  83.06  83.57  82.32  82.37  4487100  82.37
2014-01-10  83.2  83.64  82.75  83.5  3712000  83.5
2014-01-09  83.34  83.39  82.37  82.85  4565900  82.85
2014-01-08  83.33  83.62  82.81  83.24  5653300  83.24
2014-01-07  82.62  83.99  82.61  83.48  6332400  83.48
2014-01-06  82.2  82.61  82.08  82.28  3888400  82.28
2014-01-03  82.12  82.87  82.12  82.24  3287200  82.24
2014-01-02  82.93  82.99  81.82  82.1  3275900  82.1
2013-12-31  82.98  83.33  82.54  82.94  3009500  82.94
2013-12-30  82.71  83.09  82.68  82.91  2006900  82.91
2013-12-27  82.74  83.11  82.46  82.71  2361300  82.71
2013-12-26  82.14  82.45  82.01  82.45  1799000  82.45
2013-12-24  82.06  82.21  81.8  82.04  1115400  82.04
2013-12-23  82.34  82.38  81.45  81.86  3718700  81.86
2013-12-20  81.55  82.1  81.47  81.81  7496100  81.81
2013-12-19  81.28  81.79  81.02  81.66  4075700  81.66
2013-12-18  80.58  81.61  79.96  81.42  7416900  81.42
2013-12-17  81.05  81.25  80.35  80.46  8210200  80.46
2013-12-16  81.06  81.3  80.6  81.0  4245600  81.0
2013-12-13  81.53  81.84  80.85  80.93  3798300  80.93
2013-12-12  82.56  82.65  80.97  81.28  6327400  81.28
2013-12-11  82.32  83.07  82.32  82.67  6606300  82.67
2013-12-10  82.45  82.81  82.11  82.4  4888900  82.4
2013-12-09  82.92  83.2  82.36  82.69  5371700  82.69
