Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  78.24  78.91  78.01  78.66  8489600  78.66
2014-02-27  77.77  78.23  77.56  78.19  6549800  78.19
2014-02-26  78.23  78.77  77.82  77.86  7764700  77.86
2014-02-25  77.73  78.31  77.4  78.12  8177500  78.12
2014-02-24  78.03  78.77  77.61  77.86  7838700  77.86
2014-02-21  78.05  78.89  77.91  77.97  8089200  77.97
2014-02-20  77.96  78.44  77.5  77.92  8275200  77.92
2014-02-19  77.64  78.96  77.55  78.14  8740000  78.14
2014-02-18  79.48  79.63  77.56  77.97  15750700  77.97
2014-02-14  77.69  79.75  77.25  79.4  10791900  79.4
2014-02-13  77.09  77.92  77.0  77.8  7420600  77.8
2014-02-12  78.13  78.53  77.06  77.49  11019700  77.49
2014-02-11  78.1  79.11  77.64  78.84  10500800  78.84
2014-02-10  77.43  78.09  77.19  78.03  8959700  78.03
2014-02-07  76.99  77.39  76.75  77.31  7259200  77.31
2014-02-06  76.53  76.99  76.48  76.9  7819700  76.9
2014-02-05  75.94  76.8  75.67  76.45  9734100  76.45
2014-02-04  76.0  76.39  75.4  76.09  12055400  76.09
2014-02-03  76.69  76.76  75.6  75.7  14292700  75.7
2014-01-31  76.03  77.19  75.26  76.62  12988800  76.62
2014-01-30  78.05  78.05  76.77  76.87  9450500  76.87
2014-01-29  78.8  78.8  77.38  77.64  13443100  77.64
2014-01-28  78.67  79.52  78.43  79.11  10060800  79.11
2014-01-27  79.24  79.3  78.42  78.47  10395400  78.47
2014-01-24  79.33  81.7  78.78  79.18  20163200  79.18
2014-01-23  78.71  78.97  78.12  78.24  12667700  78.24
2014-01-22  79.57  79.88  79.05  79.23  8455600  79.23
2014-01-21  79.99  80.12  78.94  79.58  13216400  79.58
2014-01-17  79.82  80.03  79.2  79.28  13629800  79.28
2014-01-16  80.05  80.23  79.66  79.96  11673300  79.96
2014-01-15  80.09  80.57  79.64  80.18  8221900  80.18
2014-01-14  79.46  80.31  79.42  80.26  8737100  80.26
2014-01-13  79.41  79.9  79.09  79.41  9360800  79.41
2014-01-10  79.99  80.29  79.6  79.7  8448300  79.7
2014-01-09  79.94  80.2  79.43  79.82  10833900  79.82
2014-01-08  80.36  80.54  79.45  79.64  13458800  79.64
2014-01-07  80.11  80.97  80.02  80.81  7158200  80.81
2014-01-06  80.0  80.37  79.69  80.03  7208200  80.03
2014-01-03  80.16  80.25  79.59  79.85  6925600  79.85
2014-01-02  80.72  80.75  79.72  79.94  6981700  79.94
2013-12-31  81.22  81.39  80.48  80.8  5765300  80.8
2013-12-30  81.38  81.43  80.95  81.38  4145600  81.38
2013-12-27  81.47  81.86  81.24  81.39  4006000  81.39
2013-12-26  80.88  81.28  80.68  81.15  5347000  81.15
2013-12-24  80.72  81.0  80.64  80.7  2899100  80.7
2013-12-23  81.52  81.52  80.4  80.7  8653600  80.7
2013-12-20  81.37  81.92  81.21  81.23  13206100  81.23
2013-12-19  81.37  81.68  80.9  81.29  6442600  81.29
2013-12-18  80.6  81.8  79.87  81.76  12036100  81.76
2013-12-17  81.17  81.23  80.08  80.3  11416400  80.3
2013-12-16  82.1  82.45  80.99  81.08  8849700  81.08
2013-12-13  81.7  81.84  80.95  81.75  7441600  81.75
2013-12-12  83.19  83.24  81.31  81.68  10176300  81.68
2013-12-11  83.11  83.87  82.98  83.39  9787900  83.39
2013-12-10  83.77  83.79  82.8  83.02  7373300  83.02
2013-12-09  83.84  84.3  83.7  84.14  7395300  84.14
2013-12-06  82.61  83.9  82.55  83.89  7189400  83.89
2013-12-05  82.76  82.82  81.68  82.07  8186600  82.07
2013-12-04  82.75  82.86  81.97  82.72  6790200  82.72
2013-12-03  82.67  83.37  82.6  83.2  7533200  83.2
2013-12-02  83.4  83.51  82.47  82.71  7497500  82.71
2013-11-29  84.14  84.57  83.52  83.59  4954500  83.59
2013-11-27  84.25  84.26  83.39  83.65  4905000  83.65
2013-11-26  84.56  85.11  84.0  84.0  7111600  84.0
2013-11-25  84.32  85.18  84.21  84.77  9670500  84.77
2013-11-22  83.89  84.36  83.6  84.31  7436200  84.31
2013-11-21  84.2  84.25  83.87  84.03  7287700  84.03
2013-11-20  83.67  84.34  83.6  84.05  7680900  84.05
2013-11-19  83.68  83.96  83.58  83.71  7924200  83.71
2013-11-18  84.16  84.31  83.55  83.94  8507300  83.94
