Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  24.21  24.59  24.13  24.49  5522700  24.49
2014-02-27  23.86  24.19  23.8  24.18  2842800  24.18
2014-02-26  23.77  24.09  23.76  23.9  3668100  23.9
2014-02-25  23.78  23.84  23.62  23.7  4409400  23.7
2014-02-24  23.89  23.94  23.76  23.76  4399000  23.76
2014-02-21  23.99  24.12  23.8  23.92  4811300  23.92
2014-02-20  23.78  24.05  23.59  23.97  5032700  23.97
2014-02-19  23.73  23.95  23.71  23.75  2948000  23.75
2014-02-18  23.93  24.06  23.78  23.87  2536500  23.87
2014-02-14  23.8  24.0  23.8  23.98  2279700  23.98
2014-02-13  23.42  23.94  23.42  23.85  3855600  23.85
2014-02-12  23.37  23.58  23.31  23.56  3679500  23.56
2014-02-11  23.17  23.62  23.16  23.49  2687300  23.49
2014-02-10  23.08  23.23  23.01  23.18  2761100  23.18
2014-02-07  23.08  23.2  22.94  23.13  3135400  23.13
2014-02-06  22.65  22.92  22.56  22.9  2992900  22.9
2014-02-05  22.57  22.84  22.57  22.6  3481200  22.6
2014-02-04  22.69  22.8  22.53  22.62  2723900  22.62
2014-02-03  23.1  23.24  22.57  22.59  5577700  22.59
2014-01-31  23.35  23.57  23.21  23.24  4163900  23.24
2014-01-30  23.54  23.61  23.44  23.56  2493400  23.56
2014-01-29  23.26  23.65  23.23  23.45  5571200  23.45
2014-01-28  23.15  23.53  23.11  23.46  5473800  23.46
2014-01-27  23.41  23.52  23.08  23.18  8702800  23.18
2014-01-24  23.51  23.56  23.3  23.31  5184400  23.31
2014-01-23  23.74  23.84  23.51  23.67  8742200  23.67
2014-01-22  24.3  24.34  23.65  23.88  9021100  23.88
2014-01-21  24.31  24.37  24.1  24.37  4855000  24.37
2014-01-17  24.34  24.41  24.16  24.18  2592200  24.18
2014-01-16  24.43  24.43  24.25  24.29  2160100  24.29
2014-01-15  24.5  24.57  24.32  24.43  5146500  24.43
2014-01-14  24.21  24.53  24.18  24.49  4531300  24.49
2014-01-13  24.35  24.52  24.08  24.15  3709300  24.15
2014-01-10  24.32  24.48  24.19  24.38  3595400  24.38
2014-01-09  24.27  24.41  23.97  24.34  6197000  24.34
2014-01-08  24.0  24.4  23.99  24.17  11659600  24.17
2014-01-07  24.57  24.69  24.36  24.46  3554500  24.46
2014-01-06  24.82  24.83  24.41  24.59  3473000  24.59
2014-01-03  25.09  25.15  24.65  24.75  3155800  24.75
2014-01-02  25.65  25.66  25.06  25.11  2569500  25.11
