Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  21.28  21.29  20.76  20.99  10117000  20.99
2014-02-27  21.24  21.31  20.9  21.29  10833100  21.29
2014-02-26  20.7  21.65  20.5  21.25  12628700  21.25
2014-02-25  20.38  20.88  20.18  20.68  7304700  20.68
2014-02-24  20.42  20.5  20.13  20.42  8780800  20.42
2014-02-21  20.05  20.48  19.88  20.37  9679300  20.37
2014-02-20  19.71  20.04  19.45  20.02  10637100  20.02
2014-02-19  19.75  19.98  19.55  19.66  6009800  19.66
2014-02-18  20.1  20.23  19.52  19.79  6470400  19.79
2014-02-14  19.8  20.03  19.57  20.02  5436100  20.02
2014-02-13  19.54  19.85  19.36  19.82  5186000  19.82
2014-02-12  19.74  19.84  19.52  19.6  5005500  19.6
2014-02-11  19.3  19.73  19.2  19.67  8756900  19.67
2014-02-10  19.78  19.91  19.27  19.35  9673400  19.35
2014-02-07  20.22  20.26  19.65  19.8  9950500  19.8
2014-02-06  19.6  20.3  19.59  20.13  7816900  20.13
2014-02-05  19.64  19.72  19.2  19.49  9105300  19.49
2014-02-04  19.73  20.1  19.51  19.87  8536800  19.87
2014-02-03  20.65  20.65  19.46  19.69  11087700  19.69
2014-01-31  19.86  20.78  19.72  20.32  14350900  20.32
2014-01-30  20.31  20.78  19.36  19.77  12568800  19.77
2014-01-29  19.18  19.59  19.05  19.43  9793800  19.43
2014-01-28  18.94  19.55  18.9  19.45  8873800  19.45
2014-01-27  18.89  19.33  18.21  18.71  7969400  18.71
2014-01-24  19.46  19.52  18.75  18.84  6972700  18.84
2014-01-23  19.45  19.68  19.25  19.65  4669300  19.65
2014-01-22  19.22  19.74  19.1  19.63  5522100  19.63
2014-01-21  19.44  19.51  19.03  19.2  4930000  19.2
2014-01-17  19.67  19.67  19.31  19.36  4544200  19.36
2014-01-16  19.43  19.76  19.13  19.69  5388200  19.69
2014-01-15  19.62  19.64  19.34  19.47  4437000  19.47
2014-01-14  19.53  19.66  19.25  19.52  5193000  19.52
2014-01-13  20.0  20.01  19.26  19.4  8761700  19.4
2014-01-10  19.73  20.43  19.69  20.16  11384400  20.16
2014-01-09  19.87  19.9  19.47  19.79  5202600  19.79
2014-01-08  19.51  19.91  19.36  19.78  8660800  19.78
2014-01-07  20.07  20.09  19.48  19.54  7194900  19.54
2014-01-06  20.14  20.26  19.71  19.84  6601100  19.84
2014-01-03  20.12  20.38  19.98  20.04  3716900  20.04
2014-01-02  20.25  20.34  19.86  20.08  5616900  20.08
2013-12-31  20.24  20.49  20.09  20.37  6132800  20.37
2013-12-30  20.08  20.31  19.98  20.13  5561700  20.13
2013-12-27  19.98  20.24  19.82  20.07  4408900  20.07
2013-12-26  19.85  20.32  19.75  19.98  6264600  19.98
2013-12-24  19.72  20.02  19.32  19.73  4838900  19.73
2013-12-23  18.83  19.76  18.77  19.71  11411100  19.71
2013-12-20  18.33  18.8  18.28  18.62  9371800  18.62
2013-12-19  18.62  18.63  18.18  18.25  5657400  18.25
2013-12-18  18.39  18.74  17.83  18.41  15700600  18.41
2013-12-17  18.04  18.1  17.65  18.02  5714100  18.02
2013-12-16  18.07  18.38  18.04  18.06  4425900  18.06
2013-12-13  18.05  18.24  17.9  17.98  4544800  17.98
2013-12-12  18.01  18.14  17.83  18.01  4204400  18.01
2013-12-11  18.35  18.36  17.85  18.02  6785800  18.02
2013-12-10  18.44  18.92  18.33  18.38  5280000  18.38
2013-12-09  18.17  18.59  18.14  18.28  6028800  18.28
2013-12-06  18.2  18.42  18.03  18.13  7826200  18.13
2013-12-05  18.19  18.27  17.79  17.94  8293100  17.94
2013-12-04  18.13  18.54  17.87  18.3  7932800  18.3
2013-12-03  18.3  18.54  18.14  18.38  7076600  18.38
2013-12-02  18.74  18.75  18.32  18.45  5455500  18.45
2013-11-29  18.87  18.94  18.55  18.71  2999500  18.71
2013-11-27  18.93  19.2  18.75  18.8  4642300  18.8
2013-11-26  18.16  19.05  18.16  18.9  10772600  18.9
2013-11-25  18.3  18.31  17.75  18.1  5187200  18.1
2013-11-22  18.38  18.45  18.06  18.17  5490200  18.17
2013-11-21  18.1  18.44  17.85  18.33  7057600  18.33
2013-11-20  18.32  18.55  17.85  18.07  9336100  18.07
2013-11-19  18.18  18.39  18.02  18.16  6758700  18.16
2013-11-18  18.04  18.58  18.02  18.23  10414300  18.23
2013-11-15  17.92  18.15  17.9  18.05  11973800  18.05
2013-11-14  17.05  17.95  17.0  17.81  11850800  17.81
2013-11-13  16.64  17.15  16.59  16.98  6977300  16.98
2013-11-12  16.64  16.94  16.45  16.71  11216600  16.71
