Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.9  41.39  40.82  41.19  3511300  41.19
2014-02-27  41.08  41.3  40.58  40.9  1900700  40.9
2014-02-26  41.01  41.23  40.78  41.02  2009300  41.02
2014-02-25  40.69  41.09  40.65  40.91  1804800  40.91
2014-02-24  40.61  41.26  40.56  40.69  3029000  40.69
2014-02-21  40.36  40.72  40.21  40.61  2416500  40.61
2014-02-20  40.75  40.9  40.19  40.39  2063400  40.39
2014-02-19  40.68  41.35  40.57  40.72  2051700  40.72
2014-02-18  40.7  40.81  40.29  40.8  2594100  40.8
2014-02-14  40.72  40.98  40.62  40.67  2022800  40.67
2014-02-13  40.51  41.05  40.45  40.83  1759300  40.83
2014-02-12  40.62  40.84  40.47  40.71  1673000  40.71
2014-02-11  40.25  40.9  40.09  40.62  2496600  40.62
2014-02-10  39.93  40.43  39.75  40.34  1942400  40.34
2014-02-07  39.72  40.13  39.46  39.93  2452200  39.93
2014-02-06  39.17  39.68  38.99  39.58  3014100  39.58
2014-02-05  38.63  39.18  38.41  39.12  3138900  39.12
2014-02-04  38.16  38.93  38.06  38.75  3044000  38.75
2014-02-03  38.82  38.89  38.01  38.17  2916100  38.17
2014-01-31  38.19  39.16  38.06  38.76  4104500  38.76
2014-01-30  36.5  39.14  36.5  38.81  4294300  38.81
2014-01-29  36.85  37.21  36.53  37.01  3230200  37.01
2014-01-28  36.57  37.33  36.49  37.23  2752900  37.23
2014-01-27  36.65  36.9  36.33  36.51  3319400  36.51
2014-01-24  37.13  37.21  36.51  36.74  2849400  36.74
2014-01-23  37.49  37.62  37.21  37.42  2216800  37.42
2014-01-22  37.5  37.91  37.43  37.75  1995700  37.75
2014-01-21  37.2  37.53  36.86  37.34  1522300  37.34
2014-01-17  37.37  37.48  36.81  36.98  2432500  36.98
2014-01-16  37.48  37.58  37.14  37.29  2250400  37.29
2014-01-15  37.27  37.66  37.19  37.51  1909400  37.51
2014-01-14  36.91  37.37  36.82  37.22  1597000  37.22
2014-01-13  37.31  37.54  36.59  36.75  2397400  36.75
2014-01-10  37.39  37.73  37.29  37.6  1721500  37.6
2014-01-09  37.72  37.74  36.77  37.2  2916900  37.2
2014-01-08  37.68  37.84  37.28  37.68  2382900  37.68
2014-01-07  37.49  37.92  37.4  37.73  2850100  37.73
2014-01-06  37.62  37.74  37.15  37.4  3030600  37.4
2014-01-03  36.84  37.36  36.83  37.24  1840100  37.24
2014-01-02  36.99  37.01  36.55  36.91  1985500  36.91
2013-12-31  37.18  37.36  36.79  36.95  2593200  36.95
2013-12-30  37.23  37.49  37.16  37.19  1117800  37.19
2013-12-27  37.15  37.25  36.94  37.19  2480800  37.19
2013-12-26  37.12  37.45  36.99  37.13  2132100  37.13
2013-12-24  36.91  37.12  36.64  36.97  929500  36.97
2013-12-23  37.42  37.42  36.91  36.99  2199000  36.99
2013-12-20  36.58  36.94  36.58  36.83  2602400  36.83
2013-12-19  37.08  37.08  36.19  36.73  3082700  36.73
2013-12-18  36.3  37.21  35.99  37.16  5075400  37.16
2013-12-17  36.17  36.5  36.0  36.33  3772000  36.33
2013-12-16  36.02  36.21  35.71  36.14  2800500  36.14
2013-12-13  36.41  36.85  35.84  36.01  2339100  36.01
2013-12-12  36.12  36.45  35.73  36.29  3216400  36.29
2013-12-11  37.4  37.51  36.14  36.21  2093400  36.21
2013-12-10  37.59  37.79  37.47  37.48  1888400  37.48
2013-12-09  37.61  37.79  37.19  37.64  2007300  37.64
2013-12-06  37.39  37.62  37.24  37.55  1560800  37.55
2013-12-05  36.87  37.18  36.52  36.93  2066300  36.93
2013-12-04  36.85  37.52  36.71  37.0  2118800  37.0
2013-12-03  37.24  37.36  37.03  37.16  1968800  37.16
2013-12-02  37.63  37.7  37.1  37.31  2114100  37.31
2013-11-29  38.31  38.46  37.62  37.64  1239800  37.64
2013-11-27  37.86  38.22  37.75  38.19  1787000  38.19
2013-11-26  38.01  38.2  37.77  37.77  2358200  37.77
2013-11-25  38.15  38.38  37.96  38.06  1642100  38.06
2013-11-22  38.15  38.23  37.87  38.14  1232600  38.14
2013-11-21  37.97  38.35  37.69  38.22  1865400  38.22
2013-11-20  38.31  38.72  37.64  37.8  1529000  37.8
2013-11-19  38.6  38.79  38.13  38.32  1932500  38.32
2013-11-18  38.83  38.99  38.49  38.62  2162500  38.62
2013-11-15  38.62  39.01  38.62  38.88  2222500  38.88
2013-11-14  38.73  39.12  38.55  38.69  1992100  38.69
2013-11-13  38.18  38.7  38.01  38.48  1809000  38.48
2013-11-12  38.72  38.86  37.97  38.27  2003200  38.27
2013-11-11  38.6  39.1  38.35  38.72  1480400  38.72
2013-11-08  38.82  39.17  37.82  38.65  2156000  38.65
2013-11-07  39.62  39.71  38.79  38.94  2240600  38.94
2013-11-06  39.79  39.9  39.35  39.58  1656600  39.58
2013-11-05  40.27  40.32  39.51  39.6  2025300  39.6
2013-11-04  40.34  40.57  40.06  40.56  1657400  40.56
2013-11-01  39.8  40.37  39.44  40.26  2057000  40.26
2013-10-31  39.74  39.9  39.24  39.64  2771800  39.64
2013-10-30  40.1  40.37  39.57  39.73  2682200  39.73
2013-10-29  40.26  40.26  39.88  40.13  2308500  40.13
2013-10-28  40.49  40.49  39.8  40.28  2661200  40.28
2013-10-25  40.06  40.67  39.97  40.6  2693700  40.6
2013-10-24  40.04  40.25  39.55  40.11  1879300  40.11
2013-10-23  40.03  40.44  39.71  39.82  2644900  39.82
2013-10-22  39.86  40.45  39.7  40.37  3391700  40.37
2013-10-21  39.52  39.63  39.33  39.59  1980200  39.59
2013-10-18  39.69  39.84  39.46  39.51  2267100  39.51
2013-10-17  39.54  39.93  39.5  39.73  3346400  39.73
