Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.16  81.6  80.51  80.91  4569000  80.91
2014-02-27  79.5  81.14  79.35  80.78  5974200  80.78
2014-02-26  80.05  80.08  78.92  79.5  5278200  79.5
2014-02-25  79.4  80.09  79.33  79.93  5361500  79.93
2014-02-24  78.79  79.64  78.52  79.17  5043600  79.17
2014-02-21  79.64  79.94  78.9  78.97  5425100  78.97
2014-02-20  79.63  80.15  79.25  79.71  4545900  79.71
2014-02-19  79.77  80.19  79.5  79.6  4469700  79.6
2014-02-18  80.21  80.94  80.0  80.01  5987900  80.01
2014-02-14  79.31  80.55  78.88  80.39  6641400  80.39
2014-02-13  78.25  79.32  77.55  79.24  4595200  79.24
2014-02-12  79.64  79.66  78.31  78.44  5160000  78.44
2014-02-11  78.61  79.5  78.01  79.46  6011300  79.46
2014-02-10  79.95  80.1  78.44  78.81  6526000  78.81
2014-02-07  78.33  80.29  78.17  80.25  8628100  80.25
2014-02-06  76.88  78.79  76.66  78.11  8400900  78.11
2014-02-05  76.56  77.08  76.06  76.9  7038800  76.9
2014-02-04  75.85  77.23  75.57  76.88  7917900  76.88
2014-02-03  78.09  78.19  75.28  75.39  9837000  75.39
2014-01-31  78.31  78.95  77.19  78.14  8001800  78.14
2014-01-30  79.61  79.8  78.93  79.09  7011600  79.09
2014-01-29  80.47  80.47  78.33  79.44  10371500  79.44
2014-01-28  80.89  81.01  80.51  80.81  5951100  80.81
2014-01-27  81.63  81.86  80.77  80.78  5444200  80.78
2014-01-24  82.96  83.18  81.5  81.5  8040200  81.5
2014-01-23  83.61  84.41  83.0  83.54  4534300  83.54
2014-01-22  83.92  84.41  83.45  84.19  3401900  84.19
2014-01-21  84.32  84.54  83.41  83.99  4528100  83.99
2014-01-17  84.13  84.26  83.2  83.33  6171600  83.33
2014-01-16  82.96  84.55  82.62  84.52  6866200  84.52
2014-01-15  82.45  83.3  82.35  83.08  5525800  83.08
2014-01-14  82.74  83.0  82.31  82.45  6103200  82.45
2014-01-13  82.44  82.96  82.27  82.45  6999000  82.45
2014-01-10  83.96  84.05  82.41  82.57  9047600  82.57
2014-01-09  83.25  83.63  82.61  83.31  6690100  83.31
2014-01-08  84.5  84.61  82.93  83.27  10906300  83.27
2014-01-07  85.12  85.67  84.53  84.68  7502500  84.68
