Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.14  81.39  80.34  80.81  870700  80.81
2014-02-27  80.37  81.08  80.11  80.94  919800  80.94
2014-02-26  80.29  80.81  79.77  80.39  1200300  80.39
2014-02-25  79.58  80.55  79.37  80.18  2566600  80.18
2014-02-24  79.3  79.99  79.19  79.52  1025400  79.52
2014-02-21  79.22  79.95  78.66  79.17  1254500  79.17
2014-02-20  78.03  79.25  77.91  78.99  1382300  78.99
2014-02-19  78.89  79.23  77.72  77.83  1214900  77.83
2014-02-18  78.88  79.08  78.16  79.05  887300  79.05
2014-02-14  77.85  78.46  77.37  78.38  928700  78.38
2014-02-13  77.07  77.94  76.42  77.93  1009400  77.93
2014-02-12  77.36  78.24  77.34  77.67  984800  77.67
2014-02-11  76.37  77.66  76.37  77.31  1774200  77.31
2014-02-10  76.37  76.69  75.77  76.55  1330400  76.55
2014-02-07  75.25  76.41  75.04  76.37  1510600  76.37
2014-02-06  74.62  75.24  74.16  74.94  1246500  74.94
2014-02-05  73.57  75.01  73.4  74.81  2191300  74.81
2014-02-04  72.06  73.94  71.34  73.85  2037600  73.85
2014-02-03  74.33  74.91  71.47  71.57  2891400  71.57
2014-01-31  74.36  74.95  73.0  74.33  1255100  74.33
2014-01-30  74.67  74.88  73.9  74.74  1171700  74.74
2014-01-29  74.79  75.72  73.6  73.98  2362600  73.98
2014-01-28  77.78  77.78  73.08  74.8  2724700  74.8
2014-01-27  72.75  73.01  71.29  72.01  1756100  72.01
2014-01-24  75.21  75.38  72.03  72.22  2564800  72.22
2014-01-23  76.92  77.13  75.45  75.71  1288900  75.71
2014-01-22  78.04  78.07  77.0  77.38  918800  77.38
2014-01-21  77.7  77.93  76.66  77.5  1534800  77.5
2014-01-17  76.92  77.6  75.87  77.35  2282400  77.35
2014-01-16  76.7  77.19  76.51  76.93  905100  76.93
2014-01-15  75.82  76.94  75.71  76.94  1132400  76.94
2014-01-14  75.06  75.75  74.52  75.56  1495900  75.56
2014-01-13  76.38  76.57  74.69  74.84  1888000  74.84
2014-01-10  77.25  77.38  76.56  76.77  908900  76.77
2014-01-09  77.19  77.62  76.85  77.06  900500  77.06
2014-01-08  76.55  77.25  76.24  77.01  949300  77.01
2014-01-07  76.24  77.1  76.09  76.72  872900  76.72
2014-01-06  76.8  76.98  75.87  75.91  1358400  75.91
2014-01-03  76.63  77.32  76.32  76.38  940000  76.38
2014-01-02  77.1  77.44  76.17  76.62  1063500  76.62
2013-12-31  77.44  77.65  76.85  77.42  704500  77.42
2013-12-30  77.32  77.66  76.94  77.14  507300  77.14
2013-12-27  77.4  77.72  77.14  77.32  699000  77.32
2013-12-26  76.22  77.34  76.06  77.14  616400  77.14
2013-12-24  75.87  76.5  75.78  76.3  376700  76.3
2013-12-23  75.82  76.02  75.03  75.68  1332800  75.68
2013-12-20  74.68  75.67  74.58  75.16  1503900  75.16
2013-12-19  74.65  74.81  74.0  74.65  1005700  74.65
2013-12-18  72.85  74.9  72.31  74.85  1089500  74.85
2013-12-17  72.51  73.24  71.74  72.6  1414500  72.6
2013-12-16  70.52  71.55  69.54  71.37  1460100  71.37
2013-12-13  70.02  70.42  69.48  69.78  784300  69.78
2013-12-12  69.86  70.17  69.19  69.75  1030200  69.75
2013-12-11  71.37  71.59  69.89  70.02  953800  70.02
2013-12-10  70.64  72.07  70.45  71.41  902400  71.41
2013-12-09  70.58  71.24  70.37  71.01  640900  71.01
2013-12-06  70.56  70.93  70.03  70.72  755000  70.72
2013-12-05  69.41  69.91  69.1  69.53  599800  69.53
2013-12-04  69.33  70.06  68.7  69.56  547500  69.56
2013-12-03  69.74  70.02  69.12  69.76  789400  69.76
2013-12-02  70.37  70.75  69.89  70.2  771700  70.2
2013-11-29  71.05  71.12  70.47  70.49  362000  70.49
2013-11-27  70.77  71.19  70.18  71.04  616600  71.04
2013-11-26  70.54  71.07  70.44  70.71  836200  70.71
2013-11-25  70.27  70.83  70.26  70.57  597900  70.57
2013-11-22  70.1  70.37  69.11  70.14  900500  70.14
2013-11-21  69.62  70.27  69.37  70.19  885900  70.19
2013-11-20  69.78  70.18  69.29  69.42  942100  69.42
2013-11-19  70.11  70.33  69.1  69.38  758700  69.38
2013-11-18  70.49  70.71  69.81  70.06  638000  70.06
2013-11-15  70.07  70.51  69.69  70.25  1199400  70.25
2013-11-14  68.55  69.58  68.35  69.52  792500  69.52
2013-11-13  67.47  68.25  67.31  68.23  795100  68.23
2013-11-12  67.61  68.18  67.39  67.83  619600  67.83
2013-11-11  67.2  67.81  67.1  67.68  1198700  67.68
2013-11-08  66.11  67.16  66.09  67.14  1106500  67.14
2013-11-07  68.09  68.26  66.03  66.13  833100  66.13
2013-11-06  68.13  68.32  67.47  67.8  585300  67.8
2013-11-05  67.38  68.27  66.74  67.94  854300  67.94
2013-11-04  67.45  67.83  67.21  67.63  587000  67.63
2013-11-01  67.16  67.64  66.61  67.26  798600  67.26
2013-10-31  67.14  67.35  66.34  66.87  933400  66.87
2013-10-30  67.28  67.73  66.73  66.93  879600  66.93
2013-10-29  66.33  67.5  66.18  67.42  1002400  67.42
2013-10-28  66.32  66.58  66.05  66.16  815000  66.16
2013-10-25  65.54  66.49  65.37  66.46  1054100  66.46
2013-10-24  65.0  65.75  64.78  65.57  1124800  65.57
2013-10-23  64.22  64.95  63.59  64.9  1699300  64.9
2013-10-22  64.54  64.66  62.35  64.22  2864300  64.22
2013-10-21  65.04  65.36  64.85  65.24  1332900  65.24
2013-10-18  64.5  65.0  64.13  64.78  2055500  64.78
2013-10-17  64.29  64.39  63.72  64.1  1490600  64.1
2013-10-16  64.68  65.2  64.14  64.7  1083900  64.7
2013-10-15  65.32  65.52  64.1  64.28  875500  64.28
2013-10-14  65.57  65.79  64.98  65.52  896500  65.52
2013-10-11  64.89  66.13  64.79  65.92  514200  65.92
2013-10-10  64.21  64.96  64.04  64.96  734700  64.96
2013-10-09  63.53  63.87  62.89  63.35  667900  63.35
2013-10-08  64.66  65.2  63.33  63.38  861100  63.38
2013-10-07  64.69  65.33  64.55  64.79  731500  64.79
2013-10-04  65.1  66.09  64.83  65.84  720000  65.84
2013-10-03  65.55  65.83  64.4  65.12  732600  65.12
2013-10-02  64.96  65.84  64.64  65.8  944900  65.8
2013-10-01  64.27  65.64  64.27  65.51  962100  65.51
2013-09-30  64.57  64.93  64.32  64.48  1001900  64.48
2013-09-27  64.97  65.29  64.7  65.06  500600  65.06
2013-09-26  65.16  65.48  64.75  65.45  586200  65.45
2013-09-25  64.72  65.28  64.45  65.04  993900  65.04
2013-09-24  64.14  65.09  63.99  64.62  878800  64.62
2013-09-23  65.16  65.21  63.89  64.21  1015200  64.21
2013-09-20  64.92  66.02  64.92  65.35  2764400  65.35
2013-09-19  64.92  65.65  64.92  64.97  884900  64.97
2013-09-18  64.09  64.87  63.63  64.67  739300  64.67
2013-09-17  63.8  64.27  63.61  64.12  410100  64.12
2013-09-16  64.63  64.72  63.8  63.9  384800  63.9
2013-09-13  63.85  63.9  63.37  63.64  575500  63.64
2013-09-12  63.89  64.22  63.38  63.66  672300  63.66
2013-09-11  63.82  64.03  63.29  63.99  532100  63.99
2013-09-10  62.75  63.9  62.59  63.87  623300  63.87
2013-09-09  61.52  62.42  61.5  62.36  399000  62.36
2013-09-06  61.96  62.05  60.71  61.2  663300  61.2
2013-09-05  61.1  61.9  60.87  61.8  775600  61.8
2013-09-04  60.33  61.33  60.12  61.19  663900  61.19
2013-09-03  60.69  60.95  59.94  60.2  787800  60.2
2013-08-30  60.58  60.76  59.55  59.69  655000  59.69
2013-08-29  59.94  61.07  59.88  60.55  678500  60.55
2013-08-28  59.95  60.44  59.46  60.15  645100  60.15
2013-08-27  60.41  60.74  59.9  59.96  715300  59.96
2013-08-26  61.29  61.75  61.09  61.21  578200  61.21
2013-08-23  61.79  61.88  61.05  61.33  463400  61.33
2013-08-22  60.96  61.82  60.96  61.67  388200  61.67
2013-08-21  61.38  61.72  60.78  60.81  529200  60.81
2013-08-20  61.25  61.77  61.02  61.48  509500  61.48
2013-08-19  61.66  61.78  61.19  61.25  571100  61.25
2013-08-16  61.81  62.03  61.53  61.67  998700  61.67
2013-08-15  62.41  62.44  61.74  61.99  952700  61.99
2013-08-14  63.82  64.42  62.95  63.01  919200  63.01
2013-08-13  63.55  63.92  63.25  63.72  727300  63.72
2013-08-12  62.72  63.47  62.72  63.41  654900  63.41
2013-08-09  62.97  63.41  62.39  62.98  729900  62.98
2013-08-08  63.06  63.32  62.73  63.16  833400  63.16
2013-08-07  62.57  62.9  62.07  62.81  895500  62.81
2013-08-06  62.46  62.9  62.35  62.78  910800  62.78
2013-08-05  62.11  62.76  61.97  62.76  794600  62.76
2013-08-02  61.9  62.09  61.38  62.09  590600  62.09
2013-08-01  61.07  62.35  61.07  62.02  883200  62.02
2013-07-31  60.61  61.23  60.33  60.65  1364300  60.65
2013-07-30  60.03  60.66  59.42  60.45  1162500  60.45
2013-07-29  60.07  60.32  59.48  59.93  733800  59.93
2013-07-26  59.93  60.23  59.59  60.2  1270300  60.2
2013-07-25  59.51  60.38  59.23  60.36  679700  60.36
2013-07-24  59.62  60.02  59.28  59.46  1340700  59.46
2013-07-23  58.85  60.79  58.64  59.25  1406200  59.25
2013-07-22  60.28  61.06  59.7  59.75  1075400  59.75
2013-07-19  59.84  60.3  59.47  60.06  1214700  60.06
2013-07-18  59.84  59.87  59.3  59.77  958000  59.77
2013-07-17  59.8  60.1  59.38  59.55  661100  59.55
2013-07-16  60.29  60.79  59.49  59.52  863000  59.52
2013-07-15  60.52  60.63  59.6  60.2  1322000  60.2
2013-07-12  59.77  60.3  59.41  60.29  858900  60.29
2013-07-11  59.1  60.09  58.54  59.97  1379600  59.97
