Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  55.29  55.99  55.21  55.65  975500  55.65
2014-02-27  55.04  55.29  54.8  55.27  1344200  55.27
2014-02-26  55.39  55.47  55.01  55.24  1082600  55.24
2014-02-25  54.38  55.38  54.34  55.14  1682800  55.14
2014-02-24  54.69  55.45  54.42  54.44  954600  54.44
2014-02-21  54.4  55.43  54.4  54.73  1326300  54.73
2014-02-20  54.37  55.22  54.37  55.1  796000  55.1
2014-02-19  54.62  54.95  54.32  54.36  989500  54.36
2014-02-18  54.6  54.85  54.35  54.84  1020800  54.84
2014-02-14  53.91  54.41  53.78  54.39  1399700  54.39
2014-02-13  53.52  54.11  53.51  54.02  1585300  54.02
2014-02-12  53.78  54.03  53.64  53.78  861100  53.78
2014-02-11  53.02  53.96  52.92  53.78  929000  53.78
2014-02-10  52.59  53.19  52.36  53.07  741200  53.07
2014-02-07  52.24  52.86  52.19  52.76  1061300  52.76
2014-02-06  51.39  52.17  51.3  52.11  873100  52.11
2014-02-05  51.64  51.66  51.17  51.41  819900  51.41
2014-02-04  51.89  52.02  51.2  51.63  1522800  51.63
2014-02-03  52.63  53.21  51.15  51.28  1851700  51.28
2014-01-31  51.76  52.73  51.71  52.63  1092000  52.63
2014-01-30  51.45  52.26  51.37  52.2  850500  52.2
2014-01-29  51.38  51.59  51.0  51.15  934500  51.15
2014-01-28  51.46  51.55  51.18  51.42  818500  51.42
2014-01-27  51.47  51.69  51.33  51.33  649900  51.33
2014-01-24  51.87  52.24  51.44  51.44  734900  51.44
2014-01-23  52.42  52.44  51.78  52.07  1160400  52.07
2014-01-22  52.53  52.72  52.38  52.59  455600  52.59
2014-01-21  51.93  52.55  51.83  52.38  584000  52.38
2014-01-17  52.1  52.27  51.72  51.81  866800  51.81
2014-01-16  52.02  52.26  51.92  52.22  608400  52.22
2014-01-15  52.4  52.47  51.95  51.98  659100  51.98
2014-01-14  52.42  52.67  52.05  52.18  740800  52.18
2014-01-13  52.83  53.19  52.3  52.39  808800  52.39
2014-01-10  52.17  53.21  52.17  52.69  770600  52.69
2014-01-09  51.76  52.06  51.48  51.94  908600  51.94
2014-01-08  51.85  51.85  51.37  51.53  925300  51.53
2014-01-07  51.45  51.93  51.43  51.85  851100  51.85
2014-01-06  51.58  51.61  51.32  51.46  993300  51.46
2014-01-03  51.62  51.8  51.27  51.5  861300  51.5
2014-01-02  52.42  52.42  51.47  51.48  1210500  51.48
2013-12-31  52.52  52.59  52.13  52.34  818800  52.34
2013-12-30  52.53  52.79  52.24  52.43  625100  52.43
2013-12-27  52.72  52.81  52.39  52.67  538900  52.67
2013-12-26  52.6  52.71  52.32  52.42  564400  52.42
2013-12-24  52.39  52.87  52.25  52.62  236200  52.62
2013-12-23  52.83  52.9  52.41  52.5  964300  52.5
2013-12-20  52.65  52.95  52.27  52.5  2371900  52.5
2013-12-19  52.94  53.1  52.07  52.52  879500  52.52
2013-12-18  52.29  53.2  51.75  53.19  1450400  53.19
2013-12-17  52.6  52.7  52.2  52.3  1028600  52.3
2013-12-16  52.55  53.01  52.26  52.64  730600  52.64
2013-12-13  52.28  52.76  52.09  52.22  660200  52.22
2013-12-12  52.08  52.8  52.02  52.21  1395800  52.21
2013-12-11  52.19  52.41  51.83  51.97  894900  51.97
2013-12-10  52.75  53.11  52.15  52.29  1600100  52.29
2013-12-09  53.21  53.26  52.66  52.76  996100  52.76
2013-12-06  52.73  53.38  52.58  53.27  595700  53.27
2013-12-05  52.59  52.59  52.1  52.5  940700  52.5
2013-12-04  52.14  52.77  51.98  52.66  1348200  52.66
2013-12-03  52.39  52.5  51.87  52.46  1489200  52.46
2013-12-02  52.75  52.96  52.18  52.43  842300  52.43
2013-11-29  52.63  53.14  52.41  52.77  473500  52.77
2013-11-27  52.5  52.73  52.23  52.56  614500  52.56
2013-11-26  53.45  53.48  52.53  52.53  1188300  52.53
2013-11-25  53.76  54.01  53.31  53.36  710200  53.36
2013-11-22  53.85  54.07  53.59  53.72  774700  53.72
2013-11-21  53.6  54.16  53.39  53.94  755300  53.94
2013-11-20  54.08  54.09  53.4  53.43  850100  53.43
2013-11-19  54.58  54.75  53.89  54.1  873900  54.1
2013-11-18  54.93  54.93  54.39  54.79  937000  54.79
2013-11-15  54.72  55.02  53.69  54.99  2499800  54.99
2013-11-14  54.06  55.29  54.01  55.11  1407900  55.11
2013-11-13  53.7  53.92  53.34  53.73  1416200  53.73
2013-11-12  54.63  54.63  53.98  54.07  843500  54.07
2013-11-11  55.12  55.49  54.47  54.68  826700  54.68
2013-11-08  54.86  55.22  54.2  55.12  1080700  55.12
2013-11-07  55.6  55.85  54.85  55.05  1053100  55.05
