Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  20.6  20.62  20.15  20.39  4119900  20.39
2014-02-27  20.6  20.65  20.36  20.43  2802100  20.43
2014-02-26  20.8  20.82  20.6  20.62  1363300  20.62
2014-02-25  20.64  20.9  20.58  20.73  2587600  20.73
2014-02-24  20.7  20.93  20.62  20.62  1483400  20.62
2014-02-21  20.62  20.78  20.52  20.67  2105300  20.67
2014-02-20  20.46  20.63  20.33  20.56  2527500  20.56
2014-02-19  20.62  20.74  20.45  20.49  1599700  20.49
2014-02-18  20.56  20.74  20.54  20.68  1494100  20.68
2014-02-14  20.31  20.6  20.28  20.58  2284500  20.58
2014-02-13  20.0  20.35  19.97  20.34  1488100  20.34
2014-02-12  20.04  20.08  19.95  20.07  1584900  20.07
2014-02-11  19.7  20.1  19.65  20.09  2997500  20.09
2014-02-10  19.4  19.76  19.26  19.75  2455300  19.75
2014-02-07  19.31  19.46  19.24  19.44  1453200  19.44
2014-02-06  18.99  19.23  18.99  19.22  1480100  19.22
2014-02-05  19.09  19.14  18.96  18.99  1265400  18.99
2014-02-04  19.35  19.36  19.01  19.12  1473300  19.12
2014-02-03  19.46  19.76  19.19  19.23  2492600  19.23
2014-01-31  19.13  19.51  19.12  19.43  2185400  19.43
2014-01-30  19.09  19.36  19.09  19.31  1423700  19.31
2014-01-29  19.0  19.24  18.93  19.05  2060500  19.05
2014-01-28  18.93  19.11  18.93  19.09  2086000  19.09
2014-01-27  18.71  19.01  18.7  18.91  3090300  18.91
2014-01-24  18.9  19.01  18.68  18.68  1849400  18.68
2014-01-23  19.02  19.1  18.83  18.95  1499800  18.95
2014-01-22  19.02  19.15  19.01  19.08  1402700  19.08
2014-01-21  18.76  19.06  18.76  19.02  1934500  19.02
2014-01-17  18.74  18.75  18.6  18.66  1749700  18.66
2014-01-16  18.66  18.71  18.57  18.7  1470900  18.7
2014-01-15  18.71  18.79  18.6  18.64  1391100  18.64
2014-01-14  18.8  18.86  18.68  18.73  1718200  18.73
2014-01-13  18.98  19.0  18.71  18.79  2176500  18.79
2014-01-10  19.04  19.24  18.97  19.03  2936100  19.03
2014-01-09  18.79  18.92  18.73  18.91  1930000  18.91
2014-01-08  18.82  18.86  18.69  18.78  2640500  18.78
2014-01-07  18.61  18.92  18.59  18.87  2330100  18.87
2014-01-06  18.67  18.7  18.53  18.58  2163700  18.58
2014-01-03  18.82  18.88  18.57  18.68  1539500  18.68
2014-01-02  19.07  19.13  18.68  18.82  2199300  18.82
2013-12-31  19.14  19.18  19.06  19.13  2104900  19.13
2013-12-30  18.9  19.16  18.9  19.08  1775900  19.08
2013-12-27  18.9  19.0  18.84  18.93  1188000  18.93
2013-12-26  19.04  19.07  18.8  18.95  1374700  18.95
2013-12-24  18.87  19.07  18.79  19.0  1041400  19.0
2013-12-23  18.97  19.05  18.88  18.93  2472900  18.93
2013-12-20  18.65  18.93  18.65  18.91  2426700  18.91
2013-12-19  18.82  18.84  18.51  18.62  1553600  18.62
2013-12-18  18.64  18.9  18.55  18.86  3238800  18.86
2013-12-17  18.69  18.7  18.5  18.61  1690600  18.61
2013-12-16  18.64  18.82  18.59  18.73  2392100  18.73
2013-12-13  18.64  18.74  18.5  18.58  1268200  18.58
2013-12-12  18.59  18.81  18.58  18.64  2236200  18.64
2013-12-11  18.75  18.78  18.6  18.63  2369300  18.63
2013-12-10  19.0  19.03  18.7  18.75  2804100  18.75
2013-12-09  19.07  19.13  18.94  19.0  1834500  19.0
2013-12-06  18.91  19.2  18.86  19.08  2308900  19.08
2013-12-05  18.81  18.98  18.71  18.86  2455700  18.86
2013-12-04  18.71  18.84  18.58  18.82  2539900  18.82
2013-12-03  18.63  18.8  18.58  18.8  1907300  18.8
2013-12-02  18.85  18.92  18.67  18.69  2589200  18.69
2013-11-29  18.69  18.96  18.69  18.81  1149000  18.81
2013-11-27  18.56  18.77  18.5  18.76  1879900  18.76
2013-11-26  18.78  18.79  18.56  18.58  1882000  18.58
2013-11-25  18.95  18.98  18.76  18.78  1535700  18.78
2013-11-22  18.93  19.0  18.85  18.93  1102100  18.93
2013-11-21  18.91  19.05  18.75  18.93  1606200  18.93
2013-11-20  19.04  19.12  18.82  18.83  1239900  18.83
2013-11-19  19.0  19.08  18.96  19.03  1124400  19.03
2013-11-18  19.19  19.19  18.98  19.04  1400900  19.04
2013-11-15  18.91  19.11  18.82  19.11  2235500  19.11
2013-11-14  18.87  19.08  18.81  18.98  1598800  18.98
2013-11-13  18.55  18.82  18.48  18.81  2973300  18.81
2013-11-12  18.81  18.83  18.55  18.67  2321000  18.67
2013-11-11  18.95  19.04  18.77  18.85  1402400  18.85
2013-11-08  18.94  18.94  18.63  18.92  2807400  18.92
2013-11-07  19.07  19.22  18.87  18.91  2072600  18.91
2013-11-06  18.85  19.13  18.84  19.07  2415100  19.07
2013-11-05  19.03  19.12  18.9  18.9  2658500  18.9
2013-11-04  19.13  19.17  18.95  19.08  1255800  19.08
2013-11-01  19.05  19.23  18.93  19.07  1947100  19.07
2013-10-31  19.08  19.09  18.72  19.01  2237100  19.01
2013-10-30  19.21  19.33  19.05  19.05  1924800  19.05
2013-10-29  19.22  19.25  19.08  19.21  1135700  19.21
2013-10-28  19.22  19.34  19.09  19.2  1787200  19.2
2013-10-25  18.97  19.24  18.91  19.22  1317500  19.22
2013-10-24  19.12  19.13  18.92  19.02  777900  19.02
2013-10-23  19.09  19.24  19.0  19.09  1797400  19.09
2013-10-22  18.77  19.35  18.65  19.15  3544600  19.15
2013-10-21  18.67  18.74  18.55  18.72  1335700  18.72
2013-10-18  18.77  18.81  18.63  18.71  1690500  18.71
2013-10-17  18.29  18.67  18.17  18.64  1216800  18.64
2013-10-16  18.22  18.34  18.13  18.34  1258900  18.34
2013-10-15  18.26  18.31  18.08  18.1  1371800  18.1
2013-10-14  18.37  18.39  18.08  18.29  2048300  18.29
2013-10-11  18.46  18.53  18.38  18.48  1047400  18.48
2013-10-10  18.32  18.49  18.09  18.45  1323000  18.45
2013-10-09  18.15  18.46  18.1  18.21  1631600  18.21
2013-10-08  18.03  18.24  18.0  18.08  4542700  18.08
2013-10-07  17.94  18.2  17.93  18.04  1590700  18.04
2013-10-04  18.02  18.06  17.94  18.02  1362000  18.02
2013-10-03  18.13  18.16  17.94  18.01  2635100  18.01
2013-10-02  18.21  18.28  18.07  18.18  2359300  18.18
2013-10-01  18.28  18.41  18.22  18.29  2303400  18.29
2013-09-30  18.17  18.32  18.15  18.2  2190600  18.2
2013-09-27  18.1  18.22  18.02  18.19  2213500  18.19
2013-09-26  18.27  18.41  18.15  18.19  1078100  18.19
2013-09-25  18.48  18.54  18.28  18.28  1277000  18.28
2013-09-24  18.39  18.5  18.32  18.46  1686500  18.46
2013-09-23  18.24  18.56  18.15  18.41  1916100  18.41
2013-09-20  18.54  18.55  18.24  18.25  4023200  18.25
2013-09-19  18.53  18.61  18.42  18.5  2911300  18.5
2013-09-18  17.95  18.53  17.92  18.53  3542500  18.53
2013-09-17  17.93  18.06  17.9  17.98  1441000  17.98
2013-09-16  18.1  18.19  17.85  17.89  1959500  17.89
2013-09-13  17.83  18.04  17.82  17.91  1652000  17.91
2013-09-12  17.96  18.08  17.78  17.81  2830600  17.81
2013-09-11  18.05  18.08  17.8  17.9  2513000  17.9
2013-09-10  18.06  18.1  17.96  18.05  2755000  18.05
2013-09-09  17.9  18.08  17.79  18.03  2196700  18.03
2013-09-06  17.92  18.15  17.84  17.87  2089000  17.87
2013-09-05  17.99  18.04  17.83  17.86  2110900  17.86
2013-09-04  18.08  18.16  17.89  18.0  2461800  18.0
2013-09-03  18.57  18.57  18.03  18.07  2699800  18.07
2013-08-30  18.43  18.54  18.33  18.4  1890800  18.4
2013-08-29  18.54  18.57  18.36  18.4  1648900  18.4
2013-08-28  18.47  18.63  18.39  18.59  2298500  18.59
2013-08-27  18.35  18.6  18.33  18.45  2386500  18.45
2013-08-26  18.59  18.62  18.41  18.45  1339500  18.45
2013-08-23  18.4  18.66  18.36  18.58  5023700  18.58
2013-08-22  18.3  18.43  18.23  18.36  5548200  18.36
2013-08-21  18.55  18.6  18.21  18.3  1976600  18.3
2013-08-20  18.57  18.78  18.48  18.58  4903600  18.58
2013-08-19  18.65  18.74  18.39  18.55  2127400  18.55
2013-08-16  18.86  18.91  18.53  18.67  2020400  18.67
2013-08-15  19.02  19.12  18.86  18.92  1395500  18.92
2013-08-14  19.17  19.4  19.1  19.2  1941400  19.2
2013-08-13  19.63  19.65  19.43  19.48  1027500  19.48
2013-08-12  19.7  19.77  19.55  19.62  1596300  19.62
2013-08-09  19.96  19.98  19.77  19.79  1037000  19.79
2013-08-08  19.85  20.03  19.75  19.99  1386100  19.99
2013-08-07  19.63  19.97  19.63  19.83  1627800  19.83
2013-08-06  19.89  19.92  19.68  19.7  1331500  19.7
2013-08-05  19.95  20.01  19.88  19.93  800600  19.93
2013-08-02  20.15  20.15  19.91  20.02  970100  20.02
2013-08-01  19.99  20.12  19.91  20.08  1231300  20.08
2013-07-31  20.12  20.15  19.83  19.96  1978800  19.96
2013-07-30  19.99  20.3  19.99  20.16  1696500  20.16
2013-07-29  19.83  20.08  19.78  19.95  1410000  19.95
2013-07-26  19.67  19.86  19.57  19.84  1224400  19.84
2013-07-25  19.51  19.75  19.51  19.73  1424400  19.73
2013-07-24  19.85  19.88  19.49  19.54  1044100  19.54
2013-07-23  19.75  19.9  19.67  19.89  1910900  19.89
2013-07-22  19.76  19.86  19.72  19.74  1025600  19.74
2013-07-19  19.94  19.97  19.77  19.8  1375300  19.8
2013-07-18  19.82  19.98  19.8  19.98  1023400  19.98
2013-07-17  19.9  19.92  19.69  19.79  1665300  19.79
2013-07-16  19.86  19.91  19.64  19.81  2536600  19.81
2013-07-15  19.63  19.86  19.54  19.85  2285000  19.85
2013-07-12  19.69  19.77  19.5  19.66  2703600  19.66
2013-07-11  19.55  19.73  19.45  19.67  5099500  19.67
2013-07-10  19.05  19.44  18.98  19.34  2997100  19.34
2013-07-09  19.04  19.16  19.0  19.04  5633000  19.04
2013-07-08  18.92  19.05  18.84  18.98  5538800  18.98
2013-07-05  18.97  19.0  18.65  18.83  3013200  18.83
2013-07-03  19.01  19.04  18.85  18.92  2059500  18.92
2013-07-02  19.25  19.34  18.98  19.07  7782300  19.07
2013-07-01  19.7  19.72  19.19  19.25  2750500  19.25
2013-06-28  19.63  19.69  19.37  19.58  2285900  19.58
2013-06-27  19.73  19.86  19.55  19.63  1552300  19.63
2013-06-26  19.49  19.69  19.42  19.61  1256400  19.61
2013-06-25  19.34  19.4  19.18  19.34  1800300  19.34
2013-06-24  19.19  19.32  18.97  19.17  2479400  19.17
2013-06-21  18.96  19.49  18.8  19.31  3764700  19.31
2013-06-20  19.2  19.23  18.81  18.86  2858700  18.86
2013-06-19  19.76  19.83  19.32  19.32  2245400  19.32
2013-06-18  19.69  19.83  19.63  19.78  1407400  19.78
2013-06-17  19.79  19.86  19.56  19.69  1261000  19.69
2013-06-14  19.73  19.86  19.64  19.7  1280400  19.7
2013-06-13  19.43  19.77  19.29  19.72  1972900  19.72
2013-06-12  19.73  19.79  19.39  19.45  1962200  19.45
2013-06-11  19.74  19.86  19.6  19.61  2603300  19.61
2013-06-10  20.05  20.08  19.79  19.9  1687800  19.9
2013-06-07  20.0  20.15  19.73  20.03  2152900  20.03
2013-06-06  19.77  19.94  19.54  19.94  2937800  19.94
2013-06-05  19.9  19.9  19.6  19.7  2567300  19.7
2013-06-04  19.96  20.0  19.72  19.88  3009100  19.88
2013-06-03  19.92  20.13  19.63  19.97  2877100  19.97
2013-05-31  20.1  20.3  19.91  19.91  2017200  19.91
2013-05-30  20.1  20.42  20.1  20.15  2164800  20.15
2013-05-29  20.29  20.32  19.78  19.99  2639500  19.99
2013-05-28  20.41  20.51  20.28  20.4  2386800  20.4
2013-05-24  20.45  20.49  20.26  20.35  1298400  20.35
2013-05-23  20.75  20.77  20.19  20.54  2815100  20.54
2013-05-22  21.35  21.56  20.77  20.9  2235700  20.9
2013-05-21  21.14  21.39  21.08  21.37  1837400  21.37
2013-05-20  21.14  21.18  21.02  21.09  946900  21.09
2013-05-17  21.02  21.22  20.9  21.14  1841100  21.14
2013-05-16  21.22  21.22  20.94  21.0  1691300  21.0
2013-05-15  21.02  21.28  20.94  21.23  2620800  21.23
2013-05-14  20.83  21.14  20.78  21.07  2296700  21.07
