Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  32.1  32.32  32.02  32.29  3713200  32.29
2014-02-27  32.15  32.2  31.87  31.96  3871300  31.96
2014-02-26  31.98  32.19  31.92  32.14  4150000  32.14
2014-02-25  31.84  32.17  31.77  31.91  3684500  31.91
2014-02-24  31.91  32.14  31.8  31.81  3769500  31.81
2014-02-21  31.87  32.06  31.77  31.8  3096100  31.8
2014-02-20  31.64  31.92  31.62  31.79  3602700  31.79
2014-02-19  31.72  31.89  31.52  31.61  2783800  31.61
2014-02-18  31.67  31.89  31.59  31.78  3055800  31.78
2014-02-14  31.29  31.52  31.26  31.52  2756700  31.52
2014-02-13  30.98  31.42  30.97  31.37  3033000  31.37
2014-02-12  30.98  31.15  30.85  31.09  2565900  31.09
2014-02-11  30.7  31.17  30.7  31.08  4112200  31.08
2014-02-10  30.32  30.75  30.16  30.74  4019500  30.74
2014-02-07  30.34  30.42  30.16  30.34  5070200  30.34
2014-02-06  30.3  30.51  30.14  30.29  6233800  30.29
2014-02-05  30.23  30.28  30.04  30.11  3206400  30.11
2014-02-04  30.58  30.6  30.1  30.3  4714900  30.3
2014-02-03  30.9  30.92  30.41  30.49  5781500  30.49
2014-01-31  30.14  30.63  30.07  30.57  5802900  30.57
2014-01-30  30.13  30.46  30.0  30.39  3757300  30.39
2014-01-29  30.05  30.26  29.87  30.07  5098200  30.07
2014-01-28  29.8  30.1  29.72  30.06  4429000  30.06
2014-01-27  29.88  29.93  29.71  29.75  3256300  29.75
2014-01-24  30.05  30.37  29.86  29.87  3577700  29.87
2014-01-23  30.12  30.21  29.88  30.16  3415200  30.16
2014-01-22  29.91  30.2  29.84  30.15  4289900  30.15
2014-01-21  29.89  29.9  29.54  29.87  3750200  29.87
2014-01-17  29.94  29.98  29.59  29.59  4622600  29.59
2014-01-16  29.74  29.91  29.67  29.86  3883100  29.86
2014-01-15  30.01  30.07  29.68  29.69  6258500  29.69
2014-01-14  30.14  30.25  30.0  30.04  3381600  30.04
2014-01-13  30.15  30.31  29.98  30.14  3993300  30.14
2014-01-10  29.9  30.34  29.89  30.29  4977100  30.29
2014-01-09  29.7  29.77  29.58  29.7  5216700  29.7
2014-01-08  29.81  29.85  29.52  29.65  4464100  29.65
2014-01-07  29.78  29.94  29.65  29.92  4239000  29.92
2014-01-06  29.8  29.88  29.64  29.75  4406000  29.75
2014-01-03  30.02  30.06  29.4  29.62  4209500  29.62
2014-01-02  30.13  30.13  29.64  29.65  4664000  29.65
