Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  166.56  168.39  161.58  164.44  2114700  164.44
2014-02-27  163.14  166.36  162.53  166.32  1278600  166.32
2014-02-26  161.42  166.75  161.0  162.96  1409700  162.96
2014-02-25  160.39  161.83  159.3  161.04  818600  161.04
2014-02-24  158.77  160.9  158.33  160.41  881500  160.41
2014-02-21  160.11  160.93  158.31  158.96  1554400  158.96
2014-02-20  155.01  161.41  154.44  160.93  1546600  160.93
2014-02-19  155.85  157.28  154.39  154.62  892200  154.62
2014-02-18  150.48  156.28  150.43  156.04  1520400  156.04
2014-02-14  150.86  151.85  148.76  149.18  930200  149.18
2014-02-13  148.85  150.8  148.31  150.66  1450800  150.66
2014-02-12  147.56  149.04  147.3  148.77  1012800  148.77
2014-02-11  147.32  147.77  145.81  147.73  1060000  147.73
2014-02-10  145.63  147.56  144.73  147.22  1914600  147.22
2014-02-07  146.4  146.4  144.58  145.65  2212600  145.65
2014-02-06  153.76  155.11  144.36  146.39  3765100  146.39
2014-02-05  155.54  155.65  151.81  153.18  1549100  153.18
2014-02-04  152.55  156.05  152.38  155.69  1187700  155.69
2014-02-03  154.92  155.25  151.43  151.97  1062500  151.97
2014-01-31  154.63  156.59  151.94  155.56  785000  155.56
2014-01-30  153.67  156.08  153.1  155.8  914300  155.8
2014-01-29  154.84  155.45  152.86  153.58  1159500  153.58
2014-01-28  153.81  157.06  153.81  156.95  803800  156.95
2014-01-27  152.79  154.46  151.03  153.22  1043000  153.22
2014-01-24  154.7  155.78  152.66  152.69  750800  152.69
2014-01-23  155.18  155.92  154.04  155.06  753400  155.06
2014-01-22  155.72  157.37  155.66  156.97  807000  156.97
2014-01-21  155.58  157.02  153.49  155.11  1436400  155.11
2014-01-17  157.24  158.74  155.73  155.93  1178000  155.93
2014-01-16  157.44  157.99  156.33  157.06  532300  157.06
2014-01-15  157.29  158.73  157.02  157.6  1035200  157.6
2014-01-14  159.97  160.54  155.67  157.91  2052100  157.91
2014-01-13  161.58  162.25  159.1  160.78  2046800  160.78
2014-01-10  158.72  161.65  157.89  161.59  1278900  161.59
2014-01-09  158.1  158.89  156.95  158.85  949200  158.85
2014-01-08  154.51  158.06  154.5  157.93  1720200  157.93
2014-01-07  154.63  155.23  153.61  154.48  1384600  154.48
2014-01-06  154.79  155.17  152.33  152.83  1029700  152.83
