Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  166.73  169.6  166.73  169.0  1315900  169.0
2014-02-27  167.24  168.43  165.79  166.54  680100  166.54
2014-02-26  166.44  168.68  165.85  167.11  929200  167.11
2014-02-25  166.75  168.74  166.6  167.66  776000  167.66
2014-02-24  166.57  167.82  166.57  166.7  868800  166.7
2014-02-21  166.54  167.49  164.52  166.44  1213100  166.44
2014-02-20  166.72  167.73  165.61  166.71  686100  166.71
2014-02-19  166.87  167.87  166.03  166.45  642700  166.45
2014-02-18  165.41  167.03  164.82  166.91  711500  166.91
2014-02-14  164.19  166.1  164.07  165.75  460800  165.75
2014-02-13  162.9  165.19  162.29  164.52  614700  164.52
2014-02-12  163.67  163.68  162.0  163.51  543200  163.51
2014-02-11  161.62  164.81  161.25  163.38  733200  163.38
2014-02-10  160.2  162.36  159.7  162.05  734300  162.05
2014-02-07  158.83  160.35  158.12  160.25  872700  160.25
2014-02-06  157.89  158.51  157.26  158.41  848500  158.41
2014-02-05  158.09  158.77  157.24  157.9  745100  157.9
2014-02-04  156.63  158.81  155.61  158.57  978800  158.57
2014-02-03  157.35  157.41  155.0  155.86  802500  155.86
2014-01-31  155.52  158.73  155.09  157.59  984300  157.59
2014-01-30  155.33  157.9  155.33  156.81  638700  156.81
2014-01-29  153.29  155.36  153.01  154.51  715000  154.51
2014-01-28  153.09  155.23  153.09  154.73  754000  154.73
2014-01-27  152.58  153.63  151.84  152.63  693200  152.63
2014-01-24  153.99  153.99  152.15  152.42  663100  152.42
2014-01-23  154.28  155.36  153.61  154.46  640500  154.46
2014-01-22  155.1  156.33  154.03  155.32  649300  155.32
2014-01-21  155.89  157.41  154.51  155.03  843900  155.03
2014-01-17  156.23  156.34  154.78  154.97  541400  154.97
2014-01-16  155.19  156.26  155.05  156.01  487600  156.01
2014-01-15  155.67  156.1  154.67  155.04  854900  155.04
2014-01-14  155.22  156.71  154.22  155.73  713500  155.73
2014-01-13  153.52  155.1  153.52  153.96  594700  153.96
2014-01-10  153.04  154.6  153.04  154.26  644400  154.26
2014-01-09  151.49  153.11  150.31  153.05  978800  153.05
2014-01-08  150.02  150.66  148.75  150.13  655900  150.13
2014-01-07  150.03  151.49  149.55  149.86  633100  149.86
2014-01-06  150.7  151.0  149.11  150.03  398100  150.03
2014-01-03  149.12  150.71  148.34  150.11  517900  150.11
2014-01-02  150.49  150.49  148.04  148.95  665500  148.95
2013-12-31  151.74  151.94  150.08  150.52  794400  150.52
2013-12-30  151.37  152.67  150.91  151.57  403500  151.57
2013-12-27  151.64  152.26  150.54  151.12  361800  151.12
2013-12-26  151.7  152.44  150.74  151.15  311100  151.15
2013-12-24  151.47  151.74  151.0  151.6  291500  151.6
2013-12-23  152.33  153.31  151.4  151.55  619400  151.55
2013-12-20  151.16  151.92  151.0  151.82  806000  151.82
2013-12-19  151.47  151.63  150.37  151.16  652600  151.16
2013-12-18  149.31  152.4  147.14  152.15  1036300  152.15
2013-12-17  149.84  150.29  148.25  149.52  867600  149.52
2013-12-16  150.64  151.59  149.48  151.01  917200  151.01
2013-12-13  150.09  152.07  149.38  149.54  749700  149.54
2013-12-12  150.33  151.13  149.67  149.71  835200  149.71
2013-12-11  153.61  153.64  150.47  150.55  1186500  150.55
2013-12-10  153.78  154.49  152.74  153.3  1107600  153.3
2013-12-09  152.61  153.95  151.99  153.8  910500  153.8
2013-12-06  151.03  152.83  150.58  152.61  859500  152.61
2013-12-05  150.56  151.15  149.21  149.78  600700  149.78
2013-12-04  147.68  151.73  147.17  150.56  1058000  150.56
2013-12-03  150.27  151.66  148.87  149.06  807300  149.06
2013-12-02  151.58  152.15  149.93  151.42  649500  151.42
2013-11-29  153.18  153.63  151.25  151.32  289800  151.32
2013-11-27  151.83  153.02  151.02  152.79  399900  152.79
2013-11-26  152.47  152.95  151.22  151.27  620300  151.27
2013-11-25  153.84  154.25  152.13  152.32  517500  152.32
2013-11-22  153.42  153.72  152.15  153.46  496100  153.46
2013-11-21  154.04  154.64  152.66  153.33  755100  153.33
2013-11-20  155.5  156.21  152.56  153.15  743200  153.15
2013-11-19  157.26  158.27  155.23  155.53  878300  155.53
2013-11-18  160.72  160.82  157.69  158.06  623700  158.06
2013-11-15  161.21  161.54  159.45  160.94  633500  160.94
2013-11-14  159.29  161.75  158.94  161.2  961400  161.2
