Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  35.01  35.52  34.86  35.21  1379000  35.21
2014-02-27  34.76  35.23  34.64  35.01  1531300  35.01
2014-02-26  34.5  35.29  34.49  34.76  2274500  34.76
2014-02-25  35.06  35.12  34.42  34.49  3048000  34.49
2014-02-24  34.57  35.18  34.56  34.78  2153300  34.78
2014-02-21  34.63  35.29  34.41  34.5  3171900  34.5
2014-02-20  33.99  35.35  33.89  34.54  7544900  34.54
2014-02-19  32.35  32.74  32.03  32.1  2036600  32.1
2014-02-18  32.0  32.42  31.87  32.35  1879300  32.35
2014-02-14  31.67  32.0  31.3  31.99  1478600  31.99
2014-02-13  31.35  31.79  31.21  31.77  901700  31.77
2014-02-12  31.54  31.73  31.47  31.62  1091000  31.62
2014-02-11  31.29  31.6  31.29  31.44  1167100  31.44
2014-02-10  31.16  31.34  30.91  31.32  1201400  31.32
2014-02-07  30.94  31.33  30.94  31.24  1271800  31.24
2014-02-06  30.7  30.91  30.59  30.71  1539100  30.71
2014-02-05  30.41  30.93  30.26  30.65  1303200  30.65
2014-02-04  30.18  30.7  29.85  30.6  1050000  30.6
2014-02-03  31.2  31.29  29.96  30.03  1584700  30.03
2014-01-31  30.58  31.77  30.42  31.17  2651800  31.17
2014-01-30  30.76  31.1  30.38  31.0  1150500  31.0
2014-01-29  30.6  30.91  30.4  30.46  1363600  30.46
2014-01-28  30.78  31.0  30.66  30.83  1181700  30.83
2014-01-27  31.06  31.12  30.31  30.72  1409500  30.72
2014-01-24  31.75  31.94  31.0  31.07  1908000  31.07
2014-01-23  31.94  32.06  31.67  32.02  1176700  32.02
2014-01-22  32.03  32.17  31.89  32.14  1086900  32.14
2014-01-21  31.9  31.99  31.46  31.97  1075300  31.97
2014-01-17  31.35  31.78  31.28  31.64  1175400  31.64
2014-01-16  31.46  31.53  31.16  31.36  1212000  31.36
2014-01-15  31.65  31.87  31.4  31.48  1347600  31.48
2014-01-14  31.44  31.65  31.14  31.57  1534300  31.57
2014-01-13  31.76  31.78  31.0  31.15  1380100  31.15
2014-01-10  31.84  32.22  31.68  31.7  1460800  31.7
2014-01-09  31.49  31.95  31.34  31.79  3052900  31.79
2014-01-08  31.29  31.5  31.0  31.32  2086000  31.32
2014-01-07  31.03  31.44  30.98  31.21  990300  31.21
2014-01-06  31.42  31.56  30.93  30.96  1270600  30.96
2014-01-03  31.29  31.44  31.15  31.35  951900  31.35
2014-01-02  31.37  31.57  31.25  31.29  959400  31.29
2013-12-31  31.32  31.6  31.27  31.56  885700  31.56
2013-12-30  31.32  31.41  31.16  31.21  999000  31.21
2013-12-27  31.41  31.54  31.23  31.33  734000  31.33
2013-12-26  31.2  31.43  31.15  31.29  653300  31.29
2013-12-24  31.03  31.27  30.95  31.16  542300  31.16
2013-12-23  30.86  31.05  30.67  31.0  1171200  31.0
2013-12-20  30.22  30.69  30.16  30.66  3743600  30.66
2013-12-19  30.35  30.38  30.06  30.28  2123000  30.28
2013-12-18  29.51  30.71  29.34  30.64  3395900  30.64
2013-12-17  28.99  29.19  28.86  29.17  1384900  29.17
2013-12-16  28.96  29.11  28.79  29.04  1003800  29.04
2013-12-13  28.83  28.89  28.58  28.73  997700  28.73
2013-12-12  29.04  29.07  28.62  28.82  1312100  28.82
2013-12-11  29.41  29.49  28.65  29.01  1979100  29.01
2013-12-10  29.52  29.79  29.35  29.38  1584500  29.38
2013-12-09  29.5  29.93  29.22  29.67  1491300  29.67
2013-12-06  30.03  31.0  29.52  29.54  2463900  29.54
2013-12-05  29.36  29.43  29.06  29.12  1185300  29.12
2013-12-04  29.24  29.64  29.09  29.36  1179300  29.36
2013-12-03  29.2  29.49  29.13  29.49  1224000  29.49
2013-12-02  29.55  29.75  29.23  29.37  976100  29.37
2013-11-29  29.71  29.75  29.51  29.61  677200  29.61
2013-11-27  29.57  29.87  29.57  29.62  824700  29.62
2013-11-26  29.51  29.65  29.32  29.49  863600  29.49
2013-11-25  29.14  29.56  29.05  29.4  1669900  29.4
2013-11-22  29.4  29.45  29.1  29.12  1593500  29.12
2013-11-21  29.47  29.49  29.12  29.36  1431600  29.36
2013-11-20  29.6  29.86  29.16  29.27  1226400  29.27
2013-11-19  29.66  29.8  29.3  29.46  1780800  29.46
2013-11-18  30.1  30.22  29.6  29.74  1563400  29.74
2013-11-15  30.13  30.38  29.98  30.02  1651500  30.02
2013-11-14  30.04  30.25  29.88  30.07  1327700  30.07
2013-11-13  29.6  30.08  29.57  29.96  1454000  29.96
2013-11-12  29.73  29.91  29.59  29.84  2119400  29.84
2013-11-11  29.9  30.0  29.67  29.84  1604200  29.84
2013-11-08  29.82  30.06  29.61  29.86  1986300  29.86
2013-11-07  30.36  30.45  29.76  29.87  2475000  29.87
2013-11-06  30.46  30.47  29.94  30.31  2110100  30.31
2013-11-05  30.51  30.51  30.2  30.27  1564100  30.27
2013-11-04  30.61  30.79  30.18  30.55  1698300  30.55
2013-11-01  30.23  30.89  30.15  30.59  3004400  30.59
2013-10-31  29.76  30.3  28.79  30.21  7170700  30.21
2013-10-30  29.65  29.9  29.42  29.77  3133200  29.77
2013-10-29  29.3  29.6  29.22  29.56  1824500  29.56
2013-10-28  29.17  29.43  28.95  29.22  1587800  29.22
2013-10-25  29.2  29.34  28.83  29.15  1349500  29.15
2013-10-24  29.19  29.38  29.14  29.22  956300  29.22
2013-10-23  29.15  29.26  28.8  29.18  1709300  29.18
2013-10-22  28.9  29.66  28.8  29.28  2253500  29.28
2013-10-21  28.7  28.82  28.45  28.72  953500  28.72
2013-10-18  28.77  28.81  28.4  28.75  1215400  28.75
2013-10-17  27.99  28.68  27.91  28.61  1159700  28.61
2013-10-16  28.03  28.18  27.89  28.08  1230900  28.08
2013-10-15  28.22  28.32  27.71  27.83  1036500  27.83
2013-10-14  28.2  28.41  27.93  28.37  1116500  28.37
2013-10-11  27.66  28.37  27.66  28.36  1440300  28.36
2013-10-10  27.38  27.7  27.19  27.68  1596100  27.68
2013-10-09  27.09  27.2  26.72  27.03  1547200  27.03
2013-10-08  27.45  27.56  26.94  27.05  1543000  27.05
2013-10-07  27.48  27.73  27.37  27.51  1002600  27.51
2013-10-04  27.69  27.88  27.6  27.8  876300  27.8
2013-10-03  27.92  27.94  27.33  27.74  1695500  27.74
2013-10-02  27.63  28.0  27.41  27.91  1391300  27.91
2013-10-01  27.41  28.12  27.41  27.81  1753100  27.81
2013-09-30  27.44  27.65  27.27  27.51  1609400  27.51
2013-09-27  27.99  28.14  27.48  27.64  3294600  27.64
2013-09-26  28.07  28.36  27.97  28.21  1946200  28.21
2013-09-25  27.63  28.18  27.5  27.99  2644900  27.99
