Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  129.96  131.15  129.8  130.37  1292200  130.37
2014-02-27  128.34  130.0  128.22  129.85  965500  129.85
2014-02-26  128.8  130.0  128.59  128.83  1222800  128.83
2014-02-25  127.65  129.26  127.2  128.8  1007000  128.8
2014-02-24  127.81  128.32  127.13  127.15  1602500  127.15
2014-02-21  128.26  128.87  127.76  128.07  1415300  128.07
2014-02-20  128.3  128.57  127.27  128.07  1101900  128.07
2014-02-19  129.73  130.07  127.98  128.15  1244900  128.15
2014-02-18  130.2  130.36  129.45  129.72  1356300  129.72
2014-02-14  129.35  130.5  129.05  129.81  1241100  129.81
2014-02-13  127.5  129.79  127.33  129.41  994300  129.41
2014-02-12  128.66  129.2  127.89  128.08  1013500  128.08
2014-02-11  127.69  128.69  127.2  128.43  1225100  128.43
2014-02-10  127.05  128.08  126.32  127.68  1097700  127.68
2014-02-07  125.09  127.17  124.51  127.06  1688800  127.06
2014-02-06  122.71  124.32  122.28  124.28  1342400  124.28
2014-02-05  121.43  122.97  121.22  122.71  1384600  122.71
2014-02-04  122.82  123.36  121.96  122.38  1354100  122.38
2014-02-03  124.87  125.78  121.27  121.51  2278400  121.51
2014-01-31  123.93  125.66  123.61  124.72  1794200  124.72
2014-01-30  126.89  127.26  125.25  125.49  1806800  125.49
2014-01-29  126.5  129.48  125.0  127.33  2654800  127.33
2014-01-28  125.95  126.59  125.45  125.7  1915200  125.7
2014-01-27  127.18  127.51  125.64  125.74  2671600  125.74
2014-01-24  130.48  130.48  126.95  126.97  2067100  126.97
2014-01-23  131.89  133.19  131.04  131.28  1602000  131.28
2014-01-22  133.51  133.59  132.72  133.21  717800  133.21
2014-01-21  133.41  134.23  132.22  133.21  771600  133.21
2014-01-17  132.25  133.36  132.25  132.44  1230000  132.44
2014-01-16  132.32  132.91  132.13  132.57  865600  132.57
2014-01-15  131.97  133.32  131.62  132.92  924700  132.92
2014-01-14  131.01  132.1  130.45  131.86  709600  131.86
2014-01-13  131.62  132.85  130.66  130.8  1246000  130.8
2014-01-10  131.0  132.55  130.97  132.49  1311500  132.49
2014-01-09  131.0  131.22  130.53  131.0  1665000  131.0
2014-01-08  130.04  131.0  129.38  130.93  1262500  130.93
2014-01-07  129.57  130.57  129.22  130.24  1183600  130.24
2014-01-06  130.0  130.15  129.22  129.49  1160100  129.49
2014-01-03  129.5  130.0  129.36  129.68  737600  129.68
2014-01-02  129.14  129.92  128.74  129.5  777700  129.5
2013-12-31  130.44  130.58  129.47  130.03  597600  130.03
2013-12-30  129.68  130.39  129.52  130.01  453100  130.01
2013-12-27  130.0  130.4  129.67  130.01  486500  130.01
2013-12-26  128.92  129.62  128.26  129.57  326800  129.57
2013-12-24  127.91  129.12  127.72  128.97  316900  128.97
2013-12-23  128.14  128.14  127.38  127.96  804800  127.96
2013-12-20  126.96  127.88  126.82  127.54  1055800  127.54
2013-12-19  126.23  127.17  125.69  127.15  1108700  127.15
2013-12-18  125.37  126.73  123.76  126.66  1133900  126.66
2013-12-17  125.0  125.75  124.8  125.24  930600  125.24
2013-12-16  124.6  125.73  124.5  125.02  1017400  125.02
2013-12-13  124.81  125.1  124.06  124.25  727200  124.25
2013-12-12  123.65  125.06  122.86  124.68  1218500  124.68
2013-12-11  125.68  126.11  123.95  124.12  1307700  124.12
2013-12-10  128.2  128.62  125.64  125.94  2042000  125.94
2013-12-09  125.93  125.98  124.69  125.41  1095100  125.41
2013-12-06  123.89  125.56  123.44  125.46  810100  125.46
2013-12-05  122.99  123.54  122.34  122.49  1217400  122.49
2013-12-04  122.79  123.98  122.39  123.62  822500  123.62
2013-12-03  123.53  124.45  122.98  123.64  1154700  123.64
2013-12-02  125.5  126.77  124.05  124.18  1161700  124.18
2013-11-29  125.89  126.48  125.35  125.65  568300  125.65
2013-11-27  125.21  126.25  125.09  125.97  512300  125.97
2013-11-26  125.4  125.64  124.99  125.46  1604800  125.46
2013-11-25  125.9  126.46  125.34  125.46  699700  125.46
2013-11-22  124.83  126.1  124.32  125.96  725600  125.96
