Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  195.05  204.17  195.0  201.18  2449300  201.18
2014-02-27  191.6  196.21  190.79  195.0  1216400  195.0
2014-02-26  193.6  194.5  190.93  191.83  1049500  191.83
2014-02-25  194.14  194.5  190.79  193.4  1664700  193.4
2014-02-24  188.65  197.53  188.17  194.74  2348000  194.74
2014-02-21  190.24  190.5  186.43  187.08  1442000  187.08
2014-02-20  187.72  191.25  187.61  189.6  2009400  189.6
2014-02-19  189.21  191.75  187.68  188.04  1586000  188.04
2014-02-18  186.72  190.99  182.71  189.88  1918900  189.88
2014-02-14  179.63  186.15  178.78  185.3  1798500  185.3
2014-02-13  179.0  181.38  177.89  179.5  1525000  179.5
2014-02-12  181.48  182.54  179.31  180.17  2242600  180.17
2014-02-11  181.4  185.29  177.19  180.66  5213500  180.66
2014-02-10  184.75  188.88  182.44  186.93  2981600  186.93
2014-02-07  181.54  185.87  180.76  185.06  2881800  185.06
2014-02-06  174.75  181.5  174.75  180.18  2215200  180.18
2014-02-05  171.83  175.24  169.37  174.95  2357000  174.95
2014-02-04  166.97  173.94  166.25  171.91  2341000  171.91
2014-02-03  169.36  172.24  164.1  165.21  2001900  165.21
2014-01-31  169.21  172.25  168.75  169.32  1029300  169.32
2014-01-30  169.23  174.51  169.23  172.39  1800800  172.39
2014-01-29  171.35  171.48  165.9  167.69  2918000  167.69
2014-01-28  171.78  175.02  171.06  174.49  1666000  174.49
2014-01-27  172.5  174.57  168.11  171.27  1739200  171.27
2014-01-24  177.82  178.36  172.73  172.73  1587100  172.73
2014-01-23  182.59  184.24  179.0  179.74  1452500  179.74
2014-01-22  180.04  184.17  177.83  183.99  1841600  183.99
2014-01-21  173.37  179.92  173.37  179.73  2310200  179.73
2014-01-17  178.46  179.6  174.08  174.7  2315900  174.7
2014-01-16  171.35  175.66  171.18  175.52  1371400  175.52
2014-01-15  172.26  175.24  171.27  172.96  1356600  172.96
2014-01-14  163.9  172.39  163.9  172.17  2001200  172.17
2014-01-13  169.31  170.5  164.46  164.78  1745600  164.78
2014-01-10  171.75  172.7  169.05  169.75  1430200  169.75
2014-01-09  175.41  176.73  167.85  171.52  2402600  171.52
2014-01-08  175.0  177.39  174.0  175.37  1264500  175.37
2014-01-07  174.91  177.29  174.33  175.17  1211100  175.17
2014-01-06  175.94  175.99  172.7  174.06  1358200  174.06
2014-01-03  176.32  178.33  173.9  176.05  1210800  176.05
2014-01-02  182.95  182.95  175.0  176.53  2083400  176.53
2013-12-31  181.55  184.43  180.82  184.07  1090300  184.07
2013-12-30  187.23  187.46  181.67  181.7  1352200  181.7
2013-12-27  186.35  187.98  183.5  187.58  1288800  187.58
2013-12-26  184.39  186.9  183.42  186.32  853500  186.32
2013-12-24  184.79  186.0  182.93  183.84  635500  183.84
2013-12-23  187.63  190.13  184.29  185.19  2202200  185.19
2013-12-20  188.67  190.8  187.01  187.29  2263000  187.29
2013-12-19  183.53  188.85  183.41  187.55  1877300  187.55
2013-12-18  183.61  184.17  180.35  183.95  1576500  183.95
2013-12-17  179.52  183.44  177.35  182.43  1610800  182.43
2013-12-16  179.51  181.6  177.68  179.52  1214300  179.52
2013-12-13  179.15  180.26  175.53  179.75  1160500  179.75
2013-12-12  177.27  180.13  176.75  179.08  1037600  179.08
2013-12-11  177.58  179.61  175.45  176.43  1556800  176.43
2013-12-10  177.68  183.75  176.9  178.66  1486700  178.66
2013-12-09  177.62  180.63  174.35  177.44  1933300  177.44
2013-12-06  185.55  186.02  176.3  177.21  2213600  177.21
2013-12-05  184.03  186.7  182.88  184.44  1213400  184.44
2013-12-04  180.51  185.99  180.5  185.27  1486700  185.27
2013-12-03  180.42  183.65  178.12  181.4  2484700  181.4
2013-12-02  178.0  178.84  174.92  178.11  1511500  178.11
2013-11-29  176.25  180.0  172.6  177.75  1418900  177.75
2013-11-27  181.41  184.25  177.56  178.91  1428200  178.91
2013-11-26  181.84  188.19  179.5  183.54  2410500  183.54
2013-11-25  182.36  183.46  175.29  181.04  3135100  181.04
2013-11-22  186.73  187.44  182.47  186.68  1112800  186.68
2013-11-21  182.84  189.12  181.11  186.72  1779900  186.72
2013-11-20  184.97  187.53  181.74  183.13  1494900  183.13
2013-11-19  186.81  186.85  181.65  183.4  2672300  183.4
2013-11-18  195.03  195.5  184.88  186.04  2084300  186.04
2013-11-15  196.26  196.49  192.62  194.55  1042600  194.55
2013-11-14  195.0  196.79  191.26  195.36  1735300  195.36
2013-11-13  186.15  195.98  185.35  195.44  3116700  195.44
2013-11-12  188.4  190.45  181.78  182.75  2465500  182.75
2013-11-11  189.43  191.4  187.5  188.38  1577200  188.38
2013-11-08  185.91  193.45  185.88  189.83  2721100  189.83
2013-11-07  199.13  200.3  184.06  186.16  6129700  186.16
2013-11-06  210.7  211.74  197.1  198.55  3672900  198.55
2013-11-05  219.82  221.2  208.12  210.36  3661100  210.36
2013-11-04  207.22  214.26  206.54  213.41  2365400  213.41
2013-11-01  205.2  206.89  200.1  205.29  1779500  205.29
2013-10-31  208.41  209.41  203.9  204.78  1264000  204.78
2013-10-30  213.0  216.61  205.36  208.9  1558100  208.9
2013-10-29  209.6  214.1  207.06  213.67  1738000  213.67
2013-10-28  211.15  211.2  205.69  206.87  1175900  206.87
2013-10-25  211.0  216.35  207.65  210.77  1430500  210.77
2013-10-24  202.2  210.49  199.61  209.88  1388100  209.88
2013-10-23  205.91  206.47  196.4  205.02  3635300  205.02
2013-10-22  221.89  222.9  208.43  208.51  3222900  208.51
2013-10-21  224.23  227.42  219.41  220.16  2244500  220.16
2013-10-18  221.06  225.1  216.67  224.95  2419600  224.95
2013-10-17  214.32  219.47  211.55  215.78  2508800  215.78
2013-10-16  206.5  214.48  205.52  211.86  2855500  211.86
2013-10-15  194.59  202.4  193.5  199.72  2585900  199.72
2013-10-14  193.0  196.06  190.67  195.01  962900  195.01
2013-10-11  191.3  197.9  191.25  195.0  1061300  195.0
2013-10-10  192.82  192.99  190.86  192.71  1235700  192.71
2013-10-09  192.65  193.6  188.2  190.01  1749000  190.01
2013-10-08  196.12  197.95  191.51  192.05  1570400  192.05
2013-10-07  198.88  199.69  195.94  196.02  1332800  196.02
2013-10-04  197.3  202.81  196.91  201.35  2351300  201.35
2013-10-03  195.37  197.84  192.17  197.03  1569500  197.03
2013-10-02  193.0  195.67  190.51  195.47  1242100  195.47
2013-10-01  189.34  195.87  189.06  194.46  1234500  194.46
2013-09-30  186.38  189.52  184.86  188.8  900200  188.8
2013-09-27  186.5  189.45  185.38  188.78  811900  188.78
2013-09-26  186.42  188.61  184.61  188.23  945100  188.23
2013-09-25  185.14  188.18  184.07  186.09  835700  186.09
2013-09-24  182.78  186.55  181.7  184.51  822500  184.51
2013-09-23  179.61  183.55  179.25  182.76  753300  182.76
2013-09-20  185.77  185.91  181.74  182.7  1218900  182.7
2013-09-19  187.18  189.29  184.89  185.77  809100  185.77
2013-09-18  184.91  189.2  184.24  187.53  1214900  187.53
2013-09-17  183.44  184.97  182.03  184.56  880000  184.56
2013-09-16  184.96  185.3  182.93  184.96  741000  184.96
2013-09-13  186.77  187.77  183.8  184.79  678600  184.79
2013-09-12  186.43  190.11  185.42  186.77  761000  186.77
2013-09-11  180.82  186.39  180.06  186.32  997300  186.32
2013-09-10  181.35  181.88  178.54  180.95  945300  180.95
2013-09-09  181.85  183.06  180.96  182.17  635900  182.17
2013-09-06  182.93  185.2  180.72  180.82  867300  180.82
2013-09-05  182.13  184.66  181.32  181.96  1076000  181.96
2013-09-04  179.67  182.66  178.48  181.96  1044400  181.96
2013-09-03  177.05  180.95  175.88  179.76  1405300  179.76
2013-08-30  173.74  175.43  173.46  174.93  1077900  174.93
2013-08-29  176.35  176.45  173.05  173.74  912200  173.74
2013-08-28  171.31  178.62  171.31  176.73  1187500  176.73
2013-08-27  171.96  174.61  170.89  171.06  652400  171.06
2013-08-26  172.42  175.77  171.68  172.92  927100  172.92
2013-08-23  170.26  172.56  168.73  172.16  583300  172.16
2013-08-22  168.0  171.21  167.15  170.3  420900  170.3
2013-08-21  167.35  169.32  166.42  166.74  726500  166.74
2013-08-20  166.71  171.07  166.14  167.6  909600  167.6
2013-08-19  169.58  170.31  166.11  166.32  890300  166.32
2013-08-16  168.28  172.5  167.59  170.25  859500  170.25
2013-08-15  169.1  170.03  166.7  169.11  862300  169.11
2013-08-14  174.19  174.96  169.78  169.92  931900  169.92
2013-08-13  174.52  174.78  171.21  174.02  926700  174.02
2013-08-12  175.33  176.8  172.46  174.15  1227800  174.15
2013-08-09  175.77  176.85  174.5  175.58  616300  175.58
2013-08-08  179.44  179.44  174.34  176.31  981500  176.31
2013-08-07  176.15  177.62  174.43  175.63  838900  175.63
2013-08-06  180.06  180.6  174.45  176.63  1395800  176.63
2013-08-05  179.96  182.63  178.69  180.04  1439200  180.04
2013-08-02  174.17  181.61  172.95  181.17  1944800  181.17
2013-08-01  173.66  181.58  169.47  174.11  4219000  174.11
2013-07-31  154.32  156.89  153.52  154.73  1368900  154.73
2013-07-30  154.64  155.97  152.01  153.3  874700  153.3
2013-07-29  154.26  155.48  152.7  154.86  820000  154.86
2013-07-26  153.36  154.88  153.07  154.75  854000  154.75
2013-07-25  153.42  156.2  152.18  154.73  955000  154.73
2013-07-24  154.78  154.97  151.38  152.97  1109300  152.97
2013-07-23  156.16  156.62  154.83  155.07  791000  155.07
2013-07-22  157.18  157.72  155.5  155.83  883000  155.83
2013-07-19  156.32  157.86  153.68  157.81  1143900  157.81
2013-07-18  153.92  156.45  153.58  156.2  835100  156.2
2013-07-17  153.02  154.09  151.94  153.38  711400  153.38
2013-07-16  153.16  154.3  150.62  152.56  641800  152.56
2013-07-15  153.37  155.68  152.05  152.48  755200  152.48
2013-07-12  152.58  154.4  151.72  153.4  854800  153.4
2013-07-11  154.86  157.15  152.13  153.42  1212600  153.42
2013-07-10  153.99  155.58  151.0  152.05  1449800  152.05
2013-07-09  151.84  154.71  149.85  153.46  1555600  153.46
2013-07-08  152.99  154.66  149.98  150.57  823400  150.57
2013-07-05  150.01  152.59  147.8  152.52  1327700  152.52
2013-07-03  149.77  150.12  148.41  148.72  1014000  148.72
2013-07-02  148.78  152.17  148.67  149.87  1637100  149.87
2013-07-01  146.16  151.31  146.16  148.7  1233600  148.7
2013-06-28  145.87  146.66  144.24  144.72  1495700  144.72
2013-06-27  148.76  149.9  146.61  146.68  1102000  146.68
2013-06-26  148.35  149.62  146.92  147.14  1112800  147.14
2013-06-25  147.77  149.39  145.25  147.98  1208500  147.98
2013-06-24  142.51  146.68  138.88  145.21  1894700  145.21
2013-06-21  147.87  147.88  141.85  144.58  2994300  144.58
2013-06-20  150.39  150.41  145.79  146.26  2374600  146.26
2013-06-19  154.62  155.11  152.65  153.03  1251200  153.03
2013-06-18  153.43  157.78  152.54  154.62  2023500  154.62
2013-06-17  149.33  154.23  149.11  152.29  1822300  152.29
2013-06-14  147.09  148.69  145.96  146.59  1240300  146.59
2013-06-13  142.77  147.96  142.36  146.92  1126500  146.92
2013-06-12  144.54  145.15  142.33  142.85  1023700  142.85
2013-06-11  142.5  144.48  142.32  143.1  1517300  143.1
2013-06-10  142.25  145.7  142.25  145.53  889800  145.53
2013-06-07  142.12  144.91  141.68  144.26  770400  144.26
2013-06-06  137.63  142.09  137.41  141.99  1088400  141.99
2013-06-05  139.43  140.07  137.96  137.97  859900  137.97
2013-06-04  140.29  142.19  138.15  139.97  988300  139.97
2013-06-03  139.77  142.16  138.52  140.8  1290000  140.8
2013-05-31  143.8  144.27  138.59  138.65  1738400  138.65
2013-05-30  143.5  145.58  142.49  144.44  713100  144.44
2013-05-29  143.59  146.41  143.29  144.62  824200  144.62
2013-05-28  143.88  145.8  143.22  145.21  1110300  145.21
2013-05-24  142.76  142.96  140.42  141.17  1232800  141.17
2013-05-23  140.87  144.62  138.6  143.99  1220400  143.99
2013-05-22  143.97  146.65  142.77  143.5  3152400  143.5
2013-05-21  139.93  141.61  138.86  138.94  1254100  138.94
2013-05-20  142.45  143.36  139.85  140.12  1538300  140.12
2013-05-17  139.67  142.56  139.12  142.22  1462700  142.22
2013-05-16  138.72  139.79  137.45  138.55  838600  138.55
2013-05-15  139.32  139.88  137.44  138.8  1081800  138.8
