Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  28.37  29.09  28.25  28.93  2832400  28.93
2014-02-27  28.86  28.86  28.21  28.43  3722400  28.43
2014-02-26  27.71  29.02  25.93  28.81  21993200  28.81
2014-02-25  32.4  32.53  31.41  32.02  3555700  32.02
2014-02-24  31.88  33.32  31.8  32.38  2750200  32.38
2014-02-21  31.77  32.01  31.58  31.66  1266100  31.66
2014-02-20  31.94  32.13  31.46  31.86  1791400  31.86
2014-02-19  31.86  32.65  31.86  31.99  1772000  31.99
2014-02-18  31.96  32.18  31.57  32.01  1327100  32.01
2014-02-14  31.66  31.89  31.52  31.8  920600  31.8
2014-02-13  31.39  31.81  31.16  31.72  859300  31.72
2014-02-12  31.75  31.97  31.54  31.65  1063300  31.65
2014-02-11  31.1  31.68  30.89  31.53  1513000  31.53
2014-02-10  30.53  30.93  30.1  30.87  2238500  30.87
2014-02-07  30.94  31.16  30.47  30.62  2323500  30.62
2014-02-06  29.94  30.9  29.94  30.75  2809200  30.75
2014-02-05  30.78  30.78  29.79  29.85  2751500  29.85
2014-02-04  30.54  31.28  30.36  30.74  3192500  30.74
2014-02-03  30.78  30.99  30.02  30.11  2132200  30.11
2014-01-31  30.71  31.32  30.49  30.87  2793000  30.87
2014-01-30  30.83  32.3  30.83  31.27  2750900  31.27
2014-01-29  30.29  31.26  30.06  30.97  2676000  30.97
2014-01-28  30.37  30.66  30.32  30.59  1607100  30.59
2014-01-27  30.7  30.73  29.91  30.25  1564200  30.25
2014-01-24  31.07  31.18  30.66  30.82  1840200  30.82
2014-01-23  31.06  31.34  30.96  31.3  2497700  31.3
2014-01-22  30.76  31.34  30.7  31.28  2450000  31.28
2014-01-21  30.18  30.82  29.91  30.78  1972000  30.78
2014-01-17  30.23  30.37  29.88  29.96  1776200  29.96
2014-01-16  29.66  30.18  29.63  30.12  2033200  30.12
2014-01-15  29.97  30.1  29.65  29.68  1773700  29.68
2014-01-14  29.38  30.21  29.38  29.97  3262900  29.97
2014-01-13  29.42  29.73  29.27  29.31  2796600  29.31
2014-01-10  29.42  29.76  29.21  29.53  2132200  29.53
2014-01-09  29.76  29.82  29.04  29.33  3090400  29.33
2014-01-08  29.73  29.96  29.46  29.7  2580000  29.7
2014-01-07  30.1  30.23  29.56  29.74  2630100  29.74
2014-01-06  30.23  30.29  29.9  29.91  1921200  29.91
2014-01-03  30.24  30.45  29.98  30.22  1455100  30.22
2014-01-02  30.45  30.66  29.96  30.16  1622200  30.16
2013-12-31  30.5  30.78  30.45  30.63  1276900  30.63
2013-12-30  30.78  31.08  30.49  30.56  1727400  30.56
2013-12-27  30.69  30.88  30.34  30.78  892900  30.78
2013-12-26  30.98  31.08  30.22  30.45  1429000  30.45
