Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  74.43  75.91  74.3  75.32  705700  75.32
2014-02-27  72.84  74.39  72.57  74.37  615500  74.37
2014-02-26  73.25  74.19  72.83  73.03  646400  73.03
2014-02-25  73.73  73.88  72.9  73.26  351300  73.26
2014-02-24  72.84  74.98  72.76  73.79  718200  73.79
2014-02-21  71.89  72.9  71.78  72.74  634200  72.74
2014-02-20  70.98  71.92  70.57  71.81  427600  71.81
2014-02-19  71.54  72.73  70.81  70.94  667000  70.94
2014-02-18  71.5  71.8  71.13  71.52  381200  71.52
2014-02-14  71.02  71.88  70.83  71.7  443400  71.7
2014-02-13  70.5  71.63  70.31  71.03  613200  71.03
2014-02-12  71.41  71.94  70.98  71.22  354500  71.22
2014-02-11  70.18  71.45  70.03  71.06  514100  71.06
2014-02-10  70.76  71.06  70.19  70.43  614800  70.43
2014-02-07  70.21  71.21  69.88  71.09  528200  71.09
2014-02-06  68.86  70.13  68.48  69.94  715400  69.94
2014-02-05  68.97  69.2  67.58  68.48  671300  68.48
2014-02-04  68.46  69.93  64.05  69.19  1176200  69.19
2014-02-03  70.76  71.2  68.11  68.43  1040000  68.43
2014-01-31  70.31  71.62  70.16  70.85  501700  70.85
2014-01-30  71.28  71.55  70.79  71.43  558800  71.43
2014-01-29  70.4  71.71  70.21  70.79  515500  70.79
2014-01-28  70.67  71.63  70.67  71.11  285600  71.11
2014-01-27  71.41  71.67  69.63  70.48  632400  70.48
2014-01-24  73.23  73.63  71.4  71.54  622600  71.54
2014-01-23  74.76  74.85  72.95  73.81  413900  73.81
2014-01-22  74.53  74.74  74.22  74.49  394900  74.49
2014-01-21  74.2  74.78  73.7  74.36  589300  74.36
2014-01-17  73.27  74.1  72.51  73.95  580500  73.95
2014-01-16  72.77  73.38  72.65  73.01  257900  73.01
2014-01-15  72.25  73.59  72.25  73.2  474700  73.2
2014-01-14  71.85  72.31  71.74  72.14  456600  72.14
2014-01-13  72.6  72.82  71.46  71.65  551500  71.65
2014-01-10  71.75  72.74  71.65  72.65  588700  72.65
2014-01-09  72.24  72.42  71.3  71.82  505700  71.82
2014-01-08  71.97  72.3  71.51  72.24  468900  72.24
2014-01-07  71.68  72.77  71.32  71.99  440800  71.99
2014-01-06  72.79  73.05  71.26  71.26  609800  71.26
2014-01-03  72.49  72.89  72.18  72.44  303500  72.44
2014-01-02  72.76  72.96  71.96  72.29  453500  72.29
2013-12-31  73.26  73.62  73.12  73.43  255100  73.43
2013-12-30  73.4  73.6  72.98  73.32  314700  73.32
2013-12-27  72.94  73.27  72.6  73.05  179200  73.05
2013-12-26  73.14  73.44  72.65  72.95  220000  72.95
2013-12-24  72.96  73.03  72.62  72.96  110600  72.96
2013-12-23  71.98  73.14  71.73  72.72  699000  72.72
2013-12-20  71.46  71.56  70.95  71.05  531900  71.05
2013-12-19  70.62  71.41  70.34  71.15  605100  71.15
2013-12-18  69.91  70.41  69.13  70.35  850300  70.35
2013-12-17  69.43  69.69  69.1  69.47  512000  69.47
2013-12-16  67.96  69.65  67.71  69.43  700000  69.43
2013-12-13  66.68  67.57  66.59  67.37  347200  67.37
2013-12-12  66.68  67.3  65.84  66.48  750100  66.48
2013-12-11  67.65  67.65  66.31  66.85  505500  66.85
2013-12-10  67.71  68.97  67.39  67.54  471700  67.54
2013-12-09  68.59  68.9  67.74  67.92  423900  67.92
2013-12-06  68.89  68.97  68.24  68.42  305200  68.42
2013-12-05  68.37  68.84  68.06  68.13  349900  68.13
2013-12-04  68.42  69.05  67.68  68.48  447400  68.48
2013-12-03  68.88  69.31  68.62  68.76  461500  68.76
2013-12-02  69.5  69.78  68.96  69.27  508200  69.27
2013-11-29  69.06  70.02  68.9  69.51  266200  69.51
2013-11-27  68.9  69.37  68.82  69.22  510700  69.22
2013-11-26  68.37  68.76  68.18  68.64  361000  68.64
2013-11-25  68.71  68.95  68.26  68.45  609800  68.45
2013-11-22  68.52  68.71  68.0  68.68  307500  68.68
2013-11-21  67.56  69.04  67.56  68.54  618500  68.54
2013-11-20  67.68  68.09  67.24  67.48  491900  67.48
2013-11-19  67.7  68.01  67.18  67.68  523100  67.68
2013-11-18  67.83  68.43  67.32  67.84  715200  67.84
2013-11-15  66.14  67.73  66.14  67.72  706400  67.72
2013-11-14  65.31  66.05  65.02  65.81  371500  65.81
2013-11-13  64.52  65.41  64.5  65.34  501200  65.34
2013-11-12  64.51  64.82  63.99  64.78  450000  64.78
2013-11-11  64.12  65.16  64.0  64.56  503900  64.56
2013-11-08  63.86  64.27  63.36  63.94  826700  63.94
2013-11-07  65.81  66.04  63.59  63.83  686600  63.83
2013-11-06  66.06  66.34  65.41  65.58  505800  65.58
2013-11-05  65.99  66.26  65.72  65.79  484900  65.79
2013-11-04  65.92  66.41  65.68  66.34  432800  66.34
