Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  49.97  50.94  49.97  50.83  2330400  50.83
2014-02-27  49.7  50.09  49.56  50.02  3551600  50.02
2014-02-26  49.9  50.0  49.66  49.71  3041400  49.71
2014-02-25  49.08  50.23  49.05  49.76  2749800  49.76
2014-02-24  48.74  49.39  48.73  49.05  1809800  49.05
2014-02-21  48.6  48.89  48.33  48.62  3234100  48.62
2014-02-20  47.72  48.66  47.62  48.51  2568800  48.51
2014-02-19  47.89  47.98  47.51  47.64  1673700  47.64
2014-02-18  48.2  48.4  47.86  47.91  2161700  47.91
2014-02-14  47.63  48.29  47.38  48.21  2140300  48.21
2014-02-13  47.0  47.66  47.0  47.61  2516200  47.61
2014-02-12  48.11  48.11  47.21  47.29  3953300  47.29
2014-02-11  46.71  48.34  46.55  48.07  4136300  48.07
2014-02-10  48.91  48.99  48.48  48.81  2487100  48.81
2014-02-07  48.05  48.84  47.91  48.76  2957300  48.76
2014-02-06  47.41  47.85  47.26  47.79  2873300  47.79
2014-02-05  47.32  47.47  46.9  47.14  2491100  47.14
2014-02-04  47.15  47.61  46.91  47.5  1864600  47.5
2014-02-03  48.43  48.5  46.93  46.96  2959900  46.96
2014-01-31  48.14  48.95  47.58  48.5  2366300  48.5
2014-01-30  48.81  48.81  48.29  48.56  2509600  48.56
2014-01-29  49.1  49.1  48.34  48.61  2649300  48.61
2014-01-28  48.79  49.44  48.74  49.36  2084100  49.36
2014-01-27  49.18  49.49  48.99  49.07  3683800  49.07
2014-01-24  48.94  49.32  48.7  49.1  2630100  49.1
2014-01-23  49.02  49.26  48.7  49.03  1639800  49.03
2014-01-22  49.03  49.43  48.9  49.26  1461600  49.26
2014-01-21  48.63  49.08  48.59  49.07  2442900  49.07
2014-01-17  48.64  48.71  48.18  48.32  1188600  48.32
2014-01-16  48.28  48.7  48.28  48.69  2146400  48.69
2014-01-15  48.28  48.46  48.09  48.36  3943400  48.36
2014-01-14  48.29  48.52  48.08  48.31  2178600  48.31
2014-01-13  48.26  48.47  48.05  48.11  2914100  48.11
2014-01-10  48.68  48.8  48.26  48.31  1770700  48.31
2014-01-09  48.54  48.79  48.38  48.51  2290100  48.51
2014-01-08  48.7  48.81  48.12  48.5  4045800  48.5
2014-01-07  48.79  49.14  48.71  48.73  1727600  48.73
2014-01-06  48.87  48.9  48.38  48.71  2507800  48.71
2014-01-03  49.31  49.45  48.63  48.81  1881700  48.81
2014-01-02  50.05  50.07  49.05  49.27  1602800  49.27
2013-12-31  49.88  50.21  49.77  49.99  1080300  49.99
2013-12-30  49.96  50.0  49.48  49.78  1565700  49.78
2013-12-27  49.68  49.96  49.57  49.9  1333800  49.9
2013-12-26  49.25  49.59  49.2  49.48  860800  49.48
2013-12-24  48.9  49.46  48.88  49.23  1017900  49.23
2013-12-23  49.08  49.17  48.7  48.86  1444300  48.86
2013-12-20  48.85  48.96  48.74  48.77  3084200  48.77
2013-12-19  48.87  49.0  48.61  48.82  2291900  48.82
2013-12-18  48.75  48.95  48.01  48.8  4074200  48.8
2013-12-17  48.62  48.85  48.5  48.6  2193900  48.6
2013-12-16  49.07  49.1  48.68  48.72  2117100  48.72
2013-12-13  49.19  49.19  48.79  48.96  2138900  48.96
2013-12-12  49.84  50.07  49.05  49.11  4588100  49.11
2013-12-11  50.34  50.34  49.63  49.92  2230900  49.92
2013-12-10  50.58  50.61  49.97  50.18  2972500  50.18
2013-12-09  50.67  50.82  50.07  50.72  2334200  50.72
2013-12-06  50.09  50.71  50.06  50.62  1821500  50.62
2013-12-05  49.99  50.13  49.69  49.9  2106400  49.9
2013-12-04  49.37  50.16  49.34  50.0  2731600  50.0
2013-12-03  49.32  49.58  49.09  49.57  1773000  49.57
2013-12-02  49.77  49.87  49.39  49.44  1543800  49.44
2013-11-29  49.97  50.17  49.77  49.82  662700  49.82
2013-11-27  50.02  50.14  49.75  49.93  871200  49.93
2013-11-26  50.1  50.32  49.78  50.07  1861900  50.07
2013-11-25  50.32  50.52  49.98  50.13  1045800  50.13
2013-11-22  50.06  50.26  49.7  50.24  1447700  50.24
2013-11-21  50.61  50.66  49.6  49.97  2245600  49.97
2013-11-20  50.97  51.1  50.41  50.54  2100200  50.54
2013-11-19  50.61  51.23  50.52  50.85  2406500  50.85
2013-11-18  51.92  51.92  51.51  51.81  853600  51.81
2013-11-15  51.44  51.89  51.33  51.87  2314200  51.87
2013-11-14  51.63  51.81  51.5  51.7  1178000  51.7
2013-11-13  50.72  51.47  50.56  51.47  1399000  51.47
2013-11-12  50.67  51.04  50.31  50.96  1467900  50.96
2013-11-11  50.67  50.78  50.55  50.71  1001400  50.71
2013-11-08  50.25  50.65  49.8  50.65  1540400  50.65
2013-11-07  51.12  51.19  50.0  50.39  1759100  50.39
2013-11-06  50.8  51.27  50.76  51.11  1390100  51.11
2013-11-05  50.29  50.92  50.29  50.76  1704400  50.76
2013-11-04  50.97  50.98  50.18  50.39  1613100  50.39
2013-11-01  50.83  51.21  50.49  50.69  1586000  50.69
2013-10-31  50.78  51.3  50.55  50.73  1520600  50.73
2013-10-30  51.33  51.34  50.69  50.73  1264400  50.73
2013-10-29  50.6  51.32  50.48  51.31  2122400  51.31
2013-10-28  50.06  50.72  49.93  50.37  1415900  50.37
2013-10-25  50.0  50.11  49.62  49.99  1158600  49.99
2013-10-24  49.86  50.2  49.76  50.06  2171200  50.06
2013-10-23  49.65  49.87  49.38  49.59  2483300  49.59
2013-10-22  50.26  50.26  49.1  49.67  3089500  49.67
2013-10-21  50.06  50.22  49.78  50.18  2260800  50.18
2013-10-18  50.19  50.43  49.68  49.96  2328700  49.96
2013-10-17  50.34  50.61  50.02  50.11  2872700  50.11
2013-10-16  49.88  50.44  49.82  50.42  1308800  50.42
2013-10-15  50.08  50.22  49.72  49.8  1132000  49.8
