Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  40.52  41.04  40.4  40.94  847100  40.94
2014-02-27  40.27  40.58  40.03  40.49  835200  40.49
2014-02-26  40.12  40.51  39.96  40.2  812200  40.2
2014-02-25  40.36  40.5  39.81  39.94  1039200  39.94
2014-02-24  40.27  40.68  40.23  40.24  684500  40.24
2014-02-21  40.26  40.35  39.73  40.24  1459700  40.24
2014-02-20  40.69  40.71  40.08  40.13  1247300  40.13
2014-02-19  41.09  41.21  40.46  40.56  1016600  40.56
2014-02-18  40.53  41.21  40.28  41.1  1514600  41.1
2014-02-14  40.2  40.41  40.0  40.3  550800  40.3
2014-02-13  39.59  40.36  39.52  40.27  693900  40.27
2014-02-12  39.58  39.88  39.23  39.84  1228000  39.84
2014-02-11  39.46  39.56  39.18  39.44  1385700  39.44
2014-02-10  39.97  39.99  39.31  39.55  1220900  39.55
2014-02-07  39.97  40.52  39.71  40.1  1274500  40.1
2014-02-06  39.49  39.99  39.33  39.83  1537300  39.83
2014-02-05  39.07  39.37  38.44  39.14  1401900  39.14
2014-02-04  39.12  39.77  38.97  39.45  2638900  39.45
2014-02-03  41.47  41.7  38.92  39.0  3130600  39.0
2014-01-31  39.82  42.13  39.66  41.59  4978000  41.59
2014-01-30  41.51  42.05  41.14  41.89  2640200  41.89
2014-01-29  41.02  41.63  40.69  41.32  3431300  41.32
2014-01-28  41.02  41.44  40.9  41.21  1427900  41.21
2014-01-27  40.09  41.3  40.06  41.06  2431100  41.06
2014-01-24  41.1  41.1  39.61  39.83  1269200  39.83
2014-01-23  41.29  41.42  40.79  41.14  782100  41.14
2014-01-22  41.73  41.76  41.46  41.58  779900  41.58
2014-01-21  42.28  42.51  41.39  41.63  1158800  41.63
2014-01-17  42.3  42.41  41.84  41.94  1026500  41.94
2014-01-16  42.38  42.75  41.89  42.33  886900  42.33
2014-01-15  41.23  42.87  41.23  42.49  1501700  42.49
2014-01-14  40.28  41.04  40.28  40.86  1042600  40.86
2014-01-13  41.08  41.36  40.1  40.19  1023000  40.19
