Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  60.0  60.0  58.43  58.99  1487900  58.99
2014-02-27  59.74  60.0  59.11  59.93  1093400  59.93
2014-02-26  59.08  59.98  58.84  59.75  1033000  59.75
2014-02-25  58.89  59.61  58.62  58.97  1013300  58.97
2014-02-24  58.71  59.18  58.7  58.89  1071000  58.89
2014-02-21  59.45  59.45  58.1  58.69  1350700  58.69
2014-02-20  58.81  59.36  58.32  59.3  808700  59.3
2014-02-19  58.72  59.29  58.08  58.63  1737100  58.63
2014-02-18  58.32  58.83  57.79  58.08  861700  58.08
2014-02-14  58.43  58.65  57.74  58.32  1002500  58.32
2014-02-13  57.18  58.45  56.98  58.43  1626000  58.43
2014-02-12  57.42  58.54  57.24  57.69  1975200  57.69
2014-02-11  56.52  57.63  56.52  57.48  1204300  57.48
2014-02-10  56.82  56.88  56.0  56.67  1114400  56.67
2014-02-07  56.37  57.02  56.16  56.99  1249900  56.99
2014-02-06  54.97  55.59  54.91  55.54  838000  55.54
2014-02-05  54.59  54.89  54.05  54.71  866900  54.71
2014-02-04  54.92  55.29  54.55  54.86  1316500  54.86
2014-02-03  56.6  57.13  54.51  54.7  1554500  54.7
2014-01-31  56.33  57.01  56.22  56.5  1510000  56.5
2014-01-30  56.26  57.18  55.9  57.12  2188500  57.12
2014-01-29  56.49  56.8  54.9  55.55  2297400  55.55
2014-01-28  56.05  57.42  56.05  57.23  1979900  57.23
2014-01-27  56.69  57.16  55.81  55.82  2588800  55.82
2014-01-24  57.68  57.82  56.69  56.73  1591200  56.73
2014-01-23  58.3  58.34  57.57  58.12  1374200  58.12
2014-01-22  60.03  60.19  58.86  58.92  1974100  58.92
2014-01-21  59.03  59.62  58.69  59.14  1553900  59.14
2014-01-17  59.19  59.27  58.21  58.59  1019400  58.59
2014-01-16  59.0  59.18  58.72  59.06  972600  59.06
2014-01-15  59.67  59.94  59.17  59.19  1863900  59.19
2014-01-14  57.7  59.42  57.59  59.38  2203200  59.38
2014-01-13  58.69  59.71  57.4  57.56  3155500  57.56
