Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  161.9  162.2  160.31  161.08  1202200  161.08
2014-02-27  160.15  161.81  159.91  161.79  2939000  161.79
2014-02-26  164.31  164.4  161.08  162.12  1473000  162.12
2014-02-25  159.21  160.57  157.85  159.99  779200  159.99
2014-02-24  157.65  161.33  157.65  159.27  1163600  159.27
2014-02-21  157.66  158.84  157.66  158.4  791500  158.4
2014-02-20  157.12  159.13  157.12  157.66  961300  157.66
2014-02-19  156.4  158.32  156.4  156.97  1049900  156.97
2014-02-18  158.6  158.96  156.18  157.15  863800  157.15
2014-02-14  154.56  159.97  154.56  158.39  1659600  158.39
2014-02-13  154.05  156.5  153.45  156.15  1253300  156.15
2014-02-12  157.34  157.93  154.26  154.5  1787700  154.5
2014-02-11  157.5  158.33  155.07  156.8  1382200  156.8
2014-02-10  155.7  156.32  154.55  155.25  1095700  155.25
2014-02-07  153.2  156.98  151.65  155.89  1941200  155.89
2014-02-06  150.02  154.33  149.67  152.23  2158400  152.23
2014-02-05  163.82  164.13  146.0  148.71  11478400  148.71
2014-02-04  154.3  157.24  153.7  154.18  1890100  154.18
2014-02-03  156.25  158.13  152.79  153.66  1161900  153.66
2014-01-31  156.18  158.18  155.7  156.89  788600  156.89
2014-01-30  157.2  159.49  157.06  158.23  927200  158.23
2014-01-29  155.9  157.06  155.3  155.51  951000  155.51
2014-01-28  157.35  158.17  156.13  156.74  840200  156.74
2014-01-27  157.53  158.54  156.04  156.95  874700  156.95
2014-01-24  157.83  159.78  156.34  157.62  1180300  157.62
2014-01-23  159.0  159.59  158.07  158.65  1075900  158.65
2014-01-22  160.66  161.45  159.31  159.86  886800  159.86
2014-01-21  162.74  164.08  160.69  160.9  877600  160.9
2014-01-17  163.23  164.16  162.23  162.49  1045400  162.49
2014-01-16  166.15  166.39  162.92  163.31  1753100  163.31
2014-01-15  168.12  170.04  167.06  168.08  632600  168.08
2014-01-14  167.24  169.14  166.94  167.47  870300  167.47
2014-01-13  173.58  174.16  166.69  167.5  992400  167.5
2014-01-10  172.82  175.13  172.57  173.95  550300  173.95
2014-01-09  173.25  173.26  170.46  172.88  649900  172.88
2014-01-08  175.33  176.14  171.83  172.32  736100  172.32
2014-01-07  175.02  175.57  174.25  175.4  466900  175.4
2014-01-06  177.53  177.53  174.5  174.68  637700  174.68
2014-01-03  175.75  178.59  175.37  177.19  665900  177.19
2014-01-02  175.44  176.88  174.93  175.37  750600  175.37
2013-12-31  175.91  177.2  175.6  176.57  330300  176.57
2013-12-30  175.69  176.89  175.67  176.34  257800  176.34
2013-12-27  176.04  176.62  175.21  175.97  286900  175.97
2013-12-26  176.36  176.78  175.42  175.97  274200  175.97
2013-12-24  175.0  176.86  174.89  176.03  320700  176.03
2013-12-23  175.09  175.54  173.77  174.42  504400  174.42
2013-12-20  175.29  175.96  174.49  174.6  657100  174.6
2013-12-19  177.91  177.91  174.57  174.69  651900  174.69
2013-12-18  174.42  176.79  172.22  176.63  818800  176.63
2013-12-17  174.85  174.88  173.05  173.9  646400  173.9
2013-12-16  174.97  176.42  173.81  175.11  829400  175.11
2013-12-13  172.58  174.9  172.58  174.74  1000700  174.74
2013-12-12  170.15  172.94  169.42  172.57  921200  172.57
2013-12-11  171.79  172.69  170.51  170.65  723200  170.65
2013-12-10  170.29  172.08  170.29  171.29  697100  171.29
2013-12-09  172.2  174.07  170.57  170.74  596700  170.74
2013-12-06  174.29  174.29  171.49  171.85  705800  171.85
2013-12-05  172.44  173.39  171.57  173.05  613200  173.05
2013-12-04  171.92  173.75  171.92  173.18  602100  173.18
2013-12-03  173.34  174.39  171.39  172.7  710900  172.7
2013-12-02  174.63  174.83  172.73  173.6  414000  173.6
2013-11-29  174.45  175.26  173.29  174.78  265300  174.78
2013-11-27  175.24  175.24  173.36  173.86  325300  173.86
2013-11-26  175.12  176.55  174.84  174.91  508000  174.91
2013-11-25  174.97  175.53  174.15  175.06  507200  175.06
2013-11-22  171.77  174.67  171.75  174.57  667100  174.57
2013-11-21  171.98  172.49  170.36  171.54  663400  171.54
2013-11-20  173.47  174.23  171.37  171.56  606000  171.56
2013-11-19  173.11  173.82  172.05  172.81  558300  172.81
2013-11-18  174.83  175.3  172.2  172.62  730900  172.62
2013-11-15  176.07  176.37  173.0  175.45  1162200  175.45
2013-11-14  174.95  176.25  174.35  176.22  831000  176.22
2013-11-13  171.53  175.92  171.53  175.62  1225400  175.62
2013-11-12  171.72  172.64  170.77  171.05  1194800  171.05
2013-11-11  172.96  173.06  171.36  172.09  1346500  172.09
2013-11-08  172.54  173.27  171.87  172.97  1034500  172.97
2013-11-07  179.79  180.61  171.99  172.37  2559200  172.37
2013-11-06  179.54  180.32  176.36  180.06  3249500  180.06
2013-11-05  169.27  172.87  169.17  170.75  1961700  170.75
2013-11-04  169.23  171.53  167.87  169.15  935400  169.15
2013-11-01  166.13  168.54  166.02  168.37  973200  168.37
2013-10-31  165.9  166.49  164.49  165.21  571500  165.21
2013-10-30  165.17  167.41  165.1  166.39  679900  166.39
2013-10-29  165.36  165.84  164.12  165.18  628200  165.18
2013-10-28  164.02  164.8  162.66  164.63  533000  164.63
