Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  122.18  124.11  121.9  122.84  830100  122.84
2014-02-27  121.5  122.4  121.18  122.18  473000  122.18
2014-02-26  121.03  122.58  120.63  121.73  677400  121.73
2014-02-25  120.38  121.48  119.66  120.85  831400  120.85
2014-02-24  119.35  120.97  119.06  120.56  828900  120.56
2014-02-21  119.04  120.4  118.5  119.32  1019600  119.32
2014-02-20  117.96  119.3  117.5  118.99  932700  118.99
2014-02-19  117.99  119.07  117.65  118.0  1174700  118.0
2014-02-18  116.89  118.72  116.89  118.5  897700  118.5
2014-02-14  116.37  117.12  115.54  117.0  777700  117.0
2014-02-13  114.32  116.47  113.71  116.45  1040400  116.45
2014-02-12  112.93  115.22  112.86  114.98  1074100  114.98
2014-02-11  111.88  113.44  111.77  112.91  937100  112.91
2014-02-10  112.02  112.12  111.04  111.48  543100  111.48
2014-02-07  110.82  112.03  110.09  111.79  1239200  111.79
2014-02-06  109.72  110.75  109.53  110.08  935400  110.08
2014-02-05  110.27  110.49  108.29  109.36  1576100  109.36
2014-02-04  111.38  111.5  109.63  110.62  1435100  110.62
2014-02-03  114.33  115.08  111.21  111.41  1758300  111.41
2014-01-31  112.53  114.85  112.53  114.26  1032100  114.26
2014-01-30  114.92  115.73  114.03  114.52  1284200  114.52
2014-01-29  116.44  117.44  113.6  114.51  1788800  114.51
2014-01-28  113.13  114.73  112.75  114.43  1232800  114.43
2014-01-27  113.63  114.14  111.23  112.39  1131200  112.39
2014-01-24  116.02  116.13  112.3  112.42  941500  112.42
2014-01-23  117.62  117.9  115.9  116.42  576500  116.42
2014-01-22  118.77  119.16  117.47  118.46  636800  118.46
2014-01-21  119.58  120.4  117.71  119.23  665100  119.23
2014-01-17  119.06  119.06  118.06  118.63  735700  118.63
2014-01-16  117.09  119.11  117.05  119.06  985300  119.06
2014-01-15  117.72  118.43  117.6  118.26  889200  118.26
2014-01-14  114.85  118.24  114.46  117.65  1203600  117.65
2014-01-13  115.87  116.73  114.19  114.49  657700  114.49
2014-01-10  116.23  116.71  115.38  116.37  503500  116.37
2014-01-09  116.17  116.75  114.46  115.85  537700  115.85
2014-01-08  116.7  116.7  115.13  115.89  785500  115.89
2014-01-07  116.98  116.98  115.2  116.45  556200  116.45
2014-01-06  117.61  118.15  115.54  115.94  662300  115.94
2014-01-03  116.03  117.42  115.87  117.24  606600  117.24
2014-01-02  117.03  117.4  115.43  115.8  479100  115.8
2013-12-31  117.38  118.22  117.2  117.57  346200  117.57
2013-12-30  117.17  117.9  116.81  117.11  513300  117.11
2013-12-27  118.14  118.43  116.97  117.39  464900  117.39
2013-12-26  116.9  117.41  116.44  117.22  307300  117.22
2013-12-24  115.91  116.79  115.6  116.51  250300  116.51
2013-12-23  116.68  117.08  115.63  115.77  773800  115.77
2013-12-20  113.32  116.53  113.32  115.93  1154700  115.93
2013-12-19  112.03  113.56  111.75  113.46  651300  113.46
2013-12-18  109.76  112.75  109.08  112.54  752700  112.54
2013-12-17  110.48  110.91  109.71  109.98  477900  109.98
2013-12-16  110.25  111.34  110.17  110.4  797200  110.4
2013-12-13  110.02  110.9  109.49  109.97  385100  109.97
2013-12-12  109.06  110.4  108.24  109.98  798000  109.98
2013-12-11  111.8  111.8  108.89  109.12  516900  109.12
2013-12-10  111.06  112.38  110.82  111.32  678400  111.32
2013-12-09  110.88  111.81  110.55  111.4  706500  111.4
2013-12-06  109.95  111.32  109.46  111.14  666300  111.14
2013-12-05  108.43  109.65  107.95  108.66  624700  108.66
2013-12-04  109.94  110.65  107.8  108.34  1577800  108.34
2013-12-03  111.99  111.99  109.72  110.6  640000  110.6
2013-12-02  112.57  112.99  111.11  111.29  701800  111.29
2013-11-29  114.16  114.18  112.83  113.01  274900  113.01
2013-11-27  113.92  113.92  112.91  113.79  360600  113.79
2013-11-26  112.45  113.75  112.45  113.33  501000  113.33
2013-11-25  113.64  113.77  112.46  112.72  561300  112.72
2013-11-22  111.11  113.6  110.52  113.5  815600  113.5
2013-11-21  110.51  111.43  110.47  110.88  729400  110.88
2013-11-20  110.62  111.2  109.74  110.4  424300  110.4
2013-11-19  111.05  111.56  110.26  110.56  564300  110.56
2013-11-18  112.04  112.18  110.44  110.89  890900  110.89
