Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  134.5  136.46  134.32  135.62  897500  135.62
2014-02-27  134.86  135.42  131.62  134.61  436400  134.61
2014-02-26  135.85  136.49  134.8  134.98  500300  134.98
2014-02-25  135.41  136.13  135.01  135.3  443500  135.3
2014-02-24  135.41  137.05  135.21  135.31  624000  135.31
2014-02-21  135.6  136.57  134.86  134.92  357200  134.92
2014-02-20  135.36  135.89  134.43  135.54  368700  135.54
2014-02-19  135.75  136.84  134.65  135.05  335200  135.05
2014-02-18  136.73  137.14  135.62  135.89  439900  135.89
2014-02-14  136.49  137.38  135.54  136.87  617700  136.87
2014-02-13  134.22  136.54  134.0  136.49  418400  136.49
2014-02-12  133.95  135.49  133.95  134.94  480900  134.94
2014-02-11  133.5  134.0  132.97  133.62  572000  133.62
2014-02-10  134.01  134.23  132.78  133.0  505800  133.0
2014-02-07  133.46  134.5  133.24  133.9  520300  133.9
2014-02-06  132.59  133.36  131.94  132.77  481600  132.77
2014-02-05  131.51  132.58  130.73  131.92  452500  131.92
2014-02-04  132.27  132.72  131.15  131.99  966600  131.99
2014-02-03  136.86  138.06  131.58  131.8  735700  131.8
2014-01-31  136.12  138.28  135.39  137.24  472400  137.24
2014-01-30  137.36  138.0  136.57  137.77  313500  137.77
2014-01-29  136.48  137.98  135.68  136.18  423700  136.18
2014-01-28  135.76  139.07  135.26  137.73  455400  137.73
2014-01-27  137.34  138.76  134.88  135.41  745300  135.41
2014-01-24  137.75  138.2  135.0  135.67  894400  135.67
2014-01-23  140.36  141.28  138.62  139.0  466800  139.0
2014-01-22  141.91  141.91  141.13  141.54  200000  141.54
2014-01-21  140.41  142.34  140.37  141.92  379600  141.92
2014-01-17  140.66  140.73  139.42  140.04  391400  140.04
2014-01-16  141.25  142.53  140.62  140.86  322700  140.86
2014-01-15  139.74  140.6  139.52  140.57  286400  140.57
2014-01-14  138.45  139.71  137.81  139.65  422900  139.65
2014-01-13  138.81  139.93  137.73  137.98  352900  137.98
2014-01-10  139.54  139.96  138.48  139.38  274700  139.38
2014-01-09  139.26  140.32  139.18  139.54  489200  139.54
2014-01-08  137.73  139.05  137.41  138.31  349000  138.31
2014-01-07  137.99  138.21  136.63  137.73  345800  137.73
2014-01-06  138.97  139.11  137.07  137.46  396300  137.46
2014-01-03  137.85  138.83  137.36  138.03  357300  138.03
2014-01-02  138.33  138.33  137.12  137.88  359400  137.88
2013-12-31  139.01  139.71  137.71  138.48  303900  138.48
2013-12-30  138.07  139.0  137.9  138.36  219600  138.36
2013-12-27  137.92  138.68  137.04  138.23  240500  138.23
2013-12-26  136.91  138.17  135.63  137.9  194800  137.9
2013-12-24  136.41  137.24  135.85  136.8  90900  136.8
2013-12-23  135.63  136.81  135.32  136.59  361900  136.59
2013-12-20  133.86  135.33  133.65  135.21  637000  135.21
2013-12-19  132.72  133.97  132.56  133.75  698300  133.75
2013-12-18  132.18  133.27  130.82  133.19  994100  133.19
2013-12-17  131.98  132.47  131.3  131.51  489800  131.51
2013-12-16  129.4  132.45  129.4  131.86  634700  131.86
2013-12-13  129.62  130.4  129.14  129.71  630100  129.71
2013-12-12  128.82  129.61  128.34  129.28  420700  129.28
2013-12-11  129.04  130.36  128.97  129.29  696700  129.29
2013-12-10  129.06  129.97  127.98  129.48  470100  129.48
2013-12-09  129.29  130.3  129.28  129.96  405000  129.96
2013-12-06  128.19  129.37  127.75  129.15  307100  129.15
2013-12-05  126.91  127.36  126.53  126.95  507200  126.95
2013-12-04  127.41  128.48  125.87  127.39  343000  127.39
2013-12-03  128.96  129.62  127.56  128.01  386700  128.01
2013-12-02  129.27  130.26  128.88  129.66  412700  129.66
2013-11-29  130.12  130.12  128.92  129.51  164000  129.51
2013-11-27  129.47  129.85  128.96  129.81  264300  129.81
2013-11-26  128.7  129.7  128.28  129.48  376600  129.48
2013-11-25  128.95  129.05  127.84  128.82  325000  128.82
2013-11-22  128.0  128.8  127.46  128.75  394400  128.75
2013-11-21  126.92  128.1  126.66  127.99  324200  127.99
2013-11-20  125.82  127.42  124.93  126.44  609100  126.44
2013-11-19  125.7  126.19  125.25  125.5  565800  125.5
2013-11-18  126.77  126.97  125.85  126.14  580000  126.14
2013-11-15  126.25  126.82  125.03  126.81  1019700  126.81
2013-11-14  126.54  126.92  125.89  126.29  505400  126.29
2013-11-13  124.79  126.43  124.38  126.08  963500  126.08
2013-11-12  125.64  126.2  125.04  125.45  307300  125.45
2013-11-11  125.82  126.54  125.74  126.18  245900  126.18
2013-11-08  123.59  125.82  123.49  125.75  418700  125.75
2013-11-07  126.11  126.11  123.28  123.39  403800  123.39
2013-11-06  124.87  125.97  124.42  125.94  355600  125.94
2013-11-05  125.52  126.01  124.37  124.58  667400  124.58
2013-11-04  127.25  127.72  125.92  126.13  383900  126.13
2013-11-01  126.91  128.27  126.23  127.07  539800  127.07
2013-10-31  125.51  127.74  125.44  126.63  434800  126.63
2013-10-30  128.52  129.81  125.51  125.51  715900  125.51
2013-10-29  124.25  128.03  123.94  127.96  998100  127.96
2013-10-28  126.24  128.62  123.0  124.08  1759800  124.08
2013-10-25  131.33  133.16  130.67  132.85  311500  132.85
2013-10-24  132.38  132.76  131.05  131.38  265200  131.38
2013-10-23  132.84  133.72  132.08  132.42  286100  132.42
2013-10-22  131.68  133.62  131.57  133.45  353700  133.45
2013-10-21  132.01  132.22  131.46  131.83  255500  131.83
2013-10-18  132.03  132.04  130.87  131.88  229300  131.88
2013-10-17  129.59  131.2  129.37  131.12  337200  131.12
2013-10-16  130.17  131.18  129.45  129.81  256800  129.81
2013-10-15  130.4  130.72  129.52  129.53  344800  129.53
2013-10-14  129.57  131.18  129.41  130.69  320500  130.69
2013-10-11  130.04  130.7  129.35  130.68  306200  130.68
2013-10-10  127.84  130.17  127.59  130.02  250300  130.02
2013-10-09  128.1  130.93  126.37  126.81  323400  126.81
2013-10-08  129.54  130.1  127.58  127.64  299800  127.64
2013-10-07  128.35  130.33  128.35  129.65  391000  129.65
2013-10-04  130.14  130.78  129.31  129.56  401700  129.56
2013-10-03  131.23  131.97  129.24  130.15  258500  130.15
2013-10-02  132.55  132.55  130.88  131.7  342400  131.7
2013-10-01  132.84  133.81  132.47  133.2  308400  133.2
2013-09-30  131.5  133.12  131.33  132.51  386400  132.51
2013-09-27  133.63  133.72  132.74  133.06  457500  133.06
2013-09-26  133.51  134.67  132.93  134.64  209400  134.64
2013-09-25  133.74  134.46  133.14  133.32  283000  133.32
2013-09-24  133.55  134.71  131.86  133.93  503700  133.93
2013-09-23  133.48  133.7  132.34  133.14  253900  133.14
