Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  73.83  73.9  71.57  72.8  4216200  72.8
2014-02-27  72.23  72.53  71.45  72.31  3008800  72.31
2014-02-26  70.84  72.0  69.99  71.69  4623200  71.69
2014-02-25  69.63  70.41  68.71  70.04  2538700  70.04
2014-02-24  67.65  69.49  67.41  69.27  2977100  69.27
2014-02-21  68.18  68.45  67.39  67.45  2336900  67.45
2014-02-20  67.98  68.64  67.26  67.65  2287100  67.65
2014-02-19  68.43  68.63  67.76  67.8  2249200  67.8
2014-02-18  69.37  69.46  68.32  68.32  2242100  68.32
2014-02-14  69.26  69.75  69.05  69.42  1904600  69.42
2014-02-13  70.18  70.18  69.15  69.58  1317300  69.58
2014-02-12  70.87  70.89  68.93  69.16  1419100  69.16
2014-02-11  69.28  70.0  69.23  69.53  1666200  69.53
2014-02-10  70.58  70.58  68.9  69.13  1631200  69.13
2014-02-07  69.02  69.6  68.32  69.36  1689800  69.36
2014-02-06  66.45  69.36  66.32  69.31  3025800  69.31
2014-02-05  65.68  66.44  65.15  66.29  4672700  66.29
2014-02-04  66.35  66.75  65.71  65.78  2445300  65.78
2014-02-03  68.0  68.2  65.87  65.93  3053300  65.93
2014-01-31  67.02  68.44  67.0  67.91  2284800  67.91
2014-01-30  68.04  68.19  67.56  67.96  1789200  67.96
2014-01-29  67.5  68.12  67.23  67.66  2615500  67.66
2014-01-28  68.39  69.04  67.63  67.77  2627300  67.77
2014-01-27  67.76  68.93  67.47  68.28  2878200  68.28
2014-01-24  67.84  68.63  67.71  67.83  2526400  67.83
2014-01-23  69.04  69.07  67.85  68.49  2734500  68.49
2014-01-22  71.33  71.34  69.21  69.26  2977800  69.26
2014-01-21  71.69  71.83  70.04  70.42  2503300  70.42
2014-01-17  72.05  72.05  71.22  71.39  1759400  71.39
2014-01-16  73.61  73.61  71.87  72.08  1646000  72.08
2014-01-15  73.17  73.55  72.5  72.77  1478000  72.77
2014-01-14  73.54  73.8  72.97  73.2  1043300  73.2
2014-01-13  74.15  74.36  73.22  73.29  2632300  73.29
2014-01-10  74.79  75.2  74.11  74.65  1626600  74.65
2014-01-09  73.89  74.68  73.72  74.65  2193500  74.65
2014-01-08  73.87  73.98  73.21  73.7  2352800  73.7
2014-01-07  74.18  75.11  73.71  73.77  1908000  73.77
2014-01-06  74.38  75.2  74.16  74.18  993400  74.18
2014-01-03  74.32  74.85  74.1  74.33  1101400  74.33
2014-01-02  74.35  75.35  74.0  74.27  1513600  74.27
2013-12-31  74.38  75.04  74.34  74.93  1122000  74.93
2013-12-30  73.96  74.66  73.75  74.35  834900  74.35
2013-12-27  74.43  74.6  73.51  73.75  1044800  73.75
2013-12-26  74.06  74.7  74.06  74.5  596300  74.5
2013-12-24  74.03  74.19  73.72  73.99  450200  73.99
2013-12-23  74.5  74.5  73.82  73.95  953700  73.95
2013-12-20  73.49  74.42  73.32  74.02  2729500  74.02
2013-12-19  73.09  73.53  72.62  73.32  1668700  73.32
2013-12-18  72.18  73.38  71.68  73.37  1899600  73.37
2013-12-17  72.35  72.68  71.94  71.97  1782000  71.97
2013-12-16  72.12  73.25  72.1  72.61  2663200  72.61
2013-12-13  71.04  71.97  71.04  71.74  2436300  71.74
2013-12-12  70.49  71.33  70.29  70.62  2271700  70.62
2013-12-11  71.29  71.5  70.39  70.39  2469300  70.39
2013-12-10  71.58  71.8  71.35  71.47  1867500  71.47
2013-12-09  72.0  72.22  71.75  71.88  2137000  71.88
2013-12-06  72.71  72.8  71.73  71.97  1606200  71.97
2013-12-05  72.54  72.76  71.88  72.08  1842600  72.08
2013-12-04  71.56  72.76  71.5  72.51  3271400  72.51
2013-12-03  74.15  74.61  72.83  73.08  3449200  73.08
2013-12-02  75.78  75.9  74.36  74.51  3514800  74.51
2013-11-29  76.5  76.82  75.99  76.28  603400  76.28
2013-11-27  78.16  78.16  76.31  76.5  1219300  76.5
2013-11-26  75.5  76.75  75.4  76.51  3058100  76.51
2013-11-25  75.81  76.04  74.95  75.33  2823600  75.33
2013-11-22  74.12  76.22  72.83  75.49  9623700  75.49
2013-11-21  81.36  81.36  79.75  80.07  3035800  80.07
2013-11-20  81.25  81.5  80.5  81.13  1336100  81.13
2013-11-19  80.72  81.6  80.28  80.76  1267700  80.76
2013-11-18  81.51  81.8  80.32  80.68  1440600  80.68
2013-11-15  80.83  81.47  80.04  81.45  1711100  81.45
2013-11-14  79.76  81.06  79.39  80.9  1498900  80.9
2013-11-13  78.11  79.9  77.96  79.87  1403600  79.87
