Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.48  34.14  33.47  34.11  1804100  34.11
2014-02-27  33.64  33.67  33.19  33.43  2032100  33.43
2014-02-26  33.66  33.9  33.43  33.57  1540800  33.57
2014-02-25  33.82  33.91  33.58  33.67  1394300  33.67
2014-02-24  33.85  34.22  33.76  33.76  2060400  33.76
2014-02-21  33.78  33.99  33.59  33.76  1811800  33.76
2014-02-20  33.73  33.98  33.52  33.74  2156500  33.74
2014-02-19  33.7  33.85  33.63  33.73  1998800  33.73
2014-02-18  34.34  34.36  33.42  33.83  3213700  33.83
2014-02-14  33.99  34.48  33.9  34.4  2049100  34.4
2014-02-13  33.46  34.1  33.4  34.06  2008400  34.06
2014-02-12  33.58  33.62  33.45  33.57  1380900  33.57
2014-02-11  33.21  33.62  33.15  33.52  1685700  33.52
2014-02-10  33.3  33.37  32.89  33.13  2175600  33.13
2014-02-07  32.0  33.83  32.0  33.4  7275000  33.4
2014-02-06  31.55  31.91  31.48  31.87  1373900  31.87
2014-02-05  31.58  31.85  31.45  31.55  2567400  31.55
2014-02-04  31.7  31.82  31.43  31.53  1903700  31.53
2014-02-03  32.03  32.12  31.42  31.55  1934600  31.55
2014-01-31  31.85  32.08  31.64  32.03  2526800  32.03
2014-01-30  32.11  32.27  31.93  32.21  2039800  32.21
2014-01-29  31.95  32.31  31.78  31.98  3194100  31.98
2014-01-28  32.03  32.34  31.96  32.15  2456100  32.15
2014-01-27  31.83  32.17  31.8  32.09  3384400  32.09
2014-01-24  32.05  32.36  31.67  31.74  4580400  31.74
2014-01-23  32.18  32.23  31.9  32.23  1748600  32.23
2014-01-22  32.33  32.43  32.25  32.35  1699000  32.35
2014-01-21  32.33  32.39  32.03  32.27  1339900  32.27
2014-01-17  32.13  32.4  32.06  32.25  2360600  32.25
2014-01-16  32.23  32.25  32.01  32.11  1065200  32.11
2014-01-15  32.33  32.33  32.12  32.23  1660800  32.23
2014-01-14  32.13  32.4  32.03  32.23  2179400  32.23
2014-01-13  32.3  32.4  31.98  32.04  2250700  32.04
2014-01-10  32.47  32.63  32.29  32.42  2249400  32.42
2014-01-09  32.59  32.67  32.35  32.36  2325600  32.36
2014-01-08  32.75  32.75  32.27  32.47  3246100  32.47
2014-01-07  32.79  32.87  32.47  32.69  2610600  32.69
2014-01-06  33.08  33.11  32.78  32.82  2232900  32.82
2014-01-03  33.03  33.12  32.8  32.98  1363800  32.98
2014-01-02  33.2  33.3  32.91  32.96  1808100  32.96
2013-12-31  33.29  33.37  33.12  33.2  1121400  33.2
2013-12-30  33.35  33.43  33.23  33.29  1295400  33.29
2013-12-27  33.75  33.77  33.53  33.58  1048100  33.58
2013-12-26  33.72  33.88  33.62  33.67  867500  33.67
2013-12-24  33.42  33.9  33.41  33.69  476100  33.69
2013-12-23  33.53  33.58  33.31  33.35  1164800  33.35
