Date  Open  High  Low  Close  Volume  Adj Close
2013-09-27  15.86  16.09  15.79  16.03  6419400  16.03
2013-09-26  15.77  16.0  15.74  15.9  6123200  15.9
2013-09-25  15.29  15.8  15.24  15.73  5701800  15.73
2013-09-24  15.23  15.31  15.21  15.22  4915700  15.22
2013-09-23  15.07  15.22  14.98  15.21  5286800  15.21
2013-09-20  15.26  15.28  14.97  15.12  32830700  15.12
2013-09-19  15.39  15.47  15.11  15.27  4864700  15.27
2013-09-18  15.57  15.58  15.28  15.39  5434100  15.39
2013-09-17  15.6  15.66  15.44  15.5  4369300  15.5
2013-09-16  15.5  15.62  15.3  15.57  4683400  15.57
2013-09-13  14.92  15.44  14.91  15.41  4717200  15.41
2013-09-12  14.59  15.11  14.37  14.96  9898500  14.96
2013-09-11  14.41  14.77  14.41  14.77  2818000  14.77
2013-09-10  14.44  14.58  14.36  14.47  2524400  14.47
2013-09-09  14.4  14.5  14.38  14.44  2256700  14.44
2013-09-06  14.35  14.41  14.24  14.37  2709700  14.37
2013-09-05  14.4  14.4  14.23  14.33  6113900  14.33
2013-09-04  14.31  14.57  13.83  14.41  7962300  14.41
2013-09-03  15.23  15.37  15.08  15.15  2385300  15.15
2013-08-30  15.24  15.24  15.01  15.07  1710400  15.07
2013-08-29  15.05  15.34  15.0  15.27  1840000  15.27
2013-08-28  15.28  15.33  15.01  15.11  2214800  15.11
2013-08-27  15.42  15.47  15.3  15.33  1448700  15.33
2013-08-26  15.47  15.66  15.47  15.54  1466800  15.54
2013-08-23  15.42  15.51  15.37  15.48  1645900  15.48
2013-08-22  15.19  15.4  15.19  15.37  1129900  15.37
2013-08-21  15.26  15.32  15.12  15.18  1757400  15.18
2013-08-20  15.24  15.36  15.21  15.29  1303500  15.29
2013-08-19  15.31  15.36  15.22  15.22  2254900  15.22
2013-08-16  15.29  15.39  15.16  15.35  2450900  15.35
2013-08-15  15.58  15.58  15.32  15.34  2641500  15.34
2013-08-14  16.0  16.0  15.7  15.71  3097900  15.71
2013-08-13  16.0  16.06  15.92  15.95  1848600  15.95
2013-08-12  15.76  16.0  15.72  15.95  1434500  15.95
2013-08-09  15.75  15.85  15.7  15.82  1149100  15.82
2013-08-08  15.72  15.82  15.67  15.76  1515200  15.76
2013-08-07  15.59  15.74  15.48  15.69  1583000  15.69
2013-08-06  15.65  15.79  15.53  15.67  1838900  15.67
2013-08-05  15.59  15.74  15.52  15.67  1715300  15.67
2013-08-02  15.53  15.66  15.47  15.65  1605600  15.65
2013-08-01  15.35  15.63  15.29  15.57  1876000  15.57
2013-07-31  15.2  15.36  15.16  15.29  2881600  15.29
2013-07-30  14.99  15.22  14.97  15.22  3292100  15.22
2013-07-29  14.9  14.97  14.79  14.95  1702900  14.95
2013-07-26  14.74  14.91  14.72  14.9  1870400  14.9
2013-07-25  14.78  14.85  14.71  14.83  2106200  14.83
2013-07-24  14.65  14.96  14.62  14.84  2668800  14.84
2013-07-23  14.68  14.75  14.6  14.63  3715200  14.63
2013-07-22  14.48  14.79  14.25  14.6  3881800  14.6
2013-07-19  14.21  14.27  14.09  14.14  1636000  14.14
2013-07-18  14.24  14.32  14.19  14.24  1684900  14.24
2013-07-17  14.13  14.36  14.11  14.21  1478100  14.21
2013-07-16  14.15  14.23  13.98  14.12  2063800  14.12
2013-07-15  14.1  14.2  14.07  14.18  1754600  14.18
2013-07-12  14.17  14.22  14.06  14.1  1698000  14.1
2013-07-11  14.26  14.3  14.09  14.16  1955300  14.16
2013-07-10  13.97  14.09  13.92  14.05  1391500  14.05
2013-07-09  14.06  14.13  13.93  13.99  2615200  13.99
2013-07-08  13.88  14.01  13.81  14.0  2460700  14.0
2013-07-05  13.75  13.87  13.67  13.86  2059400  13.86
2013-07-03  13.69  13.74  13.55  13.72  1748900  13.72
2013-07-02  13.75  13.97  13.64  13.81  3996000  13.81
2013-07-01  13.84  13.87  13.66  13.78  2750100  13.78
2013-06-28  13.48  13.87  13.48  13.81  7289400  13.81
2013-06-27  13.47  13.54  13.4  13.5  2974800  13.5
2013-06-26  13.12  13.48  13.08  13.45  3728900  13.45
2013-06-25  12.9  13.02  12.81  13.0  2510500  13.0
2013-06-24  12.8  12.93  12.65  12.81  2692700  12.81
2013-06-21  12.99  13.03  12.81  12.96  2805800  12.96
2013-06-20  13.18  13.19  12.84  12.92  2391000  12.92
2013-06-19  13.5  13.62  13.22  13.26  2010600  13.26
2013-06-18  13.55  13.56  13.44  13.54  2252600  13.54
2013-06-17  13.61  13.67  13.48  13.55  2358700  13.55
2013-06-14  13.74  13.77  13.49  13.52  2329000  13.52
2013-06-13  13.48  13.75  13.39  13.74  4933000  13.74
2013-06-12  13.98  13.98  13.33  13.47  3764000  13.47
2013-06-11  13.48  13.77  13.33  13.75  8929800  13.75
2013-06-10  13.88  13.92  13.32  13.58  9392300  13.58
2013-06-07  13.78  13.98  13.7  13.82  7912600  13.82
2013-06-06  13.48  13.73  13.44  13.72  3527800  13.72
2013-06-05  13.6  13.72  13.48  13.49  3129300  13.49
2013-06-04  13.31  13.73  13.03  13.66  6713000  13.66
2013-06-03  13.48  13.92  13.48  13.72  6856500  13.72
2013-05-31  14.08  14.21  13.41  13.41  10036800  13.41
2013-05-30  14.04  14.14  13.99  14.1  2197900  14.1
2013-05-29  13.98  14.1  13.83  14.01  2134700  14.01
2013-05-28  14.18  14.38  13.89  14.07  3904700  14.07
2013-05-24  13.96  14.15  13.94  14.09  1760600  14.09
2013-05-23  14.02  14.14  13.97  14.02  2702200  14.02
2013-05-22  14.31  14.4  14.06  14.11  2084100  14.11
2013-05-21  14.33  14.41  14.28  14.33  2105000  14.33
2013-05-20  14.32  14.43  14.28  14.34  1832600  14.34
2013-05-17  14.16  14.34  14.11  14.31  2262500  14.31
2013-05-16  14.01  14.26  14.01  14.17  2712500  14.17
2013-05-15  13.92  14.11  13.84  14.06  1535200  14.06
2013-05-14  13.78  14.02  13.78  14.0  1421200  14.0
2013-05-13  13.78  13.87  13.74  13.77  2339000  13.77
2013-05-10  13.89  13.96  13.75  13.84  2523800  13.84
2013-05-09  13.93  13.97  13.82  13.88  2308700  13.88
2013-05-08  13.84  13.98  13.77  13.97  3362300  13.97
2013-05-07  13.8  13.95  13.78  13.82  4040800  13.82
2013-05-06  13.77  13.83  13.67  13.8  1583700  13.8
2013-05-03  13.78  13.81  13.65  13.79  2824200  13.79
2013-05-02  13.6  13.7  13.53  13.66  2496800  13.66
2013-05-01  13.81  13.86  13.57  13.6  3056600  13.6
2013-04-30  13.75  13.83  13.65  13.82  3580100  13.82
2013-04-29  13.62  13.8  13.58  13.73  3780500  13.73
2013-04-26  13.62  13.73  13.49  13.55  2772200  13.55
2013-04-25  13.46  13.8  13.46  13.64  4416500  13.64
2013-04-24  13.17  13.55  13.13  13.46  4315600  13.46
2013-04-23  13.2  13.2  13.03  13.15  3316200  13.15
2013-04-22  13.05  13.14  12.93  13.13  2471300  13.13
2013-04-19  13.04  13.11  12.95  13.03  2840100  13.03
2013-04-18  13.03  13.2  12.97  13.0  4476600  13.0
2013-04-17  13.01  13.11  12.88  13.04  4514900  13.04
2013-04-16  12.86  13.09  12.76  13.08  3373900  13.08
2013-04-15  12.68  12.87  12.68  12.75  3397700  12.75
2013-04-12  12.95  12.98  12.69  12.72  4355300  12.72
2013-04-11  12.89  13.04  12.86  13.01  3027300  13.01
2013-04-10  12.85  12.98  12.8  12.91  4547400  12.91
2013-04-09  12.69  12.82  12.63  12.78  3892700  12.78
2013-04-08  12.57  12.7  12.45  12.7  8076600  12.7
2013-04-05  12.34  12.65  12.31  12.64  5265400  12.64
2013-04-04  12.41  12.47  12.29  12.42  6118500  12.42
2013-04-03  12.5  12.59  12.34  12.43  7211400  12.43
2013-04-02  12.68  12.69  12.48  12.54  4887300  12.54
2013-04-01  12.43  12.62  12.34  12.61  4835400  12.61
2013-03-28  12.18  12.42  12.11  12.42  6817000  12.42
2013-03-27  12.34  12.51  12.11  12.21  11323000  12.21
2013-03-26  11.94  12.0  11.58  11.76  6520000  11.76
2013-03-25  11.87  11.9  11.76  11.82  3974100  11.82
2013-03-22  11.73  11.73  11.54  11.67  2350700  11.67
2013-03-21  11.72  11.77  11.64  11.65  2177600  11.65
2013-03-20  11.59  11.82  11.59  11.77  3743800  11.77
2013-03-19  11.64  11.64  11.49  11.54  2894300  11.54
2013-03-18  11.41  11.61  11.34  11.59  3519500  11.59
2013-03-15  11.23  11.51  11.19  11.49  4367200  11.49
2013-03-14  11.4  11.42  11.24  11.27  3137300  11.27
2013-03-13  11.37  11.42  11.33  11.39  2367300  11.39
2013-03-12  11.19  11.37  11.19  11.36  2549600  11.36
2013-03-11  11.16  11.23  11.09  11.22  1793300  11.22
2013-03-08  11.13  11.22  11.02  11.19  3059700  11.19
2013-03-07  11.04  11.13  11.02  11.1  2699100  11.1
2013-03-06  10.94  11.07  10.91  11.05  2491200  11.05
2013-03-05  11.08  11.13  10.89  10.99  2801700  10.99
2013-03-04  10.92  11.01  10.85  10.99  2872400  10.99
2013-03-01  10.82  10.99  10.69  10.98  4298700  10.98
2013-02-28  10.6  10.86  10.6  10.84  3859400  10.84
2013-02-27  10.34  10.64  10.34  10.62  2543100  10.62
2013-02-26  10.48  10.52  10.27  10.38  2255600  10.38
2013-02-25  10.46  10.74  10.45  10.45  3662700  10.45
2013-02-22  10.45  10.53  10.42  10.46  2161300  10.46
2013-02-21  10.71  10.76  10.39  10.44  4730700  10.44
2013-02-20  10.98  10.98  10.69  10.77  5365600  10.77
2013-02-19  11.21  11.3  11.18  11.23  2987700  11.23
2013-02-15  11.07  11.28  11.06  11.22  3241300  11.22
2013-02-14  10.9  11.07  10.88  11.07  3598000  11.07
2013-02-13  10.99  11.04  10.91  10.93  3016400  10.93
2013-02-12  11.0  11.03  10.92  10.98  1791300  10.98
2013-02-11  11.02  11.08  10.97  10.99  2129500  10.99
2013-02-08  11.13  11.14  11.01  11.02  2211200  11.02
2013-02-07  11.12  11.15  10.93  11.13  2719600  11.13
2013-02-06  11.05  11.19  11.03  11.12  5546400  11.12
2013-02-05  11.09  11.17  11.05  11.1  2268800  11.1
2013-02-04  11.1  11.15  11.08  11.08  2079700  11.08
2013-02-01  11.17  11.21  11.08  11.17  3201000  11.17
2013-01-31  11.16  11.19  11.07  11.1  4501800  11.1
2013-01-30  11.21  11.3  11.17  11.18  4820300  11.18
2013-01-29  11.07  11.22  10.93  11.2  7474400  11.2
2013-01-28  11.15  11.18  11.06  11.1  4008800  11.1
2013-01-25  11.14  11.18  11.05  11.12  3091200  11.12
2013-01-24  10.94  11.14  10.94  11.11  4905400  11.11
2013-01-23  11.02  11.07  10.97  10.99  3965400  10.99
2013-01-22  10.95  11.04  10.91  11.02  1946800  11.02
2013-01-18  10.97  11.04  10.87  10.98  2447400  10.98
2013-01-17  10.86  11.04  10.86  10.98  1582000  10.98
2013-01-16  10.97  11.0  10.84  10.86  1397700  10.86
2013-01-15  10.99  11.04  10.96  10.99  1989600  10.99
2013-01-14  11.05  11.19  11.04  11.08  2227400  11.08
2013-01-11  10.92  10.97  10.85  10.97  2005300  10.97
2013-01-10  10.96  11.06  10.89  10.92  2426300  10.92
2013-01-09  10.78  10.97  10.77  10.96  3176300  10.96
2013-01-08  10.76  10.79  10.58  10.77  3434500  10.77
2013-01-07  10.81  10.81  10.56  10.75  3410800  10.75
2013-01-04  10.56  10.75  10.51  10.73  3634700  10.73
2013-01-03  10.4  10.53  10.35  10.5  1735000  10.5
2013-01-02  10.45  10.45  10.3  10.4  4400200  10.4
2012-12-31  10.03  10.29  10.03  10.28  2590400  10.28
2012-12-28  9.99  10.12  9.95  10.07  2253800  10.07
