Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  49.19  49.62  49.13  49.5  639400  49.5
2014-02-27  49.32  49.55  49.02  49.18  647900  49.18
2014-02-26  49.4  49.6  49.19  49.21  664700  49.21
2014-02-25  49.37  49.72  49.27  49.45  1047500  49.45
2014-02-24  49.57  49.98  49.33  49.35  949500  49.35
2014-02-21  49.2  49.97  49.13  49.6  1199300  49.6
2014-02-20  48.4  49.14  48.23  49.08  991100  49.08
2014-02-19  48.85  48.95  48.36  48.5  1459100  48.5
2014-02-18  48.79  49.0  48.73  48.93  1011400  48.93
2014-02-14  48.38  48.75  48.25  48.7  740700  48.7
2014-02-13  47.74  48.56  47.69  48.45  883000  48.45
2014-02-12  47.79  48.1  47.64  47.86  783800  47.86
2014-02-11  47.0  47.89  46.94  47.75  659500  47.75
2014-02-10  46.56  47.09  46.29  47.03  537600  47.03
2014-02-07  46.56  46.7  46.34  46.64  488800  46.64
2014-02-06  46.03  46.38  45.77  46.35  480600  46.35
2014-02-05  46.22  46.22  45.88  45.94  477100  45.94
2014-02-04  46.97  47.1  46.09  46.28  781600  46.28
2014-02-03  47.28  48.06  46.7  46.83  1310100  46.83
2014-01-31  46.53  47.39  46.5  47.27  724300  47.27
2014-01-30  46.38  47.02  46.27  46.96  781700  46.96
2014-01-29  46.32  46.48  46.0  46.16  990400  46.16
2014-01-28  46.31  46.48  46.11  46.45  507500  46.45
2014-01-27  46.63  47.12  45.88  46.29  1823300  46.29
2014-01-24  46.85  47.37  46.55  46.56  982000  46.56
2014-01-23  46.84  47.06  46.64  47.01  708900  47.01
2014-01-22  46.91  47.17  46.8  47.05  580700  47.05
2014-01-21  46.5  46.98  46.36  46.88  648100  46.88
2014-01-17  46.51  46.52  46.24  46.34  500400  46.34
2014-01-16  46.15  46.41  46.12  46.38  456500  46.38
2014-01-15  46.5  46.53  46.09  46.18  504100  46.18
2014-01-14  46.42  46.66  46.26  46.33  501100  46.33
2014-01-13  46.74  46.92  46.31  46.4  875500  46.4
2014-01-10  46.24  47.03  46.14  46.8  795700  46.8
2014-01-09  45.91  46.07  45.63  46.02  935300  46.02
2014-01-08  46.24  46.24  45.58  45.67  935000  45.67
2014-01-07  45.72  46.28  45.66  46.22  711100  46.22
2014-01-06  45.96  46.07  45.64  45.73  877000  45.73
2014-01-03  46.06  46.21  45.64  45.96  814000  45.96
2014-01-02  47.17  47.3  45.97  46.03  1001900  46.03
2013-12-31  47.07  47.14  46.77  46.93  734000  46.93
2013-12-30  47.02  47.32  46.83  46.9  632200  46.9
2013-12-27  47.14  47.27  46.87  46.96  529900  46.96
2013-12-26  47.34  47.4  46.85  47.05  451100  47.05
2013-12-24  47.12  47.46  46.93  47.28  177700  47.28
2013-12-23  47.37  47.64  47.07  47.11  721800  47.11
2013-12-20  47.1  47.51  46.99  47.25  2157400  47.25
2013-12-19  47.31  47.34  46.69  47.02  829500  47.02
2013-12-18  46.64  47.5  46.25  47.45  1059500  47.45
2013-12-17  46.74  46.9  46.55  46.62  801700  46.62
2013-12-16  46.74  47.19  46.72  46.8  1081200  46.8
2013-12-13  46.54  46.76  46.37  46.54  830200  46.54
2013-12-12  46.29  46.73  46.26  46.42  1186100  46.42
2013-12-11  46.75  47.04  46.24  46.29  1013700  46.29
2013-12-10  47.3  47.56  46.76  46.83  1680700  46.83
2013-12-09  47.49  47.69  47.25  47.37  977300  47.37
2013-12-06  47.04  47.64  46.74  47.64  723700  47.64
2013-12-05  46.98  47.16  46.62  46.84  906100  46.84
2013-12-04  46.59  47.24  46.35  47.1  989800  47.1
2013-12-03  46.39  46.87  46.31  46.81  810800  46.81
2013-12-02  46.66  46.96  46.23  46.55  986200  46.55
2013-11-29  46.81  47.03  46.65  46.66  290800  46.66
2013-11-27  46.59  46.92  46.41  46.76  971300  46.76
2013-11-26  46.84  46.98  46.3  46.62  1008200  46.62
