Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.21  37.36  37.04  37.28  2586000  37.28
2014-02-27  37.15  37.32  36.74  36.93  3188100  36.93
2014-02-26  37.32  37.53  37.19  37.24  2298600  37.24
2014-02-25  37.5  37.72  37.24  37.35  2889500  37.35
2014-02-24  37.73  38.05  37.48  37.52  3621900  37.52
2014-02-21  37.67  38.0  37.52  37.64  3082700  37.64
2014-02-20  37.16  37.91  37.15  37.73  3010000  37.73
2014-02-19  36.94  37.45  36.89  37.12  2830900  37.12
2014-02-18  37.05  37.34  37.0  37.04  2433500  37.04
2014-02-14  37.06  37.16  36.85  37.05  1962800  37.05
2014-02-13  36.8  37.28  36.75  37.07  2579400  37.07
2014-02-12  37.39  37.39  36.8  36.88  3673900  36.88
2014-02-11  36.67  37.58  36.59  37.39  4900600  37.39
2014-02-10  36.26  36.69  36.01  36.69  4256900  36.69
2014-02-07  36.45  37.03  36.31  36.46  3248800  36.46
2014-02-06  35.43  36.33  35.38  36.23  3762200  36.23
2014-02-05  34.59  36.01  34.03  35.49  5654800  35.49
2014-02-04  35.39  36.53  35.15  36.28  5655800  36.28
2014-02-03  35.61  35.87  34.95  35.03  4206300  35.03
2014-01-31  35.53  36.03  35.43  35.63  3986400  35.63
2014-01-30  35.68  36.01  35.5  35.89  4211700  35.89
2014-01-29  34.53  35.34  34.53  34.91  3001700  34.91
2014-01-28  34.29  34.82  34.22  34.81  1889900  34.81
2014-01-27  34.38  34.57  33.93  34.21  2547100  34.21
2014-01-24  34.53  34.84  34.34  34.34  3393500  34.34
2014-01-23  34.79  34.9  34.47  34.79  2624700  34.79
2014-01-22  35.19  35.29  34.98  34.99  2592500  34.99
2014-01-21  34.92  35.19  34.84  35.05  2892300  35.05
2014-01-17  34.89  34.9  34.64  34.78  2912400  34.78
2014-01-16  34.35  34.81  34.25  34.77  3346400  34.77
2014-01-15  34.39  34.46  33.92  34.21  2812500  34.21
2014-01-14  34.3  34.43  34.09  34.36  2607400  34.36
2014-01-13  34.87  34.92  34.15  34.25  3094600  34.25
2014-01-10  34.66  34.97  34.52  34.88  2742600  34.88
2014-01-09  34.61  34.74  34.16  34.45  2803200  34.45
2014-01-08  34.82  34.94  34.5  34.59  2906800  34.59
2014-01-07  35.11  35.34  35.02  35.17  2471100  35.17
2014-01-06  34.9  35.17  34.79  35.04  2571800  35.04
2014-01-03  34.91  35.01  34.69  34.87  1754000  34.87
2014-01-02  35.18  35.25  34.62  34.85  2580000  34.85
2013-12-31  35.0  35.42  34.95  35.3  3303500  35.3
2013-12-30  34.66  34.95  34.6  34.84  2149400  34.84
2013-12-27  34.4  34.74  34.33  34.61  1411900  34.61
2013-12-26  34.13  34.65  34.13  34.52  1551000  34.52
2013-12-24  34.15  34.25  34.03  34.16  763100  34.16
2013-12-23  33.99  34.45  33.93  34.16  2441900  34.16
2013-12-20  33.68  34.0  33.38  33.86  6771300  33.86
2013-12-19  33.24  33.75  33.18  33.59  3180600  33.59
2013-12-18  32.75  33.33  32.58  33.31  3566900  33.31
2013-12-17  32.85  32.96  32.51  32.71  2897600  32.71
2013-12-16  33.22  33.22  32.81  32.91  3063300  32.91
2013-12-13  33.01  33.22  32.84  32.93  2760800  32.93
2013-12-12  32.76  33.14  32.63  33.05  3310900  33.05
2013-12-11  33.23  33.24  32.76  32.84  3736300  32.84
2013-12-10  33.66  33.85  33.13  33.16  4537400  33.16
2013-12-09  33.8  34.12  33.7  33.86  3342600  33.86
2013-12-06  33.22  33.69  32.97  33.68  3603600  33.68
2013-12-05  33.08  33.11  32.7  32.97  2424500  32.97
2013-12-04  33.14  33.31  32.53  33.08  3484800  33.08
2013-12-03  32.73  33.53  32.57  33.36  3483100  33.36
2013-12-02  33.31  33.35  32.81  33.13  2171400  33.13
2013-11-29  33.48  33.52  33.22  33.25  1609000  33.25
2013-11-27  33.63  33.63  33.3  33.37  2333800  33.37
2013-11-26  33.85  33.85  33.56  33.59  3758500  33.59
2013-11-25  33.77  33.85  33.58  33.77  2556200  33.77
2013-11-22  33.43  33.96  33.32  33.76  2919700  33.76
2013-11-21  33.53  33.53  33.3  33.49  2636200  33.49
2013-11-20  33.8  33.82  33.22  33.33  2943600  33.33
2013-11-19  33.85  33.97  33.6  33.69  2186100  33.69
2013-11-18  34.11  34.14  33.79  33.85  2370500  33.85
2013-11-15  33.76  34.05  33.75  34.04  2932000  34.04
2013-11-14  33.81  34.26  33.72  33.77  2689100  33.77
2013-11-13  33.76  33.84  33.58  33.8  2126900  33.8
2013-11-12  33.77  34.05  33.68  33.88  3644800  33.88
2013-11-11  33.9  33.92  33.55  33.79  1909800  33.79
2013-11-08  33.59  33.82  33.16  33.82  3583500  33.82
2013-11-07  34.62  34.68  33.67  33.73  4299500  33.73
2013-11-06  34.59  34.93  34.48  34.67  2188900  34.67
2013-11-05  34.69  34.89  34.4  34.6  5858800  34.6
2013-11-04  35.04  35.38  34.15  34.76  4424900  34.76
2013-11-01  35.18  35.18  34.65  34.78  2690800  34.78
2013-10-31  35.0  35.2  34.67  34.95  2744600  34.95
2013-10-30  35.31  35.32  34.76  34.93  2245400  34.93
2013-10-29  35.03  35.32  35.03  35.22  1954800  35.22
2013-10-28  35.32  35.53  35.0  35.02  3061300  35.02
2013-10-25  35.15  35.36  34.93  35.32  1942700  35.32
2013-10-24  34.86  35.17  34.8  35.09  1616500  35.09
2013-10-23  35.2  35.32  34.66  34.78  3102800  34.78
2013-10-22  35.11  35.51  35.06  35.37  2918400  35.37
2013-10-21  34.63  34.98  34.55  34.98  2820000  34.98
2013-10-18  34.45  34.73  34.38  34.69  3195600  34.69
2013-10-17  34.25  34.44  34.1  34.39  2182000  34.39
2013-10-16  34.01  34.38  33.88  34.28  3218500  34.28
2013-10-15  33.95  34.05  33.61  33.79  2740800  33.79
2013-10-14  34.04  34.11  33.6  34.0  2596900  34.0
2013-10-11  33.7  34.32  33.67  34.23  1885800  34.23
2013-10-10  33.53  33.85  33.35  33.79  2524800  33.79
2013-10-09  33.51  33.58  33.14  33.38  2476500  33.38
2013-10-08  33.72  33.96  33.48  33.49  2905600  33.49
2013-10-07  33.65  33.79  33.49  33.63  1984700  33.63
2013-10-04  33.83  34.09  33.73  33.98  2177100  33.98
2013-10-03  34.05  34.13  33.59  33.83  2157400  33.83
2013-10-02  33.9  34.37  33.63  34.2  3399400  34.2
2013-10-01  33.6  34.08  33.58  34.06  2697000  34.06
2013-09-30  33.43  33.73  33.33  33.63  3374600  33.63
2013-09-27  33.6  33.65  33.31  33.57  2416500  33.57
2013-09-26  33.47  33.86  33.46  33.86  2085500  33.86
2013-09-25  33.58  33.68  33.27  33.42  2353300  33.42
2013-09-24  33.59  33.73  33.39  33.56  2692600  33.56
