Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  33.5  34.56  33.46  34.04  2412500  34.04
2014-02-27  33.26  33.62  33.13  33.46  1607000  33.46
2014-02-26  33.67  33.9  33.13  33.32  2355700  33.32
2014-02-25  32.8  33.82  32.8  33.62  2343300  33.62
2014-02-24  32.75  33.3  32.7  32.84  1958400  32.84
2014-02-21  32.8  33.1  32.52  32.78  1546000  32.78
2014-02-20  32.44  32.8  31.92  32.72  1643200  32.72
2014-02-19  32.5  33.01  32.33  32.4  1420800  32.4
2014-02-18  32.28  32.75  32.26  32.65  1379700  32.65
2014-02-14  32.37  32.58  32.23  32.27  1126100  32.27
2014-02-13  31.78  32.45  31.73  32.41  1568900  32.41
2014-02-12  32.81  32.95  31.81  31.98  2864800  31.98
2014-02-11  32.09  32.96  31.86  32.74  1659800  32.74
2014-02-10  31.35  32.17  31.16  32.06  2316600  32.06
2014-02-07  30.1  31.53  30.03  31.45  2927900  31.45
2014-02-06  29.91  30.8  28.18  29.86  4816000  29.86
2014-02-05  30.37  31.03  29.96  30.89  2310400  30.89
2014-02-04  30.34  30.71  30.15  30.41  1587900  30.41
2014-02-03  31.18  31.33  29.96  30.03  1654100  30.03
2014-01-31  30.92  31.48  30.75  31.19  1285700  31.19
2014-01-30  31.41  31.53  31.23  31.39  1371500  31.39
2014-01-29  30.73  31.58  30.36  31.06  2182500  31.06
2014-01-28  31.2  31.39  30.92  31.01  1809000  31.01
2014-01-27  31.3  31.53  30.71  31.1  1952800  31.1
2014-01-24  31.95  31.98  31.03  31.07  1910200  31.07
2014-01-23  32.74  32.82  31.93  32.09  1980100  32.09
2014-01-22  33.08  33.12  32.76  33.03  1115800  33.03
2014-01-21  33.2  33.25  32.71  32.97  1111100  32.97
2014-01-17  33.68  33.68  32.99  33.06  1086600  33.06
2014-01-16  33.52  33.75  33.36  33.68  1014600  33.68
2014-01-15  33.8  34.03  33.45  33.61  1260100  33.61
2014-01-14  33.36  33.78  33.21  33.72  1413300  33.72
2014-01-13  33.84  34.03  33.1  33.27  1168700  33.27
2014-01-10  33.96  34.04  33.67  34.02  1112100  34.02
2014-01-09  34.06  34.3  33.64  33.75  1564000  33.75
2014-01-08  33.92  34.15  33.64  34.05  1355300  34.05
2014-01-07  33.68  34.26  33.65  33.93  819700  33.93
2014-01-06  33.91  34.13  33.54  33.64  1505200  33.64
2014-01-03  33.7  33.87  33.5  33.67  946100  33.67
2014-01-02  34.02  34.04  33.46  33.73  1112000  33.73
2013-12-31  34.27  34.27  33.78  34.05  781500  34.05
2013-12-30  33.75  34.37  33.66  34.13  853900  34.13
2013-12-27  34.13  34.13  33.65  33.82  552200  33.82
2013-12-26  34.01  34.11  33.62  33.96  1115400  33.96
2013-12-24  33.2  34.0  33.2  33.99  861700  33.99
2013-12-23  33.13  33.16  32.88  33.09  966400  33.09
2013-12-20  32.79  33.14  32.53  32.95  1919900  32.95
2013-12-19  32.34  32.66  32.21  32.55  1069900  32.55
2013-12-18  31.75  32.49  31.38  32.38  1784300  32.38
2013-12-17  31.84  32.03  31.56  31.73  1358600  31.73
2013-12-16  32.11  32.3  31.74  31.98  1800800  31.98
2013-12-13  31.71  32.24  31.63  31.85  1730900  31.85
2013-12-12  31.39  31.7  31.28  31.55  1117200  31.55
2013-12-11  32.38  32.54  31.29  31.39  1789400  31.39
2013-12-10  32.04  32.79  31.91  32.52  1524000  32.52
2013-12-09  32.52  32.65  31.99  32.13  980300  32.13
2013-12-06  31.8  32.63  31.64  32.52  1498300  32.52
2013-12-05  31.8  31.96  31.35  31.46  1383900  31.46
2013-12-04  31.56  32.03  31.4  31.93  1383700  31.93
2013-12-03  31.72  32.17  31.54  31.78  1278600  31.78
2013-12-02  32.03  32.14  31.6  31.68  1607600  31.68
2013-11-29  32.14  32.27  31.85  31.98  516000  31.98
2013-11-27  32.31  32.34  32.01  32.21  981600  32.21
2013-11-26  31.98  32.27  31.92  32.15  1297400  32.15
