Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  93.93  94.6  93.71  94.41  868900  94.41
2014-02-27  93.84  94.24  93.63  93.91  421000  93.91
2014-02-26  93.93  94.45  93.71  93.99  752300  93.99
2014-02-25  92.89  94.23  92.89  93.7  647100  93.7
2014-02-24  93.19  93.98  92.81  93.03  856200  93.03
2014-02-21  93.19  94.25  92.75  92.79  1067600  92.79
2014-02-20  93.53  94.12  93.0  93.8  1094800  93.8
2014-02-19  94.96  95.57  93.41  93.54  1076500  93.54
2014-02-18  96.39  96.64  95.27  95.39  537300  95.39
2014-02-14  94.85  96.53  94.69  96.37  729900  96.37
2014-02-13  94.26  95.47  94.15  95.47  562900  95.47
2014-02-12  94.22  95.55  94.15  94.98  802700  94.98
2014-02-11  93.11  94.54  92.6  94.37  868200  94.37
2014-02-10  92.2  93.06  91.48  92.84  929300  92.84
2014-02-07  90.81  93.11  90.46  92.55  758500  92.55
2014-02-06  90.89  91.49  90.04  90.67  857000  90.67
2014-02-05  90.66  91.22  89.99  90.85  759700  90.85
2014-02-04  91.35  91.72  90.29  90.57  706100  90.57
2014-02-03  92.88  93.21  90.62  90.84  725300  90.84
2014-01-31  92.13  93.15  91.89  92.74  665100  92.74
2014-01-30  91.83  94.38  91.82  93.65  775300  93.65
2014-01-29  91.48  92.65  91.3  91.97  561800  91.97
2014-01-28  90.98  92.03  90.72  91.95  555100  91.95
2014-01-27  91.75  91.95  90.46  90.97  730800  90.97
2014-01-24  92.3  92.57  91.12  91.21  642900  91.21
2014-01-23  92.66  93.53  92.61  93.06  557800  93.06
2014-01-22  93.58  93.77  92.92  93.32  621400  93.32
2014-01-21  91.92  93.45  91.92  93.39  602000  93.39
2014-01-17  92.06  92.84  91.88  92.28  1176300  92.28
2014-01-16  92.84  93.33  92.2  92.52  308800  92.52
2014-01-15  92.97  93.43  92.59  92.75  390100  92.75
2014-01-14  91.46  93.02  91.25  92.78  596100  92.78
2014-01-13  92.78  93.36  91.05  91.25  677200  91.25
2014-01-10  93.11  93.71  92.82  93.19  428900  93.19
2014-01-09  93.59  93.59  92.87  93.13  576400  93.13
2014-01-08  92.33  93.24  91.68  93.15  677100  93.15
2014-01-07  91.68  92.9  91.54  92.55  402900  92.55
2014-01-06  92.51  92.78  91.1  91.48  701200  91.48
2014-01-03  92.66  92.93  92.02  92.34  436100  92.34
2014-01-02  93.36  93.38  92.19  92.55  525100  92.55
2013-12-31  94.05  94.13  93.25  93.78  382400  93.78
2013-12-30  94.27  94.43  93.59  93.77  390200  93.77
2013-12-27  92.28  94.55  91.99  93.96  928800  93.96
2013-12-26  91.93  92.26  91.4  91.94  345200  91.94
2013-12-24  91.26  92.01  90.94  91.96  185600  91.96
2013-12-23  90.7  91.11  89.98  91.07  383100  91.07
2013-12-20  88.78  90.49  88.78  90.34  1020700  90.34
2013-12-19  90.53  90.73  89.54  89.66  676300  89.66
2013-12-18  89.45  90.75  88.56  90.73  638000  90.73
2013-12-17  89.37  89.61  88.81  89.27  465900  89.27
2013-12-16  89.71  90.08  88.76  89.53  375200  89.53
2013-12-13  89.43  89.68  88.82  89.22  530000  89.22
2013-12-12  89.38  89.49  88.9  88.95  632300  88.95
2013-12-11  89.23  89.45  88.88  89.44  965700  89.44
2013-12-10  89.18  89.45  88.9  89.13  548500  89.13
2013-12-09  89.4  89.69  88.98  89.34  713000  89.34
2013-12-06  88.55  89.04  87.7  88.96  668700  88.96
2013-12-05  86.89  87.67  86.89  87.49  558400  87.49
2013-12-04  86.76  87.87  86.46  87.12  728100  87.12
2013-12-03  86.06  87.3  85.83  86.89  786800  86.89
2013-12-02  86.22  86.89  86.22  86.36  404300  86.36
2013-11-29  86.73  87.27  86.0  86.03  218500  86.03
2013-11-27  86.74  87.25  86.6  86.82  210900  86.82
2013-11-26  86.91  87.14  86.49  86.81  459800  86.81
2013-11-25  87.46  87.46  86.64  86.75  557900  86.75
2013-11-22  86.46  87.03  85.97  87.03  410000  87.03
2013-11-21  85.73  86.3  85.33  86.3  400800  86.3
2013-11-20  85.58  85.82  85.08  85.25  427700  85.25
2013-11-19  85.09  85.63  84.93  85.1  520000  85.1
2013-11-18  86.24  86.68  85.21  85.32  490600  85.32
2013-11-15  86.03  86.51  85.56  86.23  675800  86.23
2013-11-14  84.67  85.64  84.46  85.58  573000  85.58
2013-11-13  83.78  84.49  83.34  84.35  917100  84.35
2013-11-12  83.67  84.16  83.59  83.9  579200  83.9
2013-11-11  84.43  84.62  83.78  83.94  503100  83.94
2013-11-08  84.46  84.68  84.03  84.36  583300  84.36
2013-11-07  85.53  85.71  84.08  84.26  466000  84.26
2013-11-06  85.38  85.66  84.48  85.2  426600  85.2
2013-11-05  84.47  84.92  84.3  84.73  568300  84.73
2013-11-04  84.96  85.51  84.72  85.08  471200  85.08
2013-11-01  86.46  86.46  84.89  85.1  466900  85.1
2013-10-31  86.04  86.34  85.72  86.01  417300  86.01
2013-10-30  86.65  87.16  85.74  85.95  413800  85.95
2013-10-29  86.6  86.95  86.02  86.92  570500  86.92
2013-10-28  86.24  86.76  86.15  86.62  389000  86.62
2013-10-25  86.29  86.63  85.83  86.63  367200  86.63
2013-10-24  85.85  86.45  85.77  86.27  482400  86.27
2013-10-23  84.17  85.84  84.09  85.8  807000  85.8
2013-10-22  84.26  85.02  83.37  84.58  1691100  84.58
2013-10-21  83.58  83.95  82.49  82.91  1118800  82.91
2013-10-18  83.34  83.81  83.2  83.36  884300  83.36
2013-10-17  82.68  83.56  82.68  83.42  1470200  83.42
2013-10-16  83.1  83.72  82.69  83.35  844700  83.35
2013-10-15  82.82  83.3  82.69  82.79  475700  82.79
2013-10-14  83.22  83.51  83.04  83.06  774900  83.06
2013-10-11  83.13  83.57  82.88  83.23  644100  83.23
2013-10-10  83.21  83.67  82.78  83.15  763600  83.15
2013-10-09  83.76  83.76  82.49  82.5  645000  82.5
2013-10-08  84.24  84.42  83.21  83.24  470800  83.24
2013-10-07  84.33  84.49  83.84  84.12  306400  84.12
2013-10-04  83.93  85.23  83.73  84.86  371600  84.86
2013-10-03  84.48  84.59  83.31  83.94  470800  83.94
2013-10-02  84.37  84.83  83.86  84.83  444700  84.83
2013-10-01  84.57  85.32  84.32  84.63  480600  84.63
2013-09-30  84.89  85.18  84.36  84.88  392900  84.88
2013-09-27  84.91  85.35  84.5  85.11  380500  85.11
2013-09-26  85.59  85.96  84.78  85.48  563600  85.48
2013-09-25  85.63  86.02  85.06  85.13  479600  85.13
2013-09-24  85.23  86.38  85.1  85.58  740600  85.58
2013-09-23  85.17  85.92  84.77  85.15  387900  85.15
2013-09-20  87.04  87.28  85.44  85.51  1265900  85.51
2013-09-19  87.79  88.12  87.16  87.57  454700  87.57
2013-09-18  85.79  87.43  85.27  87.42  683000  87.42
2013-09-17  85.95  86.08  85.39  85.68  288400  85.68
2013-09-16  86.58  86.64  85.42  85.74  353300  85.74
2013-09-13  84.75  85.22  84.26  85.06  377300  85.06
2013-09-12  85.01  85.38  84.1  84.49  613800  84.49
2013-09-11  84.44  85.24  83.93  85.11  656000  85.11
2013-09-10  82.77  84.43  82.65  84.2  753600  84.2
2013-09-09  82.75  83.28  82.54  82.55  848900  82.55
2013-09-06  83.38  83.45  82.16  82.7  227700  82.7
2013-09-05  82.79  83.5  82.63  83.11  299700  83.11
2013-09-04  81.84  83.23  81.63  83.04  577800  83.04
2013-09-03  82.95  83.8  81.85  82.13  554700  82.13
2013-08-30  81.73  82.4  81.64  82.07  531800  82.07
2013-08-29  81.56  81.97  81.46  81.69  657900  81.69
2013-08-28  82.53  82.53  81.77  81.86  274200  81.86
2013-08-27  82.46  83.24  81.9  82.26  516500  82.26
2013-08-26  83.38  83.84  82.83  83.01  259000  83.01
2013-08-23  83.75  83.75  82.88  83.3  397500  83.3
2013-08-22  83.27  84.35  83.02  83.34  272000  83.34
2013-08-21  83.29  83.77  82.86  83.14  294500  83.14
2013-08-20  83.0  83.84  82.65  83.55  504800  83.55
2013-08-19  83.52  83.7  82.91  82.96  380200  82.96
2013-08-16  83.54  83.92  83.18  83.5  518300  83.5
2013-08-15  84.62  84.62  83.37  83.77  565600  83.77
2013-08-14  85.3  85.37  84.61  84.64  381100  84.64
2013-08-13  85.39  85.71  85.05  85.3  287400  85.3
2013-08-12  84.62  85.41  84.48  85.22  298400  85.22
2013-08-09  84.34  85.19  84.17  85.04  313600  85.04
2013-08-08  84.66  85.03  84.29  84.77  395900  84.77
2013-08-07  84.34  84.44  83.88  84.11  282300  84.11
2013-08-06  83.55  84.64  83.34  84.38  319800  84.38
2013-08-05  84.33  84.5  83.56  83.84  248300  83.84
2013-08-02  84.16  84.39  83.9  84.32  443300  84.32
2013-08-01  83.54  84.78  82.5  84.63  609800  84.63
2013-07-31  83.07  83.49  82.44  82.93  557700  82.93
2013-07-30  82.61  83.07  81.94  82.64  538000  82.64
2013-07-29  81.96  82.76  81.52  82.51  377600  82.51
2013-07-26  82.36  82.53  81.47  82.09  479100  82.09
2013-07-25  82.25  82.86  82.11  82.69  577200  82.69
2013-07-24  82.38  82.66  81.92  82.4  584300  82.4
2013-07-23  83.41  83.76  81.74  82.37  1021800  82.37
2013-07-22  84.44  84.6  83.31  83.35  813300  83.35
2013-07-19  83.64  83.99  82.88  83.83  733900  83.83
2013-07-18  83.3  83.88  82.97  83.13  572600  83.13
2013-07-17  83.62  83.88  82.86  83.27  405000  83.27
2013-07-16  84.09  84.23  82.84  83.05  611200  83.05
2013-07-15  83.4  84.02  83.23  83.6  540300  83.6
2013-07-12  83.35  83.76  83.18  83.72  711900  83.72
2013-07-11  82.99  83.63  82.89  83.45  576800  83.45
2013-07-10  81.83  82.31  81.54  82.29  608700  82.29
2013-07-09  81.79  82.37  81.63  81.73  750600  81.73
2013-07-08  81.0  81.61  80.82  81.51  808000  81.51
2013-07-05  80.66  81.01  80.02  80.68  321500  80.68
2013-07-03  80.04  80.6  79.64  80.29  309600  80.29
2013-07-02  80.4  81.07  79.87  80.48  848000  80.48
2013-07-01  80.28  81.41  79.91  80.53  551300  80.53
2013-06-28  79.91  80.53  79.5  79.82  768500  79.82
2013-06-27  80.54  80.75  80.14  80.38  396800  80.38
2013-06-26  80.33  80.76  79.82  80.37  584300  80.37
2013-06-25  80.59  80.59  79.51  79.89  513400  79.89
2013-06-24  80.01  80.1  79.07  79.61  676300  79.61
2013-06-21  80.15  80.66  79.62  80.13  1189000  80.13
2013-06-20  79.74  80.52  79.26  79.8  786600  79.8
2013-06-19  80.63  81.53  80.53  80.58  518100  80.58
2013-06-18  81.34  82.02  81.06  81.56  600600  81.56
2013-06-17  81.16  81.5  80.7  81.12  626400  81.12
2013-06-14  81.81  81.94  80.7  80.87  687800  80.87
2013-06-13  80.57  81.72  80.07  81.59  824600  81.59
2013-06-12  82.01  82.01  80.38  80.75  678900  80.75
2013-06-11  81.58  81.74  81.0  81.3  456800  81.3
2013-06-10  82.2  82.4  81.77  82.13  454600  82.13
2013-06-07  82.44  82.52  81.99  82.25  614500  82.25
2013-06-06  82.06  82.17  81.4  82.16  657800  82.16
2013-06-05  83.29  83.56  82.22  82.25  668100  82.25
2013-06-04  83.12  83.63  82.82  83.29  516700  83.29
2013-06-03  83.43  83.49  82.7  83.13  659800  83.13
2013-05-31  83.02  83.92  82.91  83.07  562900  83.07
2013-05-30  83.74  84.03  83.19  83.39  380400  83.39
2013-05-29  83.67  84.01  83.23  83.45  570200  83.45
2013-05-28  84.39  85.05  83.98  84.29  970400  84.29
2013-05-24  82.8  83.94  82.75  83.74  521000  83.74
2013-05-23  83.03  83.66  82.51  83.58  526300  83.58
2013-05-22  83.44  84.44  82.79  83.5  728000  83.5
2013-05-21  83.66  83.82  82.99  83.43  678700  83.43
2013-05-20  82.96  83.48  82.7  83.27  556400  83.27
2013-05-17  82.4  83.47  82.28  83.35  1633100  83.35
2013-05-16  81.84  82.5  81.61  82.02  903100  82.02
2013-05-15  80.52  82.42  80.37  82.11  1167700  82.11
2013-05-14  79.6  80.86  79.6  80.67  575300  80.67
2013-05-13  79.77  80.01  78.89  79.69  415500  79.69
2013-05-10  79.2  79.77  79.06  79.75  533200  79.75
2013-05-09  78.68  79.18  78.68  79.1  347800  79.1
2013-05-08  78.64  79.08  78.27  78.98  340300  78.98
2013-05-07  78.09  78.58  77.97  78.47  368600  78.47
2013-05-06  78.14  78.28  77.49  78.09  453500  78.09
2013-05-03  77.84  78.29  77.4  78.1  509600  78.1
2013-05-02  77.03  77.7  76.57  77.28  391000  77.28
2013-05-01  77.73  77.73  76.87  77.17  553600  77.17
2013-04-30  77.35  77.95  76.41  77.9  815800  77.9
2013-04-29  76.65  77.68  75.71  77.51  553300  77.51
2013-04-26  77.57  77.74  76.43  76.68  351000  76.68
2013-04-25  78.29  78.36  77.2  77.35  640400  77.35
2013-04-24  76.97  77.12  76.28  76.43  916700  76.43
2013-04-23  76.17  76.96  75.81  76.67  846100  76.67
2013-04-22  75.94  76.31  75.59  75.68  931800  75.68
2013-04-19  75.01  76.21  75.01  76.14  1045700  76.14
