Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  23.76  24.27  23.44  23.94  3025000  23.94
2014-02-27  23.46  23.81  23.09  23.78  2735000  23.78
2014-02-26  23.7  23.9  23.48  23.55  3111200  23.55
2014-02-25  23.98  23.98  23.48  23.61  5464100  23.61
2014-02-24  23.81  24.18  23.78  23.96  3647800  23.96
2014-02-21  23.39  23.91  23.28  23.84  4775200  23.84
2014-02-20  23.65  23.82  23.32  23.41  5016900  23.41
2014-02-19  24.0  24.22  23.55  23.71  6296100  23.71
2014-02-18  23.63  24.02  23.38  23.92  4378800  23.92
2014-02-14  23.58  23.65  23.33  23.6  2625500  23.6
2014-02-13  23.48  23.86  23.31  23.61  3697000  23.61
2014-02-12  23.45  23.96  23.41  23.57  3924400  23.57
2014-02-11  22.18  23.56  21.08  23.39  5933600  23.39
2014-02-10  22.78  22.89  22.57  22.84  2769400  22.84
2014-02-07  22.58  22.92  22.56  22.75  3673400  22.75
2014-02-06  21.95  22.56  21.85  22.54  4206700  22.54
2014-02-05  21.88  22.15  21.72  22.0  4996700  22.0
2014-02-04  22.18  22.47  21.8  21.91  5505200  21.91
2014-02-03  22.72  22.77  22.11  22.21  8515400  22.21
2014-01-31  22.86  23.08  22.64  22.76  4667600  22.76
2014-01-30  23.31  23.4  23.03  23.1  4240300  23.1
2014-01-29  22.96  23.41  22.93  23.13  8901400  23.13
2014-01-28  23.09  23.28  22.84  22.88  5945500  22.88
2014-01-27  23.11  23.38  22.95  22.98  5743500  22.98
2014-01-24  23.15  23.36  22.98  23.01  8055300  23.01
2014-01-23  24.03  24.34  22.77  23.33  19989700  23.33
2014-01-22  24.59  24.68  24.18  24.42  4488600  24.42
2014-01-21  24.53  24.53  24.02  24.24  7595800  24.24
2014-01-17  25.75  25.83  24.42  24.47  18463800  24.47
2014-01-16  27.23  27.34  26.99  27.14  3644800  27.14
2014-01-15  27.06  27.24  27.03  27.24  3989500  27.24
2014-01-14  26.99  27.16  26.95  27.06  4369400  27.06
2014-01-13  26.75  26.98  26.65  26.95  3341300  26.95
2014-01-10  26.7  26.86  26.63  26.82  2968300  26.82
2014-01-09  26.5  26.67  26.36  26.63  2688300  26.63
