Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  160.31  162.18  160.2  161.29  2237000  161.29
2014-02-27  161.25  161.72  159.23  160.38  1156800  160.38
2014-02-26  160.52  161.48  159.94  161.06  1442600  161.06
2014-02-25  159.99  160.48  159.07  159.36  1209700  159.36
2014-02-24  159.75  161.74  159.39  159.91  1444900  159.91
2014-02-21  159.64  160.7  158.73  159.56  1216600  159.56
2014-02-20  160.04  161.0  158.98  159.92  1059400  159.92
2014-02-19  159.6  161.7  159.55  160.18  1268100  160.18
2014-02-18  160.27  160.48  158.53  160.27  1411100  160.27
2014-02-14  158.47  160.53  158.37  160.19  1005800  160.19
2014-02-13  157.31  159.59  157.13  158.73  1100700  158.73
2014-02-12  157.66  158.39  157.0  157.94  1066700  157.94
2014-02-11  156.85  158.43  156.43  157.95  1484100  157.95
2014-02-10  156.21  157.75  155.47  157.1  1433100  157.1
2014-02-07  154.8  155.88  152.46  155.74  1590600  155.74
2014-02-06  152.7  154.55  152.47  154.1  1422400  154.1
2014-02-05  151.8  153.05  151.16  152.72  1440900  152.72
2014-02-04  150.26  152.53  149.23  152.21  1790500  152.21
2014-02-03  152.89  152.89  149.56  149.99  1972500  149.99
2014-01-31  151.8  154.76  151.1  153.62  2469300  153.62
2014-01-30  150.24  151.96  150.02  151.75  1817600  151.75
2014-01-29  149.9  150.99  148.43  149.44  1836100  149.44
2014-01-28  150.84  152.11  150.72  150.86  1269000  150.86
2014-01-27  152.11  153.05  150.03  150.74  1880900  150.74
2014-01-24  154.47  154.56  151.99  151.99  2093400  151.99
2014-01-23  155.48  156.65  154.34  154.9  1481500  154.9
2014-01-22  156.97  157.73  156.0  156.22  1221000  156.22
2014-01-21  155.94  157.45  154.75  156.67  1691300  156.67
2014-01-17  156.12  156.47  154.85  155.48  1569400  155.48
2014-01-16  155.33  156.46  155.33  156.16  836700  156.16
2014-01-15  155.02  156.66  154.16  155.95  1494100  155.95
2014-01-14  153.94  155.36  153.28  155.01  1413100  155.01
2014-01-13  153.43  155.38  153.41  153.95  1247700  153.95
2014-01-10  153.99  154.92  153.57  154.48  1567000  154.48
2014-01-09  153.07  153.62  151.61  152.99  1294500  152.99
2014-01-08  153.58  154.07  151.93  153.14  1678400  153.14
2014-01-07  153.77  154.77  152.49  153.66  1660700  153.66
2014-01-06  152.82  154.19  152.58  153.77  1470900  153.77
2014-01-03  150.94  153.34  150.37  152.74  1143500  152.74
2014-01-02  151.2  152.07  149.84  150.9  1378500  150.9
2013-12-31  152.23  152.68  150.42  150.97  1558900  150.97
2013-12-30  152.32  153.69  151.82  152.2  879500  152.2
2013-12-27  152.05  152.44  151.24  152.02  1120400  152.02
2013-12-26  153.11  154.26  152.3  153.02  691500  153.02
2013-12-24  153.17  153.73  152.06  152.91  435500  152.91
2013-12-23  154.26  154.64  152.4  152.75  1370100  152.75
2013-12-20  152.48  153.58  152.23  153.5  2360400  153.5
2013-12-19  153.68  153.75  151.55  152.79  1727800  152.79
2013-12-18  151.13  154.51  149.66  153.85  2581500  153.85
2013-12-17  150.81  151.85  150.54  151.4  1523200  151.4
2013-12-16  150.36  151.26  149.15  151.08  1750900  151.08
2013-12-13  150.64  153.79  150.0  150.44  2480000  150.44
2013-12-12  149.32  149.52  147.2  147.21  1568000  147.21
2013-12-11  152.17  152.61  149.2  149.26  1571300  149.26
2013-12-10  152.74  153.37  151.88  151.92  1221600  151.92
2013-12-09  151.8  152.61  150.56  152.53  1223900  152.53
2013-12-06  150.85  151.58  150.0  151.55  1283100  151.55
2013-12-05  147.74  149.85  147.04  149.62  1520900  149.62
2013-12-04  146.47  148.79  146.39  148.19  1222400  148.19
2013-12-03  147.22  148.49  146.87  147.7  1133300  147.7
2013-12-02  149.95  149.95  147.41  147.67  1470300  147.67
2013-11-29  150.82  151.29  148.65  148.67  882900  148.67
2013-11-27  149.3  150.74  148.85  150.54  1510100  150.54
2013-11-26  147.85  149.46  147.21  148.95  1620600  148.95
2013-11-25  148.98  149.16  147.46  147.67  907300  147.67
2013-11-22  149.83  149.84  148.0  148.41  817700  148.41
2013-11-21  149.11  149.81  148.34  149.51  902800  149.51
2013-11-20  150.98  152.28  148.64  148.87  1069800  148.87
2013-11-19  151.02  152.11  149.89  150.93  1068500  150.93
2013-11-18  152.33  152.95  151.09  151.24  1185500  151.24
2013-11-15  150.32  152.43  150.32  152.32  1616400  152.32
2013-11-14  148.33  151.44  148.31  150.87  1338900  150.87
2013-11-13  146.98  148.5  146.35  148.5  1454000  148.5
2013-11-12  149.42  149.84  146.83  147.43  1506200  147.43
2013-11-11  150.8  151.31  149.9  150.07  914800  150.07
2013-11-08  151.85  151.85  148.75  150.59  1473800  150.59
2013-11-07  154.37  154.54  152.39  152.87  1354600  152.87
2013-11-06  153.52  154.67  153.2  153.69  1039400  153.69
2013-11-05  153.4  153.85  152.56  152.76  1140400  152.76
2013-11-04  154.4  154.64  152.66  154.64  1080400  154.64
2013-11-01  152.86  154.27  152.1  154.13  1325300  154.13
2013-10-31  153.5  154.48  151.8  152.11  1539700  152.11
2013-10-30  153.59  155.02  152.61  153.4  1199100  153.4
2013-10-29  155.06  155.66  153.46  154.2  1156200  154.2
2013-10-28  157.37  157.37  154.47  155.06  1301500  155.06
2013-10-25  158.58  159.43  155.5  157.18  1459700  157.18
2013-10-24  156.34  157.96  155.56  157.96  1356900  157.96
2013-10-23  156.38  157.34  155.34  156.29  1321600  156.29
2013-10-22  155.08  157.73  155.07  157.23  1415000  157.23
2013-10-21  155.36  155.36  153.47  154.29  1236900  154.29
2013-10-18  156.92  157.47  155.29  155.51  1225500  155.51
2013-10-17  154.4  156.54  153.48  156.09  1439900  156.09
2013-10-16  151.96  154.87  151.66  154.7  1333900  154.7
2013-10-15  151.44  152.97  150.65  151.5  1185700  151.5
2013-10-14  150.55  152.29  150.09  151.88  1100200  151.88
2013-10-11  149.72  151.64  149.46  151.56  1082600  151.56
2013-10-10  147.73  150.36  147.38  150.34  1235400  150.34
2013-10-09  147.41  148.38  146.18  146.9  1020900  146.9
2013-10-08  148.6  149.1  146.6  146.69  982600  146.69
2013-10-07  145.37  149.33  145.26  148.67  1310700  148.67
2013-10-04  146.6  147.37  145.48  146.81  1045200  146.81
2013-10-03  148.34  149.21  145.5  146.43  1488500  146.43
2013-10-02  146.36  149.2  146.22  149.19  1375900  149.19
2013-10-01  146.09  149.78  145.43  147.18  1348100  147.18
2013-09-30  146.51  148.33  145.17  145.89  1199900  145.89
2013-09-27  148.3  148.95  146.8  147.73  1074200  147.73
2013-09-26  147.83  148.93  147.62  148.88  1109200  148.88
2013-09-25  147.73  149.34  146.62  147.87  871300  147.87
2013-09-24  148.35  148.9  147.57  147.63  1233100  147.63
2013-09-23  148.39  149.7  147.63  148.9  1338700  148.9
2013-09-20  152.07  152.57  148.61  148.61  2170900  148.61
2013-09-19  152.76  154.9  152.05  152.08  2323600  152.08
2013-09-18  148.62  152.06  146.05  152.02  2898700  152.02
2013-09-17  149.02  150.35  148.42  149.04  1467600  149.04
2013-09-16  149.14  149.97  148.35  149.31  1392100  149.31
2013-09-13  146.22  146.9  145.86  146.17  909300  146.17
2013-09-12  146.79  147.82  145.77  145.96  997700  145.96
2013-09-11  146.17  146.84  145.83  146.76  1164100  146.76
2013-09-10  146.97  147.63  145.74  146.38  1341200  146.38
2013-09-09  143.24  146.09  143.05  146.09  1888800  146.09
2013-09-06  142.26  144.2  142.26  142.65  1432500  142.65
2013-09-05  142.28  142.85  140.22  140.29  1249400  140.29
2013-09-04  142.01  143.45  141.15  142.29  1542800  142.29
2013-09-03  143.93  144.38  140.87  142.16  1479100  142.16
2013-08-30  144.27  144.94  142.65  143.33  1652800  143.33
2013-08-29  142.28  144.16  141.73  144.03  1217600  144.03
2013-08-28  143.74  143.8  142.35  142.97  1183600  142.97
2013-08-27  143.93  144.41  142.91  143.44  1446600  143.44
2013-08-26  145.38  145.98  144.42  144.81  867100  144.81
2013-08-23  147.08  147.08  144.15  145.17  1482900  145.17
2013-08-22  143.06  144.1  141.74  144.05  1250300  144.05
2013-08-21  143.23  145.07  141.94  142.66  1447600  142.66
2013-08-20  141.46  144.82  141.01  143.62  1257400  143.62
2013-08-19  142.41  142.91  140.94  140.96  1494100  140.96
2013-08-16  146.82  147.32  142.48  143.0  1752300  143.0
2013-08-15  149.01  149.51  146.85  147.32  1365300  147.32
2013-08-14  152.03  152.32  150.1  150.26  1072500  150.26
2013-08-13  153.82  153.83  150.89  151.62  969700  151.62
2013-08-12  153.95  154.02  152.66  153.66  933200  153.66
2013-08-09  152.8  155.35  152.56  154.3  909400  154.3
2013-08-08  153.61  153.95  152.21  152.74  848400  152.74
2013-08-07  152.51  153.41  151.5  153.24  880000  153.24
2013-08-06  152.62  153.73  152.11  152.74  745900  152.74
2013-08-05  153.93  154.01  152.76  153.29  766100  153.29
2013-08-02  155.39  155.65  153.7  153.97  1035600  153.97
2013-08-01  157.12  157.67  154.4  155.3  1394800  155.3
2013-07-31  158.26  159.01  154.84  156.36  2078400  156.36
2013-07-30  160.35  161.73  157.46  157.99  989700  157.99
2013-07-29  161.61  161.96  159.01  159.28  871900  159.28
2013-07-26  159.6  160.77  158.36  160.74  867300  160.74
2013-07-25  159.73  160.38  159.01  160.01  1569300  160.01
2013-07-24  162.1  162.75  159.18  160.61  1753200  160.61
2013-07-23  163.04  163.15  160.91  162.15  821900  162.15
2013-07-22  161.24  162.33  160.72  162.22  705000  162.22
2013-07-19  160.62  161.47  159.85  161.15  1131900  161.15
2013-07-18  158.96  160.92  158.96  160.92  1344500  160.92
2013-07-17  159.48  159.68  158.31  159.04  772300  159.04
2013-07-16  159.16  159.88  158.56  159.24  1251000  159.24
2013-07-15  158.85  159.95  158.48  159.14  857600  159.14
2013-07-12  160.61  161.17  158.46  159.24  995000  159.24
2013-07-11  160.15  161.24  159.3  160.28  1411100  160.28
2013-07-10  157.99  157.99  155.37  157.09  916400  157.09
2013-07-09  156.76  158.31  155.65  157.99  1180200  157.99
2013-07-08  156.17  157.49  155.35  155.54  1213500  155.54
2013-07-05  155.33  156.05  152.76  155.79  1227200  155.79
2013-07-03  157.32  157.32  154.24  155.31  1177500  155.31
2013-07-02  154.01  158.92  154.01  158.87  2403900  158.87
2013-07-01  155.52  156.36  153.7  154.01  1292800  154.01
2013-06-28  157.4  160.82  154.27  154.27  2032800  154.27
2013-06-27  155.51  157.16  155.46  156.97  1689900  156.97
2013-06-26  154.6  156.25  153.88  154.62  1600900  154.62
2013-06-25  152.6  154.17  151.42  153.21  2125900  153.21
2013-06-24  151.26  155.39  148.51  151.4  2821100  151.4
2013-06-21  152.21  155.14  150.82  152.96  2755400  152.96
2013-06-20  157.1  157.19  150.13  151.01  2907400  151.01
2013-06-19  163.55  164.01  156.7  158.77  2081300  158.77
2013-06-18  164.48  164.75  162.97  163.44  1437600  163.44
2013-06-17  163.36  165.06  162.14  164.61  1798900  164.61
2013-06-14  161.29  164.41  160.52  162.22  1487400  162.22
2013-06-13  156.11  161.92  155.19  161.29  1861800  161.29
2013-06-12  159.37  159.48  155.35  155.98  1659300  155.98
2013-06-11  160.04  161.33  158.46  158.47  1312600  158.47
2013-06-10  163.43  163.98  161.07  161.45  928500  161.45
2013-06-07  163.62  163.96  160.6  163.4  1348100  163.4
2013-06-06  159.91  162.88  158.94  162.71  1226300  162.71
2013-06-05  161.22  162.11  159.61  160.13  1134700  160.13
2013-06-04  163.06  163.5  161.38  161.83  1334800  161.83
2013-06-03  162.49  163.71  160.87  162.83  1818400  162.83
2013-05-31  165.33  166.98  162.55  162.6  2426100  162.6
2013-05-30  168.2  169.13  166.04  166.07  1334300  166.07
2013-05-29  170.17  170.28  165.17  167.9  1862000  167.9
2013-05-28  172.33  173.64  169.57  171.39  1681200  171.39
2013-05-24  168.02  171.01  167.55  170.44  1152800  170.44
2013-05-23  171.08  171.3  168.82  169.58  1397500  169.58
2013-05-22  175.09  178.23  170.74  171.97  1757900  171.97
2013-05-21  174.97  177.12  174.97  176.07  929300  176.07
2013-05-20  175.42  175.87  174.02  174.83  747800  174.83
2013-05-17  174.23  175.76  173.63  175.7  1297800  175.7
2013-05-16  174.75  176.13  173.04  173.46  1430000  173.46
2013-05-15  174.12  175.49  173.34  175.47  1457200  175.47
2013-05-14  175.27  175.37  173.46  173.97  1118800  173.97
2013-05-13  174.11  175.18  173.85  174.68  949000  174.68
2013-05-10  173.9  174.32  173.42  174.1  816900  174.1
2013-05-09  175.45  175.54  173.4  173.65  1474500  173.65
2013-05-08  173.57  175.47  172.57  175.05  1571600  175.05
2013-05-07  174.02  174.02  172.66  173.62  809700  173.62
2013-05-06  174.02  175.05  173.62  174.1  837800  174.1
2013-05-03  173.82  174.83  173.38  174.17  1003800  174.17
2013-05-02  171.97  173.71  171.14  172.8  1016800  172.8
2013-05-01  172.63  173.05  171.33  171.39  1298800  171.39
2013-04-30  171.12  172.87  170.62  172.84  1579500  172.84
2013-04-29  171.11  171.43  170.3  170.82  825100  170.82
2013-04-26  170.32  172.03  169.37  170.46  945000  170.46
2013-04-25  171.51  171.69  170.3  170.84  925900  170.84
2013-04-24  171.08  171.75  170.37  171.65  940000  171.65
2013-04-23  171.1  171.48  169.81  170.87  1003900  170.87
2013-04-22  171.23  171.51  169.37  170.35  1007900  170.35
2013-04-19  168.16  170.94  168.0  170.94  1636800  170.94
2013-04-18  167.99  168.27  166.7  167.83  1044000  167.83
2013-04-17  168.51  168.61  166.31  167.73  1230100  167.73
2013-04-16  166.24  169.98  165.16  169.36  1709600  169.36
2013-04-15  167.29  168.96  165.4  165.44  1675200  165.44
2013-04-12  168.8  169.25  167.42  168.56  1138600  168.56
2013-04-11  166.05  169.31  165.8  169.15  2407200  169.15
2013-04-10  163.82  166.23  163.73  165.76  1450000  165.76
2013-04-09  164.32  165.0  162.92  164.14  1401300  164.14
2013-04-08  160.71  164.14  160.67  164.14  2127000  164.14
2013-04-05  157.62  161.42  157.62  161.35  1954600  161.35
2013-04-04  157.25  159.14  157.07  158.8  1249300  158.8
2013-04-03  156.98  157.24  156.02  157.24  1189900  157.24
2013-04-02  155.5  156.29  155.3  156.24  946400  156.24
2013-04-01  153.92  154.64  153.55  154.64  1448400  154.64
2013-03-28  154.52  155.3  153.04  153.9  1501500  153.9
2013-03-27  153.82  154.88  153.68  154.53  772300  154.53
2013-03-26  155.57  155.68  154.32  154.65  1322300  154.65
2013-03-25  155.5  155.75  154.29  154.68  884600  154.68
2013-03-22  153.81  154.78  153.42  154.47  753400  154.47
2013-03-21  153.36  154.41  152.98  153.42  1021000  153.42
2013-03-20  153.32  153.82  152.88  153.82  1125000  153.82
2013-03-19  154.04  154.19  151.5  152.49  1703100  152.49
2013-03-18  153.83  154.66  153.04  154.07  1234900  154.07
2013-03-15  154.53  155.11  154.0  154.91  2497700  154.91
2013-03-14  154.57  155.76  154.44  155.19  804900  155.19
2013-03-13  155.19  155.69  154.3  154.62  718200  154.62
2013-03-12  156.0  156.2  154.62  154.84  1258400  154.84
2013-03-11  155.29  156.3  154.65  156.27  1208400  156.27
2013-03-08  155.62  155.63  153.38  155.3  1568800  155.3
2013-03-07  157.3  157.63  155.04  155.38  1556100  155.38
2013-03-06  158.63  158.63  156.72  157.17  675200  157.17
2013-03-05  157.3  158.17  156.32  157.84  843100  157.84
2013-03-04  155.18  157.55  154.84  156.72  1010800  156.72
2013-03-01  153.92  155.45  153.29  155.29  1203900  155.29
2013-02-28  154.72  155.27  153.98  154.2  1686800  154.2
2013-02-27  153.27  154.85  152.74  154.53  961700  154.53
2013-02-26  153.18  154.47  152.09  153.24  1103400  153.24
2013-02-25  155.94  156.01  152.69  152.75  1155700  152.75
2013-02-22  153.69  155.17  153.63  155.03  1035500  155.03
2013-02-21  154.38  154.61  152.74  153.38  1182800  153.38
2013-02-20  155.42  156.51  154.73  154.84  1194500  154.84
2013-02-19  155.17  155.89  155.15  155.79  1217600  155.79
2013-02-15  155.15  155.74  154.06  155.21  2049700  155.21
2013-02-14  156.96  157.13  155.65  155.86  1117300  155.86
2013-02-13  158.36  158.53  156.79  157.29  709800  157.29
2013-02-12  157.67  158.62  156.48  158.19  817000  158.19
2013-02-11  156.95  157.59  156.61  157.58  865600  157.58
2013-02-08  155.23  156.92  154.97  156.87  1048700  156.87
2013-02-07  156.04  156.17  154.97  154.97  923100  154.97
2013-02-06  155.04  156.52  154.95  155.85  1140500  155.85
2013-02-05  157.63  158.38  155.67  155.91  1631300  155.91
2013-02-04  155.37  157.54  155.37  156.63  1220000  156.63
2013-02-01  155.46  157.12  154.66  156.11  1153000  156.11
2013-01-31  155.38  155.48  154.36  154.38  1288200  154.38
2013-01-30  156.48  156.93  154.93  155.54  867500  155.54
2013-01-29  156.56  157.15  156.16  156.9  605900  156.9
2013-01-28  157.76  157.76  155.87  156.82  835900  156.82
2013-01-25  156.59  156.93  155.67  156.47  876900  156.47
2013-01-24  156.03  156.59  155.39  156.29  850000  156.29
2013-01-23  154.78  155.95  154.33  155.66  837300  155.66
2013-01-22  154.09  155.37  153.86  155.13  943600  155.13
2013-01-18  153.93  154.23  153.08  154.1  1463700  154.1
2013-01-17  154.68  154.68  153.78  154.11  698200  154.11
2013-01-16  153.78  154.5  153.37  153.94  1132400  153.94
2013-01-15  153.23  154.64  153.06  154.39  1223700  154.39
2013-01-14  154.18  154.18  153.25  153.67  563200  153.67
2013-01-11  154.11  154.47  153.65  154.19  759000  154.19
2013-01-10  154.32  154.83  153.23  154.11  925300  154.11
2013-01-09  153.74  154.29  153.36  154.13  692000  154.13
2013-01-08  154.02  154.09  152.63  153.38  754800  153.38
2013-01-07  152.4  154.1  152.35  153.94  897300  153.94
2013-01-04  152.91  153.45  152.09  152.85  1251400  152.85
2013-01-03  154.36  154.71  152.3  152.78  1317400  152.78
2013-01-02  154.4  154.92  152.73  154.02  1368800  154.02
2012-12-31  150.1  152.39  149.86  152.37  1029500  152.37
2012-12-28  151.14  152.45  150.33  150.37  787200  150.37
2012-12-27  151.21  152.53  150.43  152.21  702200  152.21
2012-12-26  152.51  152.8  150.97  151.28  775500  151.28
2012-12-24  152.11  154.88  151.24  152.22  578500  152.22
2012-12-21  151.06  152.7  150.55  152.09  2754200  152.09
2012-12-20  150.74  152.62  150.47  152.35  1097400  152.35
2012-12-19  151.14  151.43  150.36  150.73  1164300  150.73
2012-12-18  149.95  151.33  149.54  151.15  1516100  151.15
2012-12-17  149.97  150.76  148.88  149.84  1490500  149.84
2012-12-14  148.7  149.38  148.01  148.48  1004400  148.48
