Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  13.5  13.77  13.43  13.59  7442400  13.59
2014-02-27  13.56  13.6  13.36  13.44  7659300  13.44
2014-02-26  13.07  13.78  13.01  13.6  11840200  13.6
2014-02-25  13.0  13.09  12.61  13.0  15830200  13.0
2014-02-24  13.15  13.52  13.15  13.39  7900700  13.39
2014-02-21  13.14  13.18  13.08  13.09  4332400  13.09
2014-02-20  13.02  13.15  12.98  13.1  5226500  13.1
2014-02-19  13.06  13.06  12.96  12.98  6099300  12.98
2014-02-18  13.04  13.15  12.95  13.13  7034900  13.13
2014-02-14  13.02  13.11  12.95  13.03  7350800  13.03
2014-02-13  13.18  13.2  13.04  13.07  6571800  13.07
2014-02-12  13.47  13.61  13.18  13.2  6032400  13.2
2014-02-11  13.22  13.54  13.19  13.46  6387100  13.46
2014-02-10  13.11  13.28  13.09  13.23  6526700  13.23
2014-02-07  13.28  13.38  13.02  13.07  6901000  13.07
2014-02-06  12.89  13.32  12.87  13.27  10806200  13.27
2014-02-05  12.78  12.96  12.71  12.89  7031700  12.89
2014-02-04  13.01  13.07  12.83  12.88  8108800  12.88
2014-02-03  13.11  13.17  12.74  12.9  10453300  12.9
2014-01-31  13.2  13.28  13.01  13.16  7279700  13.16
2014-01-30  13.43  13.55  13.4  13.43  6351000  13.43
2014-01-29  13.37  13.5  13.29  13.3  7354500  13.3
2014-01-28  13.45  13.64  13.44  13.48  7228500  13.48
2014-01-27  13.52  13.62  13.17  13.4  11264700  13.4
2014-01-24  13.7  13.74  13.48  13.52  10039600  13.52
2014-01-23  13.7  13.81  13.62  13.75  8548500  13.75
2014-01-22  13.69  14.01  13.65  13.82  8774400  13.82
2014-01-21  13.73  13.81  13.53  13.63  10236100  13.63
2014-01-17  13.9  13.93  13.31  13.61  22251100  13.61
2014-01-16  14.25  14.3  13.61  13.89  27387900  13.89
2014-01-15  14.65  14.74  14.4  14.47  7270900  14.47
2014-01-14  14.54  14.72  14.41  14.6  7322100  14.6
