Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  37.41  37.97  37.18  37.68  3473900  37.68
2014-02-27  37.29  37.59  37.13  37.59  1690300  37.59
2014-02-26  37.31  37.41  36.98  37.36  2733500  37.36
2014-02-25  37.46  37.47  37.07  37.2  2631000  37.2
2014-02-24  37.14  37.94  37.12  37.49  3054700  37.49
2014-02-21  37.02  37.4  36.96  37.12  2271600  37.12
2014-02-20  36.86  37.15  36.54  36.98  2810000  36.98
2014-02-19  37.42  37.52  36.7  36.82  2909800  36.82
2014-02-18  37.78  37.79  37.28  37.56  1657600  37.56
2014-02-14  37.37  37.75  37.33  37.74  2271900  37.74
2014-02-13  36.73  37.35  36.61  37.34  4028100  37.34
2014-02-12  38.26  38.6  36.93  37.03  7229300  37.03
2014-02-11  37.7  38.25  37.51  38.2  3366000  38.2
2014-02-10  37.86  37.97  37.37  37.87  2835900  37.87
2014-02-07  37.72  38.24  37.58  37.95  3919300  37.95
2014-02-06  36.87  37.63  36.75  37.6  3035300  37.6
2014-02-05  36.44  37.0  36.28  36.78  4916400  36.78
2014-02-04  36.56  36.94  36.37  36.79  4702500  36.79
2014-02-03  36.99  37.11  36.13  36.3  5949800  36.3
2014-01-31  37.19  37.39  36.85  36.92  3707800  36.92
2014-01-30  37.9  37.92  37.38  37.71  2138700  37.71
2014-01-29  37.89  38.2  37.33  37.45  3722100  37.45
2014-01-28  38.0  38.2  37.69  37.94  3333400  37.94
2014-01-27  37.93  38.16  37.64  37.75  3737900  37.75
2014-01-24  38.82  38.82  37.93  37.95  4326100  37.95
2014-01-23  39.48  39.51  38.77  39.06  4256700  39.06
2014-01-22  39.89  40.1  39.6  39.75  3217400  39.75
2014-01-21  39.43  39.89  39.27  39.76  5941300  39.76
2014-01-17  39.38  39.89  38.63  39.23  8447300  39.23
2014-01-16  38.1  38.18  37.75  37.91  3298500  37.91
2014-01-15  38.1  38.45  38.1  38.34  3217000  38.34
2014-01-14  38.07  38.2  37.52  38.08  5108600  38.08
2014-01-13  38.17  38.48  37.89  38.05  4897900  38.05
2014-01-10  38.03  38.31  37.67  38.29  5151600  38.29
2014-01-09  37.38  37.97  37.36  37.91  4915800  37.91
2014-01-08  36.94  37.23  36.72  37.17  5409600  37.17
2014-01-07  37.3  37.34  36.7  36.87  4046800  36.87
2014-01-06  36.73  37.18  36.7  36.7  3394900  36.7
2014-01-03  36.43  36.71  36.3  36.45  1922300  36.45
2014-01-02  36.72  36.76  36.39  36.42  2241400  36.42
2013-12-31  36.63  36.78  36.42  36.71  1840700  36.71
2013-12-30  36.54  36.63  36.36  36.49  1736700  36.49
2013-12-27  36.67  36.7  36.45  36.51  1165500  36.51
2013-12-26  36.65  36.73  36.55  36.61  1306200  36.61
2013-12-24  36.61  36.84  36.58  36.67  872600  36.67
2013-12-23  36.4  36.8  36.33  36.66  2269200  36.66
2013-12-20  36.22  36.51  35.96  36.29  4033200  36.29
2013-12-19  35.57  36.23  35.48  36.01  3357700  36.01
2013-12-18  35.14  35.74  34.8  35.71  4101800  35.71
2013-12-17  35.21  35.32  34.97  35.17  2407500  35.17
2013-12-16  35.12  35.41  35.0  35.26  3082700  35.26
