Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  67.86  67.99  66.7  67.32  2174700  67.32
2014-02-27  67.82  68.25  67.47  68.0  1117400  68.0
2014-02-26  67.69  68.23  67.53  67.74  2047500  67.74
2014-02-25  67.83  67.96  67.21  67.44  1200900  67.44
2014-02-24  67.23  68.25  67.05  67.72  1648100  67.72
2014-02-21  67.93  68.02  67.19  67.25  1755100  67.25
2014-02-20  66.99  68.03  66.46  67.93  2246700  67.93
2014-02-19  67.14  67.45  66.66  66.98  1883000  66.98
2014-02-18  66.61  67.47  66.1  67.25  1740400  67.25
2014-02-14  66.19  66.6  65.9  66.47  2072000  66.47
2014-02-13  65.0  66.17  64.66  66.16  2372700  66.16
2014-02-12  64.11  65.46  64.11  65.31  3169900  65.31
2014-02-11  63.43  64.17  62.92  64.03  2702200  64.03
2014-02-10  64.3  64.66  63.39  63.59  4028200  63.59
2014-02-07  62.0  62.65  61.25  62.0  5083400  62.0
2014-02-06  60.07  60.89  60.05  60.5  2077100  60.5
2014-02-05  59.61  60.52  59.16  60.12  1864100  60.12
2014-02-04  59.6  60.09  59.53  59.92  2087100  59.92
2014-02-03  60.57  60.58  59.21  59.4  2165600  59.4
2014-01-31  60.59  61.22  60.27  60.73  3156400  60.73
2014-01-30  61.65  61.99  61.18  61.25  4060600  61.25
2014-01-29  61.44  61.9  60.7  60.99  1820800  60.99
2014-01-28  61.41  62.3  61.41  61.88  2549100  61.88
2014-01-27  62.77  62.77  61.13  61.35  2779000  61.35
2014-01-24  63.47  64.07  62.1  62.11  2714000  62.11
2014-01-23  64.25  64.59  63.44  63.79  3306900  63.79
2014-01-22  66.0  66.1  63.85  64.98  4402500  64.98
2014-01-21  66.16  66.65  65.68  65.96  3623200  65.96
2014-01-17  67.01  67.1  65.85  65.9  2540800  65.9
2014-01-16  65.93  67.18  65.93  66.8  2028600  66.8
2014-01-15  66.15  66.46  65.85  65.9  3448100  65.9
2014-01-14  66.8  66.83  65.88  66.15  3730400  66.15
2014-01-13  66.5  68.39  66.21  66.38  4265100  66.38
2014-01-10  65.5  66.3  65.2  66.0  3663300  66.0
2014-01-09  64.88  65.72  64.44  65.34  3334700  65.34
2014-01-08  64.91  65.55  64.63  65.4  3623700  65.4
2014-01-07  65.21  65.55  64.74  64.9  4722800  64.9
2014-01-06  62.78  64.15  62.18  63.64  5594100  63.64
2014-01-03  61.71  62.0  61.1  61.19  2675000  61.19
2014-01-02  61.7  62.22  61.48  61.71  2001900  61.71
2013-12-31  62.08  62.26  61.76  61.95  1860700  61.95
2013-12-30  62.23  62.44  61.77  61.94  1718600  61.94
2013-12-27  62.76  63.0  62.07  62.25  1532400  62.25
2013-12-26  62.37  62.9  61.48  62.49  1702100  62.49
2013-12-24  62.11  62.67  62.0  62.26  531400  62.26
2013-12-23  61.7  62.28  61.5  62.18  1989900  62.18
2013-12-20  60.74  61.68  60.58  61.64  3616500  61.64
2013-12-19  59.91  60.88  59.81  60.58  2198400  60.58
2013-12-18  58.82  60.54  58.64  60.27  3592800  60.27
2013-12-17  58.36  59.39  58.24  59.18  2167600  59.18
