Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  65.37  66.53  65.37  65.67  7469500  65.67
2014-02-27  67.31  68.4  67.05  67.39  3414500  67.39
2014-02-26  67.99  68.46  67.27  67.41  3216100  67.41
2014-02-25  69.01  69.02  67.73  67.87  2246200  67.87
2014-02-24  67.19  69.73  67.06  69.07  2339900  69.07
2014-02-21  68.95  69.03  67.75  68.52  2970900  68.52
2014-02-20  68.13  68.22  67.03  67.82  1868500  67.82
2014-02-19  67.71  68.93  67.58  68.05  2938100  68.05
2014-02-18  67.92  68.44  67.92  68.22  3031200  68.22
2014-02-14  68.4  68.87  68.25  68.81  2638100  68.81
2014-02-13  68.15  68.92  68.03  68.5  2540100  68.5
2014-02-12  68.84  69.31  68.57  68.8  1670400  68.8
2014-02-11  68.14  69.07  67.88  68.75  1651000  68.75
2014-02-10  68.12  68.32  67.74  68.16  2665300  68.16
2014-02-07  66.34  68.3  66.3  68.23  3716500  68.23
2014-02-06  64.56  66.04  64.45  65.92  2327200  65.92
2014-02-05  65.4  65.67  64.3  64.34  3961200  64.34
2014-02-04  65.01  66.04  64.56  65.46  2955200  65.46
2014-02-03  66.94  67.24  64.49  64.6  5548400  64.6
2014-01-31  67.07  67.64  66.74  66.95  3857600  66.95
2014-01-30  68.34  68.65  68.03  68.24  3081900  68.24
2014-01-29  68.04  68.48  67.38  67.6  4065500  67.6
2014-01-28  69.53  69.53  68.15  68.88  3583300  68.88
2014-01-27  69.36  69.81  68.12  68.3  4251200  68.3
2014-01-24  67.82  70.6  66.66  69.52  5336800  69.52
2014-01-23  74.56  74.56  72.54  72.76  2607400  72.76
2014-01-22  74.43  75.34  74.43  75.15  1868200  75.15
2014-01-21  73.78  74.66  73.71  74.17  1866400  74.17
2014-01-17  73.75  74.61  73.38  73.5  2353500  73.5
2014-01-16  74.05  74.24  73.49  73.72  1281500  73.72
2014-01-15  73.73  74.46  73.42  74.32  2084700  74.32
2014-01-14  73.27  73.64  72.87  73.47  1514100  73.47
2014-01-13  74.8  74.89  72.79  72.93  2042700  72.93
2014-01-10  75.32  75.46  74.68  74.88  1392000  74.88
2014-01-09  75.39  75.66  74.83  75.35  1298800  75.35
2014-01-08  75.18  75.2  74.34  75.05  1508700  75.05
2014-01-07  75.19  75.66  74.92  75.24  1521800  75.24
2014-01-06  74.99  76.24  74.53  74.69  2520800  74.69
2014-01-03  73.17  74.99  73.17  74.7  2059500  74.7
2014-01-02  73.35  73.56  72.92  73.16  1733400  73.16
2013-12-31  72.82  73.43  72.82  73.39  976100  73.39
2013-12-30  72.67  72.94  72.41  72.66  1086700  72.66
2013-12-27  72.68  73.09  72.51  72.96  968400  72.96
2013-12-26  72.56  72.89  72.27  72.73  942900  72.73
2013-12-24  72.15  72.39  71.97  72.23  453700  72.23
2013-12-23  72.02  72.69  71.83  72.21  1369300  72.21
2013-12-20  69.85  71.93  69.85  71.55  3474300  71.55
2013-12-19  71.2  71.43  70.76  71.03  1667300  71.03
2013-12-18  69.74  71.46  69.09  71.43  2119300  71.43
2013-12-17  70.03  70.27  69.33  69.59  1393000  69.59
2013-12-16  70.16  70.69  69.86  70.02  2303500  70.02
2013-12-13  70.43  70.67  69.64  69.73  1716100  69.73
2013-12-12  70.47  70.77  70.17  70.21  1751000  70.21
2013-12-11  71.48  71.6  70.24  70.37  2164500  70.37
2013-12-10  71.55  72.01  71.26  71.35  1725200  71.35
2013-12-09  71.66  72.27  71.53  71.82  1874300  71.82
2013-12-06  71.24  71.44  70.63  71.23  1850400  71.23
2013-12-05  70.58  70.84  69.95  70.16  2458800  70.16
2013-12-04  71.05  72.08  70.2  70.83  2975100  70.83
2013-12-03  72.49  72.72  71.22  71.5  1910900  71.5
2013-12-02  72.81  73.63  72.55  72.89  1927300  72.89
2013-11-29  72.21  73.05  71.89  72.61  1357700  72.61
2013-11-27  72.38  72.73  71.98  72.34  1668400  72.34
2013-11-26  72.13  73.27  72.01  72.55  2450700  72.55
2013-11-25  72.7  72.84  72.02  72.11  1590300  72.11
2013-11-22  72.26  72.9  71.88  72.7  1863000  72.7
2013-11-21  71.44  72.16  71.36  72.05  1755600  72.05
2013-11-20  71.28  71.73  70.94  71.08  2451700  71.08
2013-11-19  70.98  71.4  70.7  70.9  2084300  70.9
