Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  52.0  52.67  51.32  52.19  4163100  52.19
2014-02-27  51.69  52.03  51.04  51.92  2033700  51.92
2014-02-26  50.8  52.48  50.58  51.73  2697300  51.73
2014-02-25  51.51  51.51  50.36  50.69  1958000  50.69
2014-02-24  50.93  51.68  50.5  51.16  2698500  51.16
2014-02-21  51.55  51.8  50.74  50.75  3686800  50.75
2014-02-20  49.28  50.36  49.03  50.02  3000400  50.02
2014-02-19  49.65  49.92  49.01  49.03  2390000  49.03
2014-02-18  50.51  50.97  49.7  49.71  2940400  49.71
2014-02-14  49.45  50.42  49.43  50.14  2690300  50.14
2014-02-13  49.11  50.0  48.71  49.6  3320300  49.6
2014-02-12  49.73  50.27  49.17  49.21  3547900  49.21
2014-02-11  49.81  50.0  49.29  49.37  2919700  49.37
2014-02-10  49.52  50.06  48.94  49.89  3161300  49.89
2014-02-07  49.49  50.17  48.89  49.52  3575800  49.52
2014-02-06  48.69  49.71  48.69  49.19  3545300  49.19
2014-02-05  49.33  50.03  47.79  48.68  6074400  48.68
2014-02-04  50.73  51.05  48.87  49.55  4807900  49.55
2014-02-03  52.54  52.94  50.08  50.64  4608700  50.64
2014-01-31  52.04  52.87  51.67  52.4  3402900  52.4
2014-01-30  53.19  53.81  52.48  52.64  4392200  52.64
2014-01-29  51.05  53.49  50.9  53.18  5861100  53.18
2014-01-28  53.25  54.12  50.06  51.07  17575200  51.07
2014-01-27  58.06  58.35  57.36  57.54  4236400  57.54
2014-01-24  59.88  59.91  57.95  58.06  3498900  58.06
2014-01-23  59.26  60.34  59.17  60.21  3985500  60.21
2014-01-22  61.07  61.51  60.4  60.47  3301500  60.47
2014-01-21  61.55  62.21  60.5  60.7  2869600  60.7
2014-01-17  59.82  60.85  59.17  60.66  3437000  60.66
2014-01-16  60.48  60.57  59.88  60.13  2212700  60.13
2014-01-15  59.85  60.79  59.69  60.31  2682900  60.31
2014-01-14  58.48  59.97  58.05  59.8  3112600  59.8
2014-01-13  58.14  59.64  57.88  58.03  3506600  58.03
2014-01-10  57.84  58.17  57.2  57.88  2044500  57.88
2014-01-09  59.18  59.19  57.05  57.5  3896600  57.5
2014-01-08  58.27  60.27  58.2  59.11  4520200  59.11
2014-01-07  56.58  58.65  56.33  58.29  4676400  58.29
2014-01-06  56.24  57.06  56.05  56.45  3258100  56.45
2014-01-03  55.12  56.64  54.82  56.32  3049400  56.32
2014-01-02  55.44  55.44  54.59  54.92  3023500  54.92
2013-12-31  56.25  56.57  55.17  55.67  2138300  55.67
2013-12-30  54.56  56.57  54.56  56.04  2031900  56.04
2013-12-27  55.77  56.14  54.97  55.17  2358200  55.17
2013-12-26  55.52  55.69  54.85  55.53  1636400  55.53
2013-12-24  55.11  55.94  55.11  55.45  1008300  55.45
2013-12-23  55.49  55.66  54.64  55.52  3885200  55.52
2013-12-20  52.41  55.55  52.19  55.17  10019000  55.17
2013-12-19  52.19  52.38  51.41  52.03  2773600  52.03
2013-12-18  52.41  52.47  50.99  52.19  4859200  52.19
2013-12-17  51.25  53.17  50.98  52.49  5239600  52.49
2013-12-16  49.78  51.41  49.78  50.89  3095800  50.89
2013-12-13  50.39  50.39  49.01  49.56  2713100  49.56
2013-12-12  49.31  49.65  48.82  48.98  2426900  48.98
2013-12-11  50.53  50.56  49.0  49.14  2591700  49.14
2013-12-10  50.05  50.93  49.63  50.49  1716600  50.49
2013-12-09  51.06  51.28  50.21  50.27  2418700  50.27
2013-12-06  50.16  51.0  49.96  50.97  2657700  50.97
2013-12-05  49.53  50.2  49.32  49.4  2806600  49.4
2013-12-04  48.97  50.4  48.93  49.52  3491700  49.52
2013-12-03  49.41  49.41  48.24  49.21  3119400  49.21
2013-12-02  48.6  50.1  48.6  49.4  3086700  49.4
2013-11-29  48.57  48.97  48.19  48.61  1405600  48.61
2013-11-27  48.62  49.03  48.1  48.59  2125800  48.59
2013-11-26  48.32  48.55  47.63  48.37  2829700  48.37
2013-11-25  47.87  48.96  47.87  48.04  2669900  48.04
2013-11-22  47.97  48.05  47.28  47.92  2711700  47.92
2013-11-21  47.82  47.93  46.84  47.81  2593500  47.81
2013-11-20  47.76  48.05  47.15  47.3  2740700  47.3
2013-11-19  47.93  48.25  47.21  47.43  3854200  47.43
2013-11-18  48.9  48.97  47.93  48.08  2739500  48.08
2013-11-15  49.66  49.78  48.0  48.51  4216100  48.51
2013-11-14  47.87  49.71  47.87  49.67  4034600  49.67
2013-11-13  47.33  48.34  47.12  48.34  2608100  48.34
2013-11-12  47.2  47.79  47.09  47.39  2612700  47.39
2013-11-11  47.79  47.83  47.1  47.48  2615300  47.48
2013-11-08  46.74  47.78  46.74  47.76  3412800  47.76
2013-11-07  48.02  48.15  46.58  46.64  4108000  46.64
2013-11-06  48.0  48.11  47.26  47.62  3062600  47.62
2013-11-05  48.31  48.39  47.11  47.62  3798300  47.62
2013-11-04  48.59  48.9  48.09  48.4  3662500  48.4
2013-11-01  47.86  48.56  47.46  48.34  4463000  48.34
2013-10-31  48.28  49.78  47.69  47.84  4945300  47.84
