Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.12  83.76  82.54  83.04  1330800  83.04
2014-02-27  81.81  83.15  81.71  82.95  1264300  82.95
2014-02-26  81.71  82.5  81.61  82.0  872000  82.0
2014-02-25  81.96  82.52  81.61  81.71  935900  81.71
2014-02-24  81.95  82.69  81.85  82.08  1137100  82.08
2014-02-21  81.49  81.96  81.16  81.74  1325500  81.74
2014-02-20  80.89  81.68  80.52  81.43  1078500  81.43
2014-02-19  81.01  81.82  80.61  80.66  903500  80.66
2014-02-18  81.35  81.6  80.61  81.28  1251900  81.28
2014-02-14  80.69  81.53  80.47  81.32  715400  81.32
2014-02-13  80.15  80.81  79.85  80.59  1337000  80.59
2014-02-12  80.12  80.99  80.11  80.62  1331100  80.62
2014-02-11  78.86  80.46  78.86  80.01  1468900  80.01
2014-02-10  78.86  79.35  78.78  78.96  1371500  78.96
2014-02-07  76.8  78.91  76.76  78.8  1572300  78.8
2014-02-06  75.93  76.79  75.76  76.46  1174000  76.46
2014-02-05  75.96  76.4  75.0  75.65  1876500  75.65
2014-02-04  75.94  76.33  75.35  76.11  1379000  76.11
2014-02-03  78.0  78.56  75.59  75.64  1936000  75.64
2014-01-31  76.69  77.93  76.18  77.4  2216600  77.4
2014-01-30  78.37  78.58  77.51  77.87  1105200  77.87
2014-01-29  77.45  78.82  77.2  78.03  1965700  78.03
2014-01-28  77.34  78.0  77.19  77.93  1704300  77.93
2014-01-27  78.06  78.25  76.2  77.35  2364600  77.35
2014-01-24  80.95  82.76  77.5  77.81  4309600  77.81
2014-01-23  80.5  80.78  79.83  80.41  1931900  80.41
2014-01-22  80.97  81.3  80.77  80.93  1128900  80.93
2014-01-21  81.42  81.66  80.57  81.0  2067600  81.0
2014-01-17  82.16  82.39  80.82  81.17  2185500  81.17
2014-01-16  82.56  82.94  82.29  82.39  1806400  82.39
2014-01-15  82.01  83.22  81.96  82.54  1270600  82.54
2014-01-14  81.35  82.66  81.21  82.2  2172900  82.2
2014-01-13  81.05  81.29  80.02  80.15  1289200  80.15
2014-01-10  80.32  81.67  80.06  81.42  1567000  81.42
2014-01-09  80.3  80.88  79.75  80.3  1642900  80.3
2014-01-08  80.03  80.77  79.84  80.08  1727800  80.08
2014-01-07  79.64  80.26  79.01  79.98  1485400  79.98
2014-01-06  80.75  80.85  79.55  79.64  1123500  79.64
2014-01-03  80.37  80.9  80.21  80.38  874000  80.38
2014-01-02  80.57  80.79  79.68  80.18  715600  80.18
2013-12-31  81.25  81.49  80.19  80.69  975800  80.69
