Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  41.01  41.69  40.3  41.34  12555100  41.34
2014-02-27  42.5  43.31  42.4  43.14  5061500  43.14
2014-02-26  42.69  42.8  41.93  42.53  3595700  42.53
2014-02-25  43.02  43.1  42.18  42.79  3692400  42.79
2014-02-24  43.14  44.4  43.11  43.29  4746900  43.29
2014-02-21  42.37  43.45  41.7  42.81  5875600  42.81
2014-02-20  42.76  42.77  41.65  42.28  6750200  42.28
2014-02-19  42.37  43.43  42.35  42.85  5992400  42.85
2014-02-18  41.95  42.58  41.78  42.11  4840000  42.11
2014-02-14  41.48  41.85  41.27  41.64  4236400  41.64
2014-02-13  41.1  41.75  40.63  41.57  4009800  41.57
2014-02-12  41.82  41.98  41.19  41.41  3106600  41.41
2014-02-11  41.72  42.05  41.5  41.72  2647300  41.72
2014-02-10  41.4  41.57  40.93  41.54  2706200  41.54
2014-02-07  42.49  42.6  41.17  41.47  6120300  41.47
2014-02-06  42.96  43.51  42.4  42.45  6054800  42.45
2014-02-05  42.26  42.32  41.83  42.2  5699800  42.2
2014-02-04  41.09  42.76  41.04  41.97  7698500  41.97
2014-02-03  40.71  41.04  40.42  40.57  5241900  40.57
2014-01-31  40.6  41.06  40.51  40.69  3901900  40.69
2014-01-30  41.59  41.86  40.96  41.0  4624700  41.0
2014-01-29  41.32  42.3  40.98  41.88  5718500  41.88
2014-01-28  41.07  41.63  41.04  41.57  2198300  41.57
2014-01-27  41.75  41.75  40.4  40.95  4181000  40.95
2014-01-24  41.64  42.19  41.21  41.66  4385400  41.66
2014-01-23  42.2  42.85  41.83  42.18  5502000  42.18
2014-01-22  41.3  42.12  41.09  42.04  7280200  42.04
2014-01-21  39.6  40.36  39.6  40.33  3444200  40.33
2014-01-17  39.65  39.7  39.19  39.33  2937800  39.33
2014-01-16  39.36  39.96  39.11  39.61  3607000  39.61
2014-01-15  39.1  39.54  38.83  39.11  2599000  39.11
2014-01-14  38.34  39.05  38.24  39.01  3624200  39.01
2014-01-13  38.51  38.84  37.85  38.07  3462300  38.07
2014-01-10  38.03  38.52  37.8  38.51  2467300  38.51
2014-01-09  38.81  38.85  37.25  38.01  4228000  38.01
2014-01-08  39.42  39.42  38.57  38.72  2242000  38.72
2014-01-07  39.13  39.68  39.08  39.37  1925500  39.37
2014-01-06  38.97  39.05  38.55  38.99  3502400  38.99
2014-01-03  39.17  39.26  38.6  38.75  1926600  38.75
2014-01-02  39.27  39.47  38.84  38.96  2154400  38.96
2013-12-31  39.36  39.76  39.17  39.33  1546800  39.33
2013-12-30  39.49  39.81  39.1  39.46  2371100  39.46
2013-12-27  39.65  39.88  39.45  39.73  1296500  39.73
2013-12-26  40.17  40.39  39.57  39.68  1605600  39.68
2013-12-24  40.18  40.22  40.0  40.18  618400  40.18
2013-12-23  39.69  40.46  39.65  40.12  2467400  40.12
2013-12-20  39.54  39.89  39.29  39.32  3078500  39.32
2013-12-19  38.43  39.62  38.43  39.5  4596900  39.5
2013-12-18  38.58  38.62  37.82  38.44  4887100  38.44
2013-12-17  38.0  38.65  37.85  38.58  5640300  38.58
2013-12-16  38.62  38.65  37.63  37.96  4579900  37.96
2013-12-13  38.57  38.85  38.32  38.58  3244900  38.58
2013-12-12  38.26  38.98  38.04  38.65  2998000  38.65
2013-12-11  38.95  39.0  38.07  38.19  4855900  38.19
2013-12-10  39.32  39.65  38.85  39.03  2399500  39.03
2013-12-09  38.84  39.5  38.84  39.38  3406500  39.38
2013-12-06  39.43  39.87  38.51  38.68  3707800  38.68
2013-12-05  38.07  39.03  38.0  38.97  3937700  38.97
2013-12-04  38.74  38.9  38.05  38.2  2843400  38.2
2013-12-03  39.13  39.17  38.65  38.84  3034100  38.84
2013-12-02  39.44  39.69  39.1  39.19  4775300  39.19
2013-11-29  39.03  39.05  38.53  38.66  934400  38.66
2013-11-27  38.63  38.97  38.41  38.84  2077000  38.84
2013-11-26  39.29  39.29  38.7  38.72  3086400  38.72
2013-11-25  39.12  39.62  38.77  39.23  4683600  39.23
2013-11-22  38.7  39.15  38.61  39.14  3760000  39.14
2013-11-21  38.0  39.18  37.92  38.69  4315600  38.69
2013-11-20  37.26  38.28  37.26  37.89  4224500  37.89
2013-11-19  36.25  37.7  36.09  37.44  5558200  37.44
2013-11-18  35.7  36.8  35.7  36.3  3757800  36.3
2013-11-15  36.07  36.5  36.07  36.47  3273300  36.47
2013-11-14  35.87  36.25  35.59  35.94  2752600  35.94
2013-11-13  35.53  35.97  35.44  35.92  3106800  35.92
2013-11-12  36.01  36.26  35.67  35.81  2713000  35.81
2013-11-11  36.23  36.28  35.9  35.92  2271000  35.92
2013-11-08  35.68  36.35  35.68  36.15  3120400  36.15
2013-11-07  36.7  36.8  35.58  35.68  4790300  35.68
2013-11-06  36.95  37.25  36.42  36.62  3303500  36.62
2013-11-05  37.59  37.82  36.66  36.72  4954000  36.72
2013-11-04  38.41  38.47  37.56  37.85  5102200  37.85
2013-11-01  38.69  39.1  37.29  38.2  8390600  38.2
2013-10-31  37.52  37.63  36.94  37.22  5333200  37.22
2013-10-30  37.52  37.82  37.02  37.49  3582000  37.49
2013-10-29  37.14  37.54  37.07  37.47  2601400  37.47
2013-10-28  37.01  37.24  36.64  37.12  3183600  37.12
2013-10-25  36.9  37.36  36.64  37.13  3289900  37.13
2013-10-24  36.14  36.91  36.12  36.76  2761700  36.76
2013-10-23  36.52  36.6  35.8  36.26  2826300  36.26
2013-10-22  36.38  37.34  36.37  36.73  5430200  36.73
2013-10-21  36.45  36.64  36.11  36.36  2346600  36.36
2013-10-18  36.75  36.75  36.06  36.47  3208000  36.47
2013-10-17  36.89  36.96  36.39  36.53  2337400  36.53
2013-10-16  36.86  37.23  36.72  37.02  2826000  37.02
2013-10-15  36.22  36.97  36.08  36.58  3600700  36.58
2013-10-14  35.71  36.46  35.71  36.23  3819200  36.23
2013-10-11  35.4  35.99  35.25  35.9  4483000  35.9
2013-10-10  35.58  35.99  35.3  35.54  5567300  35.54
2013-10-09  35.54  35.6  34.88  35.16  6939900  35.16
2013-10-08  35.99  36.04  35.33  35.54  3563500  35.54
