Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  81.17  81.52  79.84  80.24  2490500  80.24
2014-02-27  81.12  81.32  80.65  81.17  1552800  81.17
2014-02-26  81.7  81.97  80.74  81.13  1853400  81.13
2014-02-25  82.32  82.68  81.46  81.59  1594600  81.59
2014-02-24  82.15  83.06  82.1  82.61  1745500  82.61
2014-02-21  82.59  83.12  82.0  82.1  1602100  82.1
2014-02-20  81.59  82.85  81.18  82.65  1428100  82.65
2014-02-19  82.2  82.6  81.57  81.64  1757000  81.64
2014-02-18  83.81  83.82  82.55  82.62  1805700  82.62
2014-02-14  83.08  83.86  82.47  83.35  2557100  83.35
2014-02-13  80.52  82.93  80.45  82.75  2446500  82.75
2014-02-12  81.18  81.42  80.69  80.95  1340300  80.95
2014-02-11  80.34  81.28  80.17  81.14  1229400  81.14
2014-02-10  79.43  80.44  79.08  80.42  2736000  80.42
2014-02-07  78.45  79.54  78.28  79.43  1340000  79.43
2014-02-06  77.28  78.33  77.17  78.21  2302100  78.21
2014-02-05  76.45  77.42  76.21  77.0  1793700  77.0
2014-02-04  76.85  77.28  76.23  76.75  3908000  76.75
2014-02-03  77.84  77.84  76.31  76.47  3528300  76.47
2014-01-31  76.96  77.85  76.94  77.6  1563600  77.6
2014-01-30  77.28  78.45  77.21  78.14  2097300  78.14
2014-01-29  77.24  77.37  76.48  76.9  2155500  76.9
2014-01-28  76.75  77.46  76.53  77.44  1243600  77.44
2014-01-27  76.13  76.78  75.79  76.32  1235800  76.32
2014-01-24  77.66  78.15  76.11  76.13  1789100  76.13
2014-01-23  77.54  79.0  76.14  77.78  2333200  77.78
2014-01-22  78.59  79.24  78.49  78.58  2041800  78.58
2014-01-21  78.62  79.0  78.26  78.59  1285800  78.59
2014-01-17  78.82  78.89  78.08  78.2  1632900  78.2
2014-01-16  78.23  78.87  78.09  78.68  951800  78.68
2014-01-15  78.26  78.49  77.67  78.25  1166200  78.25
2014-01-14  77.75  78.4  77.48  78.16  1573600  78.16
2014-01-13  77.83  78.29  77.36  77.43  1482300  77.43
2014-01-10  77.17  78.53  76.89  78.15  1879800  78.15
2014-01-09  77.23  77.35  76.65  76.99  2129200  76.99
2014-01-08  76.22  77.21  76.11  77.02  2146300  77.02
2014-01-07  74.87  75.92  74.87  75.78  1576200  75.78
2014-01-06  75.48  75.6  74.92  75.35  2301700  75.35
2014-01-03  74.02  75.18  74.02  74.84  719500  74.84
2014-01-02  75.12  75.12  74.4  74.63  1204400  74.63
2013-12-31  75.25  75.25  74.9  75.14  1006400  75.14
2013-12-30  75.19  75.29  74.9  75.02  759200  75.02
2013-12-27  75.3  75.33  74.78  75.06  686400  75.06
2013-12-26  74.7  75.25  74.63  75.09  519500  75.09
2013-12-24  74.59  75.04  74.45  74.7  648600  74.7
2013-12-23  74.7  74.78  74.28  74.71  1041500  74.71
2013-12-20  73.73  74.51  73.55  74.42  1872900  74.42
2013-12-19  73.32  73.69  72.75  73.55  1544200  73.55
2013-12-18  71.44  73.51  71.18  73.46  2722900  73.46
2013-12-17  71.51  71.57  70.95  71.36  2272600  71.36
2013-12-16  71.73  71.92  71.11  71.27  2012900  71.27
2013-12-13  71.75  71.86  70.93  71.27  2079500  71.27
2013-12-12  72.24  72.33  71.52  71.55  1422400  71.55
2013-12-11  74.11  74.15  72.39  72.44  1079400  72.44
2013-12-10  74.05  74.36  73.71  74.1  1030300  74.1
2013-12-09  74.18  74.36  73.76  74.31  935700  74.31
2013-12-06  73.64  74.24  73.51  74.22  1092900  74.22
2013-12-05  72.89  73.39  72.78  72.86  762200  72.86
2013-12-04  73.35  73.71  72.46  72.99  786000  72.99
2013-12-03  73.75  73.93  73.14  73.63  1066900  73.63
2013-12-02  74.02  74.46  73.85  73.96  827300  73.96
2013-11-29  74.29  74.81  74.05  74.12  515200  74.12
2013-11-27  74.5  74.82  74.26  74.26  608500  74.26
2013-11-26  74.58  74.83  74.09  74.52  997800  74.52
2013-11-25  75.08  75.2  74.24  74.44  1481700  74.44
2013-11-22  73.85  74.14  73.5  73.98  1003000  73.98
2013-11-21  73.78  74.02  73.6  73.84  838700  73.84
2013-11-20  73.75  73.98  73.32  73.49  616500  73.49
2013-11-19  73.01  73.88  72.7  73.8  1216400  73.8
2013-11-18  74.05  74.2  73.04  73.21  932300  73.21
2013-11-15  74.26  74.5  73.91  73.91  2007800  73.91
2013-11-14  73.7  74.27  73.45  74.18  932500  74.18
2013-11-13  72.59  73.52  72.3  73.52  892000  73.52
2013-11-12  73.01  73.15  72.51  72.93  1253000  72.93
2013-11-11  73.06  73.19  72.74  73.0  1245800  73.0
2013-11-08  72.59  73.05  72.24  73.03  1604400  73.03
2013-11-07  73.6  73.6  72.56  72.61  1906200  72.61
2013-11-06  74.0  74.3  73.37  73.41  1870400  73.41
2013-11-05  73.55  73.93  73.34  73.75  1251400  73.75
2013-11-04  73.87  74.1  73.71  73.99  752900  73.99
2013-11-01  73.95  73.95  73.15  73.73  1350100  73.73
2013-10-31  73.86  74.03  73.02  73.56  1821900  73.56
2013-10-30  74.34  74.49  73.31  73.79  1820200  73.79
2013-10-29  74.37  74.37  73.64  74.23  1902400  74.23
2013-10-28  74.24  74.56  73.87  74.24  1031400  74.24
2013-10-25  73.75  74.41  73.42  74.31  1483500  74.31
2013-10-24  73.13  73.96  72.79  73.72  2494600  73.72
2013-10-23  73.2  73.78  72.99  73.67  1223800  73.67
2013-10-22  72.87  73.42  72.34  73.23  1142400  73.23
2013-10-21  73.15  73.15  72.62  72.86  1131000  72.86
2013-10-18  72.47  73.3  71.73  73.16  2696100  73.16
2013-10-17  70.77  72.33  70.62  72.26  2322900  72.26
2013-10-16  70.36  71.23  70.13  71.23  1099500  71.23
2013-10-15  70.37  70.64  69.83  69.86  1631300  69.86
2013-10-14  69.56  70.69  69.43  70.52  1261100  70.52
2013-10-11  69.14  70.05  69.1  69.94  1260000  69.94
2013-10-10  68.76  69.35  68.48  69.14  1297600  69.14
2013-10-09  67.52  68.67  67.43  68.16  1828200  68.16
2013-10-08  67.44  68.1  67.32  67.34  1561800  67.34
2013-10-07  67.04  67.62  66.77  67.27  755500  67.27
2013-10-04  67.11  67.59  67.0  67.43  921100  67.43
2013-10-03  67.22  67.58  66.66  67.07  1095800  67.07
2013-10-02  67.23  67.82  67.06  67.47  1676700  67.47
2013-10-01  67.47  67.83  67.28  67.69  1103400  67.69
2013-09-30  67.15  67.6  66.88  67.32  1880000  67.32
2013-09-27  68.03  68.07  67.32  67.38  1197500  67.38
2013-09-26  68.43  68.43  67.67  68.12  1639400  68.12
2013-09-25  68.56  69.36  68.18  68.25  3482500  68.25
2013-09-24  70.55  70.89  70.21  70.27  1073900  70.27
2013-09-23  70.55  70.88  70.3  70.64  940800  70.64
2013-09-20  71.17  71.3  70.61  70.72  2599300  70.72
2013-09-19  71.18  71.38  71.0  71.07  826700  71.07
2013-09-18  70.62  71.29  69.83  71.21  1081700  71.21
2013-09-17  70.24  70.98  70.12  70.79  1238200  70.79
2013-09-16  70.19  70.45  69.87  70.27  1035000  70.27
2013-09-13  68.95  69.61  68.77  69.57  1013200  69.57
2013-09-12  68.91  69.18  68.57  68.95  1421500  68.95
2013-09-11  69.05  69.52  68.82  69.03  1176500  69.03
2013-09-10  69.14  69.45  68.78  68.99  1303400  68.99
2013-09-09  68.43  68.65  68.07  68.61  732800  68.61
2013-09-06  69.08  69.83  67.53  68.39  1713200  68.39
2013-09-05  66.81  67.47  66.58  67.26  1036800  67.26
2013-09-04  66.6  66.85  66.0  66.74  1465900  66.74
