Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  21.41  21.84  21.32  21.48  4889800  21.48
2014-02-27  21.31  21.5  21.17  21.5  4969300  21.5
2014-02-26  20.95  21.35  20.93  21.26  7850200  21.26
2014-02-25  20.86  21.05  20.72  20.78  7481200  20.78
2014-02-24  20.58  20.99  20.5  20.84  6568200  20.84
2014-02-21  20.6  20.61  20.32  20.53  8250500  20.53
2014-02-20  20.6  20.62  20.35  20.51  6842400  20.51
2014-02-19  20.63  20.63  20.35  20.39  7846400  20.39
2014-02-18  20.96  21.14  20.52  20.54  8374200  20.54
2014-02-14  21.17  21.26  21.04  21.19  5288700  21.19
2014-02-13  20.91  21.26  20.87  21.2  6851500  21.2
2014-02-12  21.11  21.29  20.86  21.07  5567200  21.07
2014-02-11  20.75  21.15  20.74  21.07  8004700  21.07
2014-02-10  20.62  20.85  20.6  20.74  5622000  20.74
2014-02-07  20.49  20.79  20.38  20.75  7653700  20.75
2014-02-06  20.34  20.53  20.16  20.32  7224800  20.32
2014-02-05  20.23  20.49  20.2  20.39  9493700  20.39
2014-02-04  20.78  20.83  20.24  20.27  12517800  20.27
2014-02-03  21.18  21.25  20.53  20.6  12443200  20.6
2014-01-31  21.9  22.02  21.25  21.25  15113500  21.25
2014-01-30  22.49  22.84  21.52  22.22  22821000  22.22
2014-01-29  22.88  24.09  22.88  23.97  15834600  23.97
2014-01-28  22.92  23.37  22.74  23.13  7896100  23.13
2014-01-27  23.14  23.26  22.71  22.72  7857100  22.72
2014-01-24  23.42  23.42  23.11  23.13  6633300  23.13
2014-01-23  23.28  23.52  23.26  23.45  7558800  23.45
2014-01-22  23.11  23.51  23.03  23.45  6172100  23.45
2014-01-21  23.15  23.26  22.96  23.13  5662900  23.13
2014-01-17  22.92  23.22  22.78  23.1  6837900  23.1
2014-01-16  22.82  23.25  22.74  22.92  7477500  22.92
2014-01-15  22.09  22.81  22.06  22.76  9010300  22.76
2014-01-14  22.11  22.31  21.9  22.05  8223300  22.05
2014-01-13  22.67  22.88  21.99  22.04  13507900  22.04
2014-01-10  23.42  23.53  23.22  23.3  7752800  23.3
2014-01-09  23.17  23.35  23.1  23.34  4450400  23.34
2014-01-08  23.19  23.32  22.97  23.17  5383000  23.17
2014-01-07  23.05  23.3  22.95  23.22  4345000  23.22
2014-01-06  23.01  23.04  22.81  22.97  5080300  22.97
2014-01-03  23.25  23.3  22.93  22.94  4815900  22.94
2014-01-02  23.27  23.33  23.13  23.29  4439500  23.29
2013-12-31  23.29  23.45  23.13  23.41  4572200  23.41
2013-12-30  22.88  23.37  22.83  23.3  5479900  23.3
2013-12-27  22.85  22.97  22.71  22.88  2943000  22.88
2013-12-26  22.83  22.95  22.72  22.78  2507800  22.78
2013-12-24  22.77  22.82  22.66  22.75  2033900  22.75
2013-12-23  22.32  22.76  22.29  22.72  5701000  22.72
2013-12-20  22.83  22.9  22.18  22.35  14386600  22.35
2013-12-19  22.93  23.13  22.75  22.82  6157800  22.82
2013-12-18  22.78  23.05  22.53  23.03  7736600  23.03
2013-12-17  22.46  22.87  22.31  22.83  6687000  22.83
2013-12-16  22.02  22.4  22.02  22.39  5158000  22.39
2013-12-13  22.27  22.3  21.86  21.95  5376600  21.95
2013-12-12  22.0  22.25  21.94  22.15  4869000  22.15
2013-12-11  22.27  22.44  22.04  22.06  4701800  22.06
2013-12-10  22.48  22.52  22.23  22.28  4625900  22.28
2013-12-09  22.55  22.69  22.35  22.42  6052700  22.42
2013-12-06  22.92  23.46  22.43  22.61  9075100  22.61
2013-12-05  22.31  22.53  22.23  22.32  9762600  22.32
2013-12-04  22.17  22.43  22.12  22.3  10266100  22.3
2013-12-03  22.25  22.43  22.02  22.38  8505500  22.38
2013-12-02  22.31  22.63  22.27  22.32  6778700  22.32
2013-11-29  22.48  22.65  22.32  22.33  3796600  22.33
2013-11-27  22.19  22.68  22.19  22.51  5998300  22.51
2013-11-26  22.91  23.09  22.5  22.55  10093600  22.55
