Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  35.88  36.2  35.82  36.02  3114800  36.02
2014-02-27  35.97  36.08  35.8  35.95  2178000  35.95
2014-02-26  36.18  36.25  35.98  36.01  2931200  36.01
2014-02-25  36.03  36.23  36.0  36.1  2671400  36.1
2014-02-24  36.14  36.37  35.97  35.97  4996700  35.97
2014-02-21  35.99  36.15  35.96  36.04  4840200  36.04
2014-02-20  35.8  36.02  35.8  35.85  3575000  35.85
2014-02-19  35.92  36.06  35.78  35.82  3679500  35.82
2014-02-18  35.67  36.04  35.52  35.92  4047600  35.92
2014-02-14  35.54  35.77  35.36  35.71  2302000  35.71
2014-02-13  35.2  35.64  35.1  35.62  3289500  35.62
2014-02-12  35.62  35.66  35.22  35.35  3522400  35.35
2014-02-11  35.39  35.71  35.28  35.68  2480000  35.68
2014-02-10  35.42  35.51  35.23  35.39  3128700  35.39
2014-02-07  35.29  35.59  35.22  35.51  4218400  35.51
2014-02-06  34.89  35.51  34.68  35.28  4180400  35.28
2014-02-05  34.45  34.82  34.27  34.76  4129000  34.76
2014-02-04  34.56  34.67  34.07  34.59  4837000  34.59
2014-02-03  35.0  35.08  34.24  34.51  8408700  34.51
2014-01-31  34.91  35.22  34.75  35.08  3962900  35.08
2014-01-30  35.38  35.41  35.0  35.15  3011600  35.15
2014-01-29  35.6  35.6  35.0  35.05  3579400  35.05
2014-01-28  36.0  36.05  35.58  35.73  3795500  35.73
2014-01-27  35.62  35.89  35.49  35.56  3696800  35.56
2014-01-24  35.99  35.99  35.48  35.48  3848100  35.48
2014-01-23  36.26  36.32  35.82  36.11  3444800  36.11
2014-01-22  36.73  36.75  36.3  36.41  3342100  36.41
2014-01-21  36.69  37.08  36.46  36.56  3638400  36.56
2014-01-17  36.64  36.9  36.5  36.51  7759600  36.51
2014-01-16  36.63  36.91  36.5  36.89  3047900  36.89
2014-01-15  36.75  36.94  36.56  36.76  4967400  36.76
2014-01-14  36.28  36.67  36.2  36.65  4626400  36.65
2014-01-13  36.27  36.68  36.1  36.28  5129400  36.28
2014-01-10  36.02  36.45  35.72  36.36  4369500  36.36
2014-01-09  36.15  36.16  35.76  35.93  3501000  35.93
2014-01-08  36.36  36.44  35.93  35.99  3474900  35.99
2014-01-07  36.27  36.56  36.22  36.48  3044800  36.48
2014-01-06  36.22  36.28  35.88  36.0  5346000  36.0
2014-01-03  35.99  36.22  35.81  36.05  2849600  36.05
2014-01-02  36.9  36.9  35.82  35.92  6722500  35.92
2013-12-31  36.3  36.48  36.03  36.1  3690900  36.1
2013-12-30  36.43  36.7  36.31  36.37  3234600  36.37
2013-12-27  36.23  36.77  36.23  36.53  3866100  36.53
2013-12-26  36.12  36.31  36.03  36.24  2027100  36.24
2013-12-24  36.24  36.42  36.15  36.18  1339700  36.18
2013-12-23  36.45  36.46  36.04  36.2  2777300  36.2
2013-12-20  36.02  36.53  35.94  36.16  5395900  36.16
2013-12-19  35.96  36.09  35.61  35.97  3780300  35.97
2013-12-18  35.87  35.99  35.28  35.98  4879100  35.98
2013-12-17  35.97  36.04  35.34  35.74  4553900  35.74
2013-12-16  36.03  36.25  35.73  35.91  3773200  35.91
2013-12-13  36.0  36.13  35.69  35.99  4718400  35.99
2013-12-12  36.5  36.7  35.64  35.94  10397300  35.94
