Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  32.25  32.32  31.79  31.93  43468000  31.93
2014-02-27  31.99  32.3  31.81  32.23  54923000  32.23
2014-02-26  32.25  32.29  31.89  32.0  36742200  32.0
2014-02-25  32.51  32.52  32.05  32.17  41048100  32.17
2014-02-24  32.83  32.87  32.46  32.47  33499300  32.47
2014-02-21  33.08  33.23  32.78  32.8  19327200  32.8
2014-02-20  32.85  33.38  32.67  33.18  20488900  33.18
2014-02-19  32.72  33.02  32.6  32.85  19410900  32.85
2014-02-18  33.23  33.23  32.63  32.82  22311900  32.82
2014-02-14  33.38  33.38  33.06  33.15  18274800  33.15
2014-02-13  32.83  33.5  32.71  33.49  28062200  33.49
2014-02-12  32.91  33.07  32.81  32.94  16554700  32.94
2014-02-11  32.62  33.04  32.51  32.95  26228800  32.95
2014-02-10  32.45  32.46  32.22  32.44  20621000  32.44
2014-02-07  32.18  32.36  31.95  32.3  29170600  32.3
2014-02-06  32.31  32.31  31.74  32.0  45322100  32.0
2014-02-05  32.4  32.43  32.04  32.08  29793500  32.08
2014-02-04  32.08  32.45  32.0  32.45  35940100  32.45
2014-02-03  33.32  33.32  31.9  31.95  68010500  31.95
2014-01-31  32.97  33.69  32.77  33.32  34211900  33.32
2014-01-30  33.54  33.59  33.01  33.35  29077000  33.35
2014-01-29  32.4  33.55  32.01  33.31  83139800  33.31
2014-01-28  33.5  33.81  33.35  33.7  25457600  33.7
2014-01-27  33.53  33.74  33.43  33.51  32786300  33.51
2014-01-24  33.83  34.29  33.42  33.42  33184100  33.42
2014-01-23  33.22  33.8  33.15  33.8  28463300  33.8
2014-01-22  33.6  33.66  33.31  33.34  17411700  33.34
2014-01-21  33.84  34.0  33.2  33.57  29421500  33.57
2014-01-17  34.03  34.03  33.68  33.7  23921700  33.7
2014-01-16  33.89  34.08  33.81  33.96  16239000  33.96
2014-01-15  33.66  34.0  33.55  33.79  25786400  33.79
2014-01-14  33.33  33.55  33.16  33.48  22883600  33.48
2014-01-13  33.59  33.65  33.2  33.3  29281000  33.3
2014-01-10  33.74  33.81  33.51  33.62  25342100  33.62
2014-01-09  34.24  34.24  33.51  33.54  36082200  33.54
2014-01-08  34.45  34.6  34.1  34.24  37745500  34.24
2014-01-07  34.67  34.69  34.45  34.49  25725100  34.49
2014-01-06  34.55  34.59  34.34  34.5  20791500  34.5
2014-01-03  34.69  34.7  34.15  34.34  24618300  34.34
2014-01-02  34.78  34.83  34.49  34.49  20229900  34.49
2013-12-31  34.71  34.82  34.5  34.7  18425400  34.7
2013-12-30  34.57  34.84  34.55  34.74  14464600  34.74
2013-12-27  34.6  34.79  34.5  34.72  14111600  34.72
2013-12-26  34.52  34.72  34.48  34.7  11024400  34.7
2013-12-24  34.28  34.52  34.24  34.49  7960000  34.49
2013-12-23  34.0  34.31  33.96  34.23  19954900  34.23
2013-12-20  34.04  34.17  33.81  33.85  34022200  33.85
2013-12-19  33.84  34.02  33.68  34.0  20043000  34.0
2013-12-18  33.44  33.99  33.19  33.93  25849700  33.93
2013-12-17  33.75  33.83  33.31  33.4  23472800  33.4
2013-12-16  33.61  34.06  33.61  33.7  21348700  33.7
2013-12-13  33.43  33.5  33.15  33.4  24862800  33.4
2013-12-12  33.6  33.68  33.3  33.44  21927000  33.44
2013-12-11  33.94  33.99  33.47  33.5  27491400  33.5
2013-12-10  34.33  34.45  33.94  33.95  18389100  33.95
2013-12-09  34.05  34.27  33.82  34.23  18035700  34.23
2013-12-06  34.08  34.13  33.85  34.08  19544900  34.08
2013-12-05  33.97  34.11  33.76  33.8  25106700  33.8
2013-12-04  33.88  34.19  33.75  34.14  27183000  34.14
2013-12-03  34.31  34.33  34.06  34.28  17551000  34.28
2013-12-02  34.71  34.74  34.34  34.34  23703700  34.34
2013-11-29  35.02  35.07  34.74  34.75  9284700  34.75
2013-11-27  34.82  34.95  34.73  34.94  11471300  34.94
2013-11-26  34.94  35.08  34.81  34.82  14180900  34.82
2013-11-25  34.99  35.08  34.85  34.9  14068600  34.9
2013-11-22  34.79  34.95  34.58  34.95  16080400  34.95
2013-11-21  34.99  35.12  34.72  34.84  23017700  34.84
2013-11-20  35.39  35.45  34.86  34.93  17441400  34.93
2013-11-19  35.17  35.36  35.09  35.25  12493700  35.25
2013-11-18  35.0  35.17  34.9  35.13  15037700  35.13
2013-11-15  34.65  35.01  34.63  34.96  17685500  34.96
2013-11-14  34.64  34.92  34.6  34.7  13851200  34.7
2013-11-13  34.54  34.71  34.39  34.61  22327200  34.61
2013-11-12  34.69  34.86  34.51  34.71  19908700  34.71
2013-11-11  34.69  34.79  34.51  34.57  12369600  34.57
2013-11-08  34.54  34.71  34.11  34.71  29787300  34.71
2013-11-07  35.35  35.35  34.57  34.65  29290300  34.65
2013-11-06  35.3  35.53  35.25  35.35  20856300  35.35
2013-11-05  35.77  35.85  35.05  35.06  33641900  35.06
2013-11-04  35.97  36.04  35.7  35.97  20024000  35.97
2013-11-01  36.02  36.31  35.68  35.76  41488500  35.76
2013-10-31  35.77  36.01  35.52  35.72  28789000  35.72
2013-10-30  35.84  35.92  35.48  35.78  21847100  35.78
2013-10-29  35.19  35.99  35.18  35.79  45250300  35.79
2013-10-28  34.8  35.1  34.77  35.1  23855600  35.1
2013-10-25  34.2  34.78  34.2  34.73  21286500  34.73
2013-10-24  34.54  34.54  33.78  34.17  33911200  34.17
2013-10-23  34.61  34.88  34.45  34.82  27257600  34.82
2013-10-22  34.89  34.92  34.6  34.77  23986400  34.77
2013-10-21  34.56  34.84  34.42  34.76  29449400  34.76
2013-10-18  34.06  34.42  33.91  34.15  30466400  34.15
2013-10-17  33.92  33.99  33.68  33.99  22249600  33.99
2013-10-16  33.45  33.75  33.44  33.75  18699800  33.75
2013-10-15  33.43  33.67  33.27  33.27  16352900  33.27
2013-10-14  33.53  33.65  33.42  33.47  18569600  33.47
2013-10-11  33.68  33.8  33.48  33.75  23647400  33.75
2013-10-10  33.64  33.7  33.14  33.7  23818100  33.7
2013-10-09  32.8  33.66  32.72  33.31  33431200  33.31
2013-10-08  33.13  33.2  32.65  32.67  32798400  32.67
2013-10-07  32.8  33.24  32.75  33.11  63369000  33.11
2013-10-04  32.79  32.9  32.71  32.86  69721900  32.86
2013-10-03  33.02  33.04  32.75  32.76  22437300  32.76
2013-10-02  33.08  33.17  32.86  33.05  21510000  33.05
2013-10-01  32.91  33.35  32.88  33.17  16759800  33.17
2013-09-30  32.89  33.0  32.79  32.93  20819700  32.93
2013-09-27  33.22  33.26  32.93  33.09  13997900  33.09
2013-09-26  33.27  33.52  33.19  33.33  16494200  33.33
2013-09-25  33.22  33.47  33.06  33.16  19111300  33.16
2013-09-24  33.21  33.39  33.12  33.2  19233000  33.2
2013-09-23  33.5  33.5  32.82  33.32  23220100  33.32
2013-09-20  33.91  33.94  33.3  33.41  36732100  33.41
2013-09-19  34.04  34.04  33.77  33.9  15692200  33.9
2013-09-18  33.82  34.09  33.41  34.03  22818400  34.03
2013-09-17  33.68  33.94  33.65  33.84  17798800  33.84
2013-09-16  33.66  33.82  33.46  33.66  15869100  33.66
2013-09-13  33.61  33.82  33.31  33.42  14228600  33.42
2013-09-12  33.05  33.55  33.05  33.48  24637200  33.48
2013-09-11  33.09  33.35  32.98  33.08  21088000  33.08
2013-09-10  32.99  33.21  32.87  33.08  27691300  33.08
2013-09-09  32.59  32.84  32.38  32.75  18992500  32.75
2013-09-06  32.62  32.7  32.35  32.53  19689900  32.53
2013-09-05  32.89  33.03  32.4  32.47  19837600  32.47
2013-09-04  32.35  32.87  32.34  32.86  18719300  32.86
2013-09-03  33.12  33.22  32.37  32.45  30766900  32.45
2013-08-30  32.76  33.0  32.69  32.94  20389100  32.94
2013-08-29  32.76  33.17  32.73  32.77  22239100  32.77
2013-08-28  32.82  32.95  32.7  32.7  16659000  32.7
2013-08-27  32.69  33.17  32.65  32.81  18669800  32.81
2013-08-26  33.41  33.5  32.91  32.93  13925200  32.93
2013-08-23  32.92  33.43  32.86  33.39  29728700  33.39
2013-08-22  32.62  33.11  32.32  32.93  25915800  32.93
2013-08-21  32.91  32.96  32.58  32.6  20549500  32.6
2013-08-20  32.96  33.19  32.89  32.98  16153300  32.98
2013-08-19  33.2  33.28  32.74  32.9  21122800  32.9
2013-08-16  33.37  33.47  33.02  33.28  24561800  33.28
2013-08-15  33.69  33.8  33.45  33.45  17793700  33.45
2013-08-14  33.85  33.88  33.61  33.86  17403800  33.86
2013-08-13  34.03  34.07  33.66  33.81  16207800  33.81
2013-08-12  33.83  34.05  33.82  34.0  15988300  34.0
2013-08-09  34.34  34.39  33.84  33.89  21541600  33.89
2013-08-08  34.72  34.78  34.19  34.36  17956300  34.36
2013-08-07  34.49  34.8  34.49  34.66  13290600  34.66
2013-08-06  34.69  34.73  34.48  34.55  12804200  34.55
2013-08-05  34.76  34.91  34.63  34.73  10239000  34.73
2013-08-02  34.66  34.84  34.58  34.83  21751400  34.83
2013-08-01  34.71  34.88  34.44  34.78  18436200  34.78
2013-07-31  34.51  34.65  34.3  34.35  21326100  34.35
2013-07-30  35.05  35.12  34.48  34.49  19091300  34.49
2013-07-29  34.71  35.06  34.64  34.94  16625400  34.94
2013-07-26  34.48  34.77  34.39  34.67  14157900  34.67
2013-07-25  34.26  34.64  34.24  34.53  22083700  34.53
2013-07-24  34.46  34.57  34.01  34.47  30938800  34.47
2013-07-23  34.81  35.01  34.57  34.87  22951700  34.87
2013-07-22  34.84  34.95  34.61  34.65  19201200  34.65
2013-07-19  34.89  34.91  34.59  34.87  21153500  34.87
2013-07-18  34.92  35.04  34.67  34.8  19576400  34.8
2013-07-17  35.02  35.36  34.96  35.02  16805500  35.02
2013-07-16  34.69  34.96  34.67  34.94  17601900  34.94
2013-07-15  34.75  34.82  34.34  34.62  17175600  34.62
2013-07-12  34.94  34.97  34.63  34.87  19065700  34.87
2013-07-11  34.81  35.07  34.74  34.93  23075400  34.93
2013-07-10  34.65  34.74  34.32  34.46  17837100  34.46
2013-07-09  34.84  34.89  34.61  34.67  14487500  34.67
2013-07-08  34.69  34.76  34.46  34.65  15853600  34.65
2013-07-05  34.42  34.52  33.89  34.45  17139100  34.45
2013-07-03  34.11  34.37  33.85  34.25  11600000  34.25
2013-07-02  33.93  34.42  33.79  34.16  18634900  34.16
2013-07-01  34.04  34.31  33.83  33.94  19903400  33.94
2013-06-28  34.18  34.32  33.95  34.04  23913900  34.04
2013-06-27  34.16  34.57  34.13  34.26  18251500  34.26
2013-06-26  34.06  34.12  33.74  33.97  21911600  33.97
2013-06-25  33.35  33.85  33.21  33.68  67155500  33.68
2013-06-24  32.99  33.5  32.81  33.13  71219500  33.13
2013-06-21  33.22  33.39  32.78  33.14  97444100  33.14
2013-06-20  33.66  33.85  33.0  33.03  31797500  33.03
2013-06-19  34.67  34.75  33.89  33.89  24464500  33.89
2013-06-18  34.45  34.95  34.41  34.78  15357900  34.78
2013-06-17  34.68  34.75  34.11  34.38  23364400  34.38
2013-06-14  34.81  34.91  34.51  34.53  23972700  34.53
2013-06-13  34.24  34.99  34.24  34.9  20142600  34.9
2013-06-12  34.62  34.75  34.2  34.25  16955600  34.25
2013-06-11  34.48  34.8  34.34  34.38  26002900  34.38
2013-06-10  34.49  34.73  34.32  34.61  21852200  34.61
2013-06-07  34.59  34.67  34.02  34.09  26049300  34.09
2013-06-06  33.85  34.48  33.75  34.43  23058700  34.43
2013-06-05  34.28  34.34  33.89  33.9  22863800  33.9
2013-06-04  33.84  34.49  33.8  34.3  40467000  34.3
2013-06-03  33.64  33.85  33.25  33.72  29759400  33.72
2013-05-31  33.97  34.13  33.63  33.64  35799800  33.64
2013-05-30  34.46  34.69  34.13  34.13  25094300  34.13
2013-05-29  34.66  34.67  34.14  34.53  28740600  34.53
2013-05-28  35.62  35.72  34.77  34.79  29429000  34.79
2013-05-24  35.13  35.37  35.05  35.34  14443900  35.34
2013-05-23  34.97  35.4  34.95  35.33  18120200  35.33
2013-05-22  35.52  35.74  35.05  35.21  28598200  35.21
2013-05-21  35.81  35.81  35.39  35.52  24867600  35.52
2013-05-20  35.96  36.0  35.7  35.79  14654200  35.79
2013-05-17  35.91  36.03  35.76  36.0  16712900  36.0
2013-05-16  35.98  36.17  35.89  35.94  13668400  35.94
2013-05-15  35.91  36.38  35.86  36.09  23060400  36.09
2013-05-14  35.57  35.8  35.44  35.8  19478800  35.8
2013-05-13  35.87  35.89  35.52  35.58  18558100  35.58
2013-05-10  36.01  36.08  35.74  35.92  18182600  35.92
2013-05-09  36.25  36.32  35.77  35.89  23605900  35.89
2013-05-08  36.0  36.4  35.93  36.38  15176200  36.38
2013-05-07  35.76  36.08  35.67  36.08  14693200  36.08
2013-05-06  35.85  35.89  35.64  35.66  12113000  35.66
2013-05-03  36.41  36.42  35.78  35.9  20239900  35.9
2013-05-02  36.18  36.39  35.98  36.12  16445100  36.12
2013-05-01  36.02  36.51  36.02  36.12  21834000  36.12
2013-04-30  35.93  36.17  35.85  36.02  24144700  36.02
2013-04-29  35.7  35.91  35.6  35.87  18914300  35.87
2013-04-26  35.85  35.88  35.47  35.62  33202800  35.62
2013-04-25  35.82  36.0  35.65  35.85  35807500  35.85
2013-04-24  35.67  35.83  35.23  35.62  61126900  35.62
2013-04-23  37.31  37.5  36.88  37.5  25108800  37.5
