Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  56.98  57.18  56.54  56.83  919800  56.83
2014-02-27  56.7  57.07  56.61  56.91  761100  56.91
2014-02-26  57.13  57.28  56.63  56.68  700700  56.68
2014-02-25  56.96  57.11  56.6  56.88  758800  56.88
2014-02-24  56.63  57.17  56.38  56.9  1372800  56.9
2014-02-21  55.77  56.34  55.55  56.23  956600  56.23
2014-02-20  55.74  56.06  55.3  55.77  1449000  55.77
2014-02-19  55.36  56.39  55.24  55.76  1382000  55.76
2014-02-18  54.28  55.47  54.27  55.37  1463800  55.37
2014-02-14  54.26  54.75  54.07  54.66  1242200  54.66
2014-02-13  52.34  54.33  52.34  54.18  1322400  54.18
2014-02-12  53.14  53.29  52.66  52.76  1373600  52.76
2014-02-11  52.18  53.03  52.08  52.95  757200  52.95
2014-02-10  52.23  52.34  51.67  52.18  725000  52.18
2014-02-07  51.63  52.1  51.49  52.07  567800  52.07
2014-02-06  51.15  51.44  51.08  51.34  763200  51.34
2014-02-05  50.97  51.13  50.57  50.99  791300  50.99
2014-02-04  51.44  51.7  50.95  51.15  1337000  51.15
2014-02-03  52.26  52.3  51.13  51.13  1321400  51.13
2014-01-31  52.62  52.86  52.21  52.3  1071400  52.3
2014-01-30  53.38  53.64  53.11  53.46  771500  53.46
2014-01-29  53.84  53.84  52.78  53.06  1136200  53.06
2014-01-28  53.92  54.48  53.73  54.35  871500  54.35
2014-01-27  53.3  54.22  53.28  53.89  1040900  53.89
2014-01-24  53.87  54.09  53.47  53.47  904900  53.47
2014-01-23  54.59  54.75  54.02  54.1  997200  54.1
2014-01-22  54.83  55.48  54.75  54.99  1207600  54.99
2014-01-21  55.25  55.6  54.5  54.75  1517300  54.75
2014-01-17  55.77  55.88  55.12  55.22  1169300  55.22
2014-01-16  55.7  56.06  55.41  55.79  1072800  55.79
2014-01-15  56.25  56.25  55.69  55.87  1210700  55.87
2014-01-14  55.59  56.42  55.55  56.3  1218400  56.3
2014-01-13  55.67  56.81  55.38  55.58  2130200  55.58
2014-01-10  55.07  55.87  55.03  55.72  1160500  55.72
2014-01-09  55.04  55.09  54.73  54.94  700200  54.94
2014-01-08  55.14  55.3  54.75  54.86  935700  54.86
2014-01-07  54.64  55.28  54.44  54.99  1407200  54.99
2014-01-06  54.8  54.85  54.22  54.45  886400  54.45
2014-01-03  55.0  55.08  54.37  54.65  802600  54.65
2014-01-02  55.59  55.68  54.49  54.86  1352700  54.86
2013-12-31  55.65  56.13  55.65  55.79  550600  55.79
2013-12-30  55.34  55.62  54.98  55.4  443200  55.4
2013-12-27  54.8  55.44  54.78  55.4  609600  55.4
2013-12-26  54.73  55.1  54.34  55.03  301500  55.03
2013-12-24  54.71  54.92  54.39  54.68  136900  54.68
2013-12-23  54.9  54.96  54.4  54.58  551800  54.58
2013-12-20  54.75  54.95  54.41  54.58  862800  54.58
2013-12-19  54.96  55.04  54.26  54.61  689300  54.61
2013-12-18  53.53  55.07  53.32  55.03  1103200  55.03
2013-12-17  53.42  53.61  53.03  53.44  738300  53.44
2013-12-16  53.14  53.73  53.01  53.4  885600  53.4
2013-12-13  53.24  53.37  52.45  52.85  656200  52.85
2013-12-12  53.75  53.83  52.93  53.07  778500  53.07
2013-12-11  54.45  54.66  53.85  53.95  752000  53.95
2013-12-10  54.51  54.77  53.98  54.35  741600  54.35
2013-12-09  54.71  55.03  54.47  54.7  639000  54.7
