Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  46.25  46.45  45.49  45.92  1695200  45.92
2014-02-27  45.76  46.3  45.0  46.28  2646800  46.28
2014-02-26  46.19  47.07  46.1  46.26  3257600  46.26
2014-02-25  45.58  45.77  45.24  45.58  1456000  45.58
2014-02-24  45.6  46.35  45.25  45.66  2003900  45.66
2014-02-21  45.12  46.72  45.06  45.58  4558600  45.58
2014-02-20  44.23  45.07  43.67  44.96  2637600  44.96
2014-02-19  43.28  44.9  43.27  44.31  2505000  44.31
2014-02-18  43.43  44.18  43.36  43.42  1756500  43.42
2014-02-14  42.78  43.58  42.28  43.31  2456000  43.31
2014-02-13  42.56  43.17  42.39  42.8  1655900  42.8
2014-02-12  43.29  43.7  42.74  42.79  2666000  42.79
2014-02-11  41.72  43.63  41.62  43.3  4026700  43.3
2014-02-10  40.95  41.61  40.51  41.07  2800000  41.07
2014-02-07  40.37  41.23  39.5  40.95  5248100  40.95
2014-02-06  44.38  46.4  40.16  41.0  10256600  41.0
2014-02-05  40.22  41.21  40.01  41.06  3433800  41.06
2014-02-04  40.07  41.0  39.92  40.56  3059300  40.56
2014-02-03  41.31  41.81  39.77  40.0  2964800  40.0
2014-01-31  41.34  42.02  40.85  41.12  3399000  41.12
2014-01-30  42.56  42.65  41.89  42.13  2827000  42.13
2014-01-29  42.36  43.01  41.66  42.07  2839800  42.07
2014-01-28  43.58  43.97  43.46  43.9  1401500  43.9
2014-01-27  43.78  43.91  43.06  43.4  1312500  43.4
2014-01-24  44.75  44.94  43.75  43.78  1598200  43.78
2014-01-23  45.58  45.58  44.74  45.0  2078300  45.0
2014-01-22  46.89  47.05  45.59  45.75  2128700  45.75
2014-01-21  47.3  47.98  46.56  46.86  1283300  46.86
2014-01-17  47.31  47.91  46.76  47.24  1483300  47.24
2014-01-16  47.33  47.68  46.95  47.3  1407400  47.3
2014-01-15  45.96  49.15  45.87  47.63  4753900  47.63
2014-01-14  44.35  45.82  44.21  45.79  2195700  45.79
2014-01-13  44.46  45.33  43.99  44.03  2443100  44.03
2014-01-10  45.84  45.87  43.94  44.31  2684300  44.31
2014-01-09  46.04  46.59  45.17  45.39  1620900  45.39
2014-01-08  45.83  46.25  45.45  45.87  2184900  45.87
2014-01-07  45.55  46.07  45.26  45.98  2110500  45.98
2014-01-06  45.6  45.79  45.14  45.54  1554200  45.54
2014-01-03  44.96  45.59  44.6  45.36  1317200  45.36
2014-01-02  45.33  45.59  44.65  44.73  2159000  44.73
2013-12-31  44.82  45.9  44.82  45.49  1533200  45.49
