Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  16.76  16.83  16.69  16.78  2243100  16.78
2014-02-27  16.62  16.75  16.6  16.69  1442800  16.69
2014-02-26  16.74  16.89  16.64  16.65  1743700  16.65
2014-02-25  16.73  16.95  16.63  16.72  2286600  16.72
2014-02-24  16.73  16.98  16.69  16.7  1843600  16.7
2014-02-21  16.8  16.85  16.69  16.7  1296800  16.7
2014-02-20  16.65  16.81  16.63  16.74  1901700  16.74
2014-02-19  16.67  16.74  16.55  16.62  2482800  16.62
2014-02-18  16.66  16.72  16.59  16.69  1663300  16.69
2014-02-14  16.55  16.66  16.5  16.65  966500  16.65
2014-02-13  16.27  16.65  16.26  16.6  1725900  16.6
2014-02-12  16.33  16.38  16.27  16.32  1986900  16.32
2014-02-11  16.33  16.43  16.19  16.35  3281100  16.35
2014-02-10  16.08  16.33  16.0  16.33  2655600  16.33
2014-02-07  16.06  16.14  16.0  16.09  1303400  16.09
2014-02-06  15.96  16.06  15.9  16.02  2496300  16.02
2014-02-05  16.07  16.09  15.95  15.96  2894300  15.96
2014-02-04  16.14  16.17  15.98  16.09  2445700  16.09
2014-02-03  16.14  16.4  16.03  16.04  2748100  16.04
2014-01-31  16.12  16.25  15.98  16.16  7005300  16.16
2014-01-30  16.37  16.54  15.98  16.26  6816700  16.26
2014-01-29  16.46  16.58  16.42  16.44  2888200  16.44
2014-01-28  16.52  16.62  16.47  16.51  3493000  16.51
2014-01-27  16.48  16.55  16.4  16.5  2546500  16.5
2014-01-24  16.76  16.84  16.46  16.47  3385700  16.47
2014-01-23  16.81  16.84  16.7  16.76  1766000  16.76
2014-01-22  16.83  16.94  16.79  16.84  1785100  16.84
2014-01-21  16.74  16.85  16.67  16.83  2266600  16.83
2014-01-17  16.78  16.8  16.64  16.69  1654100  16.69
2014-01-16  16.63  16.77  16.62  16.76  1884800  16.76
2014-01-15  16.8  16.8  16.66  16.7  1503300  16.7
2014-01-14  16.81  16.88  16.67  16.73  2122500  16.73
2014-01-13  16.92  17.0  16.77  16.78  2845600  16.78
2014-01-10  16.54  16.92  16.54  16.91  5385300  16.91
2014-01-09  16.73  16.75  16.49  16.49  6505000  16.49
