Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  56.77  57.53  56.67  57.27  775900  57.27
2014-02-27  55.8  57.05  55.7  56.6  641800  56.6
2014-02-26  56.15  57.74  55.39  55.65  471800  55.65
2014-02-25  55.85  56.52  55.73  55.79  544900  55.79
2014-02-24  56.25  56.71  55.84  55.86  458100  55.86
2014-02-21  55.81  56.45  55.77  56.05  497900  56.05
2014-02-20  55.26  56.26  55.18  55.57  643500  55.57
2014-02-19  55.57  55.86  55.07  55.16  327200  55.16
2014-02-18  55.12  55.67  55.12  55.66  345800  55.66
2014-02-14  54.53  55.12  54.32  55.02  270300  55.02
2014-02-13  53.85  54.7  53.77  54.56  366700  54.56
2014-02-12  53.94  54.3  53.74  53.89  290900  53.89
2014-02-11  52.87  54.23  52.74  53.95  414800  53.95
2014-02-10  52.44  53.03  52.23  53.01  281400  53.01
2014-02-07  52.31  52.62  52.12  52.55  230700  52.55
2014-02-06  51.65  52.09  51.46  52.04  439100  52.04
2014-02-05  51.96  52.07  51.57  51.65  395100  51.65
2014-02-04  52.65  52.76  51.78  52.01  544400  52.01
2014-02-03  53.75  54.17  52.41  52.52  512600  52.52
2014-01-31  53.24  53.87  53.22  53.69  423100  53.69
2014-01-30  53.17  53.84  52.99  53.68  280900  53.68
2014-01-29  52.77  53.16  52.72  52.87  304400  52.87
2014-01-28  53.08  53.18  52.63  52.95  296400  52.95
2014-01-27  52.95  53.19  52.68  52.95  508300  52.95
2014-01-24  53.61  53.84  52.94  52.96  374000  52.96
2014-01-23  53.86  54.01  53.43  53.82  339700  53.82
2014-01-22  54.2  54.31  54.03  54.11  319100  54.11
2014-01-21  53.82  54.08  53.31  54.04  578200  54.04
2014-01-17  53.29  53.45  52.94  52.99  335800  52.99
2014-01-16  52.97  53.19  52.85  53.18  288400  53.18
2014-01-15  53.11  53.32  52.82  52.91  263600  52.91
2014-01-14  52.97  53.26  52.92  53.09  437300  53.09
2014-01-13  53.15  53.4  52.83  52.96  360400  52.96
2014-01-10  52.94  54.04  52.74  53.31  510700  53.31
2014-01-09  52.61  52.76  52.27  52.61  368100  52.61
2014-01-08  52.86  53.0  52.31  52.5  612100  52.5
2014-01-07  52.62  53.14  52.62  53.1  299800  53.1
2014-01-06  52.77  53.0  52.48  52.61  310600  52.61
2014-01-03  52.79  53.14  52.46  52.68  402400  52.68
2014-01-02  53.79  53.91  52.79  52.79  461200  52.79
2013-12-31  53.71  53.89  53.59  53.75  281400  53.75
2013-12-30  53.75  54.14  53.5  53.73  243600  53.73
2013-12-27  53.72  54.17  53.66  53.76  218600  53.76
2013-12-26  54.03  54.28  53.65  53.77  232800  53.77
2013-12-24  53.84  54.28  53.64  54.04  100100  54.04
2013-12-23  54.47  54.64  53.94  53.97  475400  53.97
2013-12-20  53.53  54.36  53.5  54.2  1917100  54.2
2013-12-19  53.54  53.73  52.76  53.36  526900  53.36
2013-12-18  52.9  54.07  52.46  53.92  882900  53.92
2013-12-17  53.15  53.32  52.82  52.96  712200  52.96
2013-12-16  52.76  53.63  52.7  53.17  572400  53.17
2013-12-13  52.49  52.67  52.25  52.47  304800  52.47
2013-12-12  52.12  52.88  52.06  52.32  386500  52.32
2013-12-11  52.93  53.01  52.23  52.24  410500  52.24
2013-12-10  53.74  53.87  52.81  53.01  366700  53.01
2013-12-09  54.27  54.31  53.69  53.86  252900  53.86
2013-12-06  53.81  54.54  53.75  54.27  297800  54.27
2013-12-05  53.55  53.85  53.08  53.49  313900  53.49
2013-12-04  53.2  53.75  52.99  53.68  453400  53.68
2013-12-03  53.08  53.7  53.03  53.58  531100  53.58
2013-12-02  53.07  53.47  52.53  53.18  463300  53.18
2013-11-29  53.04  53.33  52.91  53.09  184300  53.09
2013-11-27  53.12  53.14  52.54  53.05  497200  53.05
2013-11-26  54.37  54.43  53.0  53.13  996600  53.13
2013-11-25  55.18  55.45  54.49  54.6  422100  54.6
2013-11-22  54.99  55.29  54.85  55.05  296400  55.05
2013-11-21  55.2  55.57  54.92  54.99  290300  54.99
2013-11-20  55.6  55.97  54.91  54.95  308100  54.95
2013-11-19  55.77  56.01  55.38  55.57  230200  55.57
2013-11-18  55.71  55.88  55.33  55.72  282900  55.72
2013-11-15  55.33  55.77  55.08  55.7  415600  55.7
2013-11-14  54.97  55.62  54.92  55.43  341500  55.43
2013-11-13  54.2  54.78  53.88  54.77  372400  54.77
2013-11-12  55.36  55.53  54.29  54.38  370100  54.38
2013-11-11  55.29  55.58  54.91  55.53  388300  55.53
2013-11-08  55.41  55.74  54.22  55.28  456800  55.28
2013-11-07  56.52  56.98  55.46  55.75  686800  55.75
2013-11-06  57.19  57.66  57.13  57.39  333200  57.39
2013-11-05  57.61  57.77  57.1  57.11  284400  57.11
2013-11-04  57.86  58.01  57.28  57.82  224900  57.82
2013-11-01  57.43  57.88  57.17  57.69  223800  57.69
2013-10-31  57.59  57.78  56.82  57.27  238300  57.27
2013-10-30  57.96  58.31  57.52  57.54  240300  57.54
2013-10-29  57.67  57.83  57.4  57.72  132300  57.72
2013-10-28  57.68  58.04  57.4  57.57  215600  57.57
2013-10-25  57.03  57.74  56.78  57.71  237400  57.71
2013-10-24  57.28  57.75  56.77  57.14  284900  57.14
2013-10-23  56.94  57.74  56.9  57.27  411800  57.27
2013-10-22  56.09  57.16  56.09  56.96  316600  56.96
2013-10-21  55.88  56.42  55.64  56.02  121200  56.02
2013-10-18  56.13  56.33  55.88  56.02  277400  56.02
2013-10-17  54.73  56.11  54.48  55.99  352100  55.99
2013-10-16  54.5  54.81  54.32  54.8  224800  54.8
2013-10-15  54.91  55.29  54.18  54.24  290900  54.24
2013-10-14  55.14  55.17  54.21  55.17  283900  55.17
2013-10-11  55.22  55.56  54.99  55.48  188400  55.48
2013-10-10  54.53  55.34  54.17  55.29  209400  55.29
2013-10-09  53.83  54.9  53.78  54.29  515300  54.29
2013-10-08  53.3  54.17  53.24  53.86  360100  53.86
2013-10-07  53.72  53.9  53.38  53.44  393200  53.44
2013-10-04  54.01  54.26  53.76  54.01  202000  54.01
2013-10-03  54.43  54.43  53.7  53.96  335000  53.96
2013-10-02  54.28  54.6  53.97  54.56  278900  54.56
2013-10-01  54.55  54.91  54.23  54.43  231300  54.43
2013-09-30  54.14  54.56  54.02  54.55  364400  54.55
2013-09-27  54.59  54.87  54.28  54.48  237800  54.48
2013-09-26  54.46  54.98  54.36  54.84  325400  54.84
2013-09-25  55.19  55.23  54.35  54.36  271900  54.36
2013-09-24  55.38  55.59  54.94  55.11  349400  55.11
2013-09-23  54.63  55.73  54.34  55.27  361300  55.27
2013-09-20  55.33  55.37  54.48  54.65  507000  54.65
2013-09-19  55.13  55.51  54.91  55.33  457300  55.33
2013-09-18  53.77  55.16  53.35  55.09  402500  55.09
2013-09-17  53.19  53.77  53.08  53.67  434900  53.67
2013-09-16  53.57  53.64  52.71  53.04  494700  53.04
2013-09-13  52.61  53.08  52.53  52.75  365800  52.75
2013-09-12  53.19  53.37  52.51  52.58  383200  52.58
2013-09-11  53.64  53.64  52.78  53.03  444300  53.03
2013-09-10  53.75  53.85  53.31  53.65  395700  53.65
2013-09-09  53.38  53.71  53.24  53.54  344400  53.54
2013-09-06  53.9  54.25  53.32  53.38  582700  53.38
2013-09-05  53.7  53.84  53.11  53.47  652400  53.47
2013-09-04  53.23  53.79  53.03  53.72  764200  53.72
2013-09-03  55.01  55.01  53.22  53.28  454200  53.28
2013-08-30  55.05  55.23  54.45  54.58  353000  54.58
2013-08-29  55.27  55.65  54.86  55.01  260800  55.01
2013-08-28  55.41  55.5  54.95  55.3  304600  55.3
2013-08-27  54.85  55.47  54.76  55.15  296700  55.15
2013-08-26  55.51  55.67  55.12  55.28  388100  55.28
2013-08-23  55.34  55.67  54.99  55.48  195900  55.48
2013-08-22  55.09  55.54  54.84  55.18  280600  55.18
2013-08-21  55.83  55.95  54.94  55.05  323300  55.05
2013-08-20  55.76  56.64  55.61  55.96  401500  55.96
2013-08-19  56.59  56.71  55.68  55.76  445500  55.76
2013-08-16  57.06  57.23  56.34  56.63  512000  56.63
2013-08-15  58.18  58.21  56.93  57.07  493800  57.07
2013-08-14  59.1  59.1  58.31  58.49  288200  58.49
2013-08-13  59.59  59.86  58.98  59.16  234200  59.16
