Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  60.61  62.88  60.4  62.54  14246300  62.54
2014-02-27  60.42  60.78  59.75  60.66  9453700  60.66
2014-02-26  58.58  61.18  58.1  60.49  24180800  60.49
2014-02-25  55.96  56.61  55.81  56.51  8030600  56.51
2014-02-24  56.19  56.64  55.44  56.14  9151600  56.14
2014-02-21  56.72  56.8  56.15  56.24  6596600  56.24
2014-02-20  57.4  57.4  56.41  56.62  8790200  56.62
2014-02-19  56.36  57.82  56.32  57.31  8838300  57.31
2014-02-18  56.42  56.64  56.17  56.39  6094900  56.39
2014-02-14  56.66  56.69  55.76  56.06  8586200  56.06
2014-02-13  56.54  56.93  56.02  56.43  7564500  56.43
2014-02-12  56.74  56.74  56.19  56.52  7010800  56.52
2014-02-11  56.23  56.95  56.12  56.71  8170900  56.71
2014-02-10  55.91  56.26  55.74  56.08  6017900  56.08
2014-02-07  55.68  55.98  55.12  55.9  6344700  55.9
2014-02-06  54.72  55.58  54.68  55.44  8886800  55.44
2014-02-05  54.64  54.77  54.24  54.65  8176000  54.65
2014-02-04  55.44  55.44  54.68  54.7  5969600  54.7
2014-02-03  56.43  56.44  54.86  54.99  6733600  54.99
2014-01-31  55.98  56.55  55.54  56.21  6326300  56.21
2014-01-30  56.68  56.77  56.22  56.24  6207900  56.24
2014-01-29  57.23  57.42  56.4  56.46  5928000  56.46
2014-01-28  57.41  57.85  57.32  57.45  4907300  57.45
2014-01-27  57.29  57.52  56.94  57.27  6013100  57.27
2014-01-24  58.11  58.15  57.25  57.28  7467500  57.28
2014-01-23  58.06  58.28  57.82  58.21  7029900  58.21
2014-01-22  59.32  59.36  58.3  58.53  7185100  58.53
2014-01-21  59.35  59.36  58.35  58.75  10595500  58.75
2014-01-17  60.46  60.46  59.41  59.78  8132100  59.78
2014-01-16  60.98  61.08  60.14  60.35  5288400  60.35
2014-01-15  61.39  61.4  61.03  61.09  4233700  61.09
2014-01-14  61.04  61.29  60.8  61.24  5519900  61.24
2014-01-13  61.65  61.75  61.02  61.03  8031200  61.03
2014-01-10  62.42  63.15  61.69  62.15  12949700  62.15
2014-01-09  62.41  63.11  62.29  62.86  7264600  62.86
2014-01-08  62.34  62.35  61.96  62.22  5529900  62.22
2014-01-07  62.55  62.81  62.12  62.43  5398300  62.43
2014-01-06  63.2  63.21  62.19  62.58  4609600  62.58
