Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  93.05  93.97  92.53  93.25  1061500  93.25
2014-02-27  91.95  93.28  91.65  93.1  1207700  93.1
2014-02-26  91.1  92.49  90.83  91.87  1263300  91.87
2014-02-25  90.46  90.95  90.12  90.77  1016800  90.77
2014-02-24  89.6  91.0  89.34  90.5  1086900  90.5
2014-02-21  89.43  89.65  89.0  89.28  552300  89.28
2014-02-20  88.4  89.5  88.09  89.44  676000  89.44
2014-02-19  88.81  89.48  88.28  88.39  806000  88.39
2014-02-18  88.16  88.87  87.9  88.6  520700  88.6
2014-02-14  88.24  88.59  87.65  88.16  642600  88.16
2014-02-13  86.99  89.31  86.99  88.53  1015900  88.53
2014-02-12  87.6  87.78  86.99  87.11  914700  87.11
2014-02-11  87.12  87.55  86.93  87.21  733300  87.21
2014-02-10  87.23  87.25  86.41  87.03  678100  87.03
2014-02-07  86.5  87.5  86.06  87.15  1268800  87.15
2014-02-06  85.0  86.33  85.0  86.26  1482700  86.26
2014-02-05  82.51  85.43  82.29  84.97  2281700  84.97
2014-02-04  81.53  83.43  81.53  82.4  1347300  82.4
2014-02-03  82.98  83.21  80.38  80.88  1635600  80.88
2014-01-31  82.42  83.71  82.24  83.19  823600  83.19
2014-01-30  83.33  84.08  83.01  83.68  783700  83.68
2014-01-29  83.62  84.61  82.58  82.64  1482400  82.64
2014-01-28  82.64  84.59  82.64  84.06  1207300  84.06
2014-01-27  83.63  83.99  81.64  82.49  1665700  82.49
2014-01-24  85.21  85.33  83.09  83.13  1707000  83.13
2014-01-23  86.59  87.01  85.52  85.83  1228000  85.83
2014-01-22  86.08  87.24  85.81  87.19  996800  87.19
2014-01-21  87.2  87.58  86.14  86.36  1230800  86.36
2014-01-17  87.69  88.39  86.58  86.71  1556400  86.71
2014-01-16  88.28  88.29  87.11  87.76  1113700  87.76
2014-01-15  88.57  89.4  88.14  88.44  1058700  88.44
2014-01-14  88.02  88.97  87.8  88.25  1469300  88.25
2014-01-13  90.3  90.48  86.85  87.44  2279500  87.44
2014-01-10  93.0  93.21  89.7  90.36  2508400  90.36
2014-01-09  91.2  92.77  90.92  92.01  1233700  92.01
2014-01-08  92.1  92.11  91.25  91.7  694800  91.7
2014-01-07  92.2  92.42  91.17  92.15  680100  92.15
2014-01-06  92.47  92.89  91.51  91.64  801000  91.64
2014-01-03  92.42  92.61  92.0  92.28  599600  92.28
2014-01-02  92.2  93.64  92.04  92.55  862000  92.55
2013-12-31  92.26  93.02  91.87  92.78  635300  92.78
2013-12-30  91.43  92.18  90.91  92.09  689000  92.09
2013-12-27  91.4  92.0  90.61  90.87  560300  90.87
2013-12-26  91.08  91.18  90.59  90.97  497500  90.97
2013-12-24  90.5  91.41  90.39  91.03  288100  91.03
2013-12-23  89.5  91.37  89.49  90.5  1267200  90.5
2013-12-20  90.83  91.38  90.47  90.62  1081200  90.62
2013-12-19  90.85  91.2  90.29  90.43  806200  90.43
2013-12-18  90.24  91.51  88.97  91.47  1166200  91.47
2013-12-17  90.52  90.63  89.59  89.98  891200  89.98
2013-12-16  88.83  90.76  88.83  90.51  962500  90.51
2013-12-13  88.96  89.44  88.5  88.97  611400  88.97
2013-12-12  88.87  89.16  88.29  88.86  678900  88.86
2013-12-11  89.7  89.96  88.53  88.76  885500  88.76
2013-12-10  89.66  90.18  89.15  89.75  692300  89.75
2013-12-09  89.52  90.59  89.52  89.99  868000  89.99
2013-12-06  90.12  90.21  88.52  89.36  1087500  89.36
2013-12-05  89.58  90.4  88.63  89.36  1500600  89.36
2013-12-04  87.79  89.14  87.67  88.25  871000  88.25
2013-12-03  87.57  88.76  87.3  88.09  1087000  88.09
2013-12-02  88.81  89.08  87.5  87.71  1152600  87.71
2013-11-29  88.29  89.38  87.58  88.8  1009300  88.8
2013-11-27  87.82  88.5  87.09  87.83  1913200  87.83
