Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  60.8  61.55  60.4  61.46  5205800  61.46
2014-02-27  60.26  61.0  60.01  60.73  6197000  60.73
2014-02-26  61.54  62.22  60.17  60.29  8054700  60.29
2014-02-25  60.36  61.26  59.91  60.99  5866100  60.99
2014-02-24  60.11  61.0  59.98  60.39  3940100  60.39
2014-02-21  60.14  60.48  59.75  60.08  4094000  60.08
2014-02-20  60.03  60.33  59.32  60.02  3429700  60.02
2014-02-19  60.19  60.66  59.79  59.85  3118900  59.85
2014-02-18  60.0  60.39  59.77  60.23  3811300  60.23
2014-02-14  59.91  60.17  59.48  59.79  3403500  59.79
2014-02-13  59.89  60.52  59.72  60.17  3260700  60.17
2014-02-12  60.09  60.63  59.91  60.13  2637500  60.13
2014-02-11  59.28  60.15  59.08  59.96  3397100  59.96
2014-02-10  59.39  59.4  58.55  59.11  3035300  59.11
2014-02-07  59.46  59.88  58.91  59.28  3841800  59.28
2014-02-06  57.81  59.35  57.51  59.24  6036700  59.24
2014-02-05  55.86  57.8  55.68  57.65  7653300  57.65
2014-02-04  56.39  56.44  55.79  55.89  3511700  55.89
2014-02-03  57.21  57.21  55.9  56.1  5720600  56.1
2014-01-31  56.66  57.58  56.33  57.22  4312800  57.22
2014-01-30  57.56  57.69  57.04  57.37  3553600  57.37
2014-01-29  57.37  57.87  56.97  57.11  4510000  57.11
2014-01-28  58.03  58.62  57.92  58.01  4149600  58.01
2014-01-27  57.49  58.21  56.48  57.96  5630600  57.96
2014-01-24  57.91  58.33  57.61  57.61  3931900  57.61
2014-01-23  58.73  58.94  58.15  58.26  5475700  58.26
2014-01-22  60.16  60.17  58.99  59.05  7335500  59.05
2014-01-21  61.22  61.68  59.35  60.06  7098300  60.06
2014-01-17  62.07  62.27  61.6  61.71  4818800  61.71
2014-01-16  62.33  62.57  61.88  61.98  3068600  61.98
2014-01-15  62.77  62.9  62.24  62.4  2613100  62.4
2014-01-14  62.85  63.05  62.24  62.71  3442900  62.71
2014-01-13  63.76  64.23  62.61  62.76  3643700  62.76
2014-01-10  63.5  63.91  63.34  63.89  2880200  63.89
2014-01-09  63.44  63.64  63.08  63.17  2520500  63.17
2014-01-08  63.12  63.4  62.75  63.34  3048000  63.34
2014-01-07  62.85  63.85  62.8  63.03  3146900  63.03
2014-01-06  63.67  63.87  62.72  62.76  3138500  62.76
2014-01-03  63.1  63.98  63.09  63.44  1651300  63.44
2014-01-02  63.2  64.17  63.03  63.32  2098500  63.32
2013-12-31  63.16  63.64  63.09  63.57  1628100  63.57
2013-12-30  63.28  63.57  62.84  63.17  1761300  63.17
2013-12-27  63.59  63.62  62.96  63.22  1652200  63.22
2013-12-26  63.04  63.65  63.02  63.49  1606400  63.49
2013-12-24  62.84  63.23  62.71  62.88  1169600  62.88
2013-12-23  62.69  62.84  62.31  62.56  2127900  62.56
2013-12-20  62.42  62.99  62.21  62.34  5139100  62.34
2013-12-19  62.13  62.43  61.81  62.4  3153700  62.4
2013-12-18  61.25  62.37  60.94  62.35  3623800  62.35
2013-12-17  61.68  61.79  61.21  61.21  2450400  61.21
2013-12-16  61.26  61.69  60.94  61.47  2879800  61.47
2013-12-13  61.37  61.39  60.95  61.02  2938000  61.02
2013-12-12  61.27  61.71  60.93  61.1  3382500  61.1
2013-12-11  62.2  62.28  61.11  61.2  3689700  61.2
2013-12-10  61.85  62.33  61.75  62.03  3296400  62.03
2013-12-09  63.33  63.33  61.76  61.91  3968000  61.91
2013-12-06  62.57  62.61  61.72  62.19  3329300  62.19
2013-12-05  62.42  62.76  62.03  62.08  3354800  62.08
2013-12-04  61.9  62.66  61.48  62.46  5179400  62.46
2013-12-03  62.17  62.48  61.93  62.3  3586600  62.3
2013-12-02  62.83  63.3  62.4  62.56  4469200  62.56
2013-11-29  63.31  63.64  62.7  62.73  2302300  62.73
2013-11-27  63.07  63.22  62.85  63.11  2533700  63.11
2013-11-26  63.13  63.4  62.87  62.89  3907100  62.89
2013-11-25  63.42  63.85  62.85  63.01  2857000  63.01
2013-11-22  63.13  63.28  62.52  62.91  5237900  62.91
2013-11-21  63.09  63.93  63.02  63.83  3327600  63.83
2013-11-20  62.97  63.49  62.86  63.12  3768000  63.12
2013-11-19  62.43  63.78  62.38  62.97  3815400  62.97
2013-11-18  63.63  63.63  62.07  62.34  4554700  62.34
2013-11-15  62.75  63.37  62.57  63.36  2467500  63.36
2013-11-14  62.64  62.95  62.19  62.86  2197000  62.86
2013-11-13  61.42  62.61  61.34  62.57  2891200  62.57
2013-11-12  61.31  61.6  61.14  61.47  2258900  61.47
2013-11-11  61.42  61.74  61.08  61.39  2637200  61.39
2013-11-08  60.39  61.42  60.39  61.42  2295000  61.42
2013-11-07  61.63  61.94  60.06  60.32  4220900  60.32
2013-11-06  61.2  61.64  60.73  61.42  2892700  61.42
2013-11-05  60.31  61.12  60.15  61.0  2636000  61.0
2013-11-04  60.58  60.71  60.19  60.54  1987000  60.54
2013-11-01  60.67  61.0  60.22  60.59  3039500  60.59
2013-10-31  59.84  60.63  59.55  60.5  4422900  60.5
2013-10-30  59.81  60.72  59.76  59.95  3857600  59.95
2013-10-29  58.72  59.77  58.72  59.75  3570800  59.75
2013-10-28  58.74  59.16  58.34  58.48  3194500  58.48
2013-10-25  58.58  58.86  58.2  58.82  2203700  58.82
2013-10-24  58.51  58.69  58.32  58.51  2270100  58.51
2013-10-23  58.12  58.65  58.09  58.42  2546500  58.42
2013-10-22  58.03  58.58  57.62  58.31  3628200  58.31
2013-10-21  57.49  57.7  56.91  57.3  3130600  57.3
2013-10-18  57.49  57.49  56.88  57.49  2690800  57.49
2013-10-17  57.19  57.43  56.74  57.28  3992100  57.28
2013-10-16  55.72  57.5  55.64  57.44  3837300  57.44
2013-10-15  55.88  55.88  55.16  55.36  2492500  55.36
2013-10-14  54.99  56.03  54.98  55.92  2029400  55.92
