Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  80.56  81.69  80.12  81.17  1511000  81.17
2014-02-27  79.36  80.6  78.89  80.42  1167400  80.42
2014-02-26  80.1  80.6  79.3  79.52  1313700  79.52
2014-02-25  80.93  81.06  80.02  80.1  931900  80.1
2014-02-24  80.02  81.39  80.02  80.86  1007500  80.86
2014-02-21  80.27  80.66  79.71  80.0  875400  80.0
2014-02-20  80.23  80.46  79.31  80.1  851700  80.1
2014-02-19  80.14  81.51  79.81  79.89  1014500  79.89
2014-02-18  80.69  81.07  80.11  80.66  876500  80.66
2014-02-14  80.58  81.05  80.28  80.83  1099300  80.83
2014-02-13  80.2  80.89  79.6  80.62  1079700  80.62
2014-02-12  80.08  81.07  79.9  80.71  1518400  80.71
2014-02-11  79.32  80.51  79.01  80.18  1242700  80.18
2014-02-10  79.46  79.73  78.83  79.45  1332800  79.45
2014-02-07  78.1  79.54  77.53  79.34  2069100  79.34
2014-02-06  76.99  77.54  76.9  77.42  1019300  77.42
2014-02-05  77.29  77.86  76.29  76.8  1512000  76.8
2014-02-04  76.21  78.54  75.81  77.68  2285400  77.68
2014-02-03  78.48  78.62  75.57  75.67  2122000  75.67
2014-01-31  78.32  79.52  77.68  78.44  1833100  78.44
2014-01-30  79.59  80.03  78.97  79.55  1572100  79.55
2014-01-29  80.66  80.66  78.54  78.96  2611300  78.96
2014-01-28  80.16  81.4  78.61  80.7  3468700  80.7
2014-01-27  77.4  78.15  76.5  76.51  2278700  76.51
2014-01-24  79.23  79.41  77.21  77.38  3163100  77.38
2014-01-23  80.76  81.1  79.59  79.92  2152200  79.92
2014-01-22  82.11  82.38  80.94  81.52  1653200  81.52
2014-01-21  81.43  82.34  81.09  81.78  2032100  81.78
2014-01-17  83.87  83.94  82.03  82.28  3914400  82.28
2014-01-16  84.41  84.41  83.05  83.81  872500  83.81
2014-01-15  83.3  83.99  83.05  83.92  1027300  83.92
2014-01-14  82.76  83.33  82.27  83.19  1094500  83.19
2014-01-13  82.94  83.29  82.06  82.35  1216500  82.35
2014-01-10  83.59  83.79  82.94  83.43  761100  83.43
2014-01-09  84.0  84.22  82.86  83.29  1134600  83.29
2014-01-08  84.05  84.15  83.52  83.92  1131900  83.92
2014-01-07  83.81  84.34  83.09  83.87  945900  83.87
2014-01-06  83.67  83.97  82.87  83.17  848400  83.17
2014-01-03  82.66  83.67  82.46  83.3  776900  83.3
2014-01-02  83.58  83.76  82.19  82.56  1113600  82.56
2013-12-31  83.42  83.99  83.41  83.77  930300  83.77
2013-12-30  83.4  83.55  82.91  83.36  518300  83.36
2013-12-27  83.63  83.92  83.15  83.43  878300  83.43
2013-12-26  83.48  83.88  83.32  83.59  816600  83.59
2013-12-24  83.38  83.69  83.06  83.37  314000  83.37
2013-12-23  83.3  83.83  83.23  83.38  872300  83.38
2013-12-20  82.26  83.47  81.9  82.88  1819000  82.88
2013-12-19  82.52  83.21  82.07  82.13  1807800  82.13
2013-12-18  79.99  83.08  79.69  82.86  2583700  82.86
2013-12-17  80.03  80.36  79.46  79.81  1201100  79.81
2013-12-16  79.17  80.45  79.0  80.16  1342300  80.16
2013-12-13  78.37  78.79  77.72  78.37  1255500  78.37
2013-12-12  78.42  78.8  77.94  78.02  1087300  78.02
2013-12-11  79.27  79.57  78.16  78.23  1515500  78.23
2013-12-10  79.59  79.74  78.81  79.14  943900  79.14
2013-12-09  79.74  80.18  79.48  79.67  847600  79.67
2013-12-06  79.61  79.74  79.13  79.43  1582900  79.43
2013-12-05  79.19  79.34  78.1  78.16  1044700  78.16
2013-12-04  79.14  79.94  78.4  79.17  753800  79.17
2013-12-03  79.96  80.12  79.02  79.28  1062500  79.28
2013-12-02  80.26  81.07  80.08  80.3  1154400  80.3
2013-11-29  80.51  80.91  80.05  80.07  549600  80.07
2013-11-27  80.3  80.79  79.86  80.42  926400  80.42
2013-11-26  80.21  80.82  80.03  80.03  970700  80.03
2013-11-25  81.03  81.23  80.18  80.36  783500  80.36
2013-11-22  80.41  80.79  80.01  80.74  916800  80.74
2013-11-21  79.78  80.41  79.61  80.06  956800  80.06
2013-11-20  79.98  80.15  79.21  79.6  1779300  79.6
2013-11-19  79.95  80.05  79.29  79.61  922400  79.61
2013-11-18  79.52  80.27  79.38  79.61  1129600  79.61
2013-11-15  78.76  79.8  78.76  79.6  1430700  79.6
2013-11-14  78.41  78.83  77.98  78.58  1619600  78.58
2013-11-13  77.75  78.47  77.43  78.45  1295500  78.45
2013-11-12  78.03  78.52  77.67  78.04  1041700  78.04
2013-11-11  78.17  78.82  78.03  78.41  1021400  78.41
2013-11-08  76.42  78.49  76.42  78.42  1936000  78.42
2013-11-07  77.73  77.76  76.21  76.25  1306900  76.25
2013-11-06  76.98  77.37  76.74  77.23  831600  77.23
