Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  83.72  84.2  83.49  83.84  2286700  83.84
2014-02-27  83.28  83.86  83.1  83.85  1584900  83.85
2014-02-26  83.4  83.7  83.01  83.43  2157100  83.43
2014-02-25  83.31  83.44  82.55  83.34  2681900  83.34
2014-02-24  83.83  84.39  83.4  83.44  2163200  83.44
2014-02-21  83.92  84.11  83.37  83.79  1895300  83.79
2014-02-20  84.18  84.37  83.37  83.81  2083500  83.81
2014-02-19  84.27  85.18  83.98  84.01  3115900  84.01
2014-02-18  84.08  84.79  84.07  84.37  2531500  84.37
2014-02-14  82.54  84.07  82.54  84.02  2050800  84.02
2014-02-13  81.87  82.9  81.56  82.88  2650700  82.88
2014-02-12  82.76  83.1  81.88  82.26  3732900  82.26
2014-02-11  82.4  83.59  82.21  83.21  3105600  83.21
2014-02-10  81.33  82.44  80.65  82.35  4305000  82.35
2014-02-07  81.19  81.19  80.23  80.88  2538100  80.88
2014-02-06  80.65  80.73  79.95  80.69  2642800  80.69
2014-02-05  80.07  80.93  80.02  80.44  2342400  80.44
2014-02-04  80.57  80.63  79.89  80.35  2628500  80.35
2014-02-03  81.2  81.28  80.05  80.26  4116300  80.26
2014-01-31  81.39  81.99  80.88  81.28  5186100  81.28
2014-01-30  82.62  82.72  82.16  82.36  2754500  82.36
2014-01-29  82.31  82.8  82.01  82.21  3165200  82.21
2014-01-28  82.75  83.57  82.6  83.1  3158700  83.1
2014-01-27  81.25  83.15  81.22  82.29  4329300  82.29
2014-01-24  82.5  83.03  81.61  81.61  3753600  81.61
2014-01-23  83.42  84.37  82.92  83.07  4141800  83.07
2014-01-22  84.9  85.07  84.35  84.56  3080900  84.56
2014-01-21  86.25  86.27  83.66  85.0  6092100  85.0
2014-01-17  87.23  87.3  86.42  86.47  2931500  86.47
2014-01-16  87.55  87.86  86.91  87.24  1412100  87.24
2014-01-15  87.6  88.0  87.32  87.88  2063900  87.88
2014-01-14  86.8  87.7  86.8  87.45  2034200  87.45
2014-01-13  87.33  87.55  86.27  86.34  2215800  86.34
2014-01-10  88.1  88.12  87.08  87.49  1863000  87.49
2014-01-09  87.76  88.22  87.17  87.68  1687200  87.68
2014-01-08  88.21  88.4  87.23  87.58  2627700  87.58
2014-01-07  89.06  89.17  88.07  88.4  1818300  88.4
2014-01-06  89.72  89.9  88.77  88.92  1763600  88.92
2014-01-03  89.3  89.67  88.88  89.16  1448600  89.16
2014-01-02  90.51  90.66  88.97  89.33  1543900  89.33
2013-12-31  90.34  90.74  90.22  90.54  1107700  90.54
2013-12-30  90.04  90.53  89.86  90.28  1267900  90.28
2013-12-27  90.01  90.21  89.45  89.85  758200  89.85
2013-12-26  89.89  90.16  89.38  90.01  938600  90.01
2013-12-24  89.11  89.55  89.01  89.49  512800  89.49
2013-12-23  89.91  89.91  89.01  89.16  1277100  89.16
2013-12-20  88.67  89.64  88.62  89.18  3911300  89.18
2013-12-19  87.79  88.93  87.79  88.79  2140300  88.79
2013-12-18  86.96  88.15  86.62  88.14  2928000  88.14
2013-12-17  86.77  87.0  86.26  86.57  1852300  86.57
2013-12-16  86.99  87.36  86.65  87.05  2367800  87.05
2013-12-13  86.56  86.79  86.29  86.49  1568300  86.49
2013-12-12  87.12  87.37  86.5  86.63  1889300  86.63
2013-12-11  88.42  88.72  87.04  87.1  2179900  87.1
2013-12-10  88.09  88.83  88.03  88.44  1931100  88.44
2013-12-09  89.05  89.28  88.33  88.45  2539400  88.45
2013-12-06  88.18  89.42  88.18  89.01  1831200  89.01
2013-12-05  87.87  88.26  87.34  87.42  2334300  87.42
2013-12-04  88.21  88.96  87.39  88.11  2349600  88.11
2013-12-03  88.22  89.08  87.92  88.52  2531800  88.52
2013-12-02  89.74  89.88  88.36  88.49  3771100  88.49
2013-11-29  90.69  91.15  90.22  90.22  917100  90.22
2013-11-27  90.47  90.91  90.27  90.47  1902200  90.47
2013-11-26  90.28  90.71  90.2  90.27  2454000  90.27
2013-11-25  90.03  90.47  90.01  90.27  2112200  90.27
2013-11-22  88.72  90.08  88.56  90.01  1885000  90.01
2013-11-21  87.68  88.91  87.5  88.71  1787700  88.71
2013-11-20  87.56  87.95  87.19  87.43  1755400  87.43
2013-11-19  87.71  87.94  87.4  87.59  1274100  87.59
2013-11-18  88.38  88.43  87.57  87.68  1676800  87.68
2013-11-15  87.72  88.37  87.57  88.17  1764700  88.17
2013-11-14  87.06  87.78  86.8  87.75  1585900  87.75
2013-11-13  85.75  87.02  85.59  86.72  2081900  86.72
2013-11-12  87.0  87.36  85.63  85.95  2496800  85.95
2013-11-11  87.28  87.81  87.15  87.47  1367300  87.47
2013-11-08  86.65  87.33  86.51  87.3  1758400  87.3
2013-11-07  87.1  87.53  86.65  86.72  2139400  86.72
2013-11-06  86.05  87.1  85.97  86.99  1940600  86.99
2013-11-05  85.98  86.44  85.65  85.97  1445300  85.97
2013-11-04  86.02  86.61  85.86  86.11  1095600  86.11
2013-11-01  86.09  86.11  85.53  85.91  1432000  85.91
2013-10-31  86.5  86.6  85.8  85.81  1821200  85.81
2013-10-30  86.79  87.0  86.04  86.41  1282200  86.41
2013-10-29  86.76  87.0  86.4  86.78  1562900  86.78
2013-10-28  86.16  86.96  86.14  86.61  1625900  86.61
2013-10-25  86.33  86.66  86.04  86.14  1764100  86.14
2013-10-24  85.79  86.85  85.68  86.54  1991600  86.54
2013-10-23  85.72  85.96  85.13  85.79  1945400  85.79
2013-10-22  87.55  87.55  85.77  86.22  3823600  86.22
2013-10-21  86.2  86.44  85.86  86.27  1768000  86.27
2013-10-18  86.06  86.27  85.64  86.09  2027700  86.09
2013-10-17  84.83  85.63  84.39  85.53  1998000  85.53
2013-10-16  84.68  85.8  84.57  85.59  2065900  85.59
2013-10-15  84.45  84.6  83.89  84.0  1753400  84.0
2013-10-14  83.76  84.8  83.73  84.72  1377900  84.72
2013-10-11  83.57  84.3  83.28  84.18  1695700  84.18
2013-10-10  82.55  83.82  82.55  83.69  2003300  83.69
2013-10-09  82.66  82.73  81.77  81.88  1675800  81.88
2013-10-08  83.52  83.69  82.46  82.52  1838900  82.52
2013-10-07  83.57  84.02  83.29  83.61  1271900  83.61
2013-10-04  83.6  84.26  83.46  84.2  1452100  84.2
2013-10-03  83.84  83.87  83.3  83.58  1998300  83.58
