Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  38.92  39.55  38.9  39.45  3366300  39.45
2014-02-27  39.05  39.25  38.58  38.91  3929700  38.91
2014-02-26  38.96  39.45  38.89  39.11  2960900  39.11
2014-02-25  38.95  39.47  38.8  38.86  3849900  38.86
2014-02-24  38.93  39.12  38.44  38.79  2770500  38.79
2014-02-21  39.23  39.25  38.41  38.84  3838200  38.84
2014-02-20  38.23  39.23  38.23  39.09  3759000  39.09
2014-02-19  38.18  38.34  37.87  38.22  3180000  38.22
2014-02-18  37.81  38.46  37.81  38.27  3083500  38.27
2014-02-14  37.4  37.66  37.16  37.66  2406100  37.66
2014-02-13  36.71  37.55  36.66  37.4  3052500  37.4
2014-02-12  36.66  37.09  36.42  36.82  3858200  36.82
2014-02-11  36.38  36.7  36.08  36.69  4236000  36.69
2014-02-10  36.02  36.55  35.92  36.43  3592100  36.43
2014-02-07  35.67  36.23  35.47  36.02  3701600  36.02
2014-02-06  35.58  35.9  35.31  35.63  3298900  35.63
2014-02-05  35.37  35.79  35.18  35.52  3978400  35.52
2014-02-04  36.19  36.45  35.14  35.4  6792100  35.4
2014-02-03  37.28  37.72  35.87  35.95  6871100  35.95
2014-01-31  35.61  38.18  35.54  37.33  12040800  37.33
2014-01-30  34.45  34.54  34.19  34.42  3770400  34.42
2014-01-29  34.46  34.66  34.08  34.32  3003200  34.32
2014-01-28  34.73  34.94  34.39  34.59  3083000  34.59
2014-01-27  34.83  34.91  34.2  34.58  3238300  34.58
2014-01-24  35.14  35.14  34.52  34.7  4411400  34.7
2014-01-23  35.25  35.42  35.05  35.39  2558400  35.39
2014-01-22  35.1  35.6  35.0  35.51  2203500  35.51
2014-01-21  35.36  35.41  34.85  34.92  4646600  34.92
2014-01-17  34.91  35.02  34.41  34.97  2504900  34.97
2014-01-16  34.69  35.67  34.19  34.97  6105700  34.97
2014-01-15  34.56  34.72  34.37  34.71  2325600  34.71
2014-01-14  33.84  34.57  33.84  34.4  3135200  34.4
2014-01-13  34.58  34.66  33.76  33.83  3133400  33.83
2014-01-10  34.54  34.83  34.08  34.77  5312800  34.77
2014-01-09  33.9  34.85  33.83  34.53  4758200  34.53
2014-01-08  33.28  34.31  33.12  33.85  5028300  33.85
2014-01-07  33.32  33.56  33.15  33.25  4331400  33.25
2014-01-06  33.59  33.67  33.12  33.14  3024500  33.14
2014-01-03  33.22  33.61  32.97  33.36  1519200  33.36
2014-01-02  33.46  33.47  33.03  33.11  2001300  33.11
2013-12-31  33.52  33.83  33.22  33.4  1367800  33.4
2013-12-30  33.39  33.58  33.27  33.52  1215400  33.52
2013-12-27  33.32  33.5  33.25  33.41  1046500  33.41
2013-12-26  33.36  33.57  33.14  33.24  1394600  33.24
2013-12-24  33.22  33.42  33.12  33.38  598800  33.38
2013-12-23  33.41  33.51  33.08  33.28  1778000  33.28
2013-12-20  33.78  33.83  33.13  33.15  5309300  33.15
2013-12-19  33.68  33.86  33.43  33.77  3485400  33.77
2013-12-18  33.25  33.85  33.06  33.83  3744800  33.83
2013-12-17  33.48  33.58  33.07  33.1  3247900  33.1
2013-12-16  33.3  33.68  33.16  33.53  4244700  33.53
2013-12-13  33.69  33.69  32.97  33.05  3842600  33.05
2013-12-12  33.73  33.9  33.26  33.53  3724300  33.53
2013-12-11  34.01  34.31  33.79  33.86  3182000  33.86
2013-12-10  33.81  34.01  33.44  33.9  3755400  33.9
2013-12-09  33.76  34.08  33.58  33.72  3639800  33.72
