Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  30.62  30.73  30.22  30.46  1562300  30.46
2014-02-27  30.54  30.67  30.31  30.59  987900  30.59
2014-02-26  30.41  30.69  30.29  30.42  1527900  30.42
2014-02-25  30.2  30.5  30.09  30.36  1348700  30.36
2014-02-24  30.09  30.44  30.07  30.24  1564600  30.24
2014-02-21  29.93  30.17  29.72  30.11  1470600  30.11
2014-02-20  29.76  29.92  29.44  29.85  1138200  29.85
2014-02-19  29.7  30.07  29.64  29.69  1406600  29.69
2014-02-18  29.55  29.72  29.39  29.62  901500  29.62
2014-02-14  29.46  29.6  29.21  29.54  813900  29.54
2014-02-13  29.44  29.61  29.29  29.48  1470900  29.48
2014-02-12  29.7  29.96  29.56  29.59  1485300  29.59
2014-02-11  29.4  29.8  29.37  29.65  1144500  29.65
2014-02-10  29.35  29.54  29.18  29.41  1479700  29.41
2014-02-07  29.03  29.53  28.92  29.5  1450800  29.5
2014-02-06  28.79  29.01  28.72  28.9  1250600  28.9
2014-02-05  28.7  28.8  28.27  28.71  2369200  28.71
2014-02-04  28.84  29.02  28.63  28.87  1782800  28.87
2014-02-03  29.81  29.91  28.68  28.77  2956500  28.77
2014-01-31  30.18  30.53  29.85  29.88  2829800  29.88
2014-01-30  30.78  30.8  30.29  30.68  1282800  30.68
2014-01-29  27.27  31.43  27.0  30.53  4025900  30.53
2014-01-28  30.27  30.65  30.06  30.58  1538300  30.58
2014-01-27  30.93  31.01  30.28  30.3  2105300  30.3
2014-01-24  31.6  31.66  30.84  30.96  1639600  30.96
2014-01-23  32.33  32.44  31.76  31.88  1362400  31.88
2014-01-22  32.23  32.38  32.13  32.15  921300  32.15
2014-01-21  32.3  32.32  31.88  32.2  1221400  32.2
2014-01-17  32.45  32.48  32.11  32.2  940400  32.2
2014-01-16  32.57  32.61  32.4  32.44  651300  32.44
2014-01-15  32.39  32.9  32.39  32.68  1291700  32.68
2014-01-14  32.07  32.49  31.97  32.31  1185500  32.31
2014-01-13  32.58  32.61  31.89  32.03  1328400  32.03
2014-01-10  32.87  32.88  32.47  32.5  1352200  32.5
2014-01-09  33.1  33.19  32.71  32.74  1790700  32.74
2014-01-08  32.93  33.09  32.74  32.99  1221800  32.99
2014-01-07  32.87  33.06  32.87  33.03  699600  33.03
2014-01-06  32.94  32.99  32.68  32.8  900100  32.8
2014-01-03  32.91  32.99  32.67  32.85  679400  32.85
2014-01-02  33.23  33.23  32.69  32.79  1045100  32.79
2013-12-31  33.31  33.44  33.13  33.28  614000  33.28
2013-12-30  33.25  33.37  33.13  33.24  523700  33.24
2013-12-27  33.39  33.42  33.12  33.2  475800  33.2
2013-12-26  33.23  33.31  32.97  33.3  462000  33.3
2013-12-24  32.97  33.19  32.96  33.08  439000  33.08
2013-12-23  33.16  33.17  32.9  33.02  895100  33.02
2013-12-20  32.77  33.09  32.56  33.06  1458800  33.06
2013-12-19  32.36  33.07  32.23  32.74  2927800  32.74
2013-12-18  31.8  32.51  31.67  32.46  2720200  32.46
2013-12-17  31.47  31.67  31.19  31.54  1337900  31.54
2013-12-16  31.3  31.46  31.15  31.39  1359400  31.39
2013-12-13  31.14  31.3  30.85  31.19  1255500  31.19
2013-12-12  30.87  31.24  30.78  31.1  1206400  31.1
2013-12-11  31.14  31.18  30.85  30.93  1535500  30.93
2013-12-10  30.72  31.19  30.68  31.08  1840200  31.08
2013-12-09  30.76  30.86  30.57  30.82  1384500  30.82
2013-12-06  30.56  31.01  30.37  30.66  2758800  30.66
2013-12-05  30.42  30.53  30.07  30.24  1916300  30.24
2013-12-04  31.05  31.08  30.21  30.53  2577900  30.53
2013-12-03  30.95  31.34  30.88  31.22  2058300  31.22
2013-12-02  30.99  30.99  30.62  30.69  1236300  30.69
2013-11-29  30.94  31.21  30.93  30.95  366600  30.95
2013-11-27  31.07  31.17  30.85  30.93  634500  30.93
2013-11-26  31.31  31.36  30.95  31.0  2918400  31.0
2013-11-25  31.29  31.42  31.25  31.27  696800  31.27
2013-11-22  31.08  31.24  31.0  31.2  599400  31.2
2013-11-21  30.49  31.09  30.38  31.04  982700  31.04
2013-11-20  30.71  30.9  30.32  30.44  1261100  30.44
2013-11-19  30.63  30.86  30.57  30.71  921800  30.71
2013-11-18  30.87  30.97  30.58  30.7  983300  30.7
2013-11-15  30.93  30.93  30.57  30.85  899300  30.85
2013-11-14  30.64  30.95  30.61  30.93  577300  30.93
2013-11-13  30.35  30.64  30.2  30.64  518100  30.64
2013-11-12  30.15  30.45  30.09  30.45  797600  30.45
2013-11-11  30.0  30.32  29.99  30.16  667700  30.16
2013-11-08  29.65  30.11  29.61  30.08  1026800  30.08
2013-11-07  29.87  30.05  29.63  29.68  1187500  29.68
2013-11-06  29.66  29.87  29.66  29.82  680000  29.82
2013-11-05  29.55  29.65  29.35  29.57  834000  29.57
2013-11-04  29.75  29.79  29.58  29.66  638800  29.66
2013-11-01  29.74  29.86  29.51  29.64  1055200  29.64
2013-10-31  30.08  30.1  29.74  29.74  1634300  29.74
2013-10-30  29.98  30.23  29.93  30.09  1871900  30.09
2013-10-29  30.06  30.23  29.72  29.98  990000  29.98
2013-10-28  29.99  30.09  29.86  29.92  1162000  29.92
2013-10-25  30.08  30.09  29.9  29.94  1214900  29.94
2013-10-24  29.97  30.18  29.94  30.15  865000  30.15
2013-10-23  30.21  30.21  29.55  29.91  2878300  29.91
2013-10-22  30.43  30.69  30.35  30.55  1558000  30.55
2013-10-21  30.25  30.39  30.1  30.39  1261100  30.39
2013-10-18  30.07  30.22  30.01  30.22  794400  30.22
2013-10-17  29.95  30.1  29.78  29.99  1242100  29.99
2013-10-16  29.92  30.06  29.77  30.05  1315900  30.05
2013-10-15  30.02  30.05  29.52  29.66  1086700  29.66
2013-10-14  29.61  30.1  29.55  30.05  1356300  30.05
2013-10-11  28.99  29.54  28.94  29.5  882500  29.5
2013-10-10  28.74  29.09  28.68  29.09  875400  29.09
2013-10-09  28.51  28.53  28.21  28.41  1262600  28.41
2013-10-08  28.83  29.05  28.39  28.4  1176600  28.4
2013-10-07  29.07  29.22  28.82  28.85  1208100  28.85
