Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  139.25  141.51  139.14  140.35  3649500  140.35
2014-02-27  137.42  139.63  137.42  138.6  2313400  138.6
2014-02-26  138.06  138.49  136.81  137.76  2171200  137.76
2014-02-25  138.07  138.66  136.05  137.54  4897000  137.54
2014-02-24  140.36  141.39  138.38  138.41  5235300  138.41
2014-02-21  140.27  141.05  139.25  139.78  5488800  139.78
2014-02-20  140.43  142.04  139.74  140.89  7708100  140.89
2014-02-19  143.42  143.92  138.85  140.24  9971200  140.24
2014-02-18  145.36  145.65  143.63  144.19  5667400  144.19
2014-02-14  143.94  146.48  143.82  145.21  8299000  145.21
2014-02-13  144.42  145.39  142.52  144.02  26662900  144.02
2014-02-12  134.1  134.59  133.43  134.58  2145100  134.58
2014-02-11  134.95  135.51  133.99  134.17  2794700  134.17
2014-02-10  134.06  135.15  133.58  134.96  1333800  134.96
2014-02-07  134.94  135.7  133.93  134.62  2085400  134.62
2014-02-06  134.76  135.08  133.9  134.91  2232300  134.91
2014-02-05  133.83  134.91  133.68  134.09  1224900  134.09
2014-02-04  134.41  135.4  133.33  135.16  1956900  135.16
2014-02-03  135.0  135.16  132.77  133.28  4025900  133.28
2014-01-31  131.63  133.88  131.55  132.55  2060100  132.55
2014-01-30  132.48  133.93  131.55  133.47  2017300  133.47
2014-01-29  131.71  132.99  131.18  131.38  3452400  131.38
2014-01-28  133.37  133.89  132.6  132.98  2105000  132.98
2014-01-27  131.85  134.75  129.83  132.73  7818700  132.73
2014-01-24  133.3  134.42  132.61  132.97  2781400  132.97
2014-01-23  133.81  134.59  133.22  133.82  2704200  133.82
2014-01-22  134.2  134.8  133.94  134.15  1590400  134.15
2014-01-21  134.18  134.88  133.72  133.78  3756200  133.78
2014-01-17  134.59  135.2  134.25  134.97  2703700  134.97
2014-01-16  135.06  135.12  133.72  134.56  3298700  134.56
2014-01-15  135.17  135.72  134.27  134.4  3410000  134.4
2014-01-14  134.18  136.45  133.47  135.26  8992100  135.26
2014-01-13  132.06  132.7  130.17  131.68  3078300  131.68
2014-01-10  132.24  133.29  131.69  132.64  2074400  132.64
2014-01-09  132.28  133.24  132.06  132.45  1703400  132.45
2014-01-08  133.85  134.17  131.46  131.83  2943500  131.83
2014-01-07  133.41  134.28  133.21  134.17  1724200  134.17
2014-01-06  134.26  134.83  132.71  133.3  2119500  133.3
2014-01-03  133.7  133.77  132.38  132.68  1279100  132.68
2014-01-02  134.33  134.73  132.98  133.11  1619400  133.11
2013-12-31  134.23  134.88  133.85  134.77  1384900  134.77
2013-12-30  133.6  134.45  133.2  134.21  661600  134.21
2013-12-27  132.61  133.86  132.6  133.73  649900  133.73
2013-12-26  133.42  133.42  132.28  132.61  981000  132.61
2013-12-24  131.79  133.59  131.79  133.31  444000  133.31
2013-12-23  132.29  132.92  131.73  131.78  1916800  131.78
2013-12-20  132.5  133.27  131.65  131.74  3256300  131.74
2013-12-19  133.87  133.87  132.0  133.01  1812100  133.01
2013-12-18  132.29  133.77  131.49  133.76  1566300  133.76
2013-12-17  131.54  133.41  131.28  132.31  2511200  132.31
2013-12-16  131.08  131.94  130.21  131.37  2419300  131.37
2013-12-13  130.89  135.26  129.21  130.7  6739300  130.7
2013-12-12  130.77  132.16  129.98  130.35  2486400  130.35
2013-12-11  131.55  131.73  130.12  130.79  2730600  130.79
2013-12-10  130.23  132.09  129.91  131.14  2700800  131.14
2013-12-09  129.82  131.49  128.98  129.73  2158200  129.73
2013-12-06  131.92  132.48  129.84  130.29  4312600  130.29
2013-12-05  131.04  138.24  129.85  131.81  6906700  131.81
2013-12-04  133.04  133.3  130.83  131.48  4513800  131.48
2013-12-03  135.78  135.79  132.81  133.41  3965500  133.41
2013-12-02  137.23  139.09  135.41  136.07  2803600  136.07
2013-11-29  136.54  138.3  136.23  137.47  2169900  137.47
2013-11-27  136.57  136.84  134.92  136.06  3272400  136.06
2013-11-26  130.54  138.42  130.29  135.82  6863900  135.82
2013-11-25  130.87  131.48  129.41  130.66  3754300  130.66
2013-11-22  124.22  132.35  124.16  131.55  12609000  131.55
2013-11-21  118.53  120.44  118.53  119.61  1946400  119.61
2013-11-20  121.04  121.16  118.59  118.81  2040100  118.81
2013-11-19  120.14  121.86  119.56  121.0  2212700  121.0
2013-11-18  119.64  120.55  119.26  120.28  1199200  120.28
2013-11-15  119.9  120.33  119.24  119.63  1567000  119.63
2013-11-14  118.99  121.03  118.85  119.57  1755300  119.57
2013-11-13  116.42  119.23  116.21  118.9  1621500  118.9
2013-11-12  118.04  118.16  115.77  117.16  1749000  117.16
2013-11-11  119.64  120.23  117.65  117.91  1354000  117.91
2013-11-08  117.52  119.87  116.85  119.83  1704100  119.83
2013-11-07  119.01  119.73  116.78  117.02  1721400  117.02
2013-11-06  119.2  120.4  118.7  118.97  1360600  118.97
2013-11-05  121.24  121.28  118.67  118.73  2659100  118.73
2013-11-04  123.71  123.71  119.66  121.88  3195200  121.88
2013-11-01  119.18  126.85  118.59  122.24  5315700  122.24
2013-10-31  115.96  122.72  115.96  118.91  4524700  118.91
2013-10-30  117.26  117.47  114.42  115.67  2022900  115.67
2013-10-29  117.84  118.42  116.54  116.92  1691700  116.92
2013-10-28  117.71  117.77  115.62  117.49  1695100  117.49
2013-10-25  118.37  119.36  116.98  118.21  1614600  118.21
2013-10-24  117.94  118.51  116.37  118.26  1088600  118.26
2013-10-23  117.69  118.54  117.28  117.48  1222800  117.48
2013-10-22  117.36  118.75  117.32  118.29  1503500  118.29
2013-10-21  117.03  117.61  116.59  117.13  745400  117.13
2013-10-18  117.47  117.52  116.64  116.98  1657400  116.98
2013-10-17  115.8  117.64  115.17  117.41  1463600  117.41
2013-10-16  116.06  117.1  114.98  116.24  1980700  116.24
2013-10-15  113.49  115.96  112.2  115.39  2488300  115.39
