Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  44.88  45.19  44.58  44.96  5772900  44.96
2014-02-27  44.53  44.82  44.48  44.78  4343500  44.78
2014-02-26  44.5  44.94  44.49  44.63  4532100  44.63
2014-02-25  44.49  44.71  44.07  44.47  5303900  44.47
2014-02-24  44.22  44.83  44.2  44.45  5311800  44.45
2014-02-21  44.4  44.43  44.02  44.15  5669500  44.15
2014-02-20  43.85  44.26  43.8  44.2  5371100  44.2
2014-02-19  43.83  44.15  43.67  43.93  5346600  43.93
2014-02-18  43.75  44.07  43.24  44.01  5826100  44.01
2014-02-14  43.52  43.94  43.4  43.86  4907400  43.86
2014-02-13  43.05  43.75  43.05  43.74  5029100  43.74
2014-02-12  43.24  43.44  43.01  43.3  5041200  43.3
2014-02-11  42.76  43.29  42.31  43.13  7149900  43.13
2014-02-10  41.97  42.37  41.89  42.36  4666000  42.36
2014-02-07  41.56  42.0  41.29  41.95  6005000  41.95
2014-02-06  41.19  41.44  41.0  41.23  4734500  41.23
2014-02-05  40.63  41.13  40.33  40.97  9254300  40.97
2014-02-04  41.6  41.7  40.85  40.89  10529900  40.89
2014-02-03  42.42  42.5  41.38  41.5  12669400  41.5
2014-01-31  41.35  42.65  41.26  42.4  12821700  42.4
2014-01-30  42.61  42.93  42.43  42.69  6703000  42.69
2014-01-29  42.32  42.75  42.24  42.4  8619600  42.4
2014-01-28  42.28  42.63  42.0  42.6  6356100  42.6
2014-01-27  42.65  42.97  42.25  42.34  7360000  42.34
2014-01-24  43.48  43.72  42.58  42.65  10676700  42.65
2014-01-23  43.81  44.24  43.64  43.78  8236400  43.78
2014-01-22  43.4  44.51  43.25  44.3  9822000  44.3
2014-01-21  43.44  43.62  43.06  43.54  7413800  43.54
2014-01-17  42.9  43.55  42.71  43.15  6614200  43.15
2014-01-16  43.22  43.3  42.94  43.07  4086900  43.07
2014-01-15  43.15  43.35  42.8  43.24  6605400  43.24
2014-01-14  42.21  43.1  42.06  43.04  6892700  43.04
2014-01-13  42.65  42.79  41.82  41.94  6759100  41.94
2014-01-10  42.85  42.95  42.44  42.81  5330900  42.81
2014-01-09  42.98  43.09  42.6  42.76  3383800  42.76
2014-01-08  42.66  43.02  42.32  42.99  6353500  42.99
2014-01-07  42.68  42.81  42.34  42.4  5078900  42.4
2014-01-06  42.95  42.98  42.55  42.63  4446300  42.63
2014-01-03  42.82  43.16  42.67  42.99  4693300  42.99
2014-01-02  43.14  43.2  42.58  42.8  6959200  42.8
2013-12-31  43.73  43.78  43.48  43.6  2631300  43.6
2013-12-30  43.19  43.6  43.18  43.59  2445700  43.59
2013-12-27  43.46  43.52  43.28  43.36  1938000  43.36
2013-12-26  43.22  43.35  43.15  43.29  1960100  43.29
2013-12-24  43.01  43.3  42.95  43.13  1339900  43.13
2013-12-23  42.7  43.11  42.6  43.06  3908600  43.06
2013-12-20  42.46  42.7  42.19  42.54  8648200  42.54
2013-12-19  42.81  42.81  41.98  42.16  4910200  42.16
2013-12-18  42.21  42.8  41.76  42.8  6390700  42.8
2013-12-17  41.96  42.31  41.93  42.13  3570500  42.13
2013-12-16  41.88  42.28  41.75  41.99  4144400  41.99
2013-12-13  42.36  42.48  41.62  41.66  5596000  41.66
2013-12-12  42.03  42.45  42.0  42.12  6970500  42.12
2013-12-11  43.15  43.2  42.48  42.51  4169600  42.51
2013-12-10  43.19  43.35  42.98  43.11  5146200  43.11
2013-12-09  43.35  43.37  43.02  43.28  5121700  43.28
2013-12-06  42.71  43.26  42.71  43.19  4794000  43.19
2013-12-05  42.18  42.43  42.09  42.36  4486700  42.36
2013-12-04  42.37  42.77  41.92  42.13  6592500  42.13
2013-12-03  42.32  42.64  42.09  42.54  6318700  42.54
2013-12-02  42.65  42.7  42.42  42.51  4389600  42.51
2013-11-29  42.33  42.78  42.21  42.7  3756400  42.7
2013-11-27  41.8  42.28  41.64  42.22  4764300  42.22
2013-11-26  42.29  42.55  42.26  42.4  4181000  42.4
2013-11-25  42.36  42.44  42.12  42.25  6201200  42.25
2013-11-22  42.13  42.37  41.85  42.34  5002300  42.34
2013-11-21  41.78  42.19  41.71  42.14  3826700  42.14
2013-11-20  42.11  42.11  41.52  41.64  4858800  41.64
2013-11-19  42.19  42.41  41.8  41.86  3605000  41.86
2013-11-18  42.32  42.4  42.03  42.14  4000400  42.14
2013-11-15  42.3  42.44  41.99  42.25  4231800  42.25
2013-11-14  41.93  42.45  41.91  42.33  6114500  42.33
2013-11-13  41.36  42.11  41.22  42.09  7129600  42.09
2013-11-12  41.32  41.7  41.32  41.56  4176800  41.56
2013-11-11  41.65  41.71  41.35  41.5  4291000  41.5
2013-11-08  41.55  41.75  41.27  41.69  5590100  41.69
2013-11-07  41.97  42.01  41.22  41.36  6335400  41.36
2013-11-06  41.82  41.97  41.61  41.85  4637300  41.85
2013-11-05  41.46  41.75  41.21  41.61  5350400  41.61
2013-11-04  41.89  41.95  41.6  41.7  3681600  41.7
2013-11-01  42.07  42.08  41.53  41.74  6033800  41.74
2013-10-31  41.41  42.05  41.36  41.8  9643500  41.8
2013-10-30  41.37  42.04  41.27  41.43  11278100  41.43
2013-10-29  41.12  41.48  40.64  41.47  11073600  41.47
2013-10-28  39.56  40.49  39.52  40.43  11604000  40.43
2013-10-25  39.38  39.7  39.23  39.66  7152100  39.66
2013-10-24  39.08  39.7  39.08  39.31  6663600  39.31
2013-10-23  39.43  39.53  38.63  39.16  12047600  39.16
2013-10-22  39.61  39.89  39.22  39.71  13064800  39.71
2013-10-21  39.98  40.64  39.97  40.41  9658800  40.41
2013-10-18  40.11  40.18  39.77  40.13  5724400  40.13
2013-10-17  39.71  40.14  39.52  40.07  4972800  40.07
2013-10-16  39.42  40.19  39.17  40.17  8301700  40.17
2013-10-15  39.94  40.03  39.64  39.68  6437400  39.68
2013-10-14  39.65  40.06  39.57  39.97  6080400  39.97
2013-10-11  39.25  39.85  39.25  39.8  4500100  39.8
2013-10-10  39.01  39.67  39.0  39.55  6383900  39.55
2013-10-09  38.76  38.93  38.37  38.73  6859200  38.73
2013-10-08  39.33  39.33  38.64  38.68  6427000  38.68
2013-10-07  39.04  39.64  38.95  39.29  5850700  39.29
2013-10-04  39.68  39.68  39.26  39.36  6539300  39.36
2013-10-03  39.49  39.79  39.25  39.65  5899200  39.65
2013-10-02  39.54  39.9  39.51  39.69  4255100  39.69
2013-10-01  39.76  39.97  39.65  39.82  3942000  39.82
2013-09-30  39.32  39.84  39.12  39.72  5521700  39.72
2013-09-27  39.68  39.76  39.43  39.59  3799300  39.59
2013-09-26  39.94  39.96  39.57  39.8  3275500  39.8
2013-09-25  39.86  39.95  39.64  39.75  4421200  39.75
2013-09-24  39.88  39.99  39.66  39.74  4440700  39.74
2013-09-23  39.92  40.04  39.67  39.89  5780200  39.89
2013-09-20  40.3  40.32  39.93  39.94  7179000  39.94
2013-09-19  40.33  40.36  40.09  40.22  5066800  40.22
2013-09-18  40.12  40.32  39.97  40.27  7654400  40.27
2013-09-17  40.08  40.26  39.81  40.15  4061200  40.15
2013-09-16  39.92  40.0  39.7  39.87  5393100  39.87
2013-09-13  39.49  39.73  39.18  39.71  4272300  39.71
2013-09-12  39.36  39.54  39.09  39.34  5855600  39.34
2013-09-11  39.48  39.81  39.39  39.46  6720000  39.46
2013-09-10  39.39  39.79  39.32  39.74  6427400  39.74
2013-09-09  38.83  39.27  38.69  39.18  3656700  39.18
2013-09-06  39.03  39.03  38.42  38.62  4770400  38.62
2013-09-05  38.8  39.02  38.73  38.92  4374400  38.92
2013-09-04  38.22  38.91  37.97  38.81  6224400  38.81
2013-09-03  38.07  38.53  37.93  38.09  4466800  38.09
2013-08-30  38.09  38.1  37.52  37.66  4377300  37.66
2013-08-29  37.83  38.27  37.71  38.06  3192400  38.06
2013-08-28  37.82  38.14  37.59  37.88  5115000  37.88
2013-08-27  38.25  38.25  37.57  37.7  9172200  37.7
2013-08-26  38.6  38.99  38.48  38.63  6757700  38.63
2013-08-23  38.37  38.58  38.16  38.51  5162800  38.51
2013-08-22  38.07  38.4  37.81  38.27  4258600  38.27
2013-08-21  37.75  38.21  37.46  37.9  9314200  37.9
2013-08-20  38.03  38.31  37.9  38.2  5428900  38.2
2013-08-19  38.38  38.47  37.86  37.89  5365800  37.89
2013-08-16  38.08  38.5  37.89  38.19  5714600  38.19
2013-08-15  38.12  38.35  37.81  38.1  8551200  38.1
2013-08-14  39.21  39.22  38.48  38.61  11735300  38.61
2013-08-13  39.13  39.35  38.88  39.19  4100300  39.19
2013-08-12  38.91  39.35  38.91  39.14  3506600  39.14
2013-08-09  38.98  39.37  38.94  39.21  5768600  39.21
2013-08-08  39.28  39.39  38.85  39.08  3897300  39.08
2013-08-07  38.98  39.32  38.92  39.08  4513300  39.08
2013-08-06  39.24  39.42  38.96  39.16  5140100  39.16
2013-08-05  39.15  39.33  39.09  39.29  4514300  39.29
2013-08-02  39.06  39.42  38.85  39.37  9305700  39.37
2013-08-01  38.8  39.33  38.69  39.25  8625100  39.25
2013-07-31  38.42  38.79  38.23  38.62  8871300  38.62
2013-07-30  38.18  38.5  38.07  38.21  6160000  38.21
2013-07-29  38.07  38.43  37.99  38.04  4970300  38.04
2013-07-26  37.94  38.29  37.93  38.28  6965000  38.28
2013-07-25  38.08  38.43  37.9  38.41  9191700  38.41
2013-07-24  38.14  38.37  37.84  38.1  10252200  38.1
2013-07-23  37.83  38.89  37.76  38.1  21958000  38.1
2013-07-22  36.75  36.8  36.42  36.62  7906500  36.62
2013-07-19  36.73  36.8  36.34  36.47  8238400  36.47
2013-07-18  37.08  37.29  36.76  36.8  6911300  36.8
2013-07-17  37.12  37.34  36.99  37.09  5810900  37.09
2013-07-16  37.08  37.14  36.81  37.01  5192600  37.01
2013-07-15  36.69  37.02  36.61  36.98  6279500  36.98
2013-07-12  36.41  36.69  36.22  36.69  6618900  36.69
2013-07-11  36.08  36.52  36.06  36.38  10298900  36.38
2013-07-10  35.29  35.89  35.29  35.81  7016500  35.81
2013-07-09  35.24  35.64  35.2  35.47  6284900  35.47
2013-07-08  35.36  35.39  34.66  34.93  8024200  34.93
2013-07-05  35.0  35.25  34.76  35.23  5764600  35.23
2013-07-03  34.1  35.01  34.06  34.71  4074200  34.71
2013-07-02  34.15  34.9  34.09  34.38  7795600  34.38
2013-07-01  34.2  34.62  34.19  34.29  5246700  34.29
2013-06-28  33.86  34.34  33.78  34.11  11343300  34.11
2013-06-27  34.32  34.44  34.11  34.11  6720200  34.11
2013-06-26  34.52  34.65  34.16  34.21  6596900  34.21
2013-06-25  33.89  34.41  33.73  34.27  7825800  34.27
2013-06-24  34.08  34.21  33.37  33.46  9087400  33.46
2013-06-21  34.05  34.32  33.67  34.21  14860300  34.21
2013-06-20  34.65  34.74  33.78  33.89  8734600  33.89
2013-06-19  35.46  35.52  34.85  34.95  5850300  34.95
2013-06-18  35.12  35.57  34.92  35.35  5691600  35.35
2013-06-17  35.04  35.47  34.84  35.02  6750900  35.02
2013-06-14  34.6  35.0  34.49  34.72  6267600  34.72
2013-06-13  34.1  34.82  33.84  34.72  7036400  34.72
2013-06-12  34.74  34.77  33.91  34.05  8378600  34.05
2013-06-11  35.23  35.25  34.42  34.51  9795200  34.51
2013-06-10  35.48  35.98  35.35  35.84  7941300  35.84
2013-06-07  35.21  35.48  34.9  35.41  5828200  35.41
2013-06-06  35.07  35.3  34.46  34.91  6104900  34.91
2013-06-05  35.83  35.83  35.05  35.11  6851900  35.11
2013-06-04  35.64  36.2  35.64  35.86  9021500  35.86
2013-06-03  35.17  35.42  34.97  35.26  8403800  35.26
2013-05-31  35.31  35.63  35.11  35.14  8188900  35.14
2013-05-30  35.15  35.85  35.15  35.69  15275100  35.69
2013-05-29  35.27  35.52  35.1  35.32  7809600  35.32
2013-05-28  35.87  35.94  35.36  35.43  5578500  35.43
2013-05-24  34.98  35.24  34.77  35.22  4786900  35.22
2013-05-23  34.97  35.39  34.77  35.22  7566200  35.22
2013-05-22  35.7  35.95  35.04  35.24  10122900  35.24
2013-05-21  35.92  36.02  35.73  35.82  6651600  35.82
2013-05-20  35.97  36.06  35.8  35.85  8727600  35.85
2013-05-17  35.9  36.05  35.79  35.99  10018700  35.99
2013-05-16  36.01  36.19  35.8  35.82  10209300  35.82
2013-05-15  35.8  36.1  35.69  36.03  11922000  36.03
2013-05-14  35.75  36.01  35.7  35.73  7124900  35.73
2013-05-13  36.13  36.24  35.76  35.76  9398700  35.76
2013-05-10  36.44  36.44  36.07  36.25  8742300  36.25
2013-05-09  36.21  36.56  36.15  36.22  7754600  36.22
2013-05-08  36.13  36.44  36.12  36.3  6355900  36.3
2013-05-07  36.32  36.36  36.07  36.25  5820100  36.25
2013-05-06  36.4  36.46  36.02  36.25  6140200  36.25
2013-05-03  36.15  36.41  36.08  36.22  11805400  36.22
2013-05-02  35.8  36.12  35.53  35.92  9582100  35.92
