Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  39.9  40.08  39.27  39.7  1915100  39.7
2014-02-27  38.87  39.93  38.86  39.89  2596000  39.89
2014-02-26  38.93  39.3  38.71  38.8  2512700  38.8
2014-02-25  39.14  39.36  38.79  38.8  2288700  38.8
2014-02-24  38.46  39.58  38.41  39.19  2463700  39.19
2014-02-21  38.24  38.54  38.03  38.31  3999500  38.31
2014-02-20  37.36  38.56  37.32  38.53  2668000  38.53
2014-02-19  37.56  37.87  37.17  37.27  1872100  37.27
2014-02-18  37.48  37.88  37.34  37.83  1791200  37.83
2014-02-14  36.77  37.38  36.47  37.33  1111200  37.33
2014-02-13  36.46  36.88  36.19  36.84  933100  36.84
2014-02-12  36.15  36.99  36.15  36.83  2073500  36.83
2014-02-11  35.25  36.16  35.25  36.15  1777500  36.15
2014-02-10  35.74  35.85  35.13  35.22  2044700  35.22
2014-02-07  35.39  36.01  35.36  35.82  1680300  35.82
2014-02-06  34.44  35.36  34.44  35.27  1025200  35.27
2014-02-05  34.68  35.14  34.15  34.83  1696100  34.83
2014-02-04  34.37  35.24  33.82  35.1  2256900  35.1
2014-02-03  35.56  35.76  34.21  34.28  3191200  34.28
2014-01-31  35.71  35.88  35.44  35.5  4006600  35.5
2014-01-30  36.56  36.87  36.15  36.39  1699200  36.39
2014-01-29  36.35  36.75  35.96  36.1  2257700  36.1
2014-01-28  36.89  37.11  36.55  36.83  2213400  36.83
2014-01-27  36.49  37.21  35.92  36.77  3276600  36.77
2014-01-24  37.29  37.39  36.31  36.41  3309600  36.41
2014-01-23  37.72  38.09  37.46  37.79  3567800  37.79
2014-01-22  36.59  39.24  36.59  38.0  6858000  38.0
2014-01-21  36.47  36.49  35.68  36.1  4928700  36.1
2014-01-17  35.56  36.24  35.51  36.1  3247000  36.1
2014-01-16  35.51  35.79  35.41  35.65  1772100  35.65
2014-01-15  35.24  35.81  35.03  35.61  2034500  35.61
2014-01-14  34.73  35.27  34.7  35.2  2212000  35.2
2014-01-13  35.46  35.61  34.66  34.75  2817300  34.75
2014-01-10  35.84  36.0  35.53  35.67  1523600  35.67
2014-01-09  35.99  36.1  35.6  35.82  1224500  35.82
2014-01-08  35.84  36.05  35.52  35.78  1961500  35.78
2014-01-07  35.5  36.06  35.21  35.76  3002600  35.76
2014-01-06  36.5  36.78  36.16  36.16  3898800  36.16
2014-01-03  36.34  36.94  35.89  36.31  2379900  36.31
2014-01-02  36.75  36.75  36.19  36.29  1467200  36.29
2013-12-31  36.57  36.94  36.48  36.76  1238900  36.76
2013-12-30  36.64  36.7  36.19  36.43  1404100  36.43
2013-12-27  36.34  37.15  36.14  36.61  3797800  36.61
2013-12-26  36.32  36.69  36.08  36.2  1604900  36.2
2013-12-24  36.03  36.65  35.85  36.0  1474400  36.0
2013-12-23  36.38  36.85  35.65  36.38  6549300  36.38
2013-12-20  32.71  37.43  32.66  37.29  12719400  37.29
2013-12-19  32.55  32.76  32.42  32.57  1457500  32.57
2013-12-18  32.1  32.84  31.94  32.79  2419200  32.79
2013-12-17  32.16  32.24  31.76  32.1  1994000  32.1
2013-12-16  31.6  32.33  31.48  32.11  1933600  32.11
2013-12-13  31.59  31.81  31.33  31.46  1347800  31.46
2013-12-12  31.58  31.74  31.4  31.51  1401100  31.51
2013-12-11  32.22  32.3  31.47  31.59  1597200  31.59
2013-12-10  32.26  32.63  32.02  32.22  1352600  32.22
2013-12-09  32.63  32.82  32.29  32.39  1433200  32.39
2013-12-06  32.68  32.85  32.4  32.6  1400700  32.6
2013-12-05  31.55  32.5  31.52  32.28  1766600  32.28
2013-12-04  32.43  32.53  31.57  32.24  2988100  32.24
2013-12-03  33.01  33.32  32.27  32.61  3386300  32.61
2013-12-02  33.23  33.68  33.05  33.1  2501900  33.1
2013-11-29  33.24  33.43  33.03  33.21  1213100  33.21
2013-11-27  32.78  33.77  32.74  33.23  2352300  33.23
2013-11-26  32.74  33.06  32.54  32.75  2642700  32.75
2013-11-25  32.05  32.76  31.96  32.69  2955100  32.69
2013-11-22  31.48  32.05  31.45  31.96  2569800  31.96
2013-11-21  30.57  31.65  30.57  31.49  2836700  31.49
2013-11-20  30.44  31.04  30.35  30.49  3036500  30.49
2013-11-19  30.67  30.88  30.33  30.38  1895600  30.38
2013-11-18  30.74  31.08  30.54  30.65  1696600  30.65
2013-11-15  30.65  30.73  30.47  30.63  1434200  30.63
2013-11-14  31.0  31.16  30.43  30.65  2517800  30.65
2013-11-13  30.34  31.08  30.29  31.06  2134200  31.06
2013-11-12  30.2  30.72  30.17  30.65  2761700  30.65
2013-11-11  30.1  30.37  29.96  30.32  1556800  30.32
2013-11-08  29.34  30.27  29.34  30.26  3484000  30.26
2013-11-07  29.51  29.78  29.22  29.36  2702700  29.36
2013-11-06  29.21  29.45  29.08  29.43  1282500  29.43
2013-11-05  29.36  29.38  29.03  29.08  1656000  29.08
2013-11-04  29.05  29.51  29.04  29.44  1806300  29.44
2013-11-01  28.78  29.16  28.64  28.98  1948800  28.98
2013-10-31  28.89  29.04  28.6  28.77  1611300  28.77
2013-10-30  29.11  29.38  28.8  28.97  1407600  28.97
2013-10-29  29.07  29.15  28.9  29.1  973300  29.1
2013-10-28  28.99  29.07  28.83  29.02  1294400  29.02
2013-10-25  29.02  29.09  28.7  29.05  1793000  29.05
2013-10-24  28.51  29.04  28.51  29.02  2677200  29.02
2013-10-23  28.23  28.56  28.17  28.49  2717000  28.49
2013-10-22  28.25  28.61  28.17  28.39  2199400  28.39
2013-10-21  28.29  28.41  27.95  28.16  2959200  28.16
2013-10-18  26.73  28.48  26.53  28.23  6862800  28.23
2013-10-17  26.95  27.55  26.83  27.5  2613600  27.5
2013-10-16  26.86  27.11  26.49  27.04  2112800  27.04
2013-10-15  27.14  27.14  26.54  26.65  2122000  26.65
2013-10-14  27.02  27.36  26.91  27.27  1641700  27.27
2013-10-11  27.2  27.51  27.1  27.29  1655300  27.29
2013-10-10  26.8  27.27  26.72  27.24  1777000  27.24
2013-10-09  26.66  26.67  26.15  26.44  2924000  26.44
2013-10-08  26.87  27.2  26.54  26.58  2558200  26.58
2013-10-07  26.69  27.08  26.64  26.86  2090600  26.86
2013-10-04  27.03  27.11  26.77  27.1  1717600  27.1
2013-10-03  27.46  27.53  26.69  27.08  2552300  27.08
2013-10-02  27.65  27.65  27.23  27.61  1798000  27.61
2013-10-01  27.58  27.94  27.5  27.85  1755700  27.85
2013-09-30  27.45  27.84  27.32  27.59  1521700  27.59
2013-09-27  27.72  28.0  27.61  27.88  1377700  27.88
2013-09-26  27.85  27.94  27.61  27.92  2862200  27.92
2013-09-25  28.21  28.37  27.56  27.87  3448900  27.87
2013-09-24  28.3  28.84  28.18  28.26  4314200  28.26
2013-09-23  28.45  28.45  28.06  28.19  1858600  28.19
2013-09-20  28.98  29.02  28.45  28.45  2537100  28.45
2013-09-19  29.4  29.4  28.85  28.98  1770300  28.98
2013-09-18  29.31  29.46  28.94  29.29  1844600  29.29
2013-09-17  29.02  29.36  28.96  29.33  1559700  29.33
2013-09-16  29.04  29.21  28.84  29.03  1576100  29.03
2013-09-13  28.36  28.7  27.96  28.65  2593800  28.65
2013-09-12  29.37  29.39  28.27  28.41  4247500  28.41
2013-09-11  29.46  29.55  29.23  29.36  2008300  29.36
2013-09-10  29.09  29.77  29.06  29.46  3514800  29.46
2013-09-09  28.19  29.03  28.19  28.92  2614100  28.92
2013-09-06  28.1  28.39  27.66  28.13  1884300  28.13
2013-09-05  27.5  28.04  27.43  28.02  1783900  28.02
2013-09-04  27.17  27.56  27.03  27.51  2071600  27.51
2013-09-03  27.29  27.58  27.03  27.24  1460100  27.24
2013-08-30  27.46  27.46  26.83  26.91  1604100  26.91
2013-08-29  26.62  27.37  26.62  27.37  2296800  27.37
2013-08-28  26.6  26.87  26.51  26.78  1724900  26.78
2013-08-27  27.22  27.39  26.59  26.62  1647400  26.62
2013-08-26  27.81  28.06  27.53  27.57  1124400  27.57
2013-08-23  27.57  27.82  27.52  27.71  1324300  27.71
2013-08-22  27.35  27.64  27.32  27.51  953600  27.51
2013-08-21  27.1  27.56  27.0  27.22  2223400  27.22
2013-08-20  27.21  27.41  27.12  27.16  1418500  27.16
2013-08-19  27.41  27.49  27.1  27.21  2454300  27.21
2013-08-16  27.7  27.99  27.38  27.56  2292700  27.56
2013-08-15  27.92  28.04  27.69  27.82  2253200  27.82
2013-08-14  28.59  28.79  28.24  28.27  1812800  28.27
2013-08-13  27.78  28.86  27.75  28.72  3671500  28.72
2013-08-12  27.7  28.12  27.63  27.67  1745500  27.67
2013-08-09  28.14  28.3  27.88  27.96  1310700  27.96
2013-08-08  28.31  28.59  28.14  28.17  2446200  28.17
2013-08-07  28.3  28.46  27.95  28.13  1632000  28.13
2013-08-06  28.87  28.92  28.4  28.42  2124100  28.42
2013-08-05  28.61  29.09  28.58  28.94  3786100  28.94
2013-08-02  28.48  28.69  28.26  28.69  2651000  28.69
2013-08-01  27.65  28.57  27.64  28.56  3312000  28.56
2013-07-31  27.71  27.71  27.29  27.34  3024800  27.34
2013-07-30  27.72  27.82  27.49  27.63  2186800  27.63
2013-07-29  27.3  27.62  27.3  27.61  1578000  27.61
2013-07-26  27.59  27.72  27.37  27.55  1359900  27.55
2013-07-25  27.77  28.02  27.53  27.79  2800900  27.79
2013-07-24  28.98  29.05  27.83  27.88  3529700  27.88
2013-07-23  28.96  29.36  28.84  28.87  2991600  28.87
2013-07-22  28.71  29.21  28.62  28.92  3523000  28.92
2013-07-19  28.27  28.67  28.0  28.5  2745800  28.5
2013-07-18  27.73  28.4  27.68  28.23  4095000  28.23
2013-07-17  27.78  27.92  26.88  27.7  6253000  27.7
2013-07-16  27.65  27.89  27.57  27.69  3555900  27.69
2013-07-15  27.54  27.72  27.46  27.68  1796800  27.68
2013-07-12  27.64  27.93  27.31  27.6  2370300  27.6
2013-07-11  27.63  27.73  27.32  27.7  2750900  27.7
2013-07-10  26.85  27.31  26.78  27.24  2940700  27.24
2013-07-09  26.54  26.91  26.46  26.86  2763200  26.86
2013-07-08  26.34  26.68  26.13  26.28  4821700  26.28
2013-07-05  25.88  26.22  25.79  26.21  1223500  26.21
2013-07-03  25.4  25.68  25.33  25.61  875000  25.61
2013-07-02  26.08  26.27  25.5  25.59  1497400  25.59
2013-07-01  26.12  26.41  26.0  26.15  2042200  26.15
2013-06-28  26.19  26.31  25.99  26.02  3185600  26.02
2013-06-27  25.98  26.42  25.92  26.35  1062300  26.35
2013-06-26  25.65  25.89  25.49  25.74  1587500  25.74
2013-06-25  25.55  25.69  25.35  25.36  2616600  25.36
2013-06-24  25.57  25.59  25.05  25.24  2885500  25.24
2013-06-21  26.3  26.3  25.6  25.87  3890000  25.87
2013-06-20  26.53  26.53  26.05  26.06  3152400  26.06
2013-06-19  27.15  27.28  26.86  26.87  2477900  26.87
2013-06-18  27.12  27.28  26.86  27.14  2206300  27.14
2013-06-17  26.71  27.28  26.58  27.05  2608300  27.05
2013-06-14  26.53  26.83  26.35  26.47  2031000  26.47
2013-06-13  26.1  26.7  25.9  26.57  2252400  26.57
2013-06-12  26.89  26.95  25.96  26.09  3303500  26.09
2013-06-11  26.54  27.36  26.43  26.6  3465400  26.6
2013-06-10  26.9  27.22  26.76  26.85  2406200  26.85
2013-06-07  26.56  27.12  26.42  26.86  2628300  26.86
2013-06-06  25.7  26.42  25.62  26.42  2068300  26.42
2013-06-05  26.31  26.31  25.61  25.69  1682700  25.69
2013-06-04  26.71  27.04  26.25  26.41  3356300  26.41
2013-06-03  27.0  27.13  26.34  26.78  1693900  26.78
2013-05-31  27.09  27.51  26.9  26.9  3021000  26.9
2013-05-30  26.57  27.32  26.54  27.26  2804200  27.26
2013-05-29  27.48  27.53  26.85  26.88  2588400  26.88
2013-05-28  27.82  28.12  27.63  27.74  2359900  27.74
2013-05-24  26.94  27.6  26.65  27.45  2213600  27.45
2013-05-23  26.87  27.28  26.71  27.09  2916400  27.09
2013-05-22  28.06  28.36  27.19  27.22  3667600  27.22
2013-05-21  28.19  28.33  27.94  28.03  2186900  28.03
2013-05-20  28.06  28.23  27.98  28.14  2062200  28.14
2013-05-17  27.71  28.2  27.63  28.19  2524100  28.19
2013-05-16  27.43  27.75  27.36  27.54  3976500  27.54
2013-05-15  27.19  27.57  27.07  27.55  1589500  27.55
2013-05-14  27.1  27.29  27.01  27.26  2447900  27.26
2013-05-13  27.05  27.17  26.91  27.09  2538800  27.09
2013-05-10  26.96  27.07  26.63  27.07  1979200  27.07
2013-05-09  26.68  27.19  26.62  26.98  1814000  26.98
2013-05-08  26.81  26.83  26.5  26.68  1557200  26.68
2013-05-07  26.84  27.42  26.72  26.84  3447400  26.84
2013-05-06  25.67  26.73  25.63  26.71  4385100  26.71
2013-05-03  25.93  26.26  25.65  25.67  4081900  25.67
2013-05-02  24.97  25.61  24.86  25.52  6184500  25.52
2013-05-01  25.61  25.69  24.82  24.83  3943000  24.83
2013-04-30  25.91  26.07  25.58  25.7  2025900  25.7
2013-04-29  26.09  26.28  25.9  26.09  1815200  26.09
2013-04-26  25.97  26.1  25.49  26.01  5794000  26.01
2013-04-25  25.88  26.39  25.86  26.13  3909200  26.13
2013-04-24  25.74  26.0  25.48  25.71  4019900  25.71
2013-04-23  25.86  26.16  25.57  25.67  3934800  25.67
2013-04-22  26.36  26.36  25.45  25.73  3170500  25.73
2013-04-19  25.81  26.45  25.47  26.3  3735900  26.3
2013-04-18  26.02  26.25  25.55  25.71  6123100  25.71
2013-04-17  26.6  26.67  25.17  25.36  16627500  25.36
2013-04-16  28.73  29.4  28.71  29.29  4416200  29.29
2013-04-15  29.5  29.59  28.37  28.42  1803500  28.42
2013-04-12  29.72  29.8  29.48  29.75  2135100  29.75
2013-04-11  29.1  30.16  29.1  29.88  3814700  29.88
2013-04-10  28.68  29.23  28.68  29.08  2329300  29.08
2013-04-09  29.02  29.02  28.53  28.62  2203700  28.62
2013-04-08  28.47  28.91  28.37  28.91  1902100  28.91
2013-04-05  28.24  28.66  28.1  28.5  2929800  28.5
2013-04-04  28.52  28.75  28.4  28.73  1954700  28.73
2013-04-03  28.71  28.92  28.45  28.46  2349900  28.46
2013-04-02  29.28  29.46  28.51  28.71  2075900  28.71
2013-04-01  29.76  29.8  28.99  29.13  2355400  29.13
2013-03-28  29.53  29.8  29.32  29.75  1822200  29.75
2013-03-27  29.59  29.59  29.16  29.44  2036300  29.44
2013-03-26  29.92  30.02  29.63  29.8  1749500  29.8
2013-03-25  30.53  30.77  29.58  29.63  3216800  29.63
2013-03-22  30.85  31.05  30.59  30.69  2073100  30.69
2013-03-21  30.94  31.16  30.65  30.65  1396600  30.65
2013-03-20  30.88  31.24  30.72  31.15  1898400  31.15
2013-03-19  31.01  31.1  30.4  30.64  1600700  30.64
2013-03-18  30.63  31.04  30.18  30.86  1718900  30.86
2013-03-15  30.95  31.19  30.84  30.99  3947200  30.99
2013-03-14  30.77  31.13  30.75  31.09  3778300  31.09
2013-03-13  30.59  30.8  30.43  30.7  1665700  30.7
2013-03-12  30.51  30.85  30.37  30.58  2107900  30.58
2013-03-11  30.09  30.69  29.73  30.62  2188100  30.62
2013-03-08  29.81  30.38  29.74  30.32  2185000  30.32
2013-03-07  29.69  29.87  29.54  29.58  1983000  29.58
2013-03-06  29.44  29.91  29.44  29.74  2747200  29.74
2013-03-05  28.79  29.56  28.79  29.35  2426400  29.35
2013-03-04  28.25  28.63  28.09  28.56  2584900  28.56
2013-03-01  28.51  28.72  28.15  28.39  2529800  28.39
2013-02-28  28.77  29.16  28.75  28.77  2073100  28.77
2013-02-27  27.98  28.93  27.93  28.72  2148100  28.72
