Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  42.57  42.61  41.98  42.18  2731300  42.18
2014-02-27  42.4  42.67  42.32  42.46  2583200  42.46
2014-02-26  42.48  42.88  42.4  42.62  2561100  42.62
2014-02-25  42.52  42.64  42.34  42.45  4058100  42.45
2014-02-24  42.36  42.91  42.36  42.55  3281900  42.55
2014-02-21  42.37  42.6  42.19  42.29  2470700  42.29
2014-02-20  41.84  42.38  41.54  42.25  2938300  42.25
2014-02-19  42.0  42.39  41.66  41.76  2250700  41.76
2014-02-18  42.14  42.31  42.03  42.18  1735200  42.18
2014-02-14  41.6  42.2  41.49  41.93  2954300  41.93
2014-02-13  41.36  41.81  41.1  41.74  2010300  41.74
2014-02-12  41.68  41.92  41.28  41.45  1825200  41.45
2014-02-11  41.45  41.8  41.31  41.61  2207300  41.61
2014-02-10  41.54  41.59  41.22  41.4  2917400  41.4
2014-02-07  41.0  41.67  40.82  41.55  2964800  41.55
2014-02-06  40.34  40.97  40.31  40.82  2553700  40.82
2014-02-05  39.75  40.4  39.52  40.26  4069000  40.26
2014-02-04  39.83  40.05  39.4  39.93  3074800  39.93
2014-02-03  40.66  40.86  39.48  39.55  3899700  39.55
2014-01-31  39.67  40.97  39.15  40.49  6482900  40.49
2014-01-30  39.9  39.96  39.5  39.67  3858000  39.67
2014-01-29  39.52  40.21  39.45  39.69  2242300  39.69
2014-01-28  39.5  40.05  39.49  39.95  2507100  39.95
2014-01-27  39.46  39.9  39.23  39.43  2629800  39.43
2014-01-24  40.15  40.3  39.4  39.4  2657700  39.4
2014-01-23  41.12  41.32  40.34  40.53  2894600  40.53
2014-01-22  41.26  41.43  41.06  41.33  2439800  41.33
2014-01-21  41.18  41.92  40.93  41.21  1835500  41.21
2014-01-17  41.09  41.28  40.93  41.22  3005400  41.22
2014-01-16  40.97  41.07  40.74  41.04  2204000  41.04
2014-01-15  40.63  41.13  40.57  41.11  1928400  41.11
2014-01-14  40.33  40.73  40.28  40.7  2813500  40.7
2014-01-13  40.74  40.95  40.06  40.18  2495300  40.18
2014-01-10  40.85  41.0  40.55  40.96  2544300  40.96
2014-01-09  41.21  41.42  40.69  40.83  2126600  40.83
2014-01-08  41.26  41.35  40.83  41.0  3222600  41.0
2014-01-07  40.46  40.99  40.46  40.81  2593400  40.81
2014-01-06  40.84  41.49  40.61  40.67  3889800  40.67
2014-01-03  40.5  40.71  40.08  40.28  2441200  40.28
2014-01-02  40.72  40.92  40.3  40.5  3017300  40.5
2013-12-31  41.03  41.16  40.5  40.88  2621200  40.88
2013-12-30  40.98  41.26  40.88  41.02  2148100  41.02
2013-12-27  40.5  41.28  40.5  41.05  4391300  41.05
2013-12-26  39.24  40.56  39.24  40.46  1538400  40.46
2013-12-24  39.91  40.1  39.89  40.09  988700  40.09
2013-12-23  39.88  40.11  39.64  40.01  2888300  40.01
2013-12-20  38.8  39.55  38.73  39.45  3985600  39.45
2013-12-19  38.76  38.8  38.4  38.76  2193300  38.76
2013-12-18  37.74  38.99  37.58  38.92  3243200  38.92
2013-12-17  37.81  37.98  37.68  37.8  2222300  37.8
2013-12-16  37.33  37.97  37.21  37.78  2771300  37.78
2013-12-13  37.61  37.61  36.96  37.21  2919700  37.21
2013-12-12  37.03  37.77  36.97  37.64  3394400  37.64
2013-12-11  37.33  37.57  36.99  37.04  2480200  37.04
2013-12-10  37.56  37.97  37.36  37.38  2218400  37.38
2013-12-09  37.84  37.85  37.37  37.59  2207300  37.59
2013-12-06  37.05  37.75  36.99  37.6  3015200  37.6
2013-12-05  37.37  37.55  37.03  37.11  2621300  37.11
2013-12-04  37.51  37.82  36.95  37.36  4059300  37.36
2013-12-03  37.35  37.79  37.26  37.71  3951900  37.71
2013-12-02  38.05  38.3  37.48  37.55  2517700  37.55
2013-11-29  38.01  38.38  37.69  37.99  1359700  37.99
2013-11-27  37.93  38.22  37.71  37.85  2821700  37.85
2013-11-26  38.22  38.62  37.89  37.92  3573900  37.92
2013-11-25  38.28  38.61  38.18  38.28  3307100  38.28
2013-11-22  37.43  38.29  37.29  38.28  5095900  38.28
2013-11-21  36.94  37.6  36.87  37.53  3067300  37.53
2013-11-20  37.39  37.5  36.96  37.01  2698300  37.01
2013-11-19  37.41  37.77  37.24  37.41  2183100  37.41
2013-11-18  36.92  37.64  36.91  37.45  3377800  37.45
2013-11-15  37.48  37.48  36.78  36.98  5553800  36.98
2013-11-14  36.97  37.85  36.85  37.45  7040700  37.45
2013-11-13  35.96  36.67  35.95  36.59  4523100  36.59
2013-11-12  36.51  36.6  35.92  36.2  3545500  36.2
2013-11-11  36.36  36.68  36.31  36.67  1419800  36.67
2013-11-08  35.79  36.37  35.76  36.26  2974500  36.26
2013-11-07  36.39  36.5  35.56  35.73  2582200  35.73
2013-11-06  36.64  36.71  36.12  36.34  2184500  36.34
2013-11-05  36.47  36.74  34.65  36.64  2696500  36.64
2013-11-04  36.48  36.49  36.17  36.49  1653100  36.49
2013-11-01  36.42  36.61  36.2  36.41  1568300  36.41
2013-10-31  36.28  36.64  35.97  36.41  2897700  36.41
2013-10-30  36.48  36.79  36.05  36.31  2612400  36.31
2013-10-29  36.07  36.41  36.03  36.31  1817300  36.31
2013-10-28  36.29  36.43  35.84  36.0  2289600  36.0
2013-10-25  35.94  36.35  35.75  36.35  1320900  36.35
2013-10-24  36.24  36.46  36.02  36.07  1625200  36.07
2013-10-23  35.86  36.13  35.83  36.08  1699800  36.08
2013-10-22  35.66  36.13  35.56  35.93  2815800  35.93
2013-10-21  35.74  35.89  35.48  35.55  2327600  35.55
2013-10-18  35.63  35.88  35.41  35.66  3188300  35.66
2013-10-17  34.5  35.49  34.49  35.43  2848800  35.43
2013-10-16  34.85  34.91  34.32  34.6  6132500  34.6
2013-10-15  35.21  35.29  34.68  34.8  2295800  34.8
2013-10-14  35.06  35.42  34.93  35.35  1487000  35.35
2013-10-11  34.99  35.51  34.92  35.32  2676900  35.32
2013-10-10  34.44  35.05  34.39  35.05  3202900  35.05
2013-10-09  33.87  34.35  33.84  34.08  3010500  34.08
2013-10-08  34.23  34.42  33.8  33.92  2716700  33.92
2013-10-07  34.3  34.54  34.02  34.32  1421200  34.32
2013-10-04  34.51  34.8  34.33  34.57  1663900  34.57
2013-10-03  34.51  34.64  34.17  34.5  2778900  34.5
2013-10-02  34.65  34.85  34.28  34.62  2016300  34.62
2013-10-01  34.72  35.02  34.67  34.81  1861500  34.81
2013-09-30  34.37  34.79  34.18  34.69  2957800  34.69
2013-09-27  34.69  34.82  34.49  34.66  1440700  34.66
2013-09-26  34.68  35.0  34.56  34.93  2382200  34.93
2013-09-25  34.22  34.85  34.06  34.62  3381400  34.62
2013-09-24  34.16  34.57  34.02  34.16  2463200  34.16
2013-09-23  34.39  34.54  34.06  34.21  2496500  34.21
2013-09-20  35.26  35.3  34.6  34.6  3096300  34.6
2013-09-19  35.32  35.56  35.2  35.28  2613100  35.28
2013-09-18  34.89  35.22  34.62  35.15  2247600  35.15
2013-09-17  34.27  35.04  34.17  34.98  3261000  34.98
2013-09-16  34.01  34.29  33.82  34.29  2983200  34.29
2013-09-13  33.47  33.69  33.3  33.61  2354800  33.61
2013-09-12  33.77  33.91  33.43  33.47  2256200  33.47
2013-09-11  33.96  34.01  33.63  33.93  1952100  33.93
2013-09-10  33.88  34.11  33.75  33.95  2554000  33.95
2013-09-09  33.38  33.92  33.37  33.76  1650700  33.76
2013-09-06  33.55  33.62  33.02  33.33  2127500  33.33
2013-09-05  33.07  33.71  33.02  33.47  2168100  33.47
2013-09-04  32.67  33.23  32.65  33.1  2410400  33.1
