Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  34.39  34.93  34.36  34.78  1600000  34.78
2014-02-27  33.94  34.38  33.84  34.37  2012100  34.37
2014-02-26  33.92  34.06  33.62  34.0  1735500  34.0
2014-02-25  33.86  33.99  33.62  33.86  1167800  33.86
2014-02-24  33.54  34.1  33.52  33.9  1355400  33.9
2014-02-21  33.62  33.71  33.39  33.55  1485200  33.55
2014-02-20  33.56  33.75  33.32  33.57  1361400  33.57
2014-02-19  33.71  34.15  33.46  33.49  1663300  33.49
2014-02-18  33.64  34.12  33.55  33.88  1290500  33.88
2014-02-14  33.4  33.74  33.31  33.54  1165500  33.54
2014-02-13  33.25  33.52  33.08  33.5  2082600  33.5
2014-02-12  33.24  33.7  33.21  33.65  1586600  33.65
2014-02-11  32.67  33.29  32.67  33.19  1314300  33.19
2014-02-10  32.94  33.06  32.44  32.9  2164400  32.9
2014-02-07  32.73  33.07  32.57  32.97  1470400  32.97
2014-02-06  31.92  32.7  31.74  32.66  2483300  32.66
2014-02-05  30.99  31.93  30.91  31.83  2824000  31.83
2014-02-04  30.79  31.49  30.76  31.3  1738200  31.3
2014-02-03  32.08  32.21  30.66  30.71  2020000  30.71
2014-01-31  32.0  32.6  32.0  32.2  1484300  32.2
2014-01-30  32.18  32.74  32.05  32.67  1148400  32.67
2014-01-29  31.82  32.3  31.73  31.85  1278100  31.85
2014-01-28  32.16  32.37  31.96  32.17  1637100  32.17
2014-01-27  32.06  32.32  31.63  32.0  1437500  32.0
2014-01-24  32.96  32.97  32.02  32.02  1803100  32.02
2014-01-23  33.85  33.95  33.07  33.13  1950500  33.13
2014-01-22  34.35  34.48  33.97  34.14  889900  34.14
2014-01-21  34.49  34.49  34.02  34.21  923800  34.21
2014-01-17  34.77  34.77  34.14  34.2  898800  34.2
2014-01-16  34.58  34.59  34.27  34.4  713300  34.4
2014-01-15  34.07  34.73  34.04  34.61  1667000  34.61
2014-01-14  33.99  34.13  33.5  34.05  1748000  34.05
2014-01-13  34.4  34.58  33.71  33.81  1027900  33.81
2014-01-10  34.94  34.96  34.45  34.57  845500  34.57
2014-01-09  34.63  34.92  34.46  34.91  1274200  34.91
2014-01-08  34.5  34.67  34.27  34.58  1319700  34.58
2014-01-07  34.34  34.52  34.21  34.37  775800  34.37
2014-01-06  34.34  34.4  33.98  34.14  1026800  34.14
2014-01-03  34.25  34.44  34.1  34.19  852700  34.19
2014-01-02  34.78  34.84  34.11  34.18  1205800  34.18
2013-12-31  34.88  35.0  34.76  34.92  861000  34.92
2013-12-30  34.94  35.0  34.73  34.79  786600  34.79
2013-12-27  35.08  35.24  34.74  34.92  931500  34.92
2013-12-26  34.9  35.07  34.67  35.0  972700  35.0
2013-12-24  34.54  34.8  34.46  34.7  611700  34.7
2013-12-23  34.54  34.79  34.4  34.6  1152800  34.6
2013-12-20  34.19  34.33  33.93  34.23  2186000  34.23
2013-12-19  34.47  34.6  34.06  34.14  2552800  34.14
2013-12-18  34.09  34.48  33.47  34.46  2614800  34.46
2013-12-17  33.91  34.01  33.75  33.89  1813000  33.89
2013-12-16  33.87  34.24  33.83  33.98  2517200  33.98
2013-12-13  33.84  34.16  33.55  33.76  1325200  33.76
2013-12-12  33.85  34.08  33.59  33.63  1789400  33.63
2013-12-11  34.15  34.24  33.88  33.95  1568700  33.95
2013-12-10  34.03  34.38  33.82  34.15  1117100  34.15
2013-12-09  34.22  34.43  34.03  34.15  1287100  34.15
2013-12-06  33.63  34.17  33.53  34.16  1594300  34.16
2013-12-05  33.61  33.87  32.99  33.21  2464000  33.21
2013-12-04  33.2  33.86  33.19  33.76  2887700  33.76
2013-12-03  33.3  33.31  32.99  33.2  1959800  33.2
2013-12-02  33.41  33.85  33.2  33.37  1116400  33.37
2013-11-29  33.6  33.73  33.39  33.42  535400  33.42
2013-11-27  33.74  33.78  33.39  33.55  853500  33.55
2013-11-26  33.82  33.89  33.5  33.61  915400  33.61
2013-11-25  33.84  33.88  33.65  33.74  678400  33.74
2013-11-22  33.5  33.84  33.39  33.78  1079000  33.78
2013-11-21  33.19  33.59  32.94  33.49  1020800  33.49
2013-11-20  33.15  33.4  32.85  33.01  978200  33.01
2013-11-19  33.18  33.25  32.94  33.06  1057500  33.06
2013-11-18  33.18  33.53  33.09  33.16  898700  33.16
2013-11-15  32.98  33.17  32.64  33.16  1338800  33.16
2013-11-14  32.78  33.08  32.59  33.07  1294800  33.07
2013-11-13  32.42  32.8  32.19  32.65  2020400  32.65
2013-11-12  32.74  32.91  32.49  32.6  1075400  32.6
2013-11-11  33.0  33.0  32.47  32.8  1274700  32.8
2013-11-08  31.88  33.59  31.84  33.01  3432400  33.01
2013-11-07  32.37  32.59  31.78  31.81  1659200  31.81
2013-11-06  32.25  32.51  32.05  32.2  1649000  32.2
2013-11-05  32.85  32.85  32.09  32.43  3248200  32.43
2013-11-04  31.43  31.78  31.29  31.62  2511400  31.62
2013-11-01  31.65  31.71  31.34  31.37  1731500  31.37
2013-10-31  31.54  31.77  31.33  31.6  1409900  31.6
2013-10-30  31.75  31.88  31.49  31.62  1379700  31.62
2013-10-29  31.36  31.73  31.28  31.71  864800  31.71
2013-10-28  31.19  31.5  31.07  31.25  1268700  31.25
2013-10-25  31.16  31.3  31.08  31.21  740800  31.21
2013-10-24  31.09  31.23  30.75  31.16  842000  31.16
2013-10-23  31.31  31.43  30.81  30.88  1578700  30.88
2013-10-22  31.66  32.13  31.36  31.4  1827300  31.4
2013-10-21  31.66  31.75  31.48  31.56  1011100  31.56
2013-10-18  31.74  31.78  31.31  31.63  1145200  31.63
2013-10-17  31.36  31.75  31.27  31.62  1222900  31.62
2013-10-16  31.05  31.61  30.9  31.57  1198700  31.57
2013-10-15  31.24  31.34  30.8  30.83  1072500  30.83
2013-10-14  30.37  31.07  30.17  30.99  1613400  30.99
2013-10-11  30.01  30.64  30.0  30.56  1611600  30.56
2013-10-10  29.72  30.02  29.71  30.02  2600500  30.02
2013-10-09  29.61  29.66  29.18  29.25  2518400  29.25
2013-10-08  30.04  30.06  29.48  29.52  1143900  29.52
2013-10-07  30.14  30.24  29.9  30.0  1038100  30.0
2013-10-04  29.93  30.48  29.79  30.45  885400  30.45
2013-10-03  30.03  30.06  29.51  29.88  1354400  29.88
2013-10-02  30.32  30.32  29.93  30.16  1516100  30.16
2013-10-01  30.13  30.55  30.08  30.55  1044700  30.55
2013-09-30  29.91  30.29  29.82  30.16  1184600  30.16
2013-09-27  30.47  30.58  30.26  30.34  1178700  30.34
2013-09-26  30.64  30.91  30.44  30.67  1147500  30.67
2013-09-25  30.27  30.65  30.16  30.52  1126700  30.52
2013-09-24  30.04  30.54  29.97  30.2  1207700  30.2
2013-09-23  30.04  30.22  29.77  30.05  1774000  30.05
2013-09-20  30.14  30.49  29.96  29.98  2328800  29.98
2013-09-19  31.09  31.09  30.07  30.14  2774300  30.14
2013-09-18  31.13  31.45  30.95  31.0  1822800  31.0
2013-09-17  30.99  31.14  30.88  31.12  889500  31.12
2013-09-16  31.15  31.16  30.9  30.99  861300  30.99
2013-09-13  30.86  30.93  30.62  30.71  703500  30.71
2013-09-12  31.16  31.16  30.64  30.74  1153600  30.74
2013-09-11  30.69  31.37  30.51  31.17  1813700  31.17
2013-09-10  30.67  30.8  30.56  30.75  1383000  30.75
2013-09-09  30.09  30.37  30.04  30.37  1405100  30.37
2013-09-06  30.31  30.39  29.67  29.98  1614300  29.98
2013-09-05  30.12  30.42  30.05  30.21  1719200  30.21
2013-09-04  29.52  30.47  29.52  30.12  2128300  30.12
2013-09-03  29.7  30.17  29.23  29.47  1781000  29.47
2013-08-30  29.53  29.53  29.12  29.26  1358500  29.26
2013-08-29  29.18  29.7  29.09  29.48  1073800  29.48
2013-08-28  28.96  29.41  28.94  29.23  1339200  29.23
2013-08-27  29.5  29.57  28.87  28.96  3316400  28.96
2013-08-26  29.97  30.14  29.8  29.8  1372900  29.8
2013-08-23  30.1  30.1  29.62  29.87  1303900  29.87
2013-08-22  29.36  30.14  29.28  30.02  1279600  30.02
2013-08-21  29.23  29.58  29.03  29.23  1813500  29.23
2013-08-20  29.19  29.39  28.99  29.28  2134700  29.28
2013-08-19  29.34  29.35  28.92  29.15  2006800  29.15
2013-08-16  28.99  29.5  28.99  29.34  1451500  29.34
2013-08-15  29.32  29.32  28.94  29.12  1379800  29.12
2013-08-14  29.65  29.67  29.28  29.56  1832600  29.56
2013-08-13  29.51  29.72  29.34  29.72  2425800  29.72
2013-08-12  29.9  29.91  29.32  29.36  2911000  29.36
2013-08-09  30.23  30.32  29.95  30.04  2048000  30.04
2013-08-08  30.39  30.56  30.0  30.28  1550200  30.28
2013-08-07  30.49  30.53  29.94  30.16  2835700  30.16
2013-08-06  32.16  32.26  30.41  30.64  3973000  30.64
2013-08-05  32.23  32.23  31.83  32.05  1875800  32.05
2013-08-02  32.42  32.42  32.1  32.24  1420300  32.24
2013-08-01  31.75  32.64  31.75  32.6  1796100  32.6
2013-07-31  31.06  31.65  30.94  31.35  2421100  31.35
2013-07-30  31.32  31.41  30.96  31.09  1327000  31.09
2013-07-29  31.3  31.4  30.97  31.14  736800  31.14
2013-07-26  31.08  31.3  30.95  31.29  1375200  31.29
2013-07-25  31.16  31.44  30.95  31.27  1129200  31.27
2013-07-24  31.47  31.57  31.12  31.15  2186300  31.15
2013-07-23  31.5  31.55  31.23  31.34  786400  31.34
2013-07-22  31.04  31.32  31.01  31.32  881800  31.32
2013-07-19  31.34  31.34  30.76  31.03  1219200  31.03
2013-07-18  30.85  31.34  30.82  31.29  1178300  31.29
2013-07-17  30.89  30.89  30.38  30.72  1340500  30.72
2013-07-16  31.08  31.22  30.66  30.82  1192900  30.82
2013-07-15  31.02  31.14  30.89  30.99  1191700  30.99
2013-07-12  31.02  31.18  30.9  31.14  1364300  31.14
2013-07-11  31.43  31.53  30.81  30.96  1488800  30.96
2013-07-10  30.95  31.12  30.74  31.04  1657700  31.04
2013-07-09  30.58  31.01  30.49  30.99  2060900  30.99
2013-07-08  30.23  30.44  30.18  30.31  1183100  30.31
2013-07-05  29.59  30.07  29.54  30.06  1212200  30.06
2013-07-03  29.19  29.4  29.11  29.26  717100  29.26
2013-07-02  29.31  29.57  29.25  29.43  1795400  29.43
2013-07-01  29.2  29.48  29.17  29.33  1561800  29.33
2013-06-28  29.29  29.3  28.96  28.97  2394500  28.97
2013-06-27  29.05  29.51  29.0  29.39  1670900  29.39
2013-06-26  28.63  28.91  28.47  28.85  2393800  28.85
2013-06-25  28.3  28.49  28.02  28.36  3369200  28.36
2013-06-24  28.43  28.62  27.99  28.12  4953400  28.12
2013-06-21  28.77  29.2  28.61  28.82  6022100  28.82
2013-06-20  27.64  28.73  27.52  28.5  3738500  28.5
2013-06-19  28.25  28.43  27.95  27.95  1535100  27.95
2013-06-18  28.06  28.38  28.03  28.31  1035500  28.31
2013-06-17  27.52  28.06  27.51  27.97  1943800  27.97
2013-06-14  27.87  28.03  27.34  27.38  1444600  27.38
2013-06-13  27.57  28.07  27.39  28.0  1382500  28.0
2013-06-12  28.04  28.08  27.45  27.63  1739800  27.63
2013-06-11  27.83  28.26  27.73  27.82  1324500  27.82
2013-06-10  28.47  28.63  28.17  28.23  1848300  28.23
2013-06-07  27.95  28.4  27.71  28.36  1894200  28.36
2013-06-06  27.16  27.69  26.94  27.69  2284600  27.69
2013-06-05  27.71  27.71  27.02  27.11  2242600  27.11
2013-06-04  28.1  28.35  27.65  27.79  1747300  27.79
2013-06-03  28.1  28.21  27.45  28.12  1968200  28.12
2013-05-31  28.3  28.82  28.09  28.09  2071000  28.09
2013-05-30  27.93  28.65  27.85  28.48  1916600  28.48
2013-05-29  27.13  28.08  27.08  27.87  2353700  27.87
2013-05-28  27.24  27.63  27.11  27.39  1753200  27.39
2013-05-24  26.95  26.96  26.48  26.82  2138900  26.82
2013-05-23  26.92  27.34  26.78  27.18  2126300  27.18
2013-05-22  27.57  27.81  27.09  27.21  3670600  27.21
2013-05-21  27.82  27.9  27.41  27.58  2801100  27.58
2013-05-20  28.01  28.1  27.63  27.78  2327100  27.78
2013-05-17  27.87  28.13  27.86  28.06  2044900  28.06
2013-05-16  28.28  28.28  27.59  27.8  4041100  27.8
2013-05-15  28.31  28.58  28.2  28.55  1198800  28.55
2013-05-14  27.92  28.33  27.92  28.32  1545600  28.32
2013-05-13  27.69  27.92  27.57  27.92  2049800  27.92
2013-05-10  27.68  27.77  27.49  27.71  1280000  27.71
2013-05-09  27.79  27.85  27.53  27.66  1572000  27.66
2013-05-08  27.58  27.96  27.5  27.78  2272900  27.78
2013-05-07  27.36  27.8  27.3  27.59  2498600  27.59
2013-05-06  26.7  27.29  26.64  27.2  2918600  27.2
2013-05-03  27.45  27.67  27.01  27.06  2782100  27.06
2013-05-02  26.95  27.17  26.34  27.14  1515300  27.14
2013-05-01  27.25  27.63  26.79  26.8  1825700  26.8
2013-04-30  27.16  27.52  26.96  27.51  1568800  27.51
2013-04-29  26.99  27.25  26.81  27.15  948100  27.15
2013-04-26  27.19  27.22  26.76  26.86  1048100  26.86
2013-04-25  26.99  27.25  26.79  27.2  1907400  27.2
2013-04-24  26.69  26.95  26.58  26.81  1466900  26.81
2013-04-23  26.15  26.72  26.07  26.56  2153200  26.56
2013-04-22  25.98  25.98  25.56  25.96  1531900  25.96
2013-04-19  25.53  25.91  25.43  25.89  1495200  25.89
2013-04-18  25.71  25.75  25.25  25.39  2264500  25.39
2013-04-17  26.05  26.11  25.52  25.66  2676300  25.66
2013-04-16  26.16  26.38  26.01  26.31  1779600  26.31
2013-04-15  26.89  26.91  25.92  25.92  1990300  25.92
2013-04-12  26.78  27.0  26.62  26.96  2033400  26.96
2013-04-11  26.95  27.11  26.77  26.96  1836300  26.96
2013-04-10  26.38  26.94  26.27  26.91  2733900  26.91
2013-04-09  25.99  26.28  25.78  26.22  2281600  26.22
2013-04-08  25.91  26.14  25.55  25.96  2566200  25.96
2013-04-05  26.09  26.14  25.08  25.78  5539800  25.78
2013-04-04  26.71  26.87  26.4  26.48  2645300  26.48
2013-04-03  27.07  27.21  26.55  26.64  3170800  26.64
2013-04-02  27.68  27.73  27.38  27.47  2357100  27.47
2013-04-01  27.74  27.82  27.49  27.53  1600400  27.53
2013-03-28  27.51  27.82  27.5  27.73  4057500  27.73
2013-03-27  27.29  27.58  27.22  27.55  2283000  27.55
2013-03-26  27.25  27.67  27.21  27.55  2843800  27.55
2013-03-25  27.14  27.14  26.85  27.08  2438800  27.08
2013-03-22  26.96  26.99  26.75  26.99  2195600  26.99
2013-03-21  26.95  27.06  26.65  26.79  2705800  26.79
2013-03-20  27.06  27.22  26.88  27.08  1894100  27.08
2013-03-19  26.72  27.05  26.72  26.94  3458600  26.94
2013-03-18  26.65  27.21  26.58  26.86  3273300  26.86
2013-03-15  27.21  27.33  26.99  27.22  4189300  27.22
2013-03-14  26.98  27.36  26.97  27.3  2857900  27.3
2013-03-13  26.54  26.97  26.54  26.94  2849000  26.94
2013-03-12  26.51  26.66  26.34  26.49  3188700  26.49
2013-03-11  25.99  26.67  25.95  26.57  3807300  26.57
2013-03-08  25.81  26.04  25.77  26.02  2454500  26.02
2013-03-07  25.65  25.75  25.45  25.65  2552400  25.65
2013-03-06  25.31  25.65  25.25  25.58  2699400  25.58
2013-03-05  24.81  25.26  24.81  25.18  4380900  25.18
2013-03-04  24.05  24.82  23.97  24.76  4306100  24.76
2013-03-01  23.88  24.24  23.56  24.16  2765800  24.16
2013-02-28  23.88  24.16  23.73  24.02  3724100  24.02
2013-02-27  23.35  23.99  23.32  23.94  2209100  23.94
2013-02-26  23.38  23.45  23.14  23.33  3370600  23.33
2013-02-25  23.94  23.99  23.25  23.27  2758400  23.27
2013-02-22  23.69  23.86  23.62  23.8  1510100  23.8
2013-02-21  23.69  23.72  23.38  23.53  2156900  23.53
2013-02-20  24.27  24.33  23.74  23.8  2722900  23.8
2013-02-19  24.08  24.4  24.03  24.34  2251100  24.34
2013-02-15  24.0  24.16  23.95  24.01  1918300  24.01
2013-02-14  23.91  24.08  23.79  23.95  1769200  23.95
2013-02-13  23.91  24.27  23.91  24.04  2981000  24.04
2013-02-12  23.73  23.79  23.61  23.73  1509200  23.73
2013-02-11  23.55  23.77  23.48  23.73  1482800  23.73
2013-02-08  23.3  23.65  23.28  23.62  2163100  23.62
2013-02-07  23.42  23.48  23.05  23.2  2140900  23.2
2013-02-06  22.6  23.68  22.6  23.42  4069600  23.42
2013-02-05  22.74  23.07  22.7  23.07  2677900  23.07
2013-02-04  22.76  22.82  22.52  22.52  2149600  22.52
2013-02-01  23.07  23.17  22.95  22.95  1720900  22.95
2013-01-31  22.61  22.92  22.54  22.88  2137600  22.88
2013-01-30  22.87  22.91  22.58  22.6  2351200  22.6
2013-01-29  22.75  22.99  22.64  22.91  1973200  22.91
2013-01-28  22.87  22.95  22.69  22.73  1469200  22.73
2013-01-25  22.76  22.94  22.53  22.86  2390800  22.86
2013-01-24  22.63  22.84  22.59  22.71  1866300  22.71
2013-01-23  22.45  22.62  22.39  22.6  3015100  22.6
2013-01-22  21.94  22.31  21.91  22.31  1330300  22.31
2013-01-18  22.05  22.13  21.81  21.96  1670100  21.96
2013-01-17  21.69  22.27  21.62  21.97  2370300  21.97
2013-01-16  21.6  21.67  21.45  21.6  1069100  21.6
2013-01-15  21.55  21.69  21.52  21.68  1021300  21.68
2013-01-14  21.64  21.73  21.48  21.71  1398500  21.71
2013-01-11  21.61  21.68  21.43  21.68  1721600  21.68
2013-01-10  21.34  21.66  21.3  21.59  1943300  21.59
2013-01-09  21.44  21.5  21.12  21.24  1043300  21.24
2013-01-08  21.13  21.18  20.95  21.09  1342900  21.09
2013-01-07  21.27  21.3  21.12  21.25  1091800  21.25
2013-01-04  21.16  21.45  21.15  21.37  1389100  21.37
2013-01-03  20.96  21.15  20.88  21.13  1629600  21.13
2013-01-02  20.72  20.95  20.68  20.95  1557300  20.95
2012-12-31  20.0  20.33  19.91  20.32  1929300  20.32
2012-12-28  20.09  20.21  20.01  20.06  1283600  20.06
2012-12-27  20.31  20.36  19.94  20.22  1843600  20.22
2012-12-26  20.36  20.45  20.2  20.27  1205900  20.27
2012-12-24  20.37  20.58  20.26  20.33  596200  20.33
2012-12-21  20.46  20.55  20.26  20.37  2957300  20.37
2012-12-20  20.44  20.64  20.37  20.64  2091600  20.64
2012-12-19  20.74  20.74  20.47  20.47  2040700  20.47
2012-12-18  20.35  20.76  20.31  20.75  2194300  20.75
2012-12-17  20.4  20.66  20.16  20.39  3381400  20.39
2012-12-14  20.28  20.46  19.95  20.33  1833400  20.33
2012-12-13  20.54  20.74  20.35  20.36  1835200  20.36
2012-12-12  20.49  20.84  20.31  20.59  2263000  20.59
2012-12-11  20.54  20.54  20.29  20.36  1667700  20.36
2012-12-10  20.27  20.48  20.02  20.47  1525700  20.47
2012-12-07  20.22  20.33  20.07  20.33  1834200  20.33
2012-12-06  20.2  20.23  20.02  20.17  1122600  20.17
2012-12-05  20.01  20.23  19.97  20.19  1504900  20.19
2012-12-04  19.97  20.06  19.86  19.94  3065600  19.94
2012-12-03  20.02  20.09  19.93  19.95  2255700  19.95
2012-11-30  19.92  20.02  19.77  19.9  2346000  19.9
2012-11-29  19.91  20.0  19.8  19.9  1770900  19.9
2012-11-28  19.54  19.85  19.52  19.83  1593400  19.83
2012-11-27  19.81  19.93  19.63  19.68  2534200  19.68
2012-11-26  19.61  19.84  19.6  19.84  1801900  19.84
2012-11-23  19.49  19.75  19.43  19.75  390900  19.75
2012-11-21  19.35  19.43  19.2  19.41  1212400  19.41
2012-11-20  19.24  19.39  19.09  19.34  1843400  19.34
2012-11-19  19.24  19.39  19.16  19.31  1869800  19.31
2012-11-16  18.83  19.04  18.58  19.01  2205400  19.01
2012-11-15  18.74  18.94  18.69  18.88  1788600  18.88
2012-11-14  19.04  19.08  18.66  18.72  1810900  18.72
2012-11-13  18.86  19.29  18.83  18.96  2509200  18.96
2012-11-12  19.28  19.28  18.97  19.06  1139400  19.06
2012-11-09  19.02  19.32  18.93  19.19  1699600  19.19
2012-11-08  19.6  19.77  19.11  19.11  2208400  19.11
2012-11-07  20.15  20.22  19.5  19.57  2632000  19.57
2012-11-06  20.15  20.61  20.03  20.41  2061900  20.41
2012-11-05  19.99  20.18  19.79  20.09  1366400  20.09
2012-11-02  20.12  20.29  19.85  20.16  2794000  20.16
2012-11-01  19.88  20.35  19.81  20.03  3464700  20.03
2012-10-31  19.92  19.96  19.62  19.8  2830100  19.8
2012-10-26  20.02  20.13  19.76  19.93  1848500  19.93
2012-10-25  19.83  20.13  19.8  20.03  1536800  20.03
