Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  178.79  181.17  178.21  180.38  2387100  180.38
2014-02-27  176.89  179.07  176.77  178.5  1475600  178.5
2014-02-26  178.0  179.0  176.76  177.21  1687400  177.21
2014-02-25  179.05  179.16  177.12  177.79  1397400  177.79
2014-02-24  178.31  180.36  177.99  178.7  1641400  178.7
2014-02-21  177.59  179.28  177.19  178.21  2051700  178.21
2014-02-20  175.17  177.58  175.11  176.96  2138100  176.96
2014-02-19  176.47  177.45  174.67  174.97  1888400  174.97
2014-02-18  179.32  179.48  176.42  177.39  2875600  177.39
2014-02-14  177.37  179.57  177.29  179.22  1908600  179.22
2014-02-13  176.77  178.28  176.55  177.73  1437000  177.73
2014-02-12  176.98  178.47  176.43  177.94  1634500  177.94
2014-02-11  174.34  177.87  174.17  176.8  2701600  176.8
2014-02-10  175.75  175.88  173.67  173.89  2582700  173.89
2014-02-07  174.9  176.68  174.59  176.0  2313600  176.0
2014-02-06  172.02  174.72  171.84  174.23  1999100  174.23
2014-02-05  171.71  172.48  170.33  171.75  2174400  171.75
2014-02-04  172.19  172.78  170.57  172.37  2027500  172.37
2014-02-03  173.72  174.92  170.25  170.87  3402500  170.87
2014-01-31  173.79  174.92  172.3  173.35  2517000  173.35
2014-01-30  173.86  176.1  173.44  175.33  2678700  175.33
2014-01-29  171.28  172.29  170.31  171.07  2762800  171.07
2014-01-28  170.55  173.09  170.45  171.92  2093600  171.92
2014-01-27  171.19  171.65  169.43  170.34  2729400  170.34
2014-01-24  171.28  174.11  169.64  170.77  3533100  170.77
2014-01-23  171.51  173.93  171.17  173.23  3676600  173.23
2014-01-22  168.22  169.13  167.24  167.64  2627300  167.64
2014-01-21  168.71  168.71  166.32  167.26  1549300  167.26
2014-01-17  167.08  167.96  166.27  166.99  2378200  166.99
2014-01-16  166.71  167.57  165.71  167.1  2418600  167.1
2014-01-15  168.03  170.5  167.97  169.28  2175900  169.28
2014-01-14  167.36  168.61  166.69  167.96  1572600  167.96
2014-01-13  169.47  169.82  166.69  167.19  2265100  167.19
2014-01-10  167.98  170.01  167.71  169.51  2544000  169.51
2014-01-09  166.34  168.47  166.07  168.41  2266900  168.41
2014-01-08  167.01  168.14  165.65  166.08  2231300  166.08
2014-01-07  164.54  166.04  164.38  165.77  1567600  165.77
2014-01-06  166.32  166.76  164.13  164.32  1870600  164.32
2014-01-03  166.57  167.9  165.4  166.0  1205800  166.0
2014-01-02  167.54  168.96  165.79  166.26  2346100  166.26
2013-12-31  165.56  167.38  165.52  167.14  1427600  167.14
