Date  Open  High  Low  Close  Volume  Adj Close
2014-02-28  41.15  41.47  41.01  41.14  7043100  41.14
2014-02-27  40.94  41.15  40.77  41.14  3964600  41.14
2014-02-26  40.89  41.25  40.76  40.97  6091700  40.97
2014-02-25  40.75  41.0  40.56  40.95  9771600  40.95
2014-02-24  40.3  40.95  40.3  40.8  6821700  40.8
2014-02-21  40.26  40.63  40.24  40.34  8437500  40.34
2014-02-20  39.95  40.43  39.88  40.32  6167900  40.32
2014-02-19  40.62  40.62  39.89  39.95  6904600  39.95
2014-02-18  40.82  40.91  40.61  40.74  5413100  40.74
2014-02-14  40.29  40.88  40.16  40.79  6921800  40.79
2014-02-13  40.14  40.35  40.02  40.27  4877800  40.27
2014-02-12  40.31  40.66  40.19  40.35  4348600  40.35
2014-02-11  40.1  40.44  39.96  40.29  7008400  40.29
2014-02-10  40.03  40.25  39.87  40.08  5770900  40.08
2014-02-07  39.93  40.33  39.79  40.0  8910300  40.0
2014-02-06  39.23  39.84  39.12  39.81  7214400  39.81
2014-02-05  39.06  39.31  38.89  39.11  6164600  39.11
2014-02-04  38.99  39.26  38.72  39.11  6601000  39.11
2014-02-03  39.7  39.77  38.73  38.78  10478300  38.78
2014-01-31  39.61  40.11  39.55  39.73  7186700  39.73
2014-01-30  40.1  40.19  39.74  40.12  8540000  40.12
2014-01-29  40.28  40.6  39.69  39.76  14158700  39.76
2014-01-28  40.14  40.66  40.1  40.54  8051500  40.54
2014-01-27  40.11  40.42  39.94  40.04  9296800  40.04
2014-01-24  40.48  40.74  40.14  40.14  9684000  40.14
2014-01-23  41.26  41.26  40.31  40.72  12423900  40.72
2014-01-22  41.39  41.79  40.65  41.44  11034800  41.44
2014-01-21  41.68  41.86  41.34  41.58  9951500  41.58
2014-01-17  41.62  41.66  41.34  41.45  9827600  41.45
2014-01-16  41.43  41.48  41.12  41.46  7951200  41.46
2014-01-15  41.19  41.57  41.08  41.5  12576700  41.5
2014-01-14  40.88  40.99  40.58  40.89  6807900  40.89
2014-01-13  40.88  41.15  40.71  40.78  5954400  40.78
2014-01-10  41.28  41.3  40.79  41.02  7241400  41.02
2014-01-09  41.3  41.5  40.97  41.34  8862800  41.34
2014-01-08  40.72  41.14  40.65  41.09  10727200  41.09
2014-01-07  40.9  41.11  40.75  40.93  11027800  40.93
2014-01-06  40.58  40.84  40.5  40.59  8096000  40.59
2014-01-03  39.87  40.22  39.78  40.06  4455000  40.06
2014-01-02  39.87  40.07  39.45  39.89  7045800  39.89
2013-12-31  40.4  40.45  40.24  40.4  4335400  40.4
2013-12-30  40.31  40.49  40.15  40.27  3910300  40.27
2013-12-27  40.39  40.55  40.3  40.37  3416200  40.37
2013-12-26  40.49  40.53  40.26  40.29  5651800  40.29
2013-12-24  40.32  40.6  40.28  40.37  2841700  40.37
2013-12-23  40.01  40.58  39.94  40.26  8439800  40.26
2013-12-20  39.89  40.09  39.8  39.82  12591400  39.82
2013-12-19  39.12  39.92  39.09  39.81  8073100  39.81
2013-12-18  39.08  39.92  38.99  39.89  12426400  39.89
2013-12-17  39.11  39.12  38.86  38.9  6994100  38.9
2013-12-16  39.13  39.3  38.92  39.16  6949300  39.16
2013-12-13  39.03  39.09  38.79  38.84  5963400  38.84
2013-12-12  38.81  39.27  38.71  38.98  8754300  38.98
2013-12-11  39.37  39.37  38.79  38.82  6940200  38.82
2013-12-10  39.41  39.6  39.16  39.2  7072400  39.2
2013-12-09  39.51  39.73  39.4  39.51  9040100  39.51
2013-12-06  38.76  39.44  38.76  39.43  12510600  39.43
2013-12-05  38.72  38.91  38.37  38.39  10464700  38.39
2013-12-04  38.72  39.0  38.44  38.78  14275400  38.78
2013-12-03  38.92  39.02  38.08  38.3  14165300  38.3
2013-12-02  39.07  39.26  38.9  38.99  6101000  38.99
2013-11-29  39.19  39.39  38.98  39.0  3945300  39.0
2013-11-27  39.1  39.25  39.03  39.13  5110900  39.13
2013-11-26  39.08  39.26  38.98  39.05  7946800  39.05
2013-11-25  38.74  39.16  38.74  38.99  7711600  38.99
2013-11-22  38.58  38.75  38.33  38.73  6165800  38.73
2013-11-21  38.62  38.74  38.38  38.64  8209100  38.64
2013-11-20  38.57  38.68  38.28  38.52  8513100  38.52
2013-11-19  38.16  38.61  38.07  38.44  8187900  38.44
2013-11-18  38.07  38.26  37.96  38.11  8376200  38.11
2013-11-15  38.02  38.17  37.93  38.09  6546700  38.09
2013-11-14  37.95  38.17  37.82  38.06  7404300  38.06
2013-11-13  37.42  37.8  37.25  37.8  11824400  37.8
2013-11-12  37.62  37.79  37.41  37.54  8820200  37.54
2013-11-11  37.81  37.81  37.48  37.72  5924500  37.72
2013-11-08  37.22  37.86  37.07  37.86  10216000  37.86
2013-11-07  37.79  37.79  37.24  37.26  5647900  37.26
2013-11-06  37.54  37.78  37.41  37.7  5116900  37.7
2013-11-05  37.29  37.58  37.19  37.46  5652200  37.46
2013-11-04  37.2  37.4  37.14  37.33  5236900  37.33
2013-11-01  37.16  37.43  37.01  37.16  7146900  37.16
2013-10-31  37.62  37.64  37.15  37.15  8109900  37.15
2013-10-30  37.61  37.72  37.52  37.55  6763100  37.55
2013-10-29  37.68  37.71  37.48  37.62  4724200  37.62
2013-10-28  37.58  37.72  37.41  37.55  6988600  37.55
2013-10-25  37.67  38.04  37.43  37.62  7446600  37.62
2013-10-24  37.69  37.79  37.31  37.59  9328200  37.59
2013-10-23  37.81  37.84  37.56  37.76  6678100  37.76
2013-10-22  37.86  38.0  37.74  37.85  7032800  37.85
2013-10-21  37.71  37.9  37.56  37.84  6745300  37.84
2013-10-18  37.63  37.87  37.38  37.7  10330200  37.7
2013-10-17  36.97  37.58  36.97  37.47  10779700  37.47
2013-10-16  36.88  37.48  36.62  37.03  13183600  37.03
2013-10-15  36.95  37.05  36.56  36.67  8065700  36.67
2013-10-14  36.73  37.04  36.69  36.97  5931900  36.97
2013-10-11  36.54  37.0  36.36  36.84  7814900  36.84
2013-10-10  36.03  36.76  36.03  36.73  9142800  36.73
2013-10-09  35.62  35.9  35.52  35.76  7292500  35.76
2013-10-08  35.86  35.98  35.49  35.5  9128100  35.5
2013-10-07  36.14  36.18  35.89  35.92  5398800  35.92
2013-10-04  36.09  36.47  36.09  36.41  6427600  36.41
2013-10-03  36.12  36.27  36.02  36.14  6325900  36.14
2013-10-02  36.3  36.37  36.12  36.18  6852300  36.18
2013-10-01  36.48  36.58  36.28  36.5  4932400  36.5
2013-09-30  36.03  36.53  35.85  36.37  7895000  36.37
2013-09-27  36.13  36.44  36.1  36.29  5973100  36.29
2013-09-26  36.45  36.55  36.16  36.33  5592900  36.33
2013-09-25  36.43  36.61  36.16  36.32  9230100  36.32
2013-09-24  36.95  36.95  36.37  36.46  9922300  36.46
2013-09-23  37.31  37.32  36.73  36.92  7631000  36.92
2013-09-20  37.3  37.48  37.08  37.4  11096500  37.4
2013-09-19  37.59  37.61  37.0  37.26  11617800  37.26
2013-09-18  37.12  37.78  37.05  37.39  10296100  37.39
2013-09-17  37.17  37.21  36.87  37.07  6517100  37.07
2013-09-16  37.15  37.18  36.85  37.06  8614500  37.06
2013-09-13  36.49  36.79  36.49  36.7  7040600  36.7
2013-09-12  36.32  36.89  36.01  36.43  8241700  36.43
2013-09-11  36.33  36.37  36.05  36.24  5901500  36.24
2013-09-10  36.07  36.42  36.07  36.27  6474400  36.27
2013-09-09  36.05  36.07  35.47  35.89  6975500  35.89
2013-09-06  36.35  36.47  35.87  36.04  6171800  36.04
2013-09-05  35.72  36.39  35.69  36.26  8674800  36.26
2013-09-04  35.57  35.81  35.4  35.7  6125800  35.7
2013-09-03  36.03  36.17  35.47  35.63  6595600  35.63
2013-08-30  35.74  35.77  35.46  35.7  6816200  35.7
2013-08-29  35.57  35.96  35.47  35.68  5760500  35.68
2013-08-28  35.68  35.91  35.6  35.68  5331100  35.68
2013-08-27  36.16  36.23  35.6  35.68  7512600  35.68
2013-08-26  36.97  36.97  36.48  36.48  4213600  36.48
2013-08-23  37.14  37.17  36.71  36.88  5205700  36.88
2013-08-22  36.41  37.02  36.37  36.96  7472700  36.96
2013-08-21  36.3  36.68  36.24  36.35  6431100  36.35
2013-08-20  36.19  36.62  36.12  36.42  5711000  36.42
2013-08-19  36.43  36.47  36.18  36.22  5119900  36.22
2013-08-16  36.25  36.56  36.23  36.48  6350600  36.48
2013-08-15  36.48  36.56  36.14  36.33  5781700  36.33
2013-08-14  36.71  36.76  36.5  36.53  5573800  36.53
2013-08-13  36.72  36.82  36.5  36.67  6455000  36.67
2013-08-12  36.62  36.84  36.48  36.72  5349400  36.72
2013-08-09  36.87  36.95  36.6  36.73  6845900  36.73
2013-08-08  36.95  37.08  36.62  36.91  5256300  36.91
2013-08-07  37.0  37.0  36.56  36.77  5934000  36.77
2013-08-06  37.27  37.27  37.02  37.16  5004800  37.16
2013-08-05  37.24  37.38  37.14  37.29  4538600  37.29
2013-08-02  37.13  37.37  37.09  37.32  5639000  37.32
2013-08-01  37.21  37.48  37.15  37.21  6678700  37.21
2013-07-31  37.35  37.52  36.86  36.88  10825300  36.88
